wavelength,Back_BanMelf,Belly_BanMelf,Breast_BanMelf,Crissum_BanMelf,Crown_BanMelf,DorTail_BanMelf,Patch10_BanMelf,Rump_BanMelf,Throat_BanMelf,WingTip_BanMelf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,77.7778000002,35.5555333334,86.6667333334,15.5556666667,104.444533333,-2.2222666666,-15.5556,137.777733333,68.8888666665,6.6666666666
179.16,9.7436,14.3592,4.61533333333,-1.02580000001,20.0000666667,10.7692,9.23079999999,26.1537333333,3.58973333333,-11.7948666667
179.54,87.5000000001,9.16666666667,51.6666666667,47.5,37.5000000001,53.3333333333,24.1666666667,58.3333333332,77.5,29.9999999999
179.93,116.0,56.0,95.3333333335,96.6666666667,69.3333333333,62.0,62.6666666666,120.666666667,113.333333333,96.0000000001
180.31,33.2728,12.7879333333,24.0000666667,22.4848666667,28.7878,10.5452666667,7.87873333333,42.9696666666,31.3939333333,10.4242666667
180.69,36.8391333333,15.6898,28.7931333333,24.023,32.8736666667,11.6666,10.8046,45.3448666667,36.2643333333,10.7471333333
181.07,32.957,12.9032,25.1076666667,20.0001333333,28.1182666667,9.89226666667,9.46240000001,38.656,31.5053333333,7.47306666666
181.45,37.9831333333,16.8067333333,33.2214,24.93,31.9889333333,15.126,13.8934666667,43.3054,37.7592,13.0532
181.83,38.4496666667,22.8423333333,37.0026,28.2687333334,36.279,19.6382,18.5530666667,43.8760666667,39.2765333333,15.3488
182.21,30.2324666667,16.6926,29.7157333333,20.7752,31.6278,15.2454666667,12.2998,32.8166666667,29.9224666667,4.08266666667
182.59,29.8219333333,13.5879333333,30.5342,20.7634,34.2494666667,15.8271333333,10.8905333333,32.3154666667,31.5521333333,3.05346666666
182.97,32.1513333333,19.3381333333,29.6454666667,24.019,34.1370666667,19.1016666667,16.2648,34.2317333333,33.0022666667,4.58626666667
183.35,28.9238,17.4277333333,29.8686666667,24.7769333333,31.9684,16.7979333333,15.1181333333,31.9159333333,28.6613333333,0.262466666646
183.73,33.0952666667,19.7024666667,39.2263333333,30.2381333333,37.2619333333,24.2859333333,17.0834666667,34.6429333333,33.2143333333,2.91666666666
184.11,35.5320000001,16.0282,42.4822666667,32.1986,39.0779333333,22.8369333333,15.6738666667,29.4324666667,35.8864666667,3.47533333333
184.49,37.9607333333,18.902,51.4509333333,34.7451333333,44.3137333333,27.9216666667,13.5686,29.3334,38.8235333333,4.78433333332
184.87,31.9999999999,12.25,44.4166666667,32.75,39.0833333333,26.0833333333,6.58333333335,26.0833333333,31.5,0.66666666668
185.25,46.4134000001,30.7172666667,57.9746000001,48.0169333333,56.5401333333,36.2869333333,20.7595333334,39.9999999999,48.1856666667,13.0802666667
185.63,53.2274666667,27.3017333333,61.3758,52.8041333333,63.1745333333,26.1374666667,13.3332666667,38.6244666666,52.2752666667,8.57146666667
186.01,64.4444,5.27786666664,86.9443333333,61.9445333333,90.2778666667,-13.8888,-35.5555333333,26.9443333333,63.6111999999,-27.5001333334
186.39,109.166666667,27.9166666666,140.833333333,105.0,162.083333333,-9.58333333314,-38.3333333333,67.9166666668,104.583333333,2.08333333334
