wavelength,Back_BanRotf,Belly_BanRotf,Breast_BanRotf,Crissum_BanRotf,Crown_BanRotf,DorTail_BanRotf,Patch10_BanRotf,Rump_BanRotf,Throat_BanRotf,WingTip_BanRotf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,133.333333334,161.905,99.9999999999,154.761666667,176.190333334,135.714166667,138.095166667,147.619166667,102.380666667,97.6193333335
179.16,76.1905,100.0,77.3808333333,70.2381666667,80.9521666667,38.095,86.9046666669,72.619,47.619,58.3333333333
179.54,35.0,48.3333333333,36.6666666667,16.6666666667,25.0,16.6666666667,26.6666666666,-38.3333333333,10.0,45.0
179.93,87.1793333331,141.025666667,70.5126666667,87.1795,87.1793333334,92.308,79.487,57.6923333333,69.2308333334,98.718
180.31,68.1818333333,120.706833333,52.2726666666,85.8583333334,94.1920000002,57.576,90.4038333335,58.0806666667,47.7271666666,71.9695
180.69,75.5746666667,129.597666667,51.4368333333,93.1034999998,99.7126666668,63.7931666666,100.287166666,59.1951666667,43.9653333334,75.8623333333
181.07,78.7036666667,120.061666667,45.9876666667,88.5801666669,85.1851666666,59.2593333333,98.7653333334,37.9628333333,30.247,82.0986666667
181.45,81.0,109.666666667,35.0,87.6666666668,74.0,59.3333333333,98.6666666669,24.3333333333,26.0,88.3333333333
181.83,111.7645,161.274666667,23.0393333333,117.647166667,104.411666666,87.7453333333,136.2745,43.6275,22.5491666667,125.9805
182.21,164.035166667,203.508833333,1.7545,150.877166667,130.701833333,86.842,188.5965,27.1928333333,-20.1755,161.403166666
182.59,201.960666667,217.647,13.7253333333,172.549,153.921666666,149.019666667,176.470833333,37.255,-61.7646666667,238.235333333
182.97,195.512666666,199.359,75.641,171.795,148.076833333,168.589666667,132.051333333,67.9488333333,-2.56416666667,212.8205
183.35,168.333166667,170.5555,61.6666666667,142.222,126.666666667,151.111166667,105.000166667,49.4446666667,-6.66683333335,153.889
183.73,158.602,152.688166666,55.3763333333,138.172166667,126.881833333,141.935333333,96.774,45.699,-11.2905,148.387166667
184.11,134.444333333,126.111166667,5.5555,97.7778333334,82.2221666666,86.1113333334,43.8888333333,-8.889,-57.2223333334,129.999666667
184.49,120.2125,102.482333333,27.6596666667,95.0355000001,64.5389999999,65.6026666667,58.1558333334,19.858,0.3546666667,127.6595
