wavelength,Back_LoxAnom,Belly_LoxAnom,Breast_LoxAnom,Crissum_LoxAnom,Crown_LoxAnom,DorTail_LoxAnom,Patch10_LoxAnom,Rump_LoxAnom,Throat_LoxAnom,WingTip_LoxAnom
197.03,147.135416667,156.25,80.7291666666,7.81250000008,60.6770833332,-37.5,105.46875,81.5104166667,82.0312499998,-2.86458333343
197.40,171.153666667,186.218,84.9359166666,7.05141666675,64.1025833334,-50.9615833333,126.282083333,76.9231666667,81.4103333332,-13.7820833333
197.78,175.0,180.333333333,80.6666666667,-2.66666666682,63.3333333333,-54.6666666666,129.666666667,70.0000000001,75.6666666667,-17.0000000001
198.16,404.545333333,421.96975,193.939333333,-10.6061666667,188.636333333,-107.575833333,300.75775,187.87875,187.878666667,-21.2120833333
198.54,-270.4545,-307.575833333,-73.4848333333,137.87875,-96.2120833331,248.484916667,-196.96975,-77.2728333333,-63.6363333334,142.424333333
198.92,-130.416666667,-125.416666667,-12.4999999998,91.6666666667,-20.0,155.0,-85.0000000002,-2.5,-13.75,106.666666666
199.30,-619.791666667,-553.125,-242.708333333,4.16666666675,-301.041666667,151.041666667,-447.916666667,-225.0,-306.25,39.5833333332
199.68,-282.352833333,-279.902,-119.117583334,7.35283333343,-140.68625,90.6861666667,-205.8825,-104.41175,-153.9215,33.3334166667
200.06,-2812.5,-2812.5,-1308.33333333,-366.666666668,-1770.83333333,316.666666666,-2133.33333334,-1358.33333333,-1758.33333333,-8.25010282313e-10
200.44,367.105416666,382.0175,185.08775,119.736833334,287.71925,60.9648333333,307.89475,228.508833333,282.0175,83.3332500002
200.82,239.898916667,269.9495,144.9495,116.161583333,206.060666667,84.3435000002,208.585833333,170.202,198.989916667,90.4039166666
201.19,281.388916667,304.444416666,159.722166666,149.4445,239.444416666,113.055666667,237.500083334,193.88875,231.111083333,109.4445
201.57,332.0,356.333333333,190.0,162.333333333,284.666666667,133.333333334,281.333333333,232.666666667,275.666666667,124.0
201.95,396.825416667,436.507916667,235.317583334,188.09525,345.635,161.507916667,330.158916667,274.603166666,331.349083334,136.111166666
202.33,256.510416667,285.15625,166.40625,121.09375,224.21875,109.114583333,220.3125,176.302083333,222.135416667,84.375
202.71,214.375,231.458333333,140.833333333,100.625,185.0,103.75,181.875,146.666666667,186.666666667,74.5833333333
203.09,275.0,301.666583334,178.055583333,129.999916667,232.222333333,131.94425,218.333333333,184.72225,234.722333333,72.4999166667
203.47,743.518583333,860.185166668,487.963,347.222083333,630.555416667,338.888833334,586.111083334,487.037,678.70375,107.407416667
203.85,674.074,790.740583334,422.22225,324.07425,608.333416667,346.296166667,588.888916667,399.074083333,634.259333333,74.9999999999
204.22,1891.66666667,2319.4445,1216.66675,811.111083335,1786.11091667,1186.111,1891.66658334,1047.22233334,1772.22216667,316.666833333
204.60,-409.090916666,-519.696833333,-254.54525,-106.060416667,-369.697083333,-206.818166667,-420.454416667,-165.1515,-379.545333334,40.9091666667
204.98,-179.386,-221.929916666,-87.28075,23.6842499998,-164.035166667,-40.7894166667,-180.701833333,-35.0876666668,-153.50875,87.7193333333
205.36,-134.46975,-182.196916666,-78.7878333333,36.3636666667,-137.87875,-6.81833333332,-132.57575,-34.8485833333,-100.37875,91.2879166667
205.74,-368.518333333,-512.037166666,-254.629666667,28.7037500001,-442.592583333,-54.6295833333,-336.111166667,-136.111083333,-298.148166667,171.296333333
206.12,-1525.0,-2175.0,-945.833333333,74.9999999975,-2025.0,-166.666666666,-1470.83333333,-591.666666667,-1154.16666667,662.5
206.50,-473.611166667,-719.444416667,-300.000083333,26.3888333332,-758.333333333,-65.2776666668,-458.333333333,-213.888833333,-398.611333332,229.166583334
206.87,238.425916667,328.240583333,220.370333333,101.851916667,343.518583333,118.981583333,229.166666667,161.574083333,229.62975,5.55558333334
207.25,144.607916666,202.205916667,140.44125,76.9608333333,214.951,87.25475,148.774666667,116.666666667,149.999916667,41.6667499999
207.63,127.407416666,166.111,123.889,63.1480833334,183.888833333,77.7777500002,123.518583333,106.296166667,130.3705,52.4075000001
208.01,130.814,168.992,134.496166667,57.752,189.9225,75.7753333333,107.36425,112.984333333,128.488333333,52.5195
208.39,189.0625,241.145833333,193.75,101.822916667,258.854166666,113.802083333,133.59375,161.458333333,185.9375,68.2291666667
208.77,268.5605,348.48475,275.757666667,140.909083333,371.969833333,173.106,193.181833334,226.894,264.77275,95.4545
209.14,294.92775,357.608583334,299.63775,190.217583333,384.42025,200.000083333,219.203,255.43475,295.28975,117.029166667
209.52,498.809583333,587.499833333,510.714416667,331.5475,656.547583333,377.97625,403.571416666,434.52375,533.928583334,184.523916667
209.90,-327.604166667,-429.6875,-372.916666667,-210.9375,-456.770833333,-264.583333333,-292.708333334,-296.875,-372.395833333,-79.6875
210.28,-234.058,-301.811666667,-264.49275,-147.1015,-321.37675,-196.37675,-200.724583333,-209.78275,-281.52175,-65.9420000001
210.66,-282.894833333,-360.52625,-305.701833333,-200.438583333,-391.666666667,-230.701583333,-227.193,-255.70175,-323.245666667,-70.1754166667
211.03,-98.0620833333,-127.519416667,-100.194,-61.8217499999,-153.876166667,-75.7751666666,-75.0,-87.9846666667,-107.557916667,-7.55816666665
211.41,-84.3138333335,-102.778,-85.7844166666,-46.8953333333,-131.20925,-69.2809166668,-64.2158333333,-75.8170833333,-95.5884166666,-2.451
211.79,-47.3076666667,-65.2563333333,-52.8205,-22.9486666667,-89.1025833335,-44.7435833333,-33.2051666667,-44.4870833334,-57.8204166667,12.8205
212.17,-72.95325,-94.7367499999,-73.9765833333,-47.2220000001,-125.292416667,-73.2455833333,-62.2806666666,-70.4679166666,-88.3040833334,-8.04083333333
212.55,-141.666583333,-170.83325,-140.277833333,-96.2964166666,-230.324,-135.648083333,-134.02775,-138.6575,-172.916666666,-47.9164999999
212.92,-447.619,-509.523666667,-448.214416667,-351.190583333,-676.785666667,-463.09525,-407.14275,-444.047583334,-543.452416667,-222.023583333
213.30,-1604.16666666,-1918.75,-1727.08333333,-1208.33333333,-2431.25,-1697.91666667,-1395.83333333,-1618.75,-1962.5,-950.0
213.68,832.142833333,1055.95241667,961.904750001,644.047583333,1355.95241666,959.523916666,714.285750001,859.524000001,1044.04758333,628.571416665
214.06,204.545416667,236.111166667,223.484916666,155.0505,314.899,237.121166667,171.212,214.393916666,252.777583333,171.71725
214.44,172.857166667,214.047583334,211.428583333,148.809583333,292.142916667,224.76175,156.428666666,199.523833333,232.380916667,158.57125
214.81,186.458333333,223.697916667,235.9375,151.822916667,304.166666667,246.875,180.46875,214.84375,253.385416667,182.291666667
215.19,154.4715,183.130166667,192.479583333,126.42275,234.756083333,196.747833333,154.878166666,179.674833333,209.146416666,153.86175
215.57,130.0,157.0,162.166666667,116.666666667,198.833333333,160.833333333,136.833333333,147.333333333,175.5,133.333333333
215.95,108.198833334,140.994666667,130.779666666,100.672,166.398,135.483916666,122.311833333,123.790333333,146.102,112.231166667
216.32,110.8025,150.926083333,141.666833333,103.395083333,177.77775,144.135666667,132.716083333,134.72225,155.86425,114.969083333
216.70,104.709916667,158.87675,150.18125,99.6375833334,187.681333333,155.072583333,133.514416667,139.49275,154.529,113.405833333
217.08,149.65275,254.166666666,234.722166667,147.916583333,305.5555,232.639,214.236083334,229.861083333,231.25,170.48625
217.46,235.0,491.666666667,440.0,275.833333333,594.166666667,448.333333334,430.833333333,456.666666667,400.833333333,287.5
217.83,413.888916667,793.0555,751.388916667,493.055416667,908.333333334,768.0555,743.055666665,748.611166669,654.166666666,443.055583333
218.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218.59,-584.999999999,-876.666666665,-906.666666667,-638.333333334,-965.0,-791.666666668,-888.333333332,-808.333333332,-631.666666668,-491.666666667
218.97,-576.666666667,-834.999999999,-846.666666666,-570.000000001,-869.999999999,-719.999999999,-791.666666669,-771.666666668,-493.333333334,-436.666666667
219.34,-315.27775,-584.722166666,-552.77775,-337.499833333,-580.555666666,-445.8335,-465.277833333,-498.611083333,-258.3335,-236.111083334
219.72,-43.4781666666,-123.188333333,-115.579666667,-52.8986666667,-117.753583333,-81.1594999999,-85.1447500002,-87.3188333335,-26.8115833333,-21.0144166667
220.10,-29.7223333334,-77.5000833334,-87.7777499999,-46.9444166666,-87.4999166667,-56.9445833334,-57.5,-51.389,-18.8889166666,-17.2221666667
220.47,-5.80808333332,-57.0707499999,-61.3635833332,-33.5860000001,-55.5555833333,-39.1414166667,-23.9898333333,-23.2323333333,-4.5455,-7.57575000002
220.85,-8.94308333332,-51.4228333332,-50.8130000001,-31.9105833334,-33.5365833333,-31.5039166668,-17.88625,-18.2926666667,-15.8536666667,-5.48783333335
221.23,-16.6666666667,-70.5881666667,-70.8334166667,-39.4609166668,-41.4215833334,-44.3626666666,-23.7745,-25.4901666666,-33.3334166666,-3.92158333332
221.61,-30.3241666667,-78.7038333333,-74.7683333332,-47.6851666666,-57.4074166667,-52.7778333333,-30.324,-28.2408333332,-49.3055833333,-14.1203333333
221.98,-27.7083333333,-70.0,-61.0416666666,-34.5833333333,-55.2083333333,-39.7916666666,-25.625,-19.7916666668,-49.5833333333,-12.2916666667
222.36,-29.3651666667,-74.2064166666,-71.8255833333,-39.4842499999,-71.6270833334,-43.0555,-35.5159166667,-22.0237499999,-54.762,-15.6746666667
222.74,-13.9494166667,-64.6738333333,-54.7101666666,-23.55075,-55.4348333333,-20.652,-16.30425,-9.05783333334,-40.2173333333,3.80449999998
223.11,-8.01283333331,-57.2115833333,-45.5128333334,-21.4743333333,-51.4423333333,-8.654,-8.65383333332,-0.480833333325,-40.5449166667,7.21149999998
223.49,-3.70375,-39.1534166667,-33.0688333333,-10.5819166667,-38.7566666666,-5.291,-3.17466666665,7.93633333332,-28.5714166667,10.7143333333
223.87,-14.6259166666,-51.1905833333,-56.97275,-22.9591666667,-53.4015,-18.3673333333,-8.16333333332,-5.44200000001,-43.8776666666,-0.68025
224.24,-35.98475,-77.6515833334,-85.4167500001,-33.3333333333,-64.7726666666,-31.25,-21.591,-28.2198333334,-67.9923333334,-17.0455
224.62,-53.5984166667,-90.90925,-99.4319166667,-43.3712500001,-76.894,-39.7725,-36.3635833333,-40.3409166667,-82.9543333333,-21.2120833333
225.00,-53.9475,-92.7630833335,-102.851,-48.0263333332,-87.7193333334,-37.4999166667,-35.5263333332,-33.3334166667,-85.3070833333,-16.0088333333
225.38,-78.1530833332,-101.351166667,-126.351333333,-70.7207500001,-114.864916667,-61.2611666666,-54.9549166666,-47.2974166667,-100.67575,-36.71175
225.75,-80.76925,-104.48725,-125.427416667,-73.0770000002,-115.811916667,-71.5812500001,-62.8204999999,-52.5640833333,-94.6580833333,-39.9573333332
226.13,-41.0493333333,-68.3642499999,-68.67275,-37.3456666667,-67.5926666667,-38.11725,-28.858,-26.852,-57.0986666667,-12.0370833334
226.51,-23.6111666667,-43.6341666667,-36.8055,-16.4351666667,-40.2775833333,-18.5184166667,-8.79624999999,-9.375,-34.7224166667,-2.66216666667
226.88,-26.2745,-44.2156666667,-36.9608333334,-23.4314166667,-40.5880833333,-24.902,-16.4704166667,-16.7646666667,-35.68625,-11.9605833333
227.26,-20.4955833333,-37.9879166667,-33.2584166667,-21.6215833333,-31.1561666667,-23.5736666666,-18.8438333333,-16.6666666667,-28.8289166667,-11.3363333333
227.64,-25.0,-42.17925,-36.859,-28.8460833333,-33.58975,-26.92325,-24.1025,-24.23075,-33.1410833333,-15.76925
228.01,-17.4373333333,-33.04425,-26.3969166667,-23.1213333333,-25.77075,-20.9536666667,-18.1599166667,-19.316,-26.734,-11.9460833333
228.39,-11.4864166667,-21.9595833333,-17.1545833333,-16.817,-19.2191666667,-12.9129166667,-12.6500833333,-12.3498333333,-18.8063333334,-5.78083333332
228.76,-7.26741666666,-16.9250833333,-13.7273333333,-13.6305833333,-15.2456666667,-7.881,-9.49608333333,-9.52833333332,-14.4380833334,-4.39275
229.14,-5.33108333334,-12.7105,-11.7003333333,-11.67225,-12.17725,-5.19083333333,-7.01466666667,-7.85649999999,-11.981,-3.61941666666
229.52,-4.25850000001,-12.61825,-11.5666666667,-11.7769166667,-11.2775833333,-4.02208333333,-6.15133333334,-7.25558333334,-12.56575,-4.17983333333
229.89,-3.38775000001,-11.1275833333,-10.7814166667,-10.8555833333,-10.0148333333,-2.91783333333,-4.45108333333,-6.52808333334,-12.1909166667,-3.68466666667
230.27,-7.25791666666,-13.6850833333,-16.2024166667,-15.44475,-12.51225,-5.64499999999,-8.11333333334,-10.5570833333,-15.1026666667,-6.20716666666
230.65,-5.0965,-11.3635833333,-14.21025,-13.2231666667,-9.068,-3.03033333333,-6.49683333333,-9.32050000001,-12.8556666667,-2.73175
231.02,-3.46299999999,-8.78008333333,-13.3378333333,-10.79075,-8.15466666666,-0.983,-4.62466666668,-7.43975,-12.22075,-1.16183333333
231.40,-0.154000000002,-5.07925,-8.70708333334,-6.86008333333,-5.47499999999,2.06683333333,-0.483666666669,-4.04566666667,-8.97108333332,1.75908333333
231.78,3.33766666666,-1.981,-4.69416666667,-3.16533333333,-2.54091666667,4.39266666667,2.54091666667,-0.193916666666,-5.70624999999,4.65125
232.15,5.47616666668,0.952416666665,-1.88325,8.33333325e-05,0.108166666667,7.42441666668,4.8485,2.446,-3.03041666666,7.16441666666
232.53,6.69858333333,3.15625,-0.249833333333,1.70291666667,2.17966666667,8.74208333332,7.06183333334,4.38233333333,-0.885416666667,8.65133333333
232.90,5.4645,3.11941666666,0.318666666665,1.88975,1.34325,7.76408333333,6.21583333333,4.622,-0.637583333333,8.51541666667
233.28,4.65275,1.73616666667,0.7175,1.62041666667,-0.13908333333,7.80083333332,5.02316666667,3.72683333334,-1.66675,7.54641666666
233.66,7.09883333333,4.27691666667,4.58566666667,5.22483333333,2.62349999999,11.3095,6.70208333333,6.19475,1.65333333334,9.54583333335
234.03,7.99316666666,4.8045,6.22875,5.761,2.78483333334,12.3299166667,6.76025,6.56883333334,1.7645,9.82141666667
234.41,10.06375,6.7225,8.95,7.498,3.63966666667,13.5241666667,8.98974999999,8.51241666667,4.03733333333,10.8195833333
