wavelength,Back_PhrCarf,Belly_PhrCarf,Breast_PhrCarf,Crissum_PhrCarf,Crown_PhrCarf,DorTail_PhrCarf,Rump_PhrCarf,Throat_PhrCarf,WingTip_PhrCarf
207.63,203.174666667,50.7936666667,241.27,117.460333333,150.793333333,128.571333333,71.4286666667,30.1586666667,195.238
208.01,220.635,31.746,258.730333333,103.174333333,190.476333333,111.111,82.5396666667,7.93633333333,241.269666667
208.39,595.238,4.762,766.666333333,161.904666667,490.476,252.380666667,76.1903333333,-28.5716666667,671.428666667
208.77,358.974333333,-38.4613333333,474.359,141.025333333,302.564,164.102333333,143.589666667,61.5386666667,425.641333333
209.14,240.476,-100.0,438.095333333,111.904666667,280.952333333,38.095,123.809333333,19.0473333333,373.809333333
209.52,800.0,-250.0,1416.66666667,366.666666667,991.666666667,166.666666667,475.0,-225.0,1325.0
209.90,-395.238,52.381,-885.714,-185.714333333,-447.619,-161.904666667,-290.476333333,90.4763333333,-723.809666667
210.28,-357.143,61.9046666667,-857.143,-138.095,-257.143,-90.476,-266.666666667,123.809333333,-623.809666667
210.66,-65.5556666667,64.4446666667,-149.999666667,-2.22233333333,-26.6663333333,24.4443333333,-43.3333333333,54.4443333333,-132.222
211.03,-83.3333333333,51.9606666667,-134.314,-2.94133333333,-34.3136666667,-15.6863333333,-41.1763333333,34.3136666667,-132.353
211.41,-45.7363333333,57.364,-81.3953333333,17.8293333333,-17.0543333333,5.42633333333,-21.7053333333,58.9143333333,-112.403
211.79,-89.3333333333,105.333333333,-178.666666667,12.0,-14.6666666667,12.0,-52.0,78.6666666667,-189.333333333
212.17,-136.363333333,96.9696666667,-240.909333333,-40.909,-27.2723333333,-33.3333333333,-84.8483333333,51.5153333333,-225.757333333
212.55,-147.368333333,101.754333333,-294.737,-22.807,-61.4033333333,-92.9826666667,-135.087666667,36.8423333333,-250.877
212.92,-189.743666667,97.436,-366.666666667,61.5383333333,-105.128333333,-100.0,-79.4873333333,69.2306666667,-338.461666667
213.30,-277.777666667,-19.4446666667,-502.777666667,47.2223333333,-169.444333333,-213.888666667,-105.555666667,-8.33333333333,-438.888666667
213.68,3200.0,-233.333333333,7200.0,-1500.0,1833.33333333,2466.66666667,1133.33333333,633.333333333,5066.66666667
214.06,276.923333333,41.0256666667,561.538666667,-92.3073333333,161.538666667,187.179333333,84.6153333333,-10.2563333333,376.923333333
214.44,141.414,64.6463333333,251.515,-2.02,118.181666667,90.909,71.717,31.313,190.908666667
214.81,101.851666667,36.111,203.704,-1.85166666667,86.111,66.6666666667,58.3333333333,1.852,143.518666667
215.19,154.545333333,39.394,545.454333333,-75.7576666667,96.9696666667,3.03,63.6363333333,-106.060666667,315.151666667
215.57,313.333333333,40.0,1166.66666667,-293.333333333,140.0,-253.333333333,-33.3333333333,-146.666666667,626.666666667
215.95,-328.571333333,-138.095333333,-823.809333333,233.333333333,-219.047666667,-9.524,-123.809333333,85.7143333333,-671.428333333
216.32,-458.333333333,-308.333333333,-1200.0,766.666666667,-400.0,316.666666667,-216.666666667,225.0,-1158.33333333
216.70,1083.33333333,733.333333333,2350.0,-1266.66666667,816.666666667,-1050.0,316.666666667,-383.333333333,2600.0
217.08,-53.9683333333,12.6983333333,-180.952666667,153.968333333,19.0476666667,125.396666667,-9.52366666667,85.714,-206.349
217.46,-17.3913333333,49.2753333333,-111.594,160.869666667,84.058,140.579666667,-2.89866666667,117.391333333,-137.681333333
217.83,10.8526666667,26.3566666667,-24.806,92.248,58.1393333333,98.4496666667,8.52733333333,74.4183333333,-66.6666666667
218.21,6.20166666667,21.7056666667,-24.031,86.0463333333,65.1163333333,78.2946666667,6.20166666667,58.9146666667,-68.2166666667
218.59,17.9013333333,41.3583333333,-5.55566666667,69.753,86.42,72.2223333333,37.6543333333,83.3333333333,-27.1603333333
218.97,-30.0813333333,11.382,-38.2113333333,70.7313333333,69.1056666667,56.0973333333,25.2033333333,70.7316666667,-91.87
219.34,-104.545666667,22.7273333333,-28.7876666667,160.606,80.3026666667,68.1816666667,13.6363333333,124.242333333,-189.394333333
219.72,-75.0,62.5003333333,-26.3886666667,161.111333333,91.6666666667,48.6113333333,27.7776666667,122.222333333,-125.000333333
220.10,-147.222333333,91.667,-91.6663333333,283.333333333,133.333,108.333333333,19.4443333333,200.0,-194.444666667
220.47,-130.952666667,71.4283333333,-97.6193333333,183.333333333,119.047666667,11.9046666667,33.3333333333,171.428666667,-138.095333333
220.85,-53.7036666667,87.037,-85.1853333333,137.037,142.592666667,16.6666666667,48.1483333333,155.555666667,-51.8516666667
221.23,286.666666667,56.6666666667,406.666666667,-20.0,-30.0,86.6666666667,56.6666666667,-73.3333333333,280.0
221.61,250.0,79.1666666667,306.25,35.4166666667,45.8333333333,75.0,33.3333333333,12.5,233.333333333
221.98,200.0,76.389,275.000333333,83.3333333333,63.889,104.166666667,59.7223333333,68.0556666667,181.944333333
222.36,325.641,58.9743333333,510.256,125.641,117.948666667,89.7436666667,97.436,110.256666667,256.410333333
222.74,-706.666666667,-40.0,-1186.66666667,-193.333333333,-240.0,-120.0,-320.0,-273.333333333,-513.333333333
223.11,-215.151333333,78.788,-442.424333333,9.091,3.03033333333,3.03033333333,-69.6966666667,33.3336666667,-90.9086666667
223.49,-129.629333333,88.889,-614.815,3.70333333333,66.6666666667,18.5186666667,-44.4443333333,66.6666666667,-11.1106666667
223.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224.24,233.333333333,104.761666667,800.0,104.762,61.905,176.190333333,142.857333333,-80.952,209.524
224.62,666.666666667,466.666666667,4200.0,-400.0,-500.0,266.666666667,-166.666666667,-1333.33333333,1000.0
225.00,-1866.66666667,-1466.66666667,-4333.33333333,300.0,-333.333333333,-1266.66666667,-800.0,733.333333333,-2266.66666667
225.38,-1133.33333333,-1600.0,-2466.66666667,1200.0,266.666666667,-2066.66666667,-733.333333333,1533.33333333,-1066.66666667
225.75,-5.55533333333,-47.2223333333,-81.9443333333,65.2776666667,13.889,-66.6666666667,-19.4443333333,84.7223333333,-2.77766666667
226.13,12.8206666667,-15.3846666667,-7.692,85.8976666667,39.7433333333,-19.2306666667,1.28233333333,105.128333333,14.1026666667
226.51,33.3333333333,5.05033333333,30.3033333333,90.909,57.576,-13.1313333333,34.3436666667,105.050666667,11.111
226.88,19.355,4.301,31.1826666667,111.827666667,34.4086666667,-33.3333333333,31.183,84.946,-31.1823333333
227.26,10.8696666667,-4.34766666667,22.4636666667,87.6813333333,31.1596666667,-16.6666666667,44.9276666667,46.3766666667,-13.0433333333
227.64,-9.19533333333,-24.7126666667,4.59733333333,52.8736666667,10.345,-15.5173333333,28.1613333333,27.586,-27.586
228.01,-1.42866666667,-12.857,9.04766666667,35.238,13.3333333333,-5.71433333333,25.238,18.0953333333,-11.905
228.39,11.5786666667,5.96466666667,18.5966666667,40.351,28.07,12.2806666667,36.1403333333,32.2806666667,8.772
228.76,9.29,11.7486666667,16.6663333333,28.6886666667,25.1366666667,7.65,29.5083333333,25.6833333333,13.6613333333
229.14,6.82433333333,11.0236666667,16.798,25.1966666667,26.509,8.66133333333,28.3463333333,24.9343333333,16.798
229.52,3.09533333333,10.9523333333,5.71466666667,15.2383333333,25.9523333333,13.5713333333,24.2856666667,17.143,13.333
229.89,-2.60433333333,10.4166666667,1.823,9.37466666667,23.9583333333,10.4166666667,24.2186666667,16.927,5.46866666667
230.27,-9.13566666667,0.493666666667,-9.87633333333,7.16033333333,16.0493333333,2.46933333333,22.716,14.5676666667,-1.48133333333
230.65,-18.575,-7.63366666667,-19.3383333333,-3.30766666667,9.16033333333,0.254333333333,13.486,8.397,-6.87033333333
231.02,-19.2983333333,-7.268,-21.5536666667,-7.519,8.27066666667,-0.000333333333334,14.787,11.7796666667,-5.01266666667
231.40,-17.8666666667,-9.6,-27.4666666667,-22.9333333333,-1.6,-5.06666666667,6.13333333333,8.8,-11.2
231.78,-10.3536666667,4.798,-19.6966666667,-19.4446666667,5.303,-6.313,11.616,14.1413333333,-4.79833333333
232.15,-18.2253333333,-3.35733333333,-21.343,-24.4603333333,-1.67866666667,-14.3886666667,4.07666666667,3.597,-15.5876666667
232.53,-18.1156666667,-6.52166666667,-20.5313333333,-28.9856666667,-3.623,-13.768,-3.13966666667,-4.831,-17.1493333333
232.90,-25.0666666667,-17.6,-30.1333333333,-44.8,-14.6666666667,-18.4,-17.3333333333,-11.7333333333,-31.2
233.28,-23.3593333333,-9.71133333333,-23.3593333333,-38.3203333333,-16.0103333333,-14.9603333333,-14.698,-6.56166666667,-24.409
233.66,-14.3516666667,1.15733333333,-12.7313333333,-24.9996666667,-11.574,-2.08333333333,-5.55533333333,7.639,-16.898
234.03,-14.222,-1.33333333333,-9.111,-20.8886666667,-10.8886666667,-6.22233333333,-2.44433333333,4.0,-10.8886666667
234.41,-9.671,8.02466666667,-2.05733333333,-17.078,-8.02466666667,-3.498,-2.26333333333,5.55566666667,-3.90933333333
234.78,-10.3373333333,8.228,0.211,-14.557,-9.28266666667,-5.69633333333,-5.90733333333,9.07166666667,-7.59466666667
235.16,-7.85533333333,8.068,3.185,-14.8616666667,-5.73233333333,-4.88333333333,-3.39666666667,10.403,-3.609
235.54,-4.43133333333,13.4873333333,5.97266666667,-2.89033333333,1.734,1.15566666667,2.11933333333,16.5703333333,0.770666666667
235.91,-1.47333333333,11.786,8.103,1.289,1.47333333333,8.28766666667,1.105,14.549,0.368333333333
236.29,1.41833333333,15.9573333333,11.3476666667,3.72333333333,5.14166666667,15.248,6.02833333333,15.9576666667,5.49633333333
236.66,0.970666666667,14.2396666667,16.8283333333,6.79633333333,8.73766666667,15.2103333333,8.25233333333,18.932,6.63433333333
237.04,3.77666666667,14.1213333333,16.7486666667,11.494,11.0016666667,13.9573333333,14.1216666667,18.3906666667,10.5093333333
237.41,1.861,9.137,12.5213333333,7.95266666667,6.93733333333,10.6596666667,8.62933333333,16.0743333333,2.87633333333
237.79,1.375,6.014,12.0276666667,7.388,6.701,3.43633333333,5.32666666667,10.1373333333,-1.03066666667
238.17,4.71533333333,9.91866666667,12.1953333333,9.43066666667,8.618,7.31733333333,3.252,12.6833333333,1.95133333333
238.54,3.48266666667,4.146,0.663333333333,6.79933333333,8.45766666667,6.30166666667,3.64833333333,10.6133333333,2.156
238.92,2.222,3.25933333333,0.296333333333,4.0,8.148,4.0,5.48133333333,8.0,5.33333333333
239.29,5.20833333333,6.25033333333,-1.693,7.03133333333,10.547,4.167,5.72933333333,9.76533333333,8.20333333333
239.67,9.40766666667,7.66566666667,4.646,9.524,11.15,7.317,8.014,9.64,10.3366666667
240.04,4.95766666667,4.43033333333,4.32466666667,6.43466666667,8.12233333333,3.58666666667,6.43433333333,6.32933333333,8.01666666667
240.42,6.052,5.121,3.25866666667,8.28666666667,8.00733333333,4.097,9.77666666667,8.287,11.173
240.79,6.54766666667,6.54733333333,0.850333333333,7.653,5.44233333333,4.33666666667,9.01366666667,6.88766666667,10.3743333333
241.17,4.052,5.96333333333,-1.376,6.34533333333,3.74633333333,5.50466666667,7.11033333333,6.88066666667,8.63933333333
241.54,6.522,5.731,-1.44933333333,4.08433333333,5.07233333333,5.79733333333,9.48633333333,6.71966666667,9.42033333333
241.92,6.66666666667,4.99966666667,-1.607,3.393,4.94033333333,5.65433333333,9.76166666667,6.72633333333,9.881
242.29,7.07066666667,3.70366666667,-2.41333333333,2.52533333333,4.99433333333,5.49933333333,10.1573333333,7.01466666667,8.58566666667
242.67,7.44933333333,4.073,0.268333333333,3.00133333333,5.52,5.68066666667,9.96766666667,7.12733333333,9.48566666667
243.05,7.29333333333,3.33866666667,-0.513666666667,3.38966666667,5.34133333333,6.57433333333,9.86133333333,5.34166666667,8.88533333333
243.42,5.207,1.68466666667,0.153333333333,0.765666666667,3.01166666667,5.564,8.37166666667,3.06266666667,7.19766666667
243.80,1.11466666667,-1.168,-5.14866666667,-3.60966666667,-0.424666666667,2.76,5.67966666667,-0.477666666667,4.034
244.17,1.296,-0.829333333333,-6.11733333333,-4.40633333333,-0.466666666667,1.81433333333,4.51,-0.673666666667,4.147
