wavelength,Back_AniMelm,Belly_AniMelm,Breast_AniMelm,Crissum_AniMelm,Crown_AniMelm,DorTail_AniMelm,Patch10_AniMelm,Patch11_AniMelm,Patch12_AniMelm,Patch13_AniMelm,Patch14_AniMelm,Rump_AniMelm,Throat_AniMelm,WingTip_AniMelm
189.05,78.2893333333,76.974,50.329,55.921,63.5963333333,77.412,70.1753333333,82.237,33.3333333333,69.079,47.807,67.544,59.8683333333,82.6756666667
189.43,88.263,80.986,58.451,69.718,71.5963333333,82.629,78.6383333333,91.3146666667,39.906,80.2813333333,55.8686666667,72.3006666667,65.493,88.7323333333
189.81,85.211,80.2815,66.197,73.4743333333,74.413,83.3333333333,75.352,91.0796666667,38.028,84.0373333333,57.981,71.1266666667,65.9623333333,85.446
190.19,84.1493333333,80.7695,74.126,72.9603333333,76.4566666667,81.8183333333,76.4566666667,93.4733333333,31.4686666667,92.541,61.3053333333,70.3963333333,63.8693333333,85.0816666667
190.57,91.5343333333,84.127,80.5555,76.9843333333,81.4813333333,83.8626666667,74.868,100.264333333,28.836,102.116333333,63.2273333333,67.9893333333,64.8146666667,81.4816666667
190.95,95.929,85.878,87.4045,76.3356666667,88.0406666667,77.8626666667,71.756,97.71,31.8066666667,100.508666667,67.939,64.8853333333,66.6666666667,82.188
191.33,99.9996666667,88.489,93.5255,75.2996666667,88.729,76.019,65.7076666667,95.2036666667,36.6906666667,97.842,72.1823333333,66.9066666667,63.3096666667,84.4123333333
191.71,101.795,88.462,93.846,77.6923333333,86.6666666667,77.4356666667,60.7693333333,94.3586666667,32.8203333333,97.436,77.1796666667,63.5896666667,58.4616666667,84.359
192.09,101.643333333,84.859,94.366,77.9343333333,81.925,73.709,54.93,94.6006666667,34.9766666667,93.1923333333,76.9953333333,62.676,55.634,79.108
192.47,117.08,98.347,110.7435,86.7766666667,88.1543333333,74.1046666667,54.27,107.162666667,38.0163333333,106.887,94.4903333333,68.3193333333,61.4323333333,95.5923333333
192.85,117.404,92.478,107.965,80.826,79.056,64.8966666667,43.953,102.36,23.0086666667,100.295,92.0353333333,59.292,56.0476666667,93.215
193.23,124.242333333,98.182,120.0,89.697,88.788,71.2123333333,47.879,111.818333333,27.8786666667,113.333333333,98.7876666667,66.9696666667,63.9393333333,97.879
193.61,108.889,83.75,112.5,74.1666666667,82.7776666667,58.889,35.2776666667,98.3333333333,19.167,99.7223333333,84.1663333333,58.8886666667,53.8886666667,88.333
193.99,113.761333333,78.4405,114.2205,67.2783333333,77.9816666667,49.847,22.9356666667,91.743,14.0673333333,99.3883333333,83.792,56.575,45.566,90.8256666667
194.37,115.178666667,82.589,115.1785,77.381,77.0833333333,54.7616666667,20.238,88.393,25.0,94.0473333333,87.5,58.9283333333,50.5953333333,96.4286666667
194.75,111.979333333,82.422,114.844,79.6873333333,75.781,57.8123333333,30.208,84.8956666667,31.7706666667,93.75,83.3333333333,65.8853333333,49.2186666667,96.6146666667
195.13,104.902,77.9415,110.662,81.6176666667,71.3233333333,53.9216666667,29.1663333333,81.6173333333,34.559,99.2643333333,81.3723333333,66.4213333333,44.853,90.9316666667
195.51,107.179666667,78.8465,120.0,85.641,81.0256666667,59.2306666667,30.2566666667,84.8716666667,41.795,109.231,89.4873333333,66.4103333333,48.9743333333,93.59
195.89,110.617666667,85.926,120.7405,89.136,83.9506666667,56.0496666667,30.3703333333,80.2466666667,46.4196666667,109.382666667,84.6913333333,67.9013333333,53.827,94.321
196.27,114.470333333,84.884,127.907,92.248,86.8216666667,54.7806666667,36.434,77.5193333333,45.2196666667,113.953333333,81.3953333333,68.9923333333,54.7803333333,90.6976666667
196.65,111.940333333,85.0745,116.418,94.2783333333,88.5573333333,55.4726666667,37.811,75.871,46.269,109.950333333,81.0946666667,69.403,51.4926666667,78.8556666667
197.03,119.576666667,98.4125,125.7935,109.259333333,102.381333333,65.0793333333,44.9733333333,84.9206666667,56.6136666667,123.280333333,86.7726666667,73.2806666667,61.64,87.3016666667
197.40,116.949,87.288,124.153,104.519666667,102.259666667,53.6723333333,36.4406666667,76.8363333333,48.5876666667,114.971666667,83.898,62.9943333333,56.2146666667,84.4633333333
197.78,108.333333333,88.235,117.647,99.755,99.7546666667,55.3923333333,42.1566666667,76.2256666667,54.902,111.029333333,85.5393333333,64.2156666667,59.804,80.637
198.16,105.708,88.3565,117.808,97.7166666667,100.0,61.4156666667,51.1416666667,79.452,64.3836666667,112.328666667,86.073,67.58,63.6986666667,77.854
198.54,100.0,84.965,115.035,94.4053333333,98.6013333333,61.3053333333,51.282,79.254,62.471,109.557,82.0513333333,63.1703333333,65.035,73.1933333333
198.92,97.656,88.281,123.8285,98.177,107.552,61.719,51.8226666667,82.031,65.885,106.770666667,88.5413333333,63.281,73.6976666667,73.177
199.30,100.285,85.47,133.3335,96.866,112.250666667,62.678,51.282,82.906,69.801,99.43,92.0226666667,63.8176666667,80.057,73.2193333333
199.68,93.0933333333,76.126,122.5225,98.4986666667,103.904,48.9486666667,44.4443333333,71.1713333333,59.1593333333,83.7836666667,84.685,55.856,65.1653333333,69.67
200.06,87.4213333333,68.868,121.2265,96.2266666667,104.717,49.0563333333,43.3963333333,76.7296666667,62.2643333333,82.39,83.019,52.8303333333,57.547,67.61
200.44,83.1743333333,64.762,122.857,91.1113333333,109.206333333,46.3493333333,36.5076666667,83.1746666667,66.6666666667,81.9046666667,87.3013333333,51.111,59.9996666667,75.238
200.82,75.2776666667,57.917,125.4165,86.389,111.111,53.889,42.5,85.8333333333,75.2776666667,79.7223333333,84.1666666667,53.889,68.3333333333,77.7776666667
201.19,66.9293333333,46.4565,119.2915,82.4146666667,101.574666667,45.4066666667,38.845,77.9526666667,72.7033333333,72.1786666667,80.8396666667,49.869,59.58,69.2913333333
201.57,62.6263333333,47.7275,116.2875,85.606,99.7473333333,43.434,35.606,74.2426666667,74.4946666667,73.4846666667,79.293,53.5356666667,53.5353333333,65.1516666667
201.95,66.6666666667,50.0,137.0195,109.615333333,114.743666667,46.474,40.3846666667,80.1283333333,87.5,84.295,91.0256666667,61.5383333333,54.8076666667,69.5513333333
202.33,73.3333333333,57.059,158.235,136.862666667,136.078333333,49.0193333333,46.6666666667,92.157,101.568666667,97.6473333333,112.549,67.451,61.9606666667,79.6076666667
202.71,78.6326666667,50.0,161.5385,145.726666667,141.880333333,46.154,44.4446666667,93.5893333333,125.640666667,110.256666667,115.812,72.65,56.4103333333,79.4873333333
203.09,87.963,60.4165,162.5,160.185333333,146.296666667,46.2963333333,41.6666666667,95.8336666667,147.685,132.407333333,120.833666667,72.2223333333,53.7036666667,91.6666666667
203.47,100.504666667,76.515,174.2425,180.808,173.232,59.5956666667,45.4543333333,109.090666667,165.656333333,146.969333333,142.929,82.3233333333,56.5656666667,112.626
203.85,104.52,93.2205,181.356,186.440666667,198.305333333,71.7513333333,50.8473333333,125.988666667,183.050666667,145.197666667,157.627333333,94.9153333333,69.4916666667,109.604666667
204.22,94.5453333333,79.091,181.818,188.485,208.484666667,67.2726666667,42.4243333333,109.090666667,177.575666667,137.575666667,162.424333333,100.0,73.3336666667,102.424333333
204.60,94.2856666667,87.143,221.4285,264.762,277.143,62.8573333333,26.6666666667,100.952333333,241.905,157.143,209.524,137.142666667,55.2383333333,94.2853333333
204.98,124.358666667,134.615,236.538,325.641,306.41,24.359,-14.1026666667,65.3846666667,312.820666667,165.384333333,246.153666667,137.179666667,32.0513333333,101.282333333
205.36,161.538333333,186.5385,217.308,316.666333333,320.513,30.769,2.564,44.8716666667,335.897333333,153.846,250.0,147.435666667,44.8716666667,105.128
205.74,324.444333333,343.333,333.3335,537.777666667,548.889,60.0,28.8886666667,53.3333333333,593.333,195.555666667,437.777666667,208.889,104.444666667,184.444666667
206.12,224.637666667,243.4785,208.6955,344.927333333,372.463666667,39.1303333333,23.1883333333,34.7826666667,395.652333333,95.652,297.101333333,97.1016666667,81.1593333333,153.623333333
206.50,166.666666667,151.515,130.303,246.464666667,258.586,1.01,4.04033333333,13.1313333333,275.757666667,40.4043333333,177.778,65.6566666667,50.505,97.98
206.87,139.837333333,128.049,98.7805,202.439,217.073,-2.43933333333,14.6343333333,21.138,204.878333333,21.9513333333,156.910666667,65.0406666667,50.4066666667,95.1216666667
207.25,116.667,92.3915,85.8695,186.232,191.304333333,-0.724666666667,15.9423333333,14.493,182.608666667,14.493,127.536333333,64.493,52.174,69.5653333333
207.63,111.111333333,102.381,103.5715,200.0,205.555666667,-9.52366666667,24.6033333333,16.6666666667,200.793666667,15.8733333333,121.428333333,73.8093333333,53.1743333333,52.3806666667
208.01,119.444333333,96.875,112.5,187.5,197.222,4.861,44.4446666667,37.4996666667,210.416666667,54.861,118.055333333,76.389,60.4166666667,44.4446666667
208.39,145.833333333,115.625,134.375,206.944666667,205.555666667,6.25,63.8886666667,54.8613333333,242.361333333,61.1113333333,127.083333333,77.0836666667,75.0,44.4446666667
208.77,157.246666667,115.2175,159.7825,224.637666667,221.739333333,10.145,78.9856666667,70.29,263.768333333,68.116,135.507333333,66.6666666667,100.724666667,56.522
209.14,177.777666667,120.0,215.0,297.778,312.222,-27.7776666667,126.667,80.0,345.555333333,67.7776666667,176.666666667,75.5553333333,121.111,30.0003333333
209.52,177.778,83.3335,266.6665,376.190666667,388.889,-60.3173333333,158.730333333,130.158666667,469.841666667,73.016,222.222333333,66.6666666667,136.508,-9.52366666667
209.90,116.666666667,13.889,258.3335,337.037333333,400.0,-107.407333333,129.629666667,107.407333333,533.333333333,55.5556666667,177.777666667,16.6666666667,77.7776666667,-114.814666667
210.28,241.666666667,-350.0,725.0,1033.33333333,1416.66666667,-683.333333333,283.333333333,125.0,2258.33333333,25.0,466.666666667,16.6666666667,91.6666666667,-991.666666667
210.66,-83.3333333333,325.0,-483.3335,-533.333333333,-955.555333333,400.000333333,-233.333333333,-27.778,-1600.0,33.333,-405.555666667,50.0,-94.4446666667,727.777666667
211.03,16.6666666667,108.3335,-163.8885,-148.148,-305.555666667,177.777666667,-38.889,50.0,-535.185333333,50.0,-100.0,85.185,-18.5186666667,338.889
211.41,25.5556666667,95.0,-75.0,-44.4443333333,-153.333333333,162.222333333,-7.778,50.0003333333,-278.888666667,70.0,-43.3333333333,81.111,18.889,246.667
211.79,44.872,148.077,-1.923,-25.6413333333,-149.999666667,237.179666667,11.5383333333,96.154,-293.589666667,108.974333333,-26.923,112.820666667,60.2563333333,321.795
212.17,71.5686666667,147.059,13.235,-2.94133333333,-88.2353333333,225.490333333,45.098,110.784,-203.921666667,121.568666667,2.941,119.608,61.7646666667,246.078666667
212.55,89.394,139.773,39.773,22.727,-35.6056666667,180.303,63.6363333333,101.515333333,-138.636333333,109.091,15.9093333333,109.848666667,68.182,191.666666667
212.92,82.883,150.0,40.5405,20.7206666667,-40.5403333333,196.396666667,69.3693333333,113.513333333,-186.486333333,116.216333333,18.919,108.108333333,83.784,199.099
213.30,63.2476666667,139.7435,39.7435,12.8206666667,-32.4786666667,175.213666667,79.487,100.854666667,-188.889,111.111333333,29.0596666667,93.1623333333,76.9233333333,174.359
213.68,63.3333333333,136.25,41.25,10.0,-35.8333333333,190.0,103.333333333,115.833333333,-182.5,130.833333333,44.1666666667,95.0,93.3333333333,176.666666667
214.06,43.8596666667,113.158,13.158,-36.842,-56.1403333333,175.439,74.5613333333,88.5966666667,-200.877,116.667,12.2806666667,79.8246666667,50.0,135.964666667
214.44,37.9846666667,116.279,18.6045,-38.7596666667,-42.6356666667,169.767666667,73.6433333333,58.1396666667,-165.116333333,113.178333333,21.7056666667,77.5193333333,55.814,126.356666667
214.81,28.148,80.0,23.333,-42.2223333333,-39.259,167.407666667,77.037,46.6666666667,-140.740666667,100.741,35.5556666667,74.8146666667,63.704,112.592333333
215.19,18.5896666667,67.3075,25.0,-34.6153333333,-34.6153333333,148.718,66.0256666667,50.0003333333,-107.692333333,86.5383333333,28.2053333333,55.1283333333,57.0516666667,83.9743333333
215.57,7.75166666667,76.7445,12.791,-60.4653333333,-55.039,151.163,80.6203333333,44.186,-140.31,97.6743333333,13.178,54.2633333333,53.4883333333,75.969
215.95,14.9426666667,67.2415,2.586,-40.23,-20.6896666667,113.793333333,76.4366666667,33.333,-101.149666667,81.0343333333,29.3103333333,55.1723333333,37.3563333333,52.8733333333
216.32,10.215,45.1615,8.8705,-37.0966666667,-11.828,104.838666667,67.2043333333,35.484,-86.559,74.731,34.9463333333,44.0856666667,31.7203333333,49.4623333333
216.70,11.594,44.9275,18.8405,-22.2223333333,-17.3913333333,110.145,57.9713333333,40.58,-62.3186666667,81.6423333333,40.0966666667,40.5796666667,31.401,60.8696666667
217.08,28.75,50.625,35.625,-0.833333333333,-2.08333333333,116.666666667,63.75,53.3333333333,-29.1666666667,92.0833333333,43.75,48.75,36.6666666667,77.0833333333
217.46,33.3333333333,56.25,46.591,8.712,-5.92118946467e-16,109.469666667,60.606,60.606,-12.5,97.3483333333,42.4243333333,54.5456666667,49.2426666667,77.2726666667
217.83,27.8986666667,42.3915,32.065,6.884,-5.07233333333,92.029,48.5506666667,51.0866666667,-8.69566666667,92.029,35.5073333333,45.6523333333,41.3046666667,70.29
218.21,30.7116666667,48.8765,40.4495,23.221,-2.62166666667,97.004,59.925,54.6816666667,-5.99266666667,100.374666667,47.9396666667,43.071,53.9326666667,82.0226666667
218.59,33.333,52.1425,46.4285,29.524,-13.8093333333,114.762,68.095,64.762,-10.9523333333,125.714333333,59.0476666667,49.5236666667,60.476,90.476
218.97,53.846,78.4615,53.077,36.923,-4.61533333333,126.154,78.9746666667,83.5893333333,-13.3333333333,142.564,63.0766666667,60.5126666667,61.5383333333,106.153666667
219.34,58.1556666667,104.2555,68.0855,43.9716666667,-8.511,156.737666667,92.1986666667,86.525,-36.8793333333,189.361666667,94.3263333333,76.5956666667,80.142,143.262333333
219.72,55.5553333333,83.333,84.6155,40.171,-23.9316666667,179.487,78.6323333333,92.3076666667,-64.1026666667,223.077,105.128,81.1963333333,88.034,170.940333333
220.10,65.0793333333,109.524,126.1905,14.2856666667,-88.889,300.0,76.1906666667,128.571333333,-141.27,380.952333333,114.285666667,87.3016666667,119.047666667,273.015666667
220.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220.85,-68.6276666667,-100.0,-138.2355,70.5883333333,172.549,-280.392,-23.5293333333,-68.6276666667,235.294,-382.353,-45.0983333333,-58.8233333333,-137.255,-211.764666667
221.23,-24.4443333333,-30.0,-76.6665,66.6663333333,132.222,-112.222333333,-10.0,-2.222,174.444333333,-173.333333333,2.222,-13.3333333333,-62.2223333333,-64.4443333333
221.61,4.065,3.6585,-31.707,77.236,110.569,-60.9756666667,8.943,23.577,145.528333333,-97.561,20.3253333333,35.7723333333,-10.569,-18.699
221.98,-8.772,-22.3685,-72.3685,71.9296666667,107.017333333,-80.7016666667,3.50866666667,10.5263333333,156.140666667,-94.7366666667,18.421,35.0876666667,-14.9123333333,-28.9473333333
222.36,-7.40733333333,-26.389,-79.1665,100.0,118.518666667,-78.7036666667,21.2963333333,10.1853333333,184.259333333,-87.963,37.037,37.963,3.704,-12.037
222.74,-2.22233333333,-3.3335,-57.7775,90.3703333333,107.407333333,-51.111,31.852,11.1113333333,157.037,-49.6293333333,41.4813333333,42.9633333333,11.8516666667,2.963
223.11,-2.70266666667,0.0,-112.162,83.7836666667,115.315333333,-78.3783333333,10.8106666667,0.901,166.666666667,-84.6846666667,25.2253333333,39.6396666667,-18.018,-10.811
223.49,-36.559,3.226,-153.226,103.225666667,126.881666667,-103.226,1.07533333333,-23.6556666667,177.419,-105.376333333,51.613,41.9353333333,-23.656,-7.52666666667
223.87,-35.135,-14.865,-124.3245,86.4863333333,100.0,-84.6846666667,-1.80166666667,-12.6126666667,152.252333333,-86.4863333333,39.64,44.144,-20.7206666667,27.928
224.24,-9.804,6.863,-80.392,66.013,81.046,-48.366,-5.22866666667,-8.49666666667,118.300666667,-62.0913333333,23.5293333333,35.2943333333,-16.9933333333,43.1376666667
224.62,13.793,18.9655,-55.1725,67.816,76.4366666667,-27.0113333333,-0.574666666667,8.62066666667,114.367666667,-44.8276666667,18.3906666667,47.1266666667,8.046,56.322
225.00,16.402,15.873,-42.857,84.127,61.9046666667,-15.873,5.291,22.2223333333,100.0,-37.566,14.8146666667,49.7356666667,21.693,56.6136666667
225.38,6.111,14.1665,-50.0,80.0003333333,52.222,-24.4443333333,2.778,17.7776666667,81.1113333333,-50.0,7.77766666667,47.2223333333,14.9996666667,47.222
225.75,-2.28333333333,8.219,-36.9865,66.6666666667,33.3333333333,-21.461,-2.73966666667,6.84933333333,56.621,-38.8126666667,-5.47933333333,24.6576666667,9.589,32.4203333333
226.13,-5.55566666667,10.9375,-19.271,54.514,22.9166666667,-14.2363333333,-0.694333333333,5.55566666667,42.014,-25.6943333333,-2.43066666667,19.7916666667,14.583,37.1526666667
226.51,-6.71833333333,7.752,-10.0775,41.3436666667,17.0543333333,-7.235,0.516666666667,2.584,29.9743333333,-19.38,-0.516666666667,18.6046666667,12.1446666667,31.783
226.88,-8.10166666667,1.7365,-10.4165,36.8056666667,8.56466666667,-9.72233333333,0.231666666667,-3.00933333333,24.7683333333,-19.4443333333,-3.00933333333,14.815,13.1943333333,27.546
227.26,-1.06366666667,8.5105,5.0535,36.702,10.2836666667,0.709333333333,10.6383333333,5.49666666667,24.1136666667,-6.73733333333,0.886333333333,22.1633333333,19.326,29.61
227.64,1.97866666667,10.5025,7.991,30.5936666667,10.35,3.044,11.5676666667,7.15366666667,22.0696666667,-4.262,-0.913333333333,22.831,18.417,28.0063333333
228.01,-1.26033333333,10.084,7.9835,24.0896666667,9.52366666667,2.241,8.54366666667,2.941,16.9466666667,-5.602,-3.36133333333,18.067,13.7256666667,22.689
228.39,-5.36833333333,6.9285,5.618,17.3533333333,6.86633333333,1.498,7.99,0.873666666667,11.9853333333,-3.121,-6.242,12.1096666667,9.73766666667,14.357
228.76,-7.24666666667,5.5185,4.348,13.3776666667,4.90533333333,1.338,7.46933333333,-0.557333333333,10.591,-2.22966666667,-7.35766666667,8.807,5.35133333333,11.5943333333
229.14,-6.12466666667,3.1625,4.8195,7.83133333333,3.514,0.100333333333,6.42566666667,-0.904,9.036,-3.213,-8.13266666667,7.53,3.715,10.4416666667
229.52,-1.97633333333,6.0645,7.1425,11.5906666667,5.21133333333,3.41433333333,10.9613333333,3.414,12.5786666667,-1.168,-5.75033333333,10.6016666667,5.84033333333,14.0163333333
229.89,-2.22766666667,8.911,6.931,11.4686666667,6.93066666667,4.04266666667,10.9736666667,6.353,14.3563333333,-0.412333333333,-3.05266666667,12.9536666667,8.086,14.934
230.27,0.316666666667,8.9075,7.0075,11.2433333333,7.20533333333,3.87966666667,11.956,7.91733333333,15.1226666667,0.079,-3.959,13.2226666667,8.86766666667,14.4103333333
230.65,2.98166666667,11.1235,9.289,11.315,7.64533333333,5.428,12.7676666667,10.78,14.6786666667,2.217,-2.905,14.3733333333,9.32733333333,15.902
231.02,5.22433333333,14.68,13.1345,11.9206666667,10.007,9.27166666667,14.4223333333,13.3186666667,16.7036666667,5.88666666667,0.441333333333,16.5563333333,9.934,18.3223333333
231.40,5.11666666667,15.6885,12.3025,10.8353333333,9.857,8.65333333333,14.1456666667,13.5443333333,17.0803333333,6.92233333333,0.827666666667,14.0706666667,8.87866666667,19.8646666667
231.78,5.01166666667,16.059,12.984,12.149,10.1743333333,8.96,14.503,13.9713333333,18.8306666667,8.12466666667,0.987,13.5913333333,8.656,21.1086666667
232.15,5.31533333333,17.3125,12.4145,12.908,8.58,8.35233333333,14.4266666667,14.123,19.5896666667,9.871,1.74633333333,14.9583333333,11.0096666667,21.2603333333
232.53,5.62066666667,17.564,12.9975,14.832,8.04033333333,8.97733333333,15.2223333333,13.9736666667,20.3743333333,9.75833333333,3.90333333333,16.5496666667,12.178,23.6533333333
232.90,6.73133333333,18.3695,15.45,15.0853333333,9.24533333333,8.84033333333,16.464,13.8683333333,21.4923333333,11.4356666667,5.43366666667,17.5183333333,11.9223333333,26.196
233.28,8.64766666667,23.1135,17.453,17.453,12.8143333333,9.90566666667,18.632,12.657,23.1916666667,15.0156666667,8.648,18.0033333333,12.9713333333,27.1226666667
233.66,8.64766666667,23.231,17.6885,16.4306666667,13.915,8.25433333333,17.5316666667,11.3993333333,22.3266666667,17.06,8.56933333333,15.566,12.4996666667,26.4936666667
234.03,9.29866666667,21.395,17.6125,15.918,13.3963333333,8.905,15.7603333333,10.5596666667,21.2766666667,15.8393333333,8.03766666667,11.6626666667,10.5593333333,26.1623333333
234.41,9.32133333333,21.812,18.2325,15.9583333333,14.6906666667,11.4093333333,16.0326666667,10.7383333333,20.507,16.4056666667,10.44,11.7076666667,10.44,27.0693333333
234.78,8.09633333333,21.2255,16.74,15.0256666667,13.056,10.0656666667,16.7033333333,8.82566666667,20.0583333333,15.901,8.461,9.774,9.11766666667,25.8933333333
235.16,8.29666666667,21.586,14.5375,15.7856666667,13.5093333333,9.104,16.3733333333,9.545,18.9426666667,15.345,8.517,8.22333333333,9.76466666667,26.652
235.54,10.0643333333,21.8415,14.775,17.6303333333,16.1313333333,10.6356666667,17.8443333333,12.5623333333,19.1293333333,16.131,10.8493333333,11.6343333333,12.0626666667,27.6943333333
235.91,11.0423333333,19.9795,14.5965,17.8053333333,16.287,12.4223333333,16.701,11.5943333333,17.9436666667,15.0446666667,11.387,11.9393333333,12.2153333333,27.191
236.29,10.582,17.361,13.393,15.5426666667,16.1376666667,12.8306666667,15.41,10.8466666667,14.6826666667,12.963,11.111,10.7803333333,9.987,26.786
236.66,11.283,17.021,12.8625,15.087,16.0543333333,13.862,15.0866666667,11.6053333333,13.862,12.7663333333,10.5096666667,11.0896666667,9.60666666667,26.8856666667
237.04,11.407,17.4905,12.8325,14.4486666667,16.0333333333,14.7653333333,14.0683333333,12.0403333333,12.421,11.597,10.3296666667,11.2803333333,10.3926666667,25.8556666667
237.41,9.71133333333,14.862,10.63,12.2046666667,14.239,15.0263333333,11.7456666667,11.9426666667,10.827,9.71133333333,8.66166666667,11.0893333333,8.98966666667,25.525
237.79,7.40733333333,10.916,9.649,10.4613333333,11.371,14.4896666667,10.4613333333,9.94133333333,7.92733333333,5.653,7.01766666667,9.61666666667,5.783,21.6373333333
238.17,7.74766666667,12.207,9.082,9.63566666667,10.9376666667,13.2813333333,10.8073333333,8.659,7.031,6.11966666667,6.901,10.612,5.01333333333,21.8096666667
238.54,6.93066666667,10.99,6.832,8.647,8.713,11.353,8.647,5.94033333333,5.08233333333,4.88466666667,4.09233333333,9.307,2.44233333333,20.0
238.92,4.87166666667,9.1345,4.327,6.66633333333,6.66666666667,9.295,5.32066666667,3.91033333333,4.03866666667,2.88466666667,3.39733333333,7.564,0.384666666667,16.9873333333
