wavelength,Back_AniMelm,Belly_AniMelm,Breast_AniMelm,Crissum_AniMelm,Crown_AniMelm,DorTail_AniMelm,Patch10_AniMelm,Patch11_AniMelm,Patch12_AniMelm,Patch13_AniMelm,Patch14_AniMelm,Rump_AniMelm,Throat_AniMelm,WingTip_AniMelm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,500.0,600.0,100.0,433.333333333,-33.3333333333,733.333333333,1000.0,833.333333333,933.333333333,500.0,33.3333333333,1033.33333333,300.0,866.666666667
179.16,300.0,200.0,900.0,766.666666667,533.333333333,-500.0,-166.666666667,133.333333333,66.6666666667,300.0,733.333333333,66.6666666667,266.666666667,133.333333333
179.54,93.3333333333,35.0,140.0,140.0,130.0,63.3333333333,50.0,53.3333333333,73.3333333333,46.6666666667,146.666666667,70.0,73.3333333333,66.6666666667
179.93,233.333333333,100.0,400.0,322.222333333,288.888666667,44.4446666667,133.333333333,-100.0,88.889,200.000333333,222.222333333,66.667,177.777666667,188.889
180.31,133.333333333,154.167,-412.5,-94.4443333333,-358.333333333,311.111,225.0,194.444333333,130.555666667,-77.7776666667,-252.777666667,225.0,172.222333333,138.889
180.69,166.666666667,193.75,-706.25,-220.833333333,-583.333333333,458.333333333,345.833333333,220.833333333,116.666666667,-187.5,-433.333333333,291.666666667,187.5,225.0
181.07,57.7776666667,60.0,-393.333,-175.555666667,-291.111333333,215.555333333,137.778,80.0003333333,-33.3333333333,-146.667,-204.444666667,111.111,111.111,77.778
181.45,91.111,66.667,-380.0,-82.2223333333,-248.889,200.0,155.555666667,102.222,-40.0003333333,-115.555666667,-146.666666667,148.888666667,151.111,111.111
181.83,103.226,79.0325,-133.871,24.7313333333,-60.215,158.064666667,117.204333333,82.7956666667,27.957,-8.60233333333,3.22566666667,112.903666667,109.677333333,93.5483333333
182.21,114.073666667,115.5555,-32.222,71.111,-12.5926666667,146.667,125.185333333,77.778,48.148,30.3703333333,37.0373333333,98.5183333333,114.815,102.222
182.59,89.0803333333,110.3445,-6.8965,70.6896666667,5.747,123.563333333,104.597666667,73.5633333333,34.4826666667,27.5863333333,44.2526666667,71.2643333333,97.7013333333,93.678
182.97,106.061,138.182,-10.0,70.909,23.0303333333,133.333333333,109.091,96.3636666667,36.9693333333,37.5756666667,56.3636666667,77.5756666667,110.303,107.272666667
183.35,103.825333333,130.328,-18.8525,63.388,27.8686666667,121.857666667,98.907,93.9893333333,31.1476666667,48.634,60.109,73.224,100.0,120.764666667
183.73,102.02,113.6365,-21.97,57.0703333333,33.8383333333,114.646333333,92.424,89.899,15.6566666667,42.9293333333,67.1716666667,70.707,100.505,116.161666667
184.11,121.818,118.182,-20.0,61.8183333333,56.97,139.394,106.060666667,116.969666667,9.091,46.0606666667,83.6366666667,84.8486666667,101.818,119.394
184.49,122.222333333,128.704,-9.2595,61.7283333333,72.8393333333,146.296,106.79,130.247,5.55533333333,38.889,95.6786666667,91.3576666667,109.876666667,122.839333333
184.87,109.231,109.231,0.0,52.8203333333,67.6923333333,126.153666667,91.282,118.974333333,11.2823333333,35.8973333333,85.1283333333,84.1026666667,114.871666667,112.307666667
185.25,121.164,126.1905,5.5555,56.0843333333,65.6083333333,134.920666667,92.5926666667,126.455,17.9893333333,38.6243333333,81.4816666667,86.2433333333,114.285666667,122.222
185.63,104.819333333,115.663,17.4695,47.3896666667,62.651,113.253,78.3133333333,113.253,18.8756666667,33.735,68.675,71.0843333333,93.5743333333,108.433666667
186.01,101.532333333,104.023,17.2415,40.9963333333,60.536,98.4673333333,70.1146666667,111.111,13.7933333333,22.9886666667,59.387,67.816,88.889,105.364
186.39,91.0653333333,80.928,7.2165,29.5533333333,61.512,85.567,58.763,99.6566666667,8.24766666667,19.9313333333,56.7006666667,66.6666666667,75.945,102.749333333
186.77,89.796,72.449,1.531,28.5713333333,57.1426666667,86.3946666667,55.7823333333,95.5783333333,8.84366666667,24.1496666667,51.3606666667,70.0683333333,74.49,102.380666667
187.15,83.5253333333,60.9195,-2.299,23.755,47.5096666667,82.7583333333,54.7893333333,92.7203333333,-4.21433333333,21.073,41.7626666667,66.2833333333,78.544,99.617
187.53,80.198,56.9305,22.2775,29.7026666667,54.1253333333,80.198,64.6863333333,91.7493333333,1.65033333333,33.3333333333,43.8943333333,66.0063333333,79.5376666667,85.4786666667
187.91,78.548,64.3565,29.208,33.6633333333,60.066,82.838,66.0066666667,91.4193333333,8.581,43.5643333333,44.5546666667,63.0363333333,76.5673333333,88.119
188.29,68.783,61.508,34.9205,34.127,55.5556666667,74.6033333333,63.7566666667,76.7193333333,14.5503333333,47.619,35.979,55.8203333333,67.4603333333,82.0106666667
188.67,74.3053333333,67.361,45.139,46.528,62.037,75.926,67.824,78.704,28.472,62.5003333333,42.8243333333,64.1203333333,64.5833333333,84.0276666667
