wavelength,Back_TanLarf,Belly_TanLarf,Breast_TanLarf,Crissum_TanLarf,Crown_TanLarf,DorTail_TanLarf,Patch10_TanLarf,Patch11_TanLarf,Patch12_TanLarf,Patch13_TanLarf,Patch14_TanLarf,Patch15_TanLarf,Rump_TanLarf,Throat_TanLarf,WingTip_TanLarf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-16.6666666667,-116.666666667,-241.666666667,-283.333333333,0.0,-216.666666667,16.6666666668,83.3333333336,-316.666666666,-99.9999999999,75.0,-133.333333333,141.666666666,-108.333333334,-650.0
179.16,202.777666667,80.5555833332,208.33325,174.999833333,177.778,86.1111666665,-8.33333333325,63.8888333332,13.8887500001,69.4444166665,286.111,47.22225,250.0,161.111166667,27.7779999999
179.54,44.4445,27.7778333333,47.2221666667,32.63875,44.4444166666,22.9166666666,27.77775,36.8055,32.6388333333,24.3055,36.8055,21.5278333333,45.1388333333,39.5835,22.9167500001
179.93,20.83325,11.1110833333,36.8054166666,-7.63883333333,32.6389166667,9.02783333334,6.9443333333,34.02775,8.33333333333,17.3611666667,2.77774999998,22.2221666667,15.9721666667,45.139,16.6666666667
180.31,50.9869166667,51.5351666667,69.8465,35.3070833333,55.8114166667,29.60525,38.5965833333,49.671,32.89475,40.1315,47.9165833333,16.1185,81.7981666665,70.6139166667,24.9999166666
180.69,49.7190833333,51.5918333332,64.9811666667,32.9589166667,56.3670833333,31.55425,38.1086666667,48.50175,30.7115833334,38.6704166666,46.91,17.6965833333,77.2472500001,70.8801666667,25.6554166667
181.07,51.5325833333,54.1187500001,72.3181666667,36.207,57.1840833333,36.5901666667,37.83525,46.5516666667,35.2490833333,39.84675,49.4251666667,18.19925,77.7779166667,78.2566666666,34.6743333333
181.45,41.9475,49.43825,67.7903333333,27.9025833333,48.4081666667,34.08225,37.7341666667,43.6330833334,31.3671666667,34.2696666667,35.9550833333,14.6069166667,68.4456666667,72.75275,32.9588333334
181.83,35.5485,51.0547499999,71.6244166667,22.1519166667,45.7805833333,31.2235833333,38.0800833333,38.8185,29.0084166667,31.43475,34.0716666667,9.07183333335,70.7805833334,75.6330000001,28.7975
182.21,39.15675,57.0280000001,74.8996666666,28.51425,44.8795833333,34.739,41.2650833333,40.1606666667,33.9356666667,31.8273333333,39.3573333333,9.43775000001,72.59025,75.5019999999,30.5221666667
182.59,43.4211666667,59.4737499999,73.2455833333,34.3859166666,48.4210833333,41.5789166667,43.8596666667,44.2105,41.49125,37.9825,44.2106666667,17.6315,69.8245,74.8245833334,34.91225
182.97,36.71875,54.5140833334,67.5346666666,24.39225,43.4028333333,30.0346666667,38.8889166667,37.15275,31.8575833333,31.2498333333,34.375,14.58325,60.5903333334,64.7568333334,24.3924166666
183.35,29.65675,50.0818333334,58.08825,21.0785,36.1929166667,25.9805,34.55875,32.67975,27.1241666667,26.5521666667,33.33325,13.562,53.34975,51.5523333333,16.5031666667
183.73,24.0385,42.7083333332,53.20525,18.9904166666,25.40075,20.5929166667,31.7306666667,23.9583333333,23.07675,20.5128333333,27.00325,9.21466666667,47.1955,45.032,11.0575833333
184.11,17.56275,39.7849999999,49.1039166667,13.9784166667,15.7706666667,13.172,29.9284166667,13.7096666667,18.9069166667,9.22941666667,22.7598333333,-1.16483333333,43.6379166666,39.6056666667,2.15058333333
184.49,12.92125,34.1760833333,44.4756666667,10.39325,7.58424999999,3.83899999999,26.2173333334,6.55441666667,19.7565833333,0.18733333335,16.7603333333,-7.86508333333,37.7340833333,36.7976666667,-5.52441666665
184.87,4.05991666667,28.312,42.20075,4.70083333333,-2.88475000001,-5.76925000001,20.6195833334,-0.961666666675,19.0171666667,-8.65383333335,10.7905,-17.4145833333,32.1581666666,27.3505,-17.094
185.25,8.68783333336,28.9895,36.8794166667,10.8155833333,3.90066666668,-3.45741666667,23.5815,4.6985,23.2268333333,0.975083333325,12.2339166667,-10.6383333333,31.9149166667,25.3545833333,-12.5003333333
185.63,19.5195833333,34.68475,37.16225,21.0211666666,12.913,-0.375333333325,30.18025,10.0601666667,30.5555833333,11.3363333333,21.7718333333,-2.40225000002,34.9098333333,31.3814166667,-2.70258333333
186.01,23.0478333333,35.4355,34.3844166667,23.4234166667,12.23725,-0.450416666665,29.054,9.30925,26.8770833333,12.8378333333,19.6696666666,-4.05416666668,31.3814166667,30.4804166667,-1.80175
186.39,13.3646666667,28.6950833333,24.1350833333,16.6665833333,4.71683333333,-10.7704166667,23.3491666667,3.14466666668,20.5973333333,7.07541666668,9.90566666669,-12.893,26.4151666666,23.0345833333,-10.22
186.77,13.4354166667,31.5476666666,25.1701666667,15.9864166667,4.76199999999,-13.3505,25.9353333333,5.52708333332,20.7481666667,8.50333333334,9.52375,-15.391,29.16675,22.5340833333,-11.3946666667
187.15,15.0,32.7776666667,24.2593333333,22.3148333333,-0.83341666665,-8.42583333336,28.8888333334,7.68525,27.4075,11.1110833333,14.9999166667,-15.7406666667,32.0370833333,25.3704166667,-7.31475
187.53,20.926,33.3335833333,27.3148333333,26.6666666667,-2.31466666666,-6.29633333331,33.0555,12.0370833333,33.5184166668,17.6853333333,18.8888333334,-10.8333333333,35.926,32.9629166667,-0.27775
187.91,27.5774166667,41.8384166667,36.9413333334,32.5601666666,9.19233333333,7.38841666666,37.4569166667,25.945,38.4020833333,26.71825,26.9760833333,5.32641666666,41.66675,38.3161666667,11.3400833333
188.29,23.10225,36.4688333333,33.91075,25.9076666667,10.8911666667,6.60058333336,30.77575,28.0529166667,33.4981666668,24.5874166667,23.5974166667,5.11541666666,36.79875,35.8911666666,7.01308333335
188.67,22.0485833333,33.7673333333,31.59725,22.8298333333,6.51041666667,8.59391666666,27.6910833333,27.7776666666,29.3405,23.4373333334,19.0973333334,4.60075000002,31.3368333334,32.8993333334,0.434
189.05,26.7295,38.915,35.0628333333,28.3805833333,9.7485,15.2515833334,32.547,34.04075,31.3678333333,25.62875,23.11325,10.2201666667,36.3993333334,36.7924166667,7.31141666667
189.43,20.252,38.0813333333,34.6899166667,23.1589166667,-0.775333333318,9.98058333333,28.2945833333,34.0115833333,26.6473333333,16.3759166667,16.56975,4.74816666667,35.5619166667,35.0773333334,1.938
189.81,11.194,41.6666666667,38.55725,18.2835,-13.55725,14.55225,25.9949999999,43.5324166667,28.6068333334,8.83074999999,11.5671666667,0.621916666668,39.55225,33.0845833333,-4.7265
190.19,3.38166666664,33.8162500001,36.4735,12.92275,-19.5650833333,8.57516666668,16.9080833332,41.425,28.62325,0.12075,7.72941666665,0.724666666667,40.3380833333,23.1883333333,-7.24633333333
190.57,7.58699999998,36.3183333333,45.3980833334,17.2884166667,-16.54225,19.02975,18.9055000001,41.2935,31.4676666666,0.248666666675,17.164,4.72625,44.2785833333,22.637,-2.73608333332
190.95,-8.70108333335,20.5883333333,29.41175,3.55391666666,-28.43125,10.90675,3.92149999998,25.36775,19.3629166667,-18.5049166667,6.24999999999,-11.2745,28.1863333334,6.74016666665,-8.57841666665
