wavelength,Back_PhrFrum,Belly_PhrFrum,Breast_PhrFrum,Crissum_PhrFrum,Crown_PhrFrum,DorTail_PhrFrum,Patch10_PhrFrum,Patch11_PhrFrum,Rump_PhrFrum,Throat_PhrFrum,WingTip_PhrFrum
192.09,-276.05545,-292.8889,-171.111133333,-157.975222222,-183.7778,-312.888866667,-253.333333333,-235.777866667,-336.222266667,-253.3334,-303.555533333
192.47,-2850.41666667,-3180.0,-2073.33333333,-1900.55555556,-2130.0,-3283.33333333,-2740.0,-2475.0,-3228.33333333,-2616.66666667,-2976.66666667
192.85,1505.83333333,1664.66666667,1104.0,1062.88888889,1184.0,1581.33333333,1377.33333333,1285.33333333,1556.0,1298.66666667,1478.66666667
193.23,430.958333333,458.166666667,324.0,328.703703704,370.5,426.666666667,381.333333333,379.333333333,422.333333333,382.0,397.666666667
193.61,1414.86113333,1527.77773333,1016.66673333,1079.56794815,1262.22233333,1418.88886667,1247.77786667,1200.5554,1367.77783333,1251.11126667,1228.88893333
193.99,-3916.25,-4468.33333333,-2866.66666667,-2981.11111111,-3686.66666667,-4126.66666667,-3740.0,-3243.33333333,-3955.0,-3613.33333334,-3443.33333333
194.37,465.882458333,527.451033333,352.549,377.625255556,434.705766667,480.0,474.901933333,376.274566667,481.176433333,465.490266667,422.745
194.75,213.953525,241.472966667,174.7286,195.202414815,209.612433333,230.077533333,232.558133333,179.147333333,226.5116,220.31,208.6822
195.13,206.411741667,228.639466667,173.333266667,186.477692593,205.306066667,219.7278,231.700666667,173.469366667,215.3742,219.3198,199.183533333
195.51,244.541666667,272.083333333,202.5,223.259259259,242.75,257.5,276.166666667,203.333333333,248.666666667,263.166666667,221.833333333
195.89,189.65385,213.948666667,165.0258,180.11382963,196.359,193.641,209.948866667,165.435833333,191.8461,201.641,176.718066667
196.27,238.280008333,270.2128,203.262333333,220.685618518,252.1276,237.021333333,265.248266667,218.297733333,239.2198,246.383,219.2908
196.65,381.6,468.0,331.466666667,368.251851852,421.6,391.2,440.533333333,357.6,387.333333333,405.333333333,366.666666667
