wavelength,Back_ThrCypf,Belly_ThrCypf,Breast_ThrCypf,Crissum_ThrCypf,Crown_ThrCypf,DorTail_ThrCypf,Patch10_ThrCypf,Patch11_ThrCypf,Rump_ThrCypf,Throat_ThrCypf,WingTip_ThrCypf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-459.999999999,-613.333333334,-320.0,-433.333333334,-646.666666667,-320.0,-460.000000001,-286.666666667,-713.333333335,-486.666666667,-186.666666667
179.16,-106.666666667,-80.6666666667,-114.0,-96.6666666665,-86.0,-48.6666666667,-92.0000000001,-76.0000000001,-92.6666666666,-57.3333333333,-80.6666666667
179.54,146.666666667,93.3333333335,250.0,211.666666667,96.6666666667,170.0,201.666666667,183.333333333,223.333333333,210.0,251.666666667
179.93,1.7544,3.5527136788e-16,6.31573333333,25.2632666666,8.07019999999,10.8772,19.6490666667,7.36846666668,5.96486666666,15.7894666667,10.8772666667
180.31,-22.1333333333,-20.8000000001,-55.7333333334,-42.5333333333,9.73333333334,-5.06666666666,-13.0666666667,-12.0,-39.4666666666,-7.73333333336,-42.1333333334
180.69,-26.9281333334,-25.2288000001,-64.0523333333,-47.3202,-4.70586666667,-9.93459999999,-23.3985333333,-15.2942,-52.1568666667,-14.5096,-45.7516666667
181.07,-72.7536666666,-72.8986000001,-114.202866667,-88.4057333333,-44.4927333333,-48.8404666667,-66.0870666667,-53.7681333333,-102.608666667,-52.7535999999,-87.5361999999
181.45,-70.0902,-77.2971333333,-123.423333333,-103.603666667,-33.8738666667,-53.6935333333,-59.9999999999,-49.0090000001,-109.3694,-51.7116666667,-94.7747999999
181.83,-56.3158000001,-56.3159333334,-99.6491333335,-79.1228666666,-16.6666,-24.0351333333,-37.0176000001,-30.1754000001,-79.9999999999,-17.3684666667,-68.2456
182.21,-97.7778000001,-103.492133333,-226.6666,-181.5874,-36.8252000001,-76.8254666665,-95.5553999999,-83.1746000001,-162.2222,-62.8571999999,-159.999933333
182.59,-355.833333333,-382.500000001,-725.833333334,-658.333333333,-231.666666667,-331.666666667,-361.666666667,-363.333333333,-515.833333333,-315.0,-541.666666666
182.97,-396.190533333,-459.999933333,-807.619000001,-744.761933333,-252.381066666,-431.4286,-422.857133333,-416.190533333,-556.1904,-406.666733334,-601.904733333
183.35,325.333333333,406.0,662.0,600.0,275.333333333,430.666666667,385.333333333,392.0,510.0,360.666666667,508.666666667
183.73,96.6665999999,130.740866667,199.629533333,176.4814,95.7408666667,137.5926,120.370333333,116.296333333,158.703733333,110.740666667,139.259266667
184.11,497.777733335,674.444400001,1150.00013333,977.777733333,584.4444,762.222199999,652.222133333,586.666666666,863.333333332,617.777733334,770.0
184.49,496.190466667,589.523866667,1111.42853333,888.5714,635.238066667,719.047533333,599.047466667,581.904666667,831.428600001,619.047466666,767.619000001
184.87,174.871866667,210.0,352.051333333,286.666666667,195.8976,243.846,197.692266667,198.7178,263.846066667,215.3846,259.743666667
185.25,123.846133333,172.820533333,313.333466667,264.8718,172.820466666,193.8462,153.5898,156.923266667,223.076866666,183.5898,225.8974
185.63,162.318733333,222.3188,378.550666667,326.666733333,223.768133333,245.507266667,208.6956,198.8406,288.9854,245.507266667,293.913133333
186.01,113.333333333,178.0952,267.809466667,240.761933333,171.999933333,196.190533333,150.285866667,148.000133333,209.142933333,202.857066667,212.571333333
186.39,94.2139333333,140.8804,189.811333333,178.4906,133.9622,141.6354,116.226266667,110.817666667,151.8238,146.1636,148.3018
186.77,72.8205333335,106.769266667,149.435866667,142.7692,100.820533333,108.102666667,89.6410000001,84.9231333333,121.333266667,111.589866667,112.512733333
187.15,67.2465333333,101.7392,147.922733333,135.6522,99.5167999999,98.9372666666,86.57,79.6135333333,109.758333333,108.599,107.053133333
