wavelength,Back_XenParm,Belly_XenParm,Breast_XenParm,Crissum_XenParm,Crown_XenParm,DorTail_XenParm,Patch10_XenParm,Rump_XenParm,Throat_XenParm,WingTip_XenParm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-220.833333334,-25.0,99.9999999998,37.4999999997,-125.0,-62.4999999999,-125.0,-16.6666666667,-12.5000000001,-62.4999999999
179.16,68.0556666667,40.97225,35.4166666667,21.5278333334,60.4166666667,49.9999166667,43.75,22.9166666667,38.8889166667,38.8890416667
179.54,76.3889999999,31.9444166667,65.2778333334,48.6110833333,106.944416667,73.6111666666,79.1668333333,37.5000833333,104.166833333,62.4999583333
179.93,85.2880833334,46.6048333334,57.5101666667,58.7448333333,89.3004166666,47.7366666667,59.1564166667,58.2304166667,73.3539166667,43.9815416667
180.31,80.7691666667,41.0256666666,52.74725,56.0438333333,84.6153333333,45.055,53.022,53.29675,68.1319166666,38.0036666667
180.69,75.8257500001,43.6185833333,54.80475,59.4595,81.9070833333,47.4475833333,51.27625,55.6305833333,67.4925833333,36.4488333333
181.07,75.2708333333,46.0704166667,56.9105,63.1436666667,82.9945833333,47.0188333333,52.7100833333,60.7045833333,69.851,36.6869166667
181.45,77.7777499999,44.4445,53.9295,66.0569166667,81.8428333334,45.1218333333,49.66125,60.7723333333,69.1735,32.4864166667
181.83,66.3251666666,31.8305,37.7730833333,56.899,66.5301666667,32.4453333333,36.8851666667,46.17475,57.6505,16.2567916667
182.21,67.4603333334,36.5740833333,38.88875,57.9365,64.7485833333,36.6403333333,38.6903333333,47.2884166667,58.73025,19.2792083333
182.59,69.0943333333,42.5196666666,38.5826666667,56.496,64.5013333334,43.6351666667,40.2888333333,51.1810833334,59.12075,19.0290833333
182.97,63.6364999999,37.8786666667,34.5959166666,53.0301666666,58.0808333333,41.22475,33.3333333333,46.4015,53.4721666667,15.4041666667
183.35,58.8235833334,32.8430833334,28.7376666666,50.1225,52.451,39.33825,30.392,42.46325,47.9168333333,9.09925000001
183.73,60.3703333334,36.6048333333,30.8641666667,52.4075833333,54.25925,42.0989166667,32.7160833333,44.6298333333,50.4321666667,10.617125
184.11,54.1666666667,31.2168333333,24.9339166667,48.2141666667,49.3385833333,36.3755833333,27.2486666667,38.5581666667,46.23025,4.82799999999
184.49,47.1429166667,20.9524166667,13.8888333333,40.4763333334,42.5396666666,30.5555833333,15.79375,24.8413333333,40.7935833333,-11.4287916667
184.87,40.9313333333,18.6275,11.1928333333,33.4150833333,39.1340833333,26.7156666667,13.2353333333,19.036,35.7025833333,-16.5442916667
185.25,36.36375,16.4140833333,5.21866666668,23.8214166667,36.9528333333,23.3165,8.33333333332,13.3839166667,28.03025,-21.4225416667
185.63,32.242,9.02783333333,-0.397,17.5594166667,38.3929166667,19.6428333333,2.08341666667,4.06741666668,22.8175,-32.1430416667
186.01,13.38025,-16.7840833334,-16.4318333333,6.10325,28.87325,-1.40841666665,-21.4786666666,-20.6571666667,11.5023333333,-53.932125
186.39,1.85175000003,-25.9259166667,-21.29625,-8.86233333332,30.6879166667,-11.9046666667,-30.0263333333,-33.3334166667,4.10049999998,-66.402125
186.77,19.4805,1.29875000002,2.27275000001,10.06475,47.2945,3.896,-8.87441666665,-7.684,23.8095833333,-33.0085416667
187.15,23.2510833333,2.77775,5.96708333332,7.51041666664,45.2674166666,3.49775,-7.61324999999,-8.2305,27.1605,-28.9094583333
187.53,29.41175,2.647,7.64708333334,6.47058333333,44.50975,4.41183333335,-6.47066666668,-6.17641666667,28.3334166667,-27.843125
187.91,37.87125,12.45875,19.2245,16.0065833333,45.9570833333,14.0265,6.27066666667,10.1484166667,33.6633333333,-10.4785416667
188.29,39.9704166667,16.0766666667,25.8111666667,20.72275,45.6490833333,17.6989166667,13.053,15.7816666667,35.9881666667,-2.10183333333
188.67,49.5615,28.3835,39.91225,34.7744166666,53.0701666667,27.3184166667,24.2480833333,28.3206666667,46.2405,13.1895
189.05,48.0324166667,28.8773333333,39.5255833333,37.2684166667,48.4953333334,27.7198333333,24.7105833333,30.7871666667,47.4535,14.6990833333
189.43,51.3989166667,30.9001666666,41.97075,40.8150833333,47.2629166667,29.9269166667,27.6763333333,30.8394166667,50.9125,14.689875
189.81,57.0354166667,32.3769166667,45.1501666667,46.1748333334,49.59025,34.4261666667,30.9425833333,33.1966666667,58.87975,18.8865833333
190.19,61.8333333333,28.6666666667,44.5,48.5833333333,50.0,36.1666666667,29.5833333334,29.9166666667,62.9166666667,17.2083333333
190.57,59.0824166667,26.8726666667,45.6929166667,50.93625,51.1235833333,32.5843333333,30.52425,34.0825,66.5731666666,19.8970833334
190.95,52.9411666667,23.3331666667,46.0784166667,49.3135833333,43.6274166667,29.1175833333,26.6666666666,30.4901666667,65.2940833334,15.3431666667
191.33,46.46125,19.74875,43.4931666667,46.5753333334,37.4428333333,21.57525,17.8081666667,23.6300833334,65.9818333333,7.07741666668
191.71,47.6190833333,23.016,42.72475,45.8995,41.5344166667,23.94175,7.67183333333,25.0,74.074,5.35729166667
192.09,45.5674166667,17.376,40.7800000001,45.5673333333,39.5390833333,23.5815,-0.531916666668,25.5319166667,83.8651666667,2.03904166667
192.47,35.0876666667,8.99125,35.5264166666,35.307,36.4035000001,9.42966666665,-8.11383333333,12.9386666667,82.6754166667,-11.2936666667
192.85,28.2196666667,15.71975,34.6589166667,29.5455,44.8863333333,13.2575,-1.13625,16.6668333333,68.1817500001,-3.97704166665
193.23,13.82575,1.32583333332,22.72725,19.6971666667,29.7348333332,-1.13633333335,-14.01525,3.409,49.0528333332,-27.272625
193.61,-3.10075000001,-4.06966666668,24.2249166666,18.60475,26.5504166667,-2.51941666668,-18.02325,-0.581499999925,40.6975833332,-51.16275
193.99,-3.97725000001,-9.09083333332,19.8864166666,24.8106666667,13.4470833333,10.2273333333,-20.4545,-9.46983333334,32.0076666667,-64.4886666667
194.37,-6.52183333334,-5.25358333334,28.2609166667,32.0651666667,13.7680833333,23.5508333333,-17.93475,-14.49275,34.23925,-60.6885
