wavelength,Back_PhrAtrf,Belly_PhrAtrf,Breast_PhrAtrf,Crissum_PhrAtrf,Crown_PhrAtrf,DorTail_PhrAtrf,Rump_PhrAtrf,Throat_PhrAtrf,WingTip_PhrAtrf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,61.6666666667,68.3333333333,100.833333333,79.1666666666,96.6666666667,116.666666667,69.1666666667,67.5000000001,126.666666667
179.16,87.3333333332,88.6666666667,89.3333333333,85.3333333333,86.6666666667,101.333333333,69.9999999999,58.6666666667,99.3333333332
179.54,-34.1666666667,-12.5,-40.0,-30.8333333334,-25.0,26.6666666667,-36.6666666666,-82.4999999999,-12.5
179.93,-42.5,-15.0,-47.5,-26.6666666667,-45.8333333333,10.8333333333,-49.1666666667,-52.5,-5.00000000001
180.31,27.1968666667,33.712,36.1363333333,36.2879333333,23.1818,53.106,16.4394,5.98486666667,49.7726666667
180.69,21.8474,28.5944666666,33.1727333333,33.5743333333,18.4738666667,49.5582666667,12.7710666667,0.240866666674,49.6385333333
181.07,12.4278666667,19.753,23.2097333333,21.7284666667,8.80659999998,36.461,3.16863333332,-8.14813333332,36.8724
181.45,-0.17773333332,6.40006666667,10.8444666667,6.66666666665,-4.00006666665,23.1112,-10.3555666667,-20.9778,25.4223333333
181.83,1.6888,10.5777333333,17.689,9.15553333332,-1.24453333335,20.8,-9.24443333334,-13.4222,31.2888666667
182.21,11.2758,21.3992,29.3003999999,16.2139333333,7.48973333333,23.4568,0.78200000002,-4.03293333334,39.5061333333
182.59,6.30146666666,19.3605333333,25.5707333333,7.39719999999,2.10033333335,16.9862,-6.484,-15.7076666667,32.0547333333
182.97,2.18593333334,19.6721333333,29.3989333334,1.74853333333,5.13659999999,18.0328666667,-9.071,-25.5736666666,28.9617333333
183.35,-19.8198666667,16.7567333333,33.6937333333,-22.5226666667,-8.28846666667,8.82873333333,-30.901,-59.0991333334,29.7296666667
183.73,-13.8666666667,17.4666666667,25.3333333333,-13.7333333333,4.4,11.0666666667,-12.1333333333,-38.2666666667,24.2666666667
184.11,-18.1481333333,7.16046666667,20.7409333333,-10.9876666667,4.32099999999,7.40739999999,-13.1480666667,-33.4568666667,19.2593333333
184.49,-21.9208666667,6.55379999999,19.6609333334,-10.8474666667,3.16386666668,8.13553333334,-17.3446,-29.3784666666,15.1412
184.87,-4.47259999999,18.9029333333,29.0295999999,6.49773333333,13.8395333333,21.0126,-5.44306666666,-12.6582666667,23.3756666667
185.25,-3.14806666666,18.3333333333,30.5555333333,10.0,10.7408,22.8704,-8.88876666668,-17.5925333333,23.0555333333
185.63,8.48486666665,23.8094666667,40.6926,24.1558,20.0,32.8138,-0.73586666666,-9.09099999999,29.2640666667
186.01,13.7256,23.8431333333,38.1177333333,27.6079333333,22.5882666667,37.1764,5.13716666664,-1.41166666667,26.3528666667
186.39,6.98806666667,12.5300666667,27.4697333333,25.0602666667,16.5462,34.4579333333,-1.60653333334,-7.38966666667,12.9316666667
186.77,6.73913333332,9.05793333332,24.1304666666,22.9709333333,13.8406,33.6231333333,-3.51456666665,-4.13053333333,12.3914
187.15,6.36633333335,10.6906666667,18.7988666667,24.5645333333,8.64866666667,29.4295333333,-3.57359999999,-0.300466666674,11.8317333333
187.53,7.34373333335,8.85426666667,13.8542,22.9167333333,4.94786666667,25.8854666667,-4.08849999999,-1.19786666667,8.95833333332
187.91,9.0814,6.8242,15.1180666667,23.5168666667,2.99220000001,27.8216,-7.58526666666,0.472333333334,8.13639999999
188.29,14.123,12.8071333333,18.5086,24.6051333333,6.93,31.535,-0.504300000014,9.38580000001,11.9736666666
188.67,8.58386666668,6.92806666667,13.5511333333,19.9998666667,2.7016,27.2330666667,-1.72126666665,5.40293333334,6.44860000001
189.05,9.36819999998,7.27673333333,13.0719333333,20.1307333334,2.96306666665,27.6688666667,-0.719000000006,6.36166666667,3.87800000002
189.43,11.3409333333,12.0689333333,17.5862666667,23.3334666667,8.04586666666,31.2645333333,6.57096666667,11.7624,6.93486666667
189.81,7.84086666666,11.2121333333,13.9774666667,21.4392666667,5.75746666666,29.1288,5.35973333335,12.2726666667,2.38633333332
190.19,11.5908,17.1969333334,21.2499333333,28.9393333333,10.4924666667,34.2802,12.5568666667,17.5756,6.85599999998
190.57,15.1372,23.0195333333,27.4509333333,33.9607333333,13.5686666667,39.2548666667,17.1961,22.7843333333,11.1764666667
190.95,19.6722,27.7960666667,32.8234,39.3444,18.6157333333,41.7849333333,22.2222666667,27.7959333334,15.3005333333
191.33,25.8563333333,32.1178666667,37.5690666667,44.0516666667,24.3094,46.8139333333,26.2799333333,33.0018,19.116
191.71,26.2725333333,33.9067333333,40.6092666667,45.2331333333,27.9568666667,48.2437333333,29.1756333333,36.3440666667,20.3226
192.09,22.0542,34.0901333334,40.2882666667,43.099,25.2253333333,45.0090666667,28.3784333334,33.0450666667,17.2612666667
192.47,18.4388,33.7973333333,42.3628,44.8101333333,23.2067333334,44.3458666667,28.0168333333,30.2108666667,13.9240666667
192.85,18.2341333333,34.0396666667,42.958,44.4592,21.2803333333,43.3552666667,24.6577666667,30.2427333333,13.0243333333
193.23,19.6128,34.0214666667,45.2473333333,46.9676666667,25.4194,43.7419333333,27.1828333333,32.7312666667,15.8279333333
