wavelength,Back_TacPhom,Belly_TacPhom,Breast_TacPhom,Crissum_TacPhom,Crown_TacPhom,DorTail_TacPhom,Patch10_TacPhom,Patch11_TacPhom,Rump_TacPhom,Throat_TacPhom,WingTip_TacPhom
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,271.428466667,279.999966667,231.428766667,280.0,338.095266667,278.0954,286.666733333,296.1906,238.095133333,280.952333333,244.761933333
179.16,-293.333333333,-133.333333333,226.666666667,-146.666666667,-420.0,-206.666666667,-73.3333333333,-160.0,86.6666666665,-326.666666667,-60.0000000001
179.54,-246.666666667,-275.0,-46.6666666668,-263.333333333,-330.0,-223.333333333,-223.333333333,-296.666666667,-160.0,-263.333333333,-293.333333333
179.93,172.381,202.381066667,164.285833333,165.238166667,189.523933333,184.761733333,158.0954,214.285666667,144.761666667,141.904866667,191.428666667
180.31,1770.66666667,1876.0,1281.33333333,1456.66666667,1878.66666667,1757.33333333,1606.66666667,1910.66666667,1146.66666667,1700.0,1761.33333333
180.69,4346.66666667,4980.0,3203.33333333,3771.66666666,4896.66666667,4683.33333333,4116.66666667,5016.66666667,2866.66666667,4326.66666667,4526.66666667
181.07,-680.000000001,-835.666666666,-475.666666667,-549.333333333,-759.333333333,-750.666666667,-605.999999999,-814.666666666,-378.666666667,-708.666666667,-738.666666667
181.45,-1045.7144,-1311.42856667,-791.428633333,-852.380866666,-1119.04766667,-1139.0476,-925.714266667,-1255.23806667,-604.762,-1065.71426667,-1147.61913333
181.83,-435.5556,-585.555566667,-359.333433333,-364.2222,-462.666866667,-490.666666667,-382.666666667,-550.222133333,-236.888933333,-459.999866667,-482.666533333
182.21,-260.289866667,-372.6088,-218.1161,-209.1304,-276.8116,-301.739066667,-235.3624,-337.681066667,-137.3912,-290.724666666,-293.3334
182.59,-197.419466667,-292.795733333,-178.6022,-166.774133333,-206.021466667,-226.236666667,-185.591466667,-269.892666667,-109.2474,-224.516066667,-227.096666667
182.97,-261.866666667,-383.866666667,-264.4,-227.6,-264.533333333,-296.0,-247.733333333,-365.333333333,-159.733333333,-306.4,-300.533333333
183.35,-207.083333333,-308.645833333,-213.125,-170.208333333,-198.958333333,-225.416666667,-192.083333333,-286.041666667,-126.875,-239.583333333,-232.708333333
183.73,-105.306133333,-182.176833333,-110.068,-73.1291333334,-107.347066667,-124.353666667,-97.6870666667,-166.802733333,-61.7685999999,-128.1632,-119.7278
184.11,-143.418933333,-250.256433334,-153.418833333,-109.5727,-164.2736,-183.760666666,-140.3418,-224.6154,-99.6580666666,-177.777866667,-172.478666667
184.49,-165.858466667,-303.838366667,-164.5455,-129.798,-193.1312,-210.505133333,-156.767666667,-270.302933333,-119.999933333,-209.293,-205.656466667
184.87,-206.2222,-348.2223,-197.888766667,-145.444433333,-220.666733333,-234.666533333,-179.333333333,-309.1112,-145.777733333,-247.111066667,-242.2222
185.25,-235.952533333,-387.5001,-231.071433333,-169.285466667,-251.190533333,-278.3334,-214.7618,-349.524066667,-178.571533333,-275.9524,-284.523733333
185.63,-251.795,-423.461533333,-264.871766667,-185.512666667,-285.1282,-307.1796,-238.974266667,-386.153933333,-211.282066667,-311.025533333,-320.769266667
186.01,-464.7058,-704.5097,-458.0392,-316.078466667,-512.549,-545.490333333,-428.627533333,-648.235266667,-392.941133333,-541.9608,-567.058866667
186.39,-385.2632,-577.3684,-357.894766667,-240.877066667,-420.701666667,-462.1052,-343.157866667,-534.385866667,-309.1228,-458.596666667,-480.351
186.77,-350.526266667,-531.929833333,-328.0703,-200.877133333,-406.666666667,-449.473666667,-311.228066667,-497.5438,-281.403466666,-432.6316,-447.719333333
187.15,-142.963066667,-245.648066667,-139.4444,-76.9444333333,-184.074,-201.4816,-129.999933333,-225.7408,-108.703666667,-193.148066667,-207.037066667
187.53,-122.708333333,-232.708333333,-132.395833333,-54.1666666666,-177.916666667,-200.0,-113.958333333,-217.5,-88.7500000001,-186.041666667,-206.875
187.91,-134.761866667,-249.166866667,-153.214233333,-72.3809333333,-191.9048,-216.666666667,-116.4286,-225.0,-95.9524666667,-205.952466667,-243.809466667
188.29,-95.9596666667,-183.030333333,-114.8486,-45.6566000001,-131.717133333,-158.9898,-78.5858666667,-167.0706,-65.8585333335,-156.5658,-177.9798
188.67,-46.1666666667,-115.416666667,-72.9166666667,-3.66666666674,-72.1666666667,-101.833333333,-42.8333333333,-102.0,-23.3333333332,-94.9999999999,-110.0
189.05,-44.8485333333,-120.807933333,-70.0000000001,13.2323333333,-78.3839333333,-121.414133333,-39.5959333334,-107.474733333,-14.9494666668,-98.1818666665,-119.191933333
189.43,4.5236666666,-83.3333666665,-35.7142666668,62.8572333333,-52.8573333333,-80.2381333333,5.2380666666,-73.5713333333,27.6190666667,-60.7142000001,-91.9048000001
189.81,9.39386666666,-100.000033333,-49.6969666668,81.0606000001,-64.5454666667,-108.485,-1.8180666668,-80.6061333334,35.7576000001,-80.9091333334,-117.2728
190.19,36.8253999999,-76.9841,-40.9523666667,99.8412333335,-32.0633333334,-104.127,34.2857333332,-61.9047333333,58.0952,-49.5238666667,-101.2698
190.57,55.7575333333,-67.8788999999,-40.9090666666,100.0,-22.7272666665,-73.6362000001,48.4848,-38.1818666667,58.7880000001,-29.697,-66.6666666667
190.95,124.912466667,-46.6665666667,-15.0875333334,154.2105,31.5789333334,-40.3510666667,109.824533333,22.4562,108.421066667,4.91220000002,-19.6492
191.33,498.333333334,-315.833333334,-230.833333333,597.499999999,21.6666666665,-366.666666667,346.666666667,106.666666667,326.666666668,-103.333333333,-161.666666667
191.71,-740.000000001,923.333333333,743.333333333,-598.333333332,136.666666667,1060.0,-359.999999998,-46.6666666666,-106.666666666,573.333333334,566.666666666
192.09,-30.0,139.166666667,135.0,-17.3333333332,57.0,168.0,18.3333333335,61.6666666667,54.3333333333,113.0,103.333333333
192.47,-9.14273333329,89.4285333333,77.7142666667,-3.14283333334,44.7619333333,118.285666667,12.9522666667,48.3808666667,38.4761333335,71.4285333333,76.3809333333
192.85,-12.2220666666,85.3703666667,70.1853,-4.72220000012,45.3704,113.333333333,3.14813333332,49.6295333333,42.7775999999,60.7408,74.2592
193.23,-18.2856666667,89.7141333333,89.0475666667,6.85713333332,38.6664666666,111.999933333,4.1905333332,48.9523333333,50.4762,70.6666666666,73.1428666666
193.61,17.1171333334,130.2702,121.801766667,45.7657333332,58.7387999999,150.6306,47.3872666666,80.1801333333,85.7657333334,109.909866667,98.5586666666
193.99,0.625000000054,138.854166667,127.083333333,37.0833333333,49.1666666667,162.5,39.3750000001,82.2916666665,84.9999999999,123.333333333,94.5833333333
194.37,-0.27766666668,102.2917,97.8471999999,29.9304333333,42.2221333333,109.999933333,42.7777333334,63.7499333333,67.9165333333,103.472066667,67.4999333333
194.75,16.2189333333,86.2687,91.8904666667,33.8805666666,47.7611333333,98.0099333333,50.4477999999,64.1791333333,68.0597333333,96.1193333334,64.7760666667
195.13,37.2996,90.4220000001,97.8059333333,48.5232333333,60.6750666667,102.531666667,64.1350666666,78.1434666667,81.7720666666,100.843866667,77.7214
195.51,39.9121999999,94.1228333333,102.500033333,51.1402666666,64.5612666667,110.7896,66.4034000001,89.0350666667,89.9122666666,107.193,85.2631333333
195.89,43.4538666666,95.0601666667,104.1366,53.8954333333,70.8433333334,112.1286,70.5220000001,96.2250000001,90.2812666667,102.891533333,86.5864000001
196.27,41.0569333333,93.6991666667,101.9513,54.1058333333,68.8616666667,109.4308,70.0813333334,92.5203333334,89.0243999999,102.113866667,84.6340666667
196.65,44.3038,98.2277333333,111.0549,59.6202333333,74.3458666667,110.886,78.9873333333,98.4810666667,97.5528,112.826933333,88.5232000001
197.03,50.5051333334,94.8148000001,107.8451,65.6900666667,77.1044666667,106.868666667,84.2423333335,92.6599333333,95.2862,111.919066667,88.1481333333
197.40,54.5577999999,100.850433333,109.489833333,68.9116333333,80.9524666668,114.2178,92.9932000001,95.5101333333,101.5646,116.734733333,94.2856000001
197.78,58.1333333333,102.566666667,109.766666667,74.0333333333,83.4000000001,115.333333333,92.4666666666,98.9333333334,105.4,118.066666666,97.7333333334
198.16,51.9608000001,96.4052,100.620966667,70.3595333333,76.7974666666,107.908466667,88.6274666666,93.0065333334,101.111,108.039133333,90.0653999999
198.54,51.3858666667,102.883833333,104.382033333,76.4044666667,77.4531999999,115.505666667,93.3334,96.1048666666,109.5132,113.857733333,94.6068666669
198.92,47.2726666667,94.9158333334,93.4005333333,78.1818333333,69.8316666667,105.118,87.8113999999,89.2930000001,102.424266667,103.501733333,91.0438
199.30,42.9824,84.2982000001,83.5380333333,71.7838333333,61.7544666667,94.1520000001,80.2924,78.7717999999,91.0527333333,95.8479333335,82.4562000001
199.68,40.6202000001,75.5555,75.8396333333,63.9794333333,54.4187333333,82.2221999999,72.9715333334,68.6820666667,80.7752666667,84.858,73.5917333334
200.06,34.3363333333,72.5368,72.4189,58.2006,49.3807333333,78.9971333333,70.6783999999,62.3599333333,79.4100000001,86.7255333333,69.4395333333
200.44,33.3912666667,71.4491666667,68.5796666667,58.3768666667,49.3912666667,78.2028666666,69.7391333333,60.6377333333,76.2318666667,85.6812000001,67.6520666667
200.82,36.352,77.9874999999,74.2139000001,64.7169333333,50.3773333333,85.5345333333,72.8302000001,64.5912666667,79.9371333333,89.8112666667,71.3206666667
201.19,33.7414,74.5919,74.966,63.0612000001,46.3945333333,84.6938666667,70.6123333333,62.8571333333,79.7278666667,88.2312666667,70.8162666667
