wavelength,Back_DigGlsm,Belly_DigGlsm,Breast_DigGlsm,Crissum_DigGlsm,Crown_DigGlsm,DorTail_DigGlsm,Patch10_DigGlsm,Rump_DigGlsm,Throat_DigGlsm,WingTip_DigGlsm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,124.027777778,114.166666667,127.083333333,89.4444444445,102.5,105.833333333,96.6666666667,85.0,120.0,95.0
179.16,88.5684305556,108.333333333,108.012833333,64.5298958333,85.8975833333,79.1667083333,83.9742499999,89.1024583332,96.7949166667,62.8205
179.54,69.5767638889,69.8411666667,86.9047499999,65.4100555556,50.0000833333,55.5555416667,60.7143333333,64.28575,59.1269166667,51.5873333334
179.93,76.388888889,183.333333333,-125.0,-277.777777778,-383.333333333,-245.833333333,-91.6666666667,95.8333333334,-58.3333333332,-233.333333333
180.31,95.2746666667,108.189583333,109.004041667,87.8591180556,79.5020000001,84.6743333333,87.7394166666,114.655125,103.735583333,67.7203333333
180.69,103.875291667,120.936375,126.286,94.3844305554,84.9794166666,94.7531666667,97.4280833334,130.349833333,112.139833333,72.1194166666
181.07,114.183597222,142.992375,151.641458333,114.583263889,92.4243333334,109.722291667,111.86875,162.436958334,124.495,76.8938333334
181.45,115.615111111,142.083333333,152.916625,121.755944445,93.6905833333,109.642833333,113.33325,165.000041667,118.452416667,81.1905000001
181.83,118.632472222,149.295,157.7565,127.585416667,105.128166667,114.295041667,121.025666667,179.807708333,126.538416666,89.8719166665
182.21,115.092680555,139.666625,150.222375,120.537097222,106.444416667,114.666791667,118.444333333,168.333333334,124.222166667,94.3335
182.59,95.6989861111,117.249166667,126.344125,100.955756945,94.4443333334,107.6165,104.56975,142.249291667,104.2115,80.4660833332
182.97,90.4496527779,107.64625,120.01725,92.9410694446,85.9106666667,99.18375,102.06175,139.690708333,96.0480833333,75.2578333333
183.35,93.3786666666,108.623958333,128.3915,92.2561319445,83.5269999999,97.2385833333,105.329333333,146.6085,93.2170833333,70.4459166667
183.73,78.1321805555,91.1991666667,109.778833333,73.3985624999,67.0068333334,82.7805416667,84.9490000001,120.833333333,78.2314999999,56.71775
184.11,75.4817638889,89.5407916667,108.928416667,69.2460347222,66.4965833334,83.0783333333,83.0781666666,117.474541667,75.9354166668,50.68
184.49,74.8490555555,90.0815,110.461875,67.2779791666,67.3006666667,84.1032916667,82.3369166667,114.945666667,76.2679999999,47.9168333334
184.87,73.1761527778,85.3115,96.6750000001,65.249736111,66.41425,81.649875,77.77775,105.387208333,75.6734166666,48.9056666667
185.25,66.1780138889,75.000125,87.0754166666,54.6168263889,61.4968333333,76.0417916667,70.13875,92.9012083333,70.1386666667,48.5339166667
185.63,58.9088333334,68.4685833333,75.6381249999,46.0521458333,57.4324166666,73.9863333333,62.1621666667,85.0975416667,65.4655,41.6665
186.01,56.0184444444,63.357875,68.4231249999,38.3373472222,52.451,74.9182916667,55.8005833333,81.127375,58.8235833333,29.8201666666
186.39,50.1698472222,58.00925,65.092625,32.9243680556,47.7778333333,77.17575,47.5925833333,76.7592916666,50.1850833334,13.24075
186.77,57.3830833333,65.6797083333,70.2300833334,34.2287291667,53.6184166667,82.73025,49.1228333333,83.7170833333,58.7720000001,8.55266666665
187.15,64.067375,76.8450833333,80.7141666668,34.16675,63.0952499999,90.4762916668,44.0475,78.3332083332,65.1190833334,10.8333333333
