wavelength,Back_DigVenm,Belly_DigVenm,Breast_DigVenm,Crissum_DigVenm,Crown_DigVenm,DorTail_DigVenm,Patch10_DigVenm,Rump_DigVenm,Throat_DigVenm,WingTip_DigVenm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,123.958333333,181.828703704,215.625,204.166666667,143.75,156.25,204.166666667,155.208333333,183.854166667,184.027777778
179.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.54,33.3333333334,-499.735449735,-658.333333333,-825.0,-166.666666667,-283.333333333,-633.333333334,-525.0,-387.5,-450.0
179.93,-4.16666666665,35.6646825397,17.7083333333,71.8750000001,20.8333333333,14.5833333333,125.0,22.9166666667,32.8125,8.33333333333
180.31,49.8698333333,96.0813492064,112.760416667,135.2865,89.0625833333,85.4165833334,103.472333333,87.7605833334,92.252625,104.513888889
180.69,57.1255833333,98.4989140213,118.840666667,138.76825,94.3236666667,88.4056666667,105.958222222,89.4927499999,95.6523333332,111.835833333
181.07,47.25725,81.3459272487,96.7299166667,119.19825,84.7045000001,80.3796666666,84.2474444447,76.6877499999,80.37975,92.2644444444
181.45,41.29625,69.947010582,75.0925833333,100.18525,76.2035,70.5555,74.4442222222,68.5184166666,73.6111666667,83.8272222221
181.83,40.8255833333,60.4923650794,63.6085833333,87.3853333334,73.92975,63.9908333333,65.8511111111,60.3208333333,65.787375,74.3118888889
182.21,43.3331666667,61.0177275133,65.7937499999,89.4444166668,77.3015833332,65.4761666667,57.9892222222,61.5079166667,67.2619583332,74.8676111111
182.59,44.127,59.1258650794,70.7936666667,88.4124999999,76.8253333332,63.8889166667,60.0001111111,58.4128333333,63.5714166667,71.0052222222
182.97,49.5056666667,60.0293134921,71.3276666667,88.7005000001,76.4124166666,65.466,66.0076666667,61.8644166667,71.8219583332,72.5048333333
183.35,43.2749166667,51.6579391535,64.6930833334,81.7249166666,67.3245,57.8215,62.8653333333,57.383,65.2047083333,58.0410555556
183.73,43.5415833333,51.6391375661,64.2360833333,78.8195000001,66.7360833333,60.4859166666,61.7593333333,59.3750833333,65.3820416667,57.3609444444
184.11,45.0,56.3024920635,64.52375,83.5714166667,71.9840833334,64.6031666667,67.8306666667,59.4444166667,67.6189583334,55.5557222222
