wavelength,Back_SicUrom,Belly_SicUrom,Breast_SicUrom,Crissum_SicUrom,Crown_SicUrom,DorTail_SicUrom,Patch10_SicUrom,Patch11_SicUrom,Rump_SicUrom,Throat_SicUrom,WingTip_SicUrom
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,4.99999999999,-25.4166666667,1.66666666667,38.3333333333,17.5,-9.16666666666,-44.1666666667,-0.833333333334,-16.6388888889,10.0,16.6666666667
179.16,96.4103333332,74.8717333333,75.3845666667,99.9999999999,98.4616666665,82.5641333334,77.9488,85.1282,81.7093644444,83.0768000001,93.3332666666
179.54,-146.666666667,-34.9999999999,-96.6666666668,-246.666666667,-296.666666667,-43.3333333332,-106.666666667,-66.6666666665,-71.7777777777,-53.3333333333,-136.666666667
179.93,-313.333333333,-306.666666667,-376.666666667,-546.666666667,-533.333333333,-593.333333333,-143.333333333,-340.000000001,-274.444444445,-286.666666667,-293.333333333
180.31,84.2666666666,62.4000000001,95.7333333333,162.133333333,181.333333333,134.133333333,21.2,89.8666666667,60.8888888889,84.0000000001,121.6
180.69,81.3791999999,71.0344666665,88.7355333332,161.6092,174.942466667,137.011533334,26.4367333333,84.5976666667,61.5862755556,85.0574666667,117.241266667
181.07,94.8148000001,101.111066667,90.5557,218.148133333,244.074133333,187.037133333,18.1480666667,102.2222,84.5555,87.0370000001,144.814666667
181.45,180.0,235.416666667,192.916666667,490.0,530.0,441.666666667,16.2499999999,214.166666667,213.583333333,166.666666667,320.0
181.83,92.7778000001,146.388833333,88.889,287.7778,306.666733333,307.222266667,-36.6666666666,136.6666,116.759233333,100.555466667,181.111133333
182.21,9.99993333339,86.6666666666,6.94446666686,206.666666667,224.444533333,208.888866667,-129.7222,48.8888666667,42.592548889,27.7779333335,92.2221333333
182.59,6.19040000013,75.2380666668,4.7619,181.904933333,198.0952,181.9046,-105.0001,29.0475333335,36.8888377777,32.8570666669,66.6667333333
182.97,31.2499999999,89.5833333335,29.1666666667,183.75,220.416666667,180.0,-64.7916666667,58.75,54.375,55.0,70.8333333332
183.35,22.4561333333,77.3685333333,7.54383333334,151.929733333,192.982466667,151.578933333,-41.5789333333,43.8597333333,37.9533599999,45.6139333333,62.456
183.73,-248.888866667,184.444433333,-411.111133333,626.666733334,871.111133333,513.333333333,-497.777633334,-177.777866667,-142.963113333,-64.4444666666,115.555466667
184.11,-321.666666667,-30.0,-531.666666667,271.666666666,488.333333334,151.666666667,-484.166666667,-259.999999999,-150.777777778,-223.333333333,-1.6666666668
184.49,-2220.0,-1196.66666667,-3186.66666667,166.666666668,653.333333333,-679.999999998,-2936.66666667,-1940.0,-1523.55555555,-1953.33333333,-1133.33333333
184.87,-1090.0,-645.0,-1713.33333333,89.999999998,286.666666665,-496.666666667,-1585.0,-926.666666666,-824.888888889,-1046.66666667,-543.333333333
185.25,-1753.33333333,-963.333333333,-2773.33333333,713.333333334,1246.66666667,-479.999999999,-2603.33333333,-1333.33333333,-1526.0,-1400.0,-433.333333333
185.63,342.4242,219.697,383.6363,100.000066667,16.3636,186.6666,390.6062,279.394,305.575771111,238.181866667,201.818133333
186.01,444.666666667,325.666666667,464.666666667,180.0,66.6666666665,268.0,490.333333333,369.999999999,388.666666667,339.333333333,275.333333333
186.39,826.666666667,629.999999999,822.0,289.333333333,72.0,505.333333333,942.0,670.666666667,703.422222223,644.000000001,409.333333334
186.77,419.2594,261.1111,396.666533333,119.2592,14.8147333332,254.8148,492.963,322.222266667,325.975224445,285.185266667,176.296266667
187.15,205.0,133.5,177.833333333,88.6666666667,43.0,120.666666667,248.666666667,160.666666667,160.244444445,136.666666667,96.6666666667
187.53,126.0784,75.3921333333,107.156866667,67.4510666667,43.7255999999,77.6471333333,165.8824,98.4314,98.9869711111,82.3528666667,63.1371999999
187.91,122.745066667,66.2745,94.9019999999,60.1959999999,32.7450666667,64.3137999999,168.1372,84.7059333333,94.6339844446,70.1962000001,53.9213333333
188.29,128.889,58.8888,87.5756333334,62.0202666666,34.9496666667,65.2525333333,186.464633333,96.1617333333,111.461262222,62.8284,49.8988666666
188.67,168.055666667,69.0277333333,111.944566667,66.3889333335,29.7221333333,65.5555333334,245.138833333,110.555533333,140.018464445,55.8333333333,44.7223333334
189.05,209.666666667,90.0000000001,125.0,83.3333333334,43.3333333334,71.0000000002,282.0,140.666666667,161.622222222,69.6666666667,53.3333333334
189.43,204.815,57.2223,102.407333333,55.5555333334,5.55560000006,31.8519333334,293.3332,125.1852,134.913644444,44.8148,31.8518666666
189.81,199.999933333,49.4871666666,97.1794666668,7.6922666666,-48.7178666666,-8.7178666666,360.256433334,94.8718,138.7522,27.6923333334,-17.9487999999
190.19,154.8718,-0.2564666668,29.4872333333,-64.6153333332,-124.6154,-61.5384666667,317.948833333,66.6666666667,85.0768688889,-37.4357999998,-79.9999333333
190.57,149.166666666,-118.333333333,-33.3333333333,-215.0,-313.333333333,-203.333333333,368.333333333,-18.3333333332,21.3611111113,-169.166666667,-249.166666667
190.95,-1640.0,83.333333334,-116.666666669,1486.66666667,2000.0,1380.0,-3213.33333333,-6.666666668,-415.111111113,560.0,1740.0
191.33,-282.857133333,-68.5715333334,-109.5238,182.8572,215.238133333,87.6190666673,-498.095333333,-98.0952666665,-174.793615556,-15.2381333333,164.762
191.71,-97.1928666666,-33.6840999999,-41.9297333334,78.9475333333,98.5965333334,48.7720666666,-167.719133333,-35.0876666665,-55.5906911112,-1.0526,49.8245333333
192.09,-95.8333333333,-45.8333333333,-58.4722666667,27.4999333334,43.8888666665,8.61113333325,-156.111066667,-63.6110666668,-66.2129733333,-32.4998666667,-3.61106666665
192.47,-65.3846,-50.0000999999,-45.5128,33.3332,55.1282,20.2564,-133.8462,-52.8202666667,-48.5726911111,-36.1538666667,1.02560000001
192.85,-20.0,-20.4598999999,0.459766666654,50.5746000001,75.8619999999,43.6780666667,-93.7931333335,-24.1378,-6.29115555547,-18.161,21.1495333333
193.23,17.1014666667,14.9275999998,44.7825333333,75.6521333333,122.6086,84.0580000001,-94.0578666668,-6.08699999993,22.79234,15.6522000001,56.8116666667
193.61,11.6189333333,2.57156666674,29.1428,30.6666666667,55.8095333332,46.4761999999,-71.8095666666,-12.7618666667,6.72387333334,6.66666800001e-05,27.8096000001
193.99,24.9672666667,20.4576333333,39.6732,32.4182,45.3596666667,44.7059333333,-34.3790666667,0.392266666666,21.78662,16.732,28.7580666667
194.37,27.3611333333,22.2221333333,39.5834333333,29.5834,27.7777333333,43.0556666666,-35.4859333333,0.69446666668,24.1158822222,14.3054666667,27.3610666667
194.75,17.1428,6.0119333334,26.3095666667,9.88113333334,5.47633333334,29.6429333334,-40.0000666667,-13.5713333333,9.87300000001,6.30966666666,7.85713333333
195.13,44.4828666666,20.977,43.6206333333,24.3678,15.862,42.0690666666,-22.1838666667,2.41373333332,25.3947866667,23.2184,20.6896
195.51,73.1943333333,40.9027333333,72.5695,48.75,40.4166666667,66.1110666666,-5.97226666672,27.6387999999,57.1435333333,43.7498666666,42.7778
195.89,85.2083333332,38.7499999999,87.6041666667,43.5416666667,28.9583333333,66.8750000001,-30.6249999999,10.8333333333,57.8611111111,41.4583333333,48.3333333333
196.27,92.2806666666,41.1403999999,91.1403666667,51.9296666667,25.4384,64.7367333334,-11.9298666666,26.6667333333,64.1461422222,48.5965333333,61.9299333332
196.65,85.3622666666,53.6956666667,87.029,59.8552666667,26.9564666666,61.1593333334,8.84063333326,45.7972666667,72.1014755557,60.2897333335,65.0725333334
197.03,92.3404666666,69.0780333333,95.0354666666,75.0353333333,37.4467999999,67.3758,19.0780333333,58.7232666667,80.9788333334,74.0426000001,76.0284666666
197.40,70.5,46.1666666665,77.75,64.3333333333,3.16666666658,39.5,-6.5,45.9999999999,65.388888889,61.0000000001,54.8333333333
197.78,151.111066667,37.4073,178.888933333,177.777866667,-94.8148666666,-2.96293333326,-175.5556,79.2593333332,156.197586667,128.8888,86.6665999999
