wavelength,Back_ButMonf,Belly_ButMonf,Breast_ButMonf,Crissum_ButMonf,Crown_ButMonf,DorTail_ButMonf,Patch10_ButMonf,Patch11_ButMonf,Patch12_ButMonf,Patch13_ButMonf,Rump_ButMonf,Throat_ButMonf,WingTip_ButMonf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,48.8888666667,35.5556000001,48.8888666666,44.4445333333,37.7777333334,48.8888666667,20.0,37.7777333334,51.1112,42.2221333333,75.5555333333,37.7778666667,51.1111999999
179.16,-59.9999999999,-19.9999999999,-133.333333333,-13.3333333333,-86.6666666666,39.9999999999,-106.666666667,-53.3333333333,-40.0,-59.9999999999,-60.0,-33.3333333333,39.9999999999
179.54,22.8572,23.8094666667,25.7142666667,14.2855333333,18.0952666667,24.7618666667,37.1428666667,17.1428666667,32.3809333333,27.6190666667,10.4762,25.7142666667,19.0476
179.93,50.3703333333,34.0740666667,33.3333333333,35.5554666667,29.6296666667,28.1480666667,35.5554666667,33.3332666667,41.4815333333,37.0370666667,25.9258666667,36.2963333333,35.5556666667
180.31,35.2380666667,15.2381333333,39.5237333332,0.714199999986,15.7143333333,12.1429333333,29.5237333333,13.3332,23.8095333333,21.4284666667,4.99993333332,12.8572,5.47620000001
180.69,42.5806,17.6344666667,38.7096666666,3.22579999999,17.6344666667,14.4087333334,28.1719333333,12.6882,27.742,20.2150666667,6.88179999999,10.5375333333,7.09666666666
181.07,33.3333333333,3.95833333334,23.125,-8.75,-0.208333333326,-4.16666666667,11.6666666667,-1.87500000003,10.4166666667,3.33333333332,-6.45833333333,-5.0,-6.875
181.45,32.072,6.30633333334,20.3604,-5.40533333332,-0.90086666668,1.80193333333,11.5316,-2.34226666666,11.1712,10.4504666667,-4.32426666666,-0.3604,-1.80180000001
181.83,32.9412,9.01953333334,23.7254666667,-3.72533333334,-1.17653333333,0.392066666674,6.6666,-3.92153333334,9.01973333333,8.23526666668,-1.17640000001,-1.37273333333,-4.50986666666
182.21,26.9333333333,3.7333333334,22.4,-18.6666666666,-17.8666666667,-8.0,-7.46666666667,-24.5333333333,-4.8,-7.19999999999,-13.0666666667,-17.6,-28.0
182.59,36.3219333333,21.6091333333,29.4252,0.45973333332,-0.229933333334,11.0343333333,11.0346,-8.27566666666,8.96560000001,2.75866666668,11.9540666667,0.45979999998,-13.7930666667
182.97,44.4444000001,32.7777333333,40.2778666665,6.38879999994,5.55559999999,19.1666666667,15.0000666667,-8.88893333334,21.3888666667,8.33333333333,17.5,8.33326666666,-15.8332666667
183.35,58.5506666667,44.3479333334,56.5216666667,14.2028000001,14.2027999999,23.1882666666,15.0725333333,-2.89866666666,27.2465333333,19.1304,24.6376666667,13.3334,-13.6232666666
