wavelength,Back_ConBicf,Belly_ConBicf,Breast_ConBicf,Crissum_ConBicf,Crown_ConBicf,DorTail_ConBicf,Patch10_ConBicf,Rump_ConBicf,Throat_ConBicf,WingTip_ConBicf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,855.555555556,588.888888889,777.777777778,722.222222222,588.88888889,544.444444444,488.888888889,503.703703704,688.888888889,633.333333333
179.16,59.2593333334,77.7778888888,0.0,10.1852777778,83.3333333333,-3.70377777767,42.5924444445,63.5803333333,-14.8148888889,37.0371111111
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,-455.555555556,-555.555555556,-444.444444445,-716.666666667,-511.111111111,-788.888888888,-722.222222223,-481.481481482,-777.777777777,-166.666666667
180.31,577.777777778,498.412666666,646.031888889,732.539722222,492.063555555,717.460333335,617.460333335,462.962962963,965.079222223,647.619111111
180.69,451.851777778,397.531,496.296333333,561.111055556,377.777888889,556.790222222,508.642,355.967037037,814.814666667,502.469111111
181.07,288.888888889,296.581111111,335.042777778,405.128111111,264.102555555,438.461666667,393.162444444,272.079814815,619.658111111,374.358888889
181.45,191.453,206.837555556,202.136888889,236.751944444,191.025555555,251.709333334,247.008444444,181.338925926,353.418666667,212.820444444
181.83,190.222222222,222.666666667,208.444444444,246.888888889,195.111111111,249.333333333,248.888888889,180.444444444,367.555555556,226.222222222
182.21,153.497888889,186.831333333,181.481333333,194.650333333,161.316888889,191.358111111,211.111111111,150.205814815,310.699666667,209.465111111
182.59,150.574888889,203.065222222,183.141666667,172.988722222,170.498111111,177.011333333,206.513444444,150.574592593,301.149555556,202.681888889
182.97,147.222222222,214.815,198.611,181.713,179.629555555,157.407666666,220.833111111,131.944481482,341.666666667,212.963111111
183.35,346.913555555,559.259222222,520.987666666,471.604944444,454.321,320.987555556,583.950555557,307.818777778,895.061666666,520.987555556
183.73,122.222222222,249.673111111,256.209111111,200.653666667,197.385555556,106.536,273.202666667,140.304925926,443.137222222,241.83
184.11,258.333333333,462.5,554.166666667,368.055555556,438.888888889,227.777777778,638.888888889,309.722222222,875.0,491.666666667
184.49,324.074111111,609.259222222,764.81488889,530.555555556,612.962888889,370.370444444,900.000111111,514.197407407,1164.81477778,677.777888888
184.87,792.592666667,1303.70366667,1637.03711111,1283.33333333,1248.14811111,840.740777778,1803.70366667,1140.74059259,2300.0,1422.22211111
185.25,-205.050444445,-330.303,-422.222111111,-292.929222222,-310.101,-117.171777778,-404.040444444,-237.037148148,-548.484777778,-333.333444445
185.63,-57.265,-85.8973333334,-153.846111111,-97.0085,-84.6153333333,-17.094,-140.170888889,-60.6838888889,-196.581222222,-116.666666667
186.01,-57.7777777778,-75.5555555556,-136.666555555,-92.037111111,-71.1109999999,-21.8517777778,-138.518444444,-68.7653703704,-175.926,-92.5925555557
186.39,-45.9258888889,-50.1233333333,-104.197666667,-81.111,-44.1974444444,-28.3951111111,-100.987555556,-52.2634444444,-132.098888889,-64.1974444445
186.77,-67.7002222222,-65.8914444444,-132.816555555,-116.408277778,-54.7801111111,-55.0388888889,-139.793333333,-72.4375555557,-152.713111111,-82.9457777779
187.15,-105.396666667,-104.444333333,-182.857222222,-167.301444444,-75.5555555555,-103.174666667,-196.508,-105.608259259,-195.238,-123.809444445
187.53,-122.963,-122.963,-201.851777778,-185.0,-60.000111111,-126.296111111,-219.259222222,-116.296296296,-211.852,-134.444444445
187.91,-147.311777778,-146.595,-213.978555556,-198.924722222,-60.5735555554,-154.121888889,-233.333333333,-120.071518518,-244.086111111,-145.878111111
188.29,-95.7673333332,-103.439222222,-145.502666667,-140.872944445,-23.2804444444,-100.529111111,-152.116555556,-71.9577777779,-167.989444444,-89.947111111
188.67,-58.9225555555,-62.9628888889,-86.868888889,-87.2055555556,-2.52522222223,-58.0807777778,-84.5116666668,-35.5219259259,-91.414111111,-47.3064444444
189.05,-55.852,-67.2593333333,-81.4815555557,-79.7777777777,-4.59244444443,-55.111,-81.0370000001,-36.1481851852,-88.7407777778,-47.4073333333
189.43,-45.2475555555,-53.5474444444,-64.2569999999,-63.3201111111,6.8272222222,-47.2556666667,-72.9584444444,-30.0313333333,-79.3839999999,-36.8138888889
189.81,-40.9876666667,-56.0495555555,-63.3333333333,-58.0865,6.54333333333,-44.1976666667,-68.2715555557,-29.6295925926,-76.6666666667,-40.0001111111
190.19,-36.9538888889,-57.6778888889,-62.9211111111,-53.7451666667,8.11500000003,-42.0724444445,-66.1673333332,-23.8035925926,-76.5292222222,-38.7016666667
190.57,-51.9891111111,-78.1893333332,-78.8750000001,-68.0383333333,-4.38955555553,-56.6528888889,-84.3622222223,-38.18,-92.4555555554,-55.9672222221
190.95,-51.3361111111,-85.7946666666,-84.3883333334,-71.0268333333,-3.23477777777,-55.9775555556,-85.9352222223,-39.8030740741,-95.4993333333,-62.8691111112
191.33,-43.6868888889,-79.671888889,-74.621111111,-60.2905555556,-1.8938888889,-46.7172222222,-73.6111111112,-36.026962963,-84.8485555556,-57.0706666666
191.71,-41.8802222222,-76.5568888889,-73.7484444445,-61.5382222222,-6.47122222223,-46.8865555556,-72.5275555554,-37.7696666666,-82.7838888889,-58.4857777777
192.09,-28.2922222222,-56.5844444445,-58.7447777778,-49.1256666667,-1.1317777778,-29.0123333333,-57.9218888889,-29.9039259259,-63.9916666667,-42.1811111111
192.47,-34.2496666666,-65.7503333334,-67.354,-59.2208333333,-7.3311111111,-35.3953333333,-69.7595555557,-41.7716666666,-77.3195555556,-53.6081111111
192.85,-32.2876666667,-72.0262222222,-71.7646666667,-62.7450000001,-3.52944444443,-35.0325555556,-79.0849999999,-46.6667407408,-89.9345555555,-58.1698888889
193.23,-37.3334444444,-76.8888888889,-86.9631111111,-70.1482777777,-13.6295555554,-40.2963333333,-93.3333333336,-57.7284074075,-98.3704444443,-67.9999999999
193.61,-43.3489999999,-82.4726666666,-103.129888889,-83.959388889,-21.5963333332,-47.1046666667,-105.633777778,-67.6056296297,-100.939,-72.769888889
193.99,-54.4973333333,-91.8873333332,-114.285666667,-103.086277778,-29.8061111112,-53.9682222222,-120.987666667,-85.9494814812,-118.165777778,-88.5362222221
194.37,-59.6823333333,-83.4918888889,-103.492,-101.904666667,-27.9364444443,-50.6348888889,-110.476111111,-82.1163333336,-104.127,-83.6507777779
194.75,-42.2800000001,-62.6263333333,-81.0965555556,-68.2540555556,-12.6984444446,-31.0244444445,-86.0030000002,-61.3757407408,-80.3753333333,-60.7504444443
195.13,-30.9691111111,-41.844,-57.6831111111,-48.2860555556,-3.4278888889,-19.149,-58.0378888889,-44.9566666667,-58.629,-39.2433333333
195.51,-33.7605555555,-39.8504444444,-58.6538888889,-47.703,-6.517,-21.5811111111,-58.0127777778,-48.9317777778,-55.7693333334,-37.3933333333
195.89,-29.861,-33.7302222222,-52.7776666667,-40.8730555556,-2.67866666667,-16.5673333333,-50.4961111111,-40.9723333333,-46.4287777778,-32.7381111111
196.27,-37.9024444444,-38.8368888889,-55.2438888889,-44.2886666667,-3.63444444443,-20.8724444444,-57.0094444444,-48.4251851852,-45.4827777778,-38.0063333333
196.65,-48.076888889,-40.3846666667,-62.5,-48.2371666667,-4.59400000003,-22.9701111111,-62.2863333333,-56.161,-48.7181111111,-43.4826666667
197.03,-47.4558888889,-37.3832222222,-62.4091111111,-49.0133888889,-8.20377777777,-22.8452222222,-61.9936666666,-54.8632592592,-49.0134444444,-43.9254444445
197.40,-47.9366666668,-39.471,-59.3651111111,-51.1640555555,-4.55033333333,-26.8782222222,-58.9416666667,-51.2522222222,-51.7461111111,-46.9842222222
197.78,-49.1111111111,-43.3333333333,-61.8888888889,-58.3333333333,-7.22222222223,-31.0,-64.3333333334,-56.6296296297,-55.3333333333,-54.4444444444
198.16,-49.4950000001,-45.3423333333,-62.6263333334,-55.2189444444,-8.41755555557,-32.3234444445,-65.9932222223,-56.3785185185,-52.3008888889,-49.3826666667
198.54,-50.0002222222,-49.8737777778,-66.5403333332,-55.9974444444,-12.3736666668,-35.2272222222,-68.3079999999,-61.2793703703,-55.5556666667,-51.1363333334
198.92,-40.2173333333,-41.5457777778,-53.6233333333,-54.4083333333,-6.40111111113,-25.483,-57.8502222222,-48.9131111111,-44.3236666667,-40.3381111111
199.30,-41.7988888888,-47.0898888889,-59.7883333333,-58.8624444444,-12.9628888888,-26.7196666667,-66.7988888889,-55.6437777778,-49.4708888889,-45.7672222223
199.68,-56.7164444444,-61.36,-78.2754444446,-76.7827222222,-24.0464444444,-41.1275555556,-85.2404444443,-71.0337037038,-69.32,-60.8624444443
200.06,-79.999888889,-102.020111111,-110.908888889,-104.343444445,-52.7273333332,-70.505,-122.424333333,-109.427740741,-102.626111111,-82.8283333333
200.44,-101.932444444,-138.647222222,-150.241444445,-130.0725,-86.2319999999,-108.212666667,-148.067666667,-137.600555556,-140.338222222,-114.975777778
200.82,-148.148222222,-225.925888889,-229.966444444,-192.592666667,-141.077555556,-175.420888889,-212.794777778,-188.215555556,-204.713777778,-174.410555556
201.19,-123.856111111,-196.731888889,-202.614222222,-156.699388889,-116.666777778,-161.764888889,-183.660111111,-161.655888889,-163.398666666,-144.771333333
201.57,-65.4847777777,-118.676222222,-135.933666666,-100.236333333,-74.9411111112,-94.5626666667,-127.896,-100.393925926,-90.7802222221,-80.851
201.95,-46.2627777779,-94.3434444444,-107.474666667,-66.4648333332,-52.7272222221,-71.9192222222,-94.1413333334,-76.7002962963,-60.2018888889,-55.3535555554
202.33,-31.4285555557,-70.3173333333,-82.5396666666,-46.9045,-36.0317777777,-57.1427777778,-70.6350000001,-53.9682962963,-37.3016666667,-41.2697777779
202.71,-26.1517777777,-59.4851111111,-74.9323333331,-40.3792222222,-23.0353333333,-43.6314444444,-62.6017777777,-47.9675925925,-29.2682222222,-41.057
203.09,-48.0342222222,-88.0343333333,-112.136888889,-58.6324444444,-40.000111111,-73.3333333333,-96.4102222221,-78.4047037037,-50.2564444444,-65.4701111111
203.47,-63.9376666668,-107.797111111,-135.282666667,-68.9082777778,-52.0466666667,-101.949222222,-121.052666667,-103.183925926,-68.4212222221,-90.4483333333
203.85,-48.4517777776,-91.4388888889,-115.482777778,-54.5536666667,-40.2549999999,-82.3316666665,-98.5426666666,-84.9423703701,-48.4518888889,-76.5026666665
204.22,-28.4445555554,-54.8147777779,-75.8519999999,-36.1480555556,-21.6296666667,-50.6665555556,-61.6296666668,-55.4568518519,-21.3334444445,-53.0372222222
204.60,-24.3828888887,-55.8642222223,-74.537,-40.355,-23.7653333332,-53.2406666667,-65.1234444444,-57.5616666666,-21.1418888889,-53.2407777778
204.98,-7.235111111,-32.2998888889,-49.8706666667,-22.0285555555,-8.13955555557,-31.2662222222,-41.8604444445,-35.6587407407,-4.52211111112,-32.1705555556
205.36,-3.32200000013,-25.7732222222,-37.9153333333,-17.0102222222,-5.49833333334,-18.7856666667,-30.3551111111,-29.8204444444,0.8018888889,-28.2933333333
205.74,-10.7278888889,-34.9935555556,-46.6156666667,-19.4765,-10.6002222222,-24.6488888889,-30.9067777778,-39.1656666667,-5.74711111111,-37.0371111111
206.12,-9.3280000001,-33.3332222222,-45.953111111,-20.9188888889,-8.36755555556,-22.2223333333,-29.081,-38.4087037037,-5.76133333333,-38.8203333333
206.50,-30.9524444446,-66.6667777777,-77.9762222221,-42.4602777778,-26.7857777777,-37.4999999999,-55.357111111,-73.6111481481,-26.1903333333,-67.6587777778
206.87,-52.0325555553,-99.4578888889,-97.5609999998,-72.4931111111,-56.6395555554,-63.1436666668,-83.1978888888,-107.94937037,-48.5094444443,-93.496111111
207.25,-56.410222222,-111.111111111,-114.814888889,-92.735111111,-71.5099999999,-78.0627777779,-87.4644444444,-127.065555555,-59.5443333334,-115.954444445
207.63,-38.7533333333,-90.7857777778,-88.3469999998,-76.4228333333,-57.4526666668,-52.0326666666,-70.4607777777,-104.96837037,-23.5773333333,-84.0107777778
208.01,-70.6092222223,-126.164888889,-127.956888889,-101.971388889,-84.2295555558,-67.741888889,-115.412,-142.174296296,-31.1827777778,-110.035888889
208.39,-216.239444444,-358.119666667,-362.393222222,-257.692333333,-234.188333333,-231.623888889,-348.718,-384.045740741,-110.256444444,-305.982888889
208.77,-1594.44444445,-2144.44444445,-2444.44444444,-1655.55555556,-1433.33333333,-1477.77777778,-2327.77777778,-2412.96296296,-538.888888888,-2100.0
209.14,335.185222222,414.814777778,449.074222222,343.518666667,308.333444444,325.0,451.852,465.432185185,165.740777778,370.370333334
209.52,429.292888889,478.788,524.242444444,398.989833333,397.979777779,417.171666667,567.676666667,556.229074074,217.171666666,425.252555556
209.90,795.555555556,866.666666667,886.666666667,612.222222222,648.888888889,766.666666667,980.0,1054.07407407,226.666666667,726.666666667
210.28,737.037,749.999777777,851.852,453.703666667,566.666666668,688.888888889,794.444666666,934.567814816,238.888888889,664.814888889
210.66,395.959444445,400.000222222,491.919222223,273.232388889,329.293,430.303111111,448.484888889,549.494888889,160.606111111,408.080777778
211.03,208.212666667,203.864777778,277.294666666,161.111222222,156.521777778,244.927777778,245.410777778,291.304333333,85.990222222,206.280111111
211.41,206.878333334,204.232777778,261.904666667,160.581944445,161.904777778,240.740777778,226.455222222,296.825481481,68.2538888889,191.534222222
211.79,232.026222222,226.797444444,305.882444444,168.6275,172.549,273.202555556,241.176333333,320.915074074,56.2092222221,221.568555556
212.17,195.555444445,218.518444445,285.185111111,170.370333333,171.111,295.555555556,222.222333333,358.518444444,57.7777777778,242.222222222
212.55,156.349111111,167.460222222,254.761888889,149.999944444,128.571444444,268.254,159.523888889,326.719555556,50.0,224.603111111
212.92,-277.777777778,-304.166666668,-427.777777779,-243.75,-190.277777778,-436.111111111,-181.944444444,-596.759259259,-76.3888888887,-316.666666667
213.30,-42.424111111,-52.8617777777,-76.7676666667,-33.165,-12.4578888888,-74.4107777777,-12.7946666666,-119.079703704,15.824888889,-59.2593333333
213.68,-30.3418888891,-60.2564444442,-107.265,-36.5385,-9.40177777767,-85.0427777779,-6.83766666667,-147.863259259,21.7948888889,-64.9573333335
214.06,-131.746111111,-192.857,-307.142777778,-174.603166667,-101.587333333,-258.730111111,-133.333444444,-373.280333333,-37.3015555557,-202.381
214.44,537.777777777,806.666666666,944.444444446,830.0,606.666666667,1013.33333333,617.777777777,1231.85185185,360.000000001,715.555555556
214.81,966.666666667,1694.44444444,1800.0,1691.66666667,1088.88888889,2183.33333333,983.333333331,2592.59259259,416.666666667,1233.33333333
215.19,-355.555555553,-695.555555554,-673.333333336,-612.222222222,-471.11111111,-808.888888889,-297.777777778,-980.740740741,-231.111111111,-537.777777778
215.57,-204.166666667,-397.222222221,-404.166666668,-341.666666667,-197.222222222,-473.611111111,-144.444444445,-539.351851852,-123.611111111,-277.777777778
215.95,675.0,1083.33333333,936.11111111,949.999999999,583.333333333,1236.11111111,486.111111111,1276.85185185,527.777777778,816.666666668
