wavelength,Back_CreDenf,Belly_CreDenf,Breast_CreDenf,Crissum_CreDenf,Crown_CreDenf,DorTail_CreDenf,Patch10_CreDenf,Rump_CreDenf,Throat_CreDenf,WingTip_CreDenf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-23.6111666667,-29.1666666667,-23.6111666666,-4.16683333334,-37.4998333333,26.3888333333,-19.4445,-59.7223333333,-48.6111666666,-16.6666666666
179.16,716.666666665,833.333333333,666.666666667,750.0,1066.66666667,566.666666667,883.333333334,816.666666665,516.666666668,916.666666665
179.54,40.7408333333,24.074,12.963,29.6298333333,-1.18423789294e-15,38.889,37.037,-22.2221666667,25.9258333333,14.8146666666
179.93,-28.3333333333,-35.0,-40.0,-3.33333333334,-31.6666666667,-13.3333333333,-36.6666666667,-60.0,-45.0,-28.3333333333
180.31,29.4738333334,13.6843333333,19.2981666667,51.2278333333,-10.1755,39.8245,13.8595,-6.31550000001,7.0175,4.386
180.69,25.0,7.24633333333,16.1231666667,51.9926666667,-15.942,38.5868333334,8.33316666668,-17.5725,1.26816666665,-0.36233333335
181.07,31.1763333333,10.3921666666,20.0,60.5881666666,-14.7058333333,36.2746666667,1.3725,-17.8431666666,1.7648333333,-7.84316666665
181.45,37.3685,23.5088333334,26.6666666667,71.0525,2.45633333331,46.1403333334,17.5438333334,-3.50883333333,10.8771666667,5.08783333333
181.83,28.27,16.4556666667,23.4176666667,79.7468333333,-13.2911666667,44.0926666667,7.595,-15.4008333334,-0.422,-9.07183333335
182.21,38.0658333333,33.1278333333,36.6255,87.037,-3.90916666665,55.7611666667,17.0781666667,-1.85183333334,10.0823333334,-5.14400000001
182.59,26.3053333333,29.5181666667,31.3251666666,73.8956666667,-3.21249999999,52.6105,13.0523333333,-4.81933333335,3.6145,-11.4456666667
182.97,22.7476666666,25.4503333334,27.928,71.171,-1.35133333335,50.0,5.63066666665,-16.6665,-0.67583333335,-21.3963333333
183.35,25.0,35.0,36.4285,76.6666666667,5.23816666669,63.8095,9.76183333335,-20.0,5.238,-17.3808333333
183.73,27.381,44.0476666667,45.8335,83.3333333333,0.0,77.381,14.2855,-31.845,12.7976666666,-15.1786666667
184.11,32.7778333334,43.8888333334,46.9443333333,78.0556666667,7.5,80.0,15.278,-34.4443333334,6.38883333335,-7.5
184.49,39.2158333333,54.902,48.5295,79.657,14.2156666666,78.9216666666,17.6471666667,-10.2941666666,13.2355,9.06883333332
184.87,41.3145,57.9811666666,47.6526666666,82.1596666666,16.9015,73.9436666667,20.6573333333,-3.9905,19.4836666666,13.1455
185.25,40.2381666667,59.762,49.7618333333,79.2856666667,14.762,80.476,31.1903333333,1.1905,26.1905,26.1903333333
185.63,42.745,57.0588333333,52.745,74.7058333334,17.2548333333,76.4706666667,32.745,4.70599999998,30.0,30.5883333334
186.01,60.1851666666,64.8148333333,61.8826666667,79.7841666667,41.6665,83.3333333333,46.4506666667,29.7838333334,50.9258333333,48.9198333333
186.39,62.5396666667,60.0,59.5236666667,84.2858333333,42.5396666666,85.5555,45.0795,28.4126666666,52.5395,56.8253333333
186.77,66.3396666667,57.6796666667,60.4576666666,90.8495,42.4836666667,83.1701666667,49.9998333333,28.5948333333,56.2091666666,58.3331666667
187.15,70.5975,60.6918333334,65.2515,94.1823333334,41.195,85.0626666667,53.6161666667,33.4906666667,62.5785,63.3648333333
187.53,87.0968333334,62.0071666667,72.939,109.498333333,48.9246666666,97.8495,62.7241666666,36.7383333333,80.8245,73.2975000001
187.91,83.6955,47.6448333334,64.1305,101.992666667,41.3043333334,89.855,50.5433333333,27.355,76.9928333332,64.8551666668
188.29,83.1418333334,48.8505,63.9846666666,106.705,37.9313333333,91.1876666666,59.9618333333,30.4598333333,82.9501666669,69.3486666667
188.67,107.291666667,51.302,73.6978333334,139.062333333,48.9583333333,122.135333334,83.8539999999,26.3023333333,109.114666667,84.6353333332
189.05,114.009833333,57.0048333333,82.8503333332,138.164333333,61.8358333333,134.541166667,92.0290000002,36.715,119.082166667,97.3431666666
189.43,136.338833333,69.672,92.8961666665,169.125666666,76.5028333333,150.273,119.9455,44.8086666666,137.431833333,113.114833334
189.81,253.703666666,88.2716666665,139.506166667,301.234333333,108.642,269.135666667,204.938,41.9753333334,258.024666667,201.234333333
190.19,282.353,27.4508333332,110.7845,341.1765,30.3921666667,311.764833333,233.333166667,-69.6078333334,291.1765,223.529333333
190.57,736.111166667,27.778,241.666833333,786.111166667,-55.5555,788.889,627.778,-197.222333334,786.111166665,486.110833331
190.95,-1037.5,12.5,-212.5,-1125.0,158.333333333,-1216.66666666,-937.499999999,345.833333333,-1108.33333334,-820.833333331
191.33,-396.666666667,15.0000000002,-1.6666666665,-410.0,80.0000000002,-425.0,-356.666666667,183.333333334,-396.666666667,-281.666666667
191.71,-800.0,-110.0,-100.0,-886.666666665,23.3333333335,-776.666666667,-799.999999999,243.333333333,-840.0,-743.333333332
192.09,-477.083333334,-112.5,-54.1666666665,-585.416666667,-127.083333333,-447.916666666,-622.916666665,147.916666667,-572.916666667,-479.166666667
192.47,-232.353,-33.3331666665,-15.686333333,-257.843333333,-94.1176666665,-222.548833333,-281.372666666,50.9804999998,-322.549,-235.294166667
192.85,-229.761833333,-27.3811666668,-17.857,-304.761833334,-125.0,-201.1905,-321.428666666,71.4286666668,-392.857,-278.571166667
193.23,-214.583333333,-26.0416666669,-12.5,-247.916666667,-85.4166666667,-138.541666667,-291.666666667,20.8333333332,-322.916666667,-229.166666667
193.61,-151.666666667,16.6666666666,5.8333333335,-171.666666667,-67.4999999999,-102.5,-204.166666667,15.8333333334,-271.666666667,-171.666666667
193.99,-127.272666667,18.1818333333,18.1818333335,-146.969666667,-82.5758333334,-85.6061666666,-197.727333333,18.9393333333,-225.757666667,-148.484666667
194.37,-110.7845,-23.5295,-4.90183333335,-114.215666666,-95.0980000001,-75.0,-151.470666667,-18.6273333333,-145.098,-122.549
194.75,-118.181833333,-39.899,-27.7778333332,-149.495,-141.414166667,-85.8586666667,-185.3535,-25.2525,-166.666666667,-157.070833333
195.13,-133.333333334,-43.6271666667,-49.0195,-147.058666667,-151.4705,-92.6471666667,-184.803666666,-52.9411666666,-167.156833333,-152.451
195.51,-91.8699999998,-22.3576666667,-34.5528333333,-107.723833333,-114.634333333,-70.7315,-148.374166667,-47.5608333333,-124.796833333,-123.983833333
195.89,-78.6323333334,-7.6923333333,-18.3761666667,-100.427,-112.393166666,-52.1368333333,-140.170833334,-40.171,-117.948666667,-116.239333333
196.27,-130.107666667,-32.7956666667,-56.4514999999,-137.096833334,-150.537833334,-93.5483333334,-175.268833333,-91.9355,-160.215,-182.795833333
196.65,-93.9813333335,-0.92616666665,-42.5924999999,-87.9628333334,-102.777666667,-51.3888333333,-121.759166667,-44.4446666667,-86.1109999998,-133.333333333
197.03,-101.01,22.2223333333,-37.8785,-56.0606666666,-100.505,-48.9898333333,-127.2725,-49.4948333334,-65.6565,-122.727333334
197.40,-45.0355,33.6878333333,2.4825,-19.8581666666,-56.383,-10.6385,-75.8865000001,-11.3475,-24.1136666666,-57.4468333335
197.78,-31.4103333333,39.7436666667,-2.2436666667,-4.16683333335,-48.077,4.16666666665,-58.0128333331,2.2435,-13.4615,-57.0511666667
198.16,-46.0783333333,37.5818333333,-15.0326666667,-15.0328333334,-57.5165,-0.32683333335,-62.745,-12.0913333333,-33.9868333333,-64.3789999999
198.54,-31.2056666667,56.0283333333,-1.4185,-9.5745,-52.8368333334,18.7943333333,-57.4468333333,-1.41833333335,-39.0071666667,-52.8368333335
198.92,-10.993,81.2055,3.90083333334,10.2838333333,-38.6525,39.3618333333,-41.8440000001,19.5035,-24.1136666666,-41.135
199.30,-7.317,92.2761666669,4.4715,14.634,-47.561,56.9106666667,-50.8131666667,23.5771666667,-36.9916666667,-50.4065
199.68,-7.24633333335,76.0868333334,0.0,8.33333333335,-59.0578333334,49.6375,-44.5653333334,17.3913333333,-32.971,-43.8403333333
200.06,-3.66666666665,72.6666666667,14.0,23.3333333334,-50.3333333333,44.6666666667,-31.9999999999,18.6666666667,-23.0,-21.3333333334
200.44,20.106,70.8995,32.0106666666,32.5395,-30.6876666666,48.148,-7.9363333333,27.2486666667,-6.87833333335,-1.32266666665
200.82,30.9521666667,70.6348333333,38.6245,37.0371666667,-35.7145,54.762,-6.61366666665,20.8993333333,-14.2856666667,-2.91
201.19,28.8288333334,51.8016666667,25.4505,28.1531666667,-44.1441666667,38.964,-10.8108333333,15.0901666667,-24.0991666667,-16.6666666667
201.57,28.307,51.5871666666,15.0791666666,27.2486666666,-67.1958333334,32.0106666667,-24.0743333334,6.08449999998,-39.418,-37.8306666667
201.95,28.4311666667,47.794,24.2645,30.6373333334,-52.941,29.902,-16.9116666667,8.08833333331,-27.6963333333,-19.853
202.33,30.9896666667,46.3543333333,21.0938333333,31.25,-55.7288333333,30.7293333333,-20.0516666667,7.0315,-29.6873333334,-31.7705
202.71,43.671,59.0718333333,26.7931666667,48.5231666666,-31.2235,37.3418333333,6.751,23.4176666667,-6.11816666665,-13.924
203.09,43.4398333333,57.0921666667,46.9856666667,59.0426666666,-15.2483333333,39.1843333333,25.5318333333,25.8866666667,8.68783333335,6.02833333335
203.47,44.8221666666,50.809,46.1163333333,55.5016666667,-18.2848333333,29.7731666667,28.6408333333,24.919,12.6215,4.36883333335
203.85,48.1133333333,50.7861666667,49.2136666666,57.0753333333,-17.7671666666,30.0315,27.2011666667,24.8428333334,13.994,4.717
204.22,48.0766666666,46.6345,39.7435,53.2051666667,-20.032,27.4035,16.6666666667,22.7561666666,14.9038333333,-4.16683333335
204.60,50.641,43.5898333333,36.0576666667,56.4103333333,-21.6345,32.0511666666,11.5385,26.6028333333,21.4743333333,-2.72433333335
204.98,56.7011666667,40.55,40.0345,57.5603333334,-23.8831666667,33.1615,8.41916666665,25.4293333334,25.4295,-5.3265
205.36,59.0616666666,39.9675,44.8221666667,57.1196666666,-11.3268333333,39.644,11.3268333334,21.0356666667,34.9513333334,4.5306666667
