wavelength,Back_CalCocm,Belly_CalCocm,Breast_CalCocm,Crissum_CalCocm,Crown_CalCocm,DorTail_CalCocm,Rump_CalCocm,Throat_CalCocm,WingTip_CalCocm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-95.8333333332,-50.0000000001,-54.1666666666,-54.1666666667,-116.666666667,-25.0,-33.3333333333,-79.1666666668,-12.5
179.16,10.4166666667,33.3333333333,10.4166666667,1.7763568394e-15,6.24999999997,41.6666666667,6.25,6.25,22.9166666667
179.54,15.0,15.0,3.33333333335,16.6666666667,31.6666666667,38.3333333333,38.3333333333,20.0,8.33333333333
179.93,41.6666666667,20.8333333334,79.1666666667,16.6666666667,29.1666666667,58.3333333334,83.3333333333,83.3333333335,70.8333333333
180.31,37.28075,37.28075,46.05275,22.3681666667,20.1755,44.73675,26.9735833333,28.5085,40.7895833333
180.69,38.06825,39.394,48.1058333333,25.0,24.4318333333,45.6439166667,29.356,28.7879166667,38.82575
181.07,39.7436666667,43.58975,50.3205,27.0834166667,32.2114166667,48.3975,33.1730833334,34.2948333333,40.5449166667
181.45,38.368,40.4513333334,51.2153333334,28.8193333333,31.0763333333,47.2220833333,31.25,29.8611666667,40.6248333333
181.83,38.889,45.1388333333,55.7291666667,28.2986666667,30.90275,48.0903333333,26.7360833333,29.16675,42.3610833333
182.21,39.7798333333,50.9433333333,54.0880833333,28.4590833333,32.7044166666,49.0566666667,24.0565833333,28.4591666667,40.5659166667
182.59,36.8825833333,47.99375,48.3024166667,23.61125,29.93825,45.5246666666,24.84575,26.852,34.8765833334
182.97,38.0,52.0,50.6666666667,28.5,32.3333333333,50.0,29.5,27.3333333333,35.6666666667
183.35,40.7050833334,52.2436666667,50.6410833333,31.4103333333,41.3460833333,52.8845,32.0514166666,29.8075833333,38.6218333333
183.73,33.9621666667,42.6100833333,41.8239166667,24.8426666667,34.9058333333,44.6540833334,27.044,21.3836666667,30.81775
184.11,33.4721666667,40.5555833333,40.6945833333,28.6110833333,37.36125,46.2499166667,25.5555,21.6666666667,30.9720833333
184.49,27.4011666667,35.3105833333,35.7345,22.88125,35.02825,39.40675,18.079,14.548,22.8814166667
184.87,27.0115833333,32.75875,29.7413333333,20.9770833333,33.0460833333,37.9310833333,14.6551666667,13.793,22.1265833333
185.25,28.9005833333,29.2554166667,26.9503333333,20.21275,35.81575,35.4609166667,9.21983333333,5.67383333335,16.8439166667
185.63,37.5,37.01925,33.49375,25.3205833334,44.0703333333,41.9870833333,18.5898333333,16.1859166667,21.955
186.01,36.6013333333,25.3268333333,27.7776666666,23.0390833333,40.5229166667,36.4379166666,15.84975,11.4379166667,15.52275
186.39,36.1111666667,22.5145,27.193,27.9239166667,42.39775,34.2104166667,20.7601666667,14.3275,19.0058333334
186.77,40.4546666667,22.87875,27.8786666667,31.81825,45.4545,38.78775,19.0908333333,13.3334166667,22.4241666667
187.15,45.4023333333,25.431,28.5919166667,33.4771666667,48.8504166667,42.52875,20.4023333333,16.6666666667,27.0113333333
187.53,39.3080833333,16.35225,20.75475,27.673,41.66675,37.264,12.5785833333,6.60375000003,17.7671666667
187.91,40.7801666667,14.00725,20.74475,31.9148333333,45.21275,39.3616666667,11.5245833333,5.31925,13.4751666667
188.29,32.79,9.96375000001,7.971,24.4564166667,42.2100833333,32.971,4.71016666666,-2.71741666666,5.07241666667
188.67,39.3520833333,20.3704166667,13.426,32.4073333333,45.6791666667,38.426,16.9754166667,6.79025,13.1173333333
189.05,43.1033333333,27.8735,21.98275,37.3565,52.58625,44.3965833333,24.4253333333,10.4885833334,20.8334166667
189.43,43.09525,32.0238333333,25.4761666667,41.3096666667,52.1428333333,46.07125,27.3809166667,16.0713333333,27.738
189.81,37.1426666667,27.02375,20.3571666667,37.738,48.2144166667,40.9524166667,23.0951666666,12.7381666667,24.52375
190.19,36.9950833333,31.8181666667,20.07575,37.37375,52.0203333333,44.4445,25.3789166667,10.8585833333,27.7778333333
190.57,28.2408333333,17.7468333334,6.94424999999,25.61725,45.0616666666,37.037,12.65425,-8.33325000002,15.27775
190.95,27.1551666667,18.9655833333,9.33916666667,25.8621666667,47.5575833333,35.6321666667,16.5228333333,-5.89083333332,17.5286666667
191.33,29.3056666667,20.1388333333,12.5,28.7499166667,51.11125,37.6386666667,20.5555,-1.25008333333,20.4165833333
191.71,35.3175,28.1745,21.03175,35.3174166667,57.80425,41.00525,28.3069166667,7.01041666666,27.6455
192.09,37.30775,33.8463333333,24.1024166667,36.282,60.3846666666,43.2050833333,32.05125,8.33341666666,33.4616666667
192.47,42.6554166667,38.84175,30.226,42.0905,65.6779166667,48.0225833333,37.7116666667,10.5930833333,37.5706666667
192.85,37.4075,37.7776666666,28.70375,41.66675,71.29625,46.2963333333,37.4073333333,1.66666666664,36.66675
193.23,22.7778333333,15.5555833333,10.0,33.0555,69.7222499999,34.1665833333,25.8331666667,-28.889,20.27775
193.61,-1.56250000007,-21.875,-34.8958333333,15.1041666666,74.4791666667,5.20833333335,9.37500000003,-99.4791666667,-22.3958333333
193.99,-12.5000000002,-42.8570833333,-48.2143333333,8.33333333335,67.2619166667,-5.35708333332,0.595249999925,-135.714166667,-51.7857500001
194.37,-24.9999166667,-66.6665833333,-56.2499166667,25.0,66.6666666667,-15.9722499999,-11.8055000001,-149.999916667,-66.6667500001
194.75,26.3889166667,-76.3888333333,-52.7777499999,127.77775,208.333416667,37.5000833332,37.5,-187.500083334,-55.5555833332
195.13,441.666666666,1141.66666667,925.0,-325.0,-608.333333333,316.666666667,233.333333334,1508.33333333,891.666666666
195.51,105.769166667,159.615416667,140.3845,33.9744166667,21.7948333332,93.5895833333,84.6155,180.769083333,142.30775
195.89,86.9565833332,125.000166667,110.8695,48.1884166667,43.8405833333,75.3623333333,78.6230833332,136.231833333,112.318833333
196.27,74.7311666667,108.870916667,94.0860833333,47.043,48.9248333333,70.4301666667,70.6988333334,109.408666667,95.6989999999
196.65,70.2020833334,109.595916667,96.2121666667,47.4745833333,50.2525,78.5354166666,75.5050000001,109.8485,90.404
197.03,57.6388333334,99.3054999999,89.5833333334,37.9630833333,45.1389166666,72.4536666667,74.7684166667,102.083166667,80.5555000001
197.40,55.8081666667,97.2222499999,91.6665000001,37.62625,40.6565,69.9495,79.7980833332,107.57575,82.8283333334
197.78,59.7701666668,105.747166667,92.816,40.8046666667,42.8159166667,70.977,89.6551666668,117.241416667,85.34475
198.16,49.5935,79.2681666667,77.2356666667,36.99175,38.2114166667,64.2275833333,72.5609166667,89.8373333333,68.9024166667
198.54,35.5691666666,67.2763333333,66.0569166667,25.6096666666,28.0486666666,57.7235,58.13,77.6423333333,57.5203333333
198.92,49.2646666667,86.7647499999,86.7646666666,36.0293333334,40.68625,75.9803333334,74.0195833333,104.411666667,76.7157500001
199.30,49.5614166667,82.2369166668,84.4299999999,34.8684166667,42.9825,76.31575,72.3684166667,102.193,74.5614999999
199.68,43.6868333333,79.2930000001,78.5354166667,30.0505,39.1414166667,77.2727499999,67.1715833333,104.040416667,71.2120833333
200.06,48.8505,87.3562499999,86.7815833332,32.4713333333,43.9655,91.0920000001,72.1264166667,110.344666667,74.1379166666
200.44,56.1826666668,94.8925833334,91.9354166665,39.2471666667,51.8816666667,97.5806666667,76.3441666666,108.0645,76.6128333333
200.82,68.4343333333,99.2424166667,92.6766666667,44.4444166667,62.6263333333,97.4748333333,76.01,101.262583333,80.5556666667
201.19,77.0269999999,105.180333333,98.6486666665,54.0540833333,69.5945833333,100.4505,77.2523333333,98.1982500001,85.3604166667
201.57,76.58725,100.595333333,94.2461666667,47.42075,71.4286666667,100.397083334,70.0395833333,87.4999166666,78.9683333333
201.95,68.6666666667,88.1666666666,81.4999999999,44.0,65.3333333333,90.6666666668,62.0,73.6666666667,69.1666666667
202.33,68.0,87.3333333333,79.0,41.1666666667,64.6666666667,87.6666666668,57.8333333333,68.1666666667,62.3333333333
