wavelength,Back_CyaLucf,Belly_CyaLucf,Breast_CyaLucf,Crissum_CyaLucf,Crown_CyaLucf,DorTail_CyaLucf,Patch10_CyaLucf,Patch11_CyaLucf,Rump_CyaLucf,Throat_CyaLucf,WingTip_CyaLucf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-31.4815,-46.2963333333,-56.2962666667,-86.6667333333,-38.8889333333,-40.7407666667,-60.7406666667,-42.9629333334,-60.7406666667,-94.8148000001,-82.963
179.16,-113.3333,-154.4445,-133.333266667,-217.777733333,-85.5555999999,-42.2223666666,-135.5556,-168.888933333,-133.333333333,-224.444466667,-75.5554666667
179.54,-38.0952,-24.7617,-25.7142,-43.8093333333,-3.80970000002,14.7618999999,-59.0476666667,-25.7142666667,-24.7619333334,-95.2381333333,-72.381
179.93,146.6667,121.428733333,117.1428,156.190533334,109.047666667,98.0952666667,116.1906,159.047733333,139.0476,154.2858,149.5238
180.31,805.238100001,914.285866668,696.1906,985.714333333,786.666633333,530.952300001,826.666533333,799.999933333,752.380933333,964.7618,905.7142
180.69,1000.00006667,1129.44433333,875.555466666,1192.22226667,980.555600001,632.777899999,1014.44453333,966.666666665,944.444400001,1151.11106667,1150.0
181.07,310.877266667,352.456266667,270.8772,343.508866667,296.491266667,173.508666667,293.684266667,276.842,276.4912,332.9824,345.2632
181.45,196.7741,217.5268,173.548466667,219.1398,202.580666667,123.225933333,183.010733333,173.7636,184.731133333,195.0538,232.473066667
181.83,117.6836,133.954766667,101.807866667,135.367266667,129.773933333,82.5988666667,109.6044,108.926466667,118.531066667,107.796533333,138.87
182.21,99.4351333335,124.463166667,85.7627333333,118.531133334,118.813466667,69.3784666666,93.7854000001,88.1356666667,106.101866667,88.0225333333,128.587733333
182.59,78.6067666666,105.273666667,72.5372666668,100.696533333,100.895566667,53.1342666666,75.7214000001,77.612,94.9254666667,63.9801333333,105.8706
