wavelength,Back_TanVelm,Belly_TanVelm,Breast_TanVelm,Crissum_TanVelm,Crown_TanVelm,DorTail_TanVelm,Patch10_TanVelm,Patch11_TanVelm,Patch12_TanVelm,Rump_TanVelm,Throat_TanVelm,WingTip_TanVelm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,220.0,72.0000000001,481.333333333,-138.666666667,-89.3333333333,284.869565217,77.3333333333,169.333333333,86.6666666666,140.0,101.333333333,-86.6666666666
179.16,107.3015,102.3492,124.507933333,89.4920466667,96.4825466665,136.102249275,96.0634,122.4762,138.0318,126.7302,114.920533333,133.714333333
179.54,-85.0757333332,-80.606,-143.787866667,-49.4849166667,-60.9697333333,-113.379373913,-60.6060666668,-91.9696666668,-21.3636333332,-21.2121333332,-67.8787333334,-42.2727333333
179.93,-141.4286,-96.6666666666,-204.761933333,-75.8571199998,7.8096,-183.933718841,-10.9524000001,-112.857133333,10.4762333333,64.7618666666,-29.0476000002,-46.1905333332
180.31,-28.1158333334,-51.7759333333,-164.052,29.7541366668,-31.91352,-80.7424057972,-2.50419999986,-74.5446000001,15.2173333334,11.4396000001,-11.8095333334,39.4952
180.69,-70.8776666666,-89.7565333333,-225.317,-1.30134666674,-65.8416800002,-141.893275362,-44.5254666667,-104.363333333,-20.6850000001,-33.1557333333,-43.0746000002,13.5920666666
181.07,4.51056666666,-25.4894000001,-89.6163333332,35.2711533333,-4.1561066668,-48.7007652176,4.92059999994,-22.8042666668,32.8374000001,27.0900666667,27.0368666667,55.0926
181.45,53.14,31.3789999999,-8.9384666668,64.87756,42.7927999999,19.9063449276,56.6319999999,37.6885999999,71.2327333334,73.4028666667,71.5922666667,87.3562666667
181.83,73.5494,37.7778,2.2222666664,83.3086366667,62.5062399998,39.1010260869,70.3704666667,53.2715333334,91.7282666668,88.4567333331,95.5555333331,112.9012
182.21,92.8119333333,60.5239999999,47.7147333333,103.534926667,77.1882266667,70.0080985507,85.6942000001,79.1509333333,119.1245,97.8054666666,114.091666667,124.127
182.59,109.384533333,70.5086,61.8888000002,121.5082,81.2136266666,80.8162289855,101.876066667,98.2436,149.6004,114.525666667,137.367666667,150.303466667
182.97,418.807466667,360.814799999,395.333399999,428.829596667,309.448866667,423.409991304,411.644466667,395.274133333,634.933266667,490.4,508.607466667,454.162933334
183.35,-535.731966667,-544.091866666,-552.645466666,-491.744279999,-404.811266666,-616.293965217,-548.730199999,-502.627733334,-812.469166667,-623.245199999,-600.017666667,-517.583733333
183.73,-3765.40733333,-3861.62966667,-3707.70366667,-3841.22219999,-2940.88896,-4086.2415913,-3934.66660001,-3770.96306667,-5797.62966666,-4109.03706667,-4361.48153334,-3708.44446667
184.11,-450.222466667,-474.370333333,-476.740866667,-432.740636667,-332.577773333,-535.758518842,-471.629600001,-457.629466667,-686.6667,-499.851933334,-539.777600001,-370.888866667
184.49,-241.222266667,-272.444466667,-269.4444,-209.08338,-160.811066667,-313.029052174,-248.3334,-226.388866667,-296.6666,-271.9444,-243.666666667,-106.444466666
184.87,-253.3333,-288.421066667,-268.070133333,-231.438663333,-169.473666667,-328.543095652,-261.403533333,-251.579,-335.789366667,-269.8246,-263.8598,-92.6316666666
185.25,-1026.1905,-1152.22206667,-1094.9206,-747.769953333,-679.2064,-1215.82468986,-887.7778,-843.492133333,-801.666766666,-1060.79366667,-877.142866666,-62.5396666666
185.63,1.73576235638e+15,1.91488279611e+15,1.82958734862e+15,1.20266580958e+15,1.2529901236e+15,2.02539602807e+15,1.35619761506e+15,1.27943171232e+15,8.10306751136e+14,1.85944075524e+15,1.42016920068e+15,6.82363579894e+13
186.01,-1074.99999999,-1873.33333333,-1023.33333333,-2721.33333333,-1056.66666667,-2146.52173914,-2213.33333333,-2533.33333333,-5126.66666667,-1663.33333333,-2583.33333334,-2480.0
186.39,-111.416633333,-133.999933333,-76.8888666664,-245.555466667,-87.3889599999,-212.681246376,-198.7778,-237.277800001,-456.999933333,-145.0,-212.888933334,-216.889
186.77,-196.654066667,-172.641533333,-147.018933333,-297.694933333,-161.672866667,-293.659231884,-220.867933333,-290.339666666,-480.974866667,-213.345933333,-255.157266667,-214.427733333
187.15,338.906933333,268.868266667,306.635733333,409.527066667,315.255826667,461.348797102,325.767466667,414.3876,555.007733333,386.279,359.023266666,270.170533333
187.53,140.828666667,110.645,136.9554,171.624113333,134.431933333,190.64604058,134.6072,171.322466667,221.8367,170.971733333,151.2092,97.0255999999
187.91,152.600266667,102.903,152.852266667,188.200446667,143.623586667,221.643753623,153.3692,190.957333333,246.4032,193.1304,160.2782,115.643933333
188.29,121.215633333,78.2463999999,121.476466667,139.2344,108.86824,164.826127536,117.659333333,131.748533333,174.945766667,143.602933333,115.061733333,79.9167333335
188.67,120.8393,73.8953999999,127.558066667,135.211333333,108.182973333,163.377947826,119.657466667,136.269333333,166.993466667,147.176533333,108.365933333,69.8666
189.05,182.590733333,112.419,202.4624,205.67591,165.68072,271.992104348,173.038266667,218.829,246.811833333,239.535533333,162.2448,105.849066667
189.43,108.1651,54.6861333333,115.809133333,115.492466667,93.5663199999,159.615063768,85.2362666667,121.724866667,145.597066667,151.346266667,76.6018666667,52.8640666667
189.81,122.6609,62.6564666666,124.585266667,122.974866667,115.50344,155.205086956,95.6784000001,130.1528,154.5492,149.2392,84.112,64.1387333333
190.19,2018.4,751.266666667,2058.6,2123.26666667,2079.6,2815.77391304,1496.86666667,2403.13333333,2667.4,2426.0,1310.26666667,1247.93333333
190.57,1004.4309,391.951266666,1053.49593333,1043.06093333,1071.62606667,1361.91236232,677.886199999,1158.53666667,1268.37406667,1227.1544,660.894266667,628.130133334
190.95,-348.8406,-103.309133333,-417.608666667,-437.125666666,-459.260906667,-567.551840581,-189.589333333,-495.628000001,-555.024133333,-483.985533333,-242.995066666,-232.029
191.33,-45.0666666667,-6.7,-55.4000000001,-76.9533333334,-54.7000000001,-80.8057971015,-14.4666666666,-89.0,-78.1333333333,-27.8666666666,-35.4000000001,-51.7999999999
191.71,-16.2879333333,13.6946,-25.0348,-41.7092666667,-18.3846533333,-40.3308782608,4.70853333333,-45.9674666667,-36.8590666667,3.22846666668,-7.09793333334,-33.7296000001
192.09,-8.0118,12.1134666667,-21.6792666667,-40.9589433333,-15.70584,-29.937484058,15.1212,-39.3483333333,-26.3492,14.3942000001,-2.21386666666,-35.3131333333
192.47,0.639266666666,5.88473333334,-19.4176666666,-37.3782333334,-14.4313333334,-28.2587594204,17.6137333333,-30.8021333334,-17.3487333333,28.4800666667,11.0968000001,-35.0873333335
192.85,-20.6496,-23.0341333333,-58.2819999999,-83.0512233333,-40.1042666667,-59.3459971014,-1.77779999998,-64.3334000001,-49.1197,47.6922666667,3.05986666674,-66.5898
193.23,7.46333333335,0.357733333333,-28.9322000001,-39.3604799999,-15.70944,-34.9685536231,15.3009333334,-34.7534666667,-33.4364,45.664,28.3468666667,-24.6179333333
193.61,12.0011,14.1184666667,-15.2334666666,-31.9974633334,-10.7832533333,-27.459652174,20.871,-23.301,-18.9316333334,49.5101333334,40.9243333333,-18.7953999999
193.99,-119.703433333,-103.173333333,-193.804066667,-264.14778,-173.608253333,-178.139284058,-98.5875333333,-167.4576,-171.760766667,10.0376666667,-32.9849333335,-196.723066667
194.37,-112.395866667,-106.7708,-165.156266667,-238.291733333,-160.0,-157.346014493,-92.7083999999,-161.927133333,-145.208433333,-20.0000000001,-63.1250666668,-165.052066667
194.75,-32.2602666666,-21.4987333333,-52.8176000001,-87.10311,-51.2099066666,-53.8354057972,-18.9101333333,-48.3640000001,-46.267,14.5244,-2.13819999999,-42.9202666666
195.13,-76.6388,-66.5555333333,-114.666733333,-160.052803333,-104.94448,-117.297101449,-53.9444666667,-89.5000666667,-70.3611333334,4.94446666668,-37.6666666667,-93.3333333335
195.51,-47.5249333332,-41.6891333333,-81.2805999999,-117.58368,-74.5414933333,-81.7153507247,-39.5718,-54.0995333334,-43.6110000001,15.9510666667,-30.7781333334,-41.7184666668
195.89,-140.109466667,-144.995666667,-214.485733333,-280.621763333,-194.135373333,-190.402742029,-105.024533333,-109.807,-110.668466667,24.8286666665,-103.2556,-125.560266667
196.27,-649.697,-574.4372,-756.666666666,-953.021726667,-700.969666668,-700.239057971,-429.2208,-399.848533333,-409.956666667,32.8354666666,-458.073666666,-560.454599999
196.65,449.643933333,359.288,457.106000001,562.163643333,429.181866667,395.021098551,259.530266667,262.833333333,251.697,53.4242666667,297.318266667,435.409133333
197.03,207.5714,159.404733333,214.5952,237.077376667,184.500066667,188.003124638,117.666666667,117.690466667,105.035666667,45.5477333332,143.523866667,227.857066667
197.40,168.25,120.750066667,158.7222,160.29866,131.9166,134.526547826,103.388933333,86.3056,88.3055666668,79.5278666667,132.5,174.388933333
197.78,134.678666667,93.1155999999,128.344333333,104.88029,98.3419199999,103.80122029,94.9128666666,68.5728666666,67.4728,88.2354000001,116.895533333,152.037133333
198.16,146.757566667,109.8008,137.2122,112.93513,106.793106667,117.805950725,109.6738,86.6349333333,74.0722333332,100.891733333,127.0418,168.326
198.54,-1967.9523,-1109.23806667,-1592.0,-598.762066666,-950.438026668,-1196.06205507,-1747.04753333,-1029.42866667,-492.9524,-2194.85713333,-1740.85726667,-3137.90473334
198.92,14.1634,45.2574666667,44.0347999999,79.79748,52.7117333333,51.6628550725,0.10940000006,37.3487333333,46.8918666667,-32.6062000001,23.7324,-22.381
199.30,-172.1958,-67.2222666665,-100.3836,52.8485333333,-59.5158533336,-66.6907449276,-169.801533333,-52.8571333333,5.7208,-236.679866667,-112.5662,-308.954999999
199.68,-118.818,-25.2832,-102.494533333,54.2265933335,-18.4052266668,-44.9545826088,-138.3552,-40.8168666667,5.9695666666,-216.002266667,-106.753666667,-267.113266667
200.06,381.519666667,267.401933333,400.637333333,255.002466667,242.18636,345.656455072,375.196133333,281.9118,224.0686,391.274533333,361.421599999,565.000000001
200.44,274.1796,182.079466667,293.301933333,187.12117,160.61236,292.969008696,246.154666667,210.522466667,158.202666667,268.463866667,249.279066667,412.769066667
200.82,192.481566667,141.722,203.055533333,183.4258,144.200026667,237.123217391,158.388866667,151.833266667,129.814833333,166.574066667,180.7408,248.148066667
201.19,248.045933333,193.687866667,240.479,267.335266667,207.8046,322.845182609,190.775933333,180.344666667,166.647533333,171.1016,221.934933333,252.327533333
201.57,355.106233333,272.688533333,331.736333333,427.10412,345.377266667,520.852927536,264.4688,248.483533333,218.5714,185.4652,302.666666667,310.842533333
201.95,1347.65433333,1093.3334,1152.8396,1699.34574333,1415.35796,2004.53035362,870.370399999,893.086466667,841.111200002,522.222200001,1150.37026667,1054.32106667
202.33,-732.500000001,-737.916666665,-573.75,-1152.64583333,-925.250000001,-1246.14130435,-467.5,-451.666666666,-498.541666666,-84.5833333332,-633.75,-493.750000001
202.71,-652.309466667,-565.142799999,-361.523800001,-1026.91427333,-760.0952,-1169.63562029,-255.000066666,-278.714266667,-316.333333333,34.9524,-491.619066667,-322.285666667
203.09,200.305933333,145.1488,106.121533333,257.758953333,188.431013333,354.255428985,51.2702666667,74.5072666667,90.9601333333,45.3249333333,160.0838,126.272533333
203.47,120.641033333,79.9666666668,75.9978,149.855553333,100.278546667,228.138246377,30.8473333334,31.5943333333,56.8170666667,46.0423333333,77.2909999999,92.1181333333
203.85,144.362566667,89.1226666666,62.5847333333,165.767836667,110.491293333,277.063327536,12.3859333333,9.0058,49.9648666669,39.6724,59.9297333334,105.9064
204.22,157.8307,95.3969333336,42.2223333333,186.965563333,113.185373333,326.434350725,-10.053,-29.8413333333,39.8941666668,62.6455333332,65.8729333331,118.3068
204.60,140.6858,90.6219333331,70.1595333332,157.015823333,98.0861199999,230.943649275,46.0923999999,-3.3812,43.3812000001,116.3956,102.4562,125.422733333
204.98,650.087733333,-10.5262666673,296.666666667,154.710533334,30.3509200001,507.810724639,504.561533334,-188.07,44.9999333333,980.877133335,459.999933333,779.649066666
205.36,14.2503666667,74.2359333335,23.4449333334,77.40815,71.4079599999,60.6320000002,-19.734,66.8138666667,51.6203666667,-47.9828666667,22.8034,-23.2929333333
205.74,21.4282666667,66.5092666667,27.8952666667,72.77818,58.6939466667,62.4086695653,-3.55886666667,51.6983333333,46.6150666667,-16.6173333333,31.7922666667,5.17966666666
206.12,3.2062666666,67.8742000001,26.0982000001,82.6957833331,64.4519466667,57.6507913043,-12.4576666667,54.7316666667,35.7486,-30.6285333333,14.0819333333,-10.0742
206.50,-180.535666667,-18.9285999999,-94.7618666667,85.1428000002,36.1903466665,-88.2245623189,-153.095266667,46.1904000001,-0.9522666666,-213.6904,-102.499866667,-203.809533333
206.87,-18.4785333334,49.7980000002,26.3761999999,88.6842700001,82.0708000001,50.8048811595,-29.8737333333,53.0808666666,32.601,-46.0986000001,6.81813333342,-29.0278666666
207.25,14.7586666667,75.8473333334,62.0875333334,125.113466667,102.998946667,87.302973913,-17.4409333334,52.8396,39.7642666667,-23.1872666665,12.0762666667,-4.5791333334
207.63,64.7921333332,134.000066666,108.686,197.63001,163.951706667,155.76477971,8.35759999988,107.43,53.1787333333,1.54579999992,50.0773333333,39.9129999998
208.01,-258.245700001,-115.2632,-36.8420666666,176.339176667,90.8770933334,-50.262005797,-166.725066667,-38.5379333336,-67.6899666667,-327.953199999,-194.678466667,-244.444466667
208.39,621.999866667,578.373933333,358.926866667,217.590266667,272.422853333,530.126492754,326.504,329.3334,226.5692,549.495933333,453.398400001,548.065133334
208.77,507.247466667,511.464533333,314.646466666,210.29813,270.16156,461.682052173,266.010133333,321.414066667,234.444233333,467.929266667,330.909,424.393866667
209.14,334.474633333,368.989866667,231.171733333,199.40403,216.585773333,336.162498551,192.101133333,238.545466667,167.070833333,285.9596,213.393933333,271.757466667
209.52,342.902766667,353.4982,234.304,241.897423333,228.589826667,338.161318841,208.296733333,259.871733333,175.476233333,292.582333333,228.6448,255.000066667
209.90,263.926133333,280.629266667,197.291333333,206.581473334,187.197386667,266.703982609,171.080533333,224.696933333,152.193266667,240.529066667,212.549,204.3774
210.28,337.292433333,352.2924,276.021133333,271.451913333,234.532306667,333.004426087,242.911733333,299.0778,204.466466667,343.702133333,275.125066667,278.195133334
210.66,480.910900001,503.478199999,387.494799999,412.979213333,306.931573333,444.239020291,355.569399999,443.229866668,313.892233333,550.538466665,393.5818,407.680999999
211.03,541.385933333,568.035,411.175533333,471.817533334,389.315813334,529.836678262,416.684133334,565.175533333,383.824466666,674.754400001,462.807066668,462.385933334
211.41,-373.423033333,-351.4516,-289.462399999,-258.899733334,-229.247213333,-284.971171015,-232.508933333,-418.369199999,-231.469600001,-611.541266666,-263.118333333,-296.828
211.79,-7.9357666666,5.5445333332,-4.8492,11.6371799999,17.4204799999,14.7647420291,4.12206666668,-33.3302666665,17.6276666666,-70.2544666665,12.1384,-7.43173333342
212.17,23.8180999999,29.9645333333,18.1313333333,25.9546799999,33.57796,39.003063768,27.7726666666,8.24753333326,24.7120333333,-22.1666666667,39.0658,9.7526
212.55,40.5912333334,52.5372000001,35.1775333334,48.7486999999,48.6119466665,67.0280115943,46.0961999999,31.7439333333,36.6764333333,0.54273333332,54.4645333333,23.5402666667
212.92,33.0378333331,47.5519333333,24.8235333334,48.1402733333,44.9784266666,66.9476231886,39.6020666666,32.4204000001,33.2643666667,-6.10506666674,46.8061333334,11.1887333334
213.30,30.9063333333,49.1561333332,30.5539333334,50.2368566667,48.2218133333,57.8096173912,38.9604,38.0198,33.0865333333,4.1972666666,42.2267333334,16.7998666667
213.68,29.1138333332,54.3757333333,26.7990666666,60.6528733334,53.1851199999,63.1401217392,42.1269333334,41.0423999999,35.4709333334,-0.44979999992,45.7725999999,23.9312666666
214.06,46.1068333335,67.7248666666,42.0664666666,83.0293266665,67.97116,73.1118115942,53.9663333334,52.2751333334,52.5454666667,13.6718666667,64.8368666667,39.5074
214.44,40.1893666667,56.3637333333,40.4924666667,83.7983499999,69.3749599999,60.2445072463,57.9544666667,48.4470000001,45.7765333334,7.8029333334,67.4430666668,44.7158666666
214.81,65.1361333333,70.7698666666,60.3334000001,112.8992,86.9154799999,88.385994203,68.9600666667,74.2909333333,60.9964666667,35.8497333333,78.0844000001,66.4178000001
215.19,49.6666666666,63.6748666667,39.8943333333,144.924333333,90.5771999999,89.5460927537,47.2358000001,73.6666666668,52.4877333335,-17.7722666668,79.5854000001,51.6585333332
215.57,-71.304433334,-69.0338000001,-108.115866667,139.99527,30.5313600001,-78.162147826,-65.3624000001,-7.77779999994,-42.0772333334,-275.507266667,0.57980000006,-86.7633333333
215.95,336.666733333,395.595266667,231.7858,421.07136,378.9762,578.188405797,128.333333333,197.857066666,225.9524,327.619066667,219.761866667,242.023733333
216.32,340.634933333,354.9206,226.984133333,398.37294,385.460413333,594.692820289,102.8572,126.507866667,219.603233333,296.508,207.142666667,250.793466667
216.70,811.666666667,813.333333335,530.0,1001.33333333,1059.33333333,1546.23188406,23.333333332,50.0000000007,288.333333334,603.333333333,613.333333335,479.999999999
217.08,-5.0,-98.3333333332,-151.666666667,120.583333333,-130.0,-324.999999999,-115.0,76.6666666666,-64.1666666666,-313.333333333,-91.6666666668,-50.0
217.46,-161.190433334,-374.761799999,-752.380933333,185.999933334,-912.857133333,-1311.4908029,-455.714266667,110.4762,-335.714199999,-1213.80946667,-520.952400001,-316.1904
217.83,-799.333333332,-400.0,-120.0,-1128.2,-1614.66666667,-730.434782609,1045.33333333,598.666666666,1354.0,1524.0,-509.333333333,223.999999999
218.21,344.444466667,220.0,60.0,357.333339999,1331.5556,541.352701449,-1396.66666667,-950.0,-1760.5555,-2145.55553333,-27.7777999988,-743.333333334
218.59,-141.190466667,-221.4286,-126.190533333,-105.333236667,-631.333333333,-301.035168116,649.523800001,483.333333333,953.333333335,1068.5714,-73.3332666662,408.571466667
218.97,3.0402666666,71.6484666667,-31.0623999999,8.2106333334,13.0621733334,-54.3573855072,-155.7144,-111.282,-227.0147,-316.776466667,-64.9816666666,-115.7876
219.34,42.7678333333,79.3928666668,25.7201333333,39.2752500001,44.8191733335,21.7819710145,-8.71420000002,-2.11306666667,-43.4524666666,-72.6367333334,14.5892666667,-4.41666666668
219.72,38.8465333333,68.4836666667,31.4316,47.7357900001,52.9011333333,36.1998173913,12.7921333333,16.6500666667,-15.6659333333,-31.0144,31.093,19.5011333333
220.10,47.0574000001,76.1584666666,41.9192,55.5047433334,67.9734000001,52.1725304347,22.5531333333,28.8059333333,-3.40853333333,-19.6295333333,43.3174,34.8934666667
220.47,48.5726666667,84.7650666666,44.6648666667,62.4150699999,78.1358933333,62.2303884059,25.7228,31.9289333334,-17.9024333333,-45.7957333333,42.6265333334,39.4346666667
220.85,38.8889,64.3138,38.6112,48.9779533334,69.0391466666,46.1509913045,8.3822666666,19.9345333334,-42.0832666667,-75.2287333333,13.5784666665,38.2190000001
221.23,16.4321000001,62.4634,34.8192,38.5640766667,75.2921599999,62.7250376812,23.8709333333,2.63926666667,-81.7496666667,-129.9316,-14.7017999999,29.3645999999
221.61,232.539666667,139.619066667,93.0793333334,128.330133333,81.3333733335,115.897901449,52.3810666667,160.952466667,107.809533333,264.952333333,224.253933333,116.3176
221.98,218.7625,225.404133333,109.242466667,160.691876667,183.686853333,156.85768116,65.4038666666,152.929333333,18.6868666667,64.2930000001,168.1818,138.1818
222.36,220.276,206.797466667,119.578933333,174.957183333,168.244066667,160.970550725,86.7974666666,159.927333334,53.5222666667,116.7322,181.888266667,136.092866667
222.74,297.833333333,306.472133333,140.611133333,239.409793333,263.861133333,221.079710145,124.4444,225.5,52.4027666666,106.611066667,211.500066667,165.416666667
223.11,-455.160466667,-523.802466668,-144.8148,-410.530846667,-455.441999999,-392.364968117,-208.839466667,-392.0988,-89.6912333333,-130.839466666,-353.086533333,-249.209866667
223.49,-48.1057333332,-73.5171333335,15.2459333333,-50.0528333334,-67.0289333334,-57.7354724637,-18.1885333333,-52.8505333333,17.9034666667,16.0643333333,-19.9309333333,-24.3632000001
223.87,-1.5005333334,-26.4000000001,28.3886666667,-5.27346333334,-11.0445333333,-13.9608579709,7.31306666666,-11.3039333333,30.5514,32.4994,14.0836666667,1.43500000001
224.24,-20.6031,-48.5713999999,6.85706666668,-26.4667266667,-35.9365600001,-37.4396376812,-6.28566666668,-34.1271333333,9.88896666665,19.4603333333,-5.23819999998,-12.2538666666
224.62,-88.0411333332,-126.8254,-49.3868666667,-92.60617,-112.784893333,-111.823457971,-62.0995333335,-114.7546,-48.4056333333,-39.3578666667,-62.4529333333,-61.8685999999
225.00,-80.4286333334,-129.214333333,-59.5555333333,-100.912626667,-122.473066667,-123.272878261,-61.1032666666,-109.730066667,-63.2064666666,-42.881,-65.7619333335,-67.2143333332
225.38,-74.4852000001,-133.508133333,-67.4884666668,-108.749726667,-134.0284,-136.406382609,-51.9737333333,-107.195666667,-79.5475333333,-28.0611999999,-57.7617333333,-59.8251333334
225.75,-116.9194,-188.0054,-122.957666667,-181.21172,-212.267666667,-209.080284058,-68.1966666667,-166.004,-137.301933333,-34.2623333333,-80.1365999999,-68.0873999999
226.13,-25.1018666667,-52.1254666667,-39.3826,-53.4208800001,-67.5395466666,-76.2629826087,-11.3114,-53.0898666666,-35.0900666667,10.6406,-8.56859999999,-13.41
226.51,-6.92733333333,-18.1999333333,-18.2812666667,-30.78823,-38.2715866667,-48.2661449276,3.14259999999,-26.0027333333,-12.6269,22.6757333333,-4.22066666668,-5.45633333335
226.88,1.70103333333,-0.968266666666,-3.82100000001,-20.4370566667,-21.8465866667,-28.7591507247,12.1902666666,-13.111,-1.62293333333,25.8176666667,-1.13033333333,-6.00259999998
227.26,13.4732666667,13.0516,6.40793333332,-3.38787666668,-7.95582666667,-8.35497971015,23.2594,-2.21913333333,15.7632333333,38.3376666667,14.0519333333,9.61106666668
227.64,8.39430000002,14.7922,4.3532,-4.14927333334,-9.43733333333,-7.25139710144,21.7642666667,-4.36133333335,14.3607,35.7741333333,7.38426666666,7.10373333334
228.01,6.49116666667,11.0072666667,4.12293333333,-5.05480000001,-13.0519733333,-7.41560869565,24.9193333333,-4.34306666666,14.7541333333,32.7432,9.43613333333,5.64646666666
228.39,6.09700000001,9.02659999999,10.4526,0.86442333334,-8.68622666665,-3.63142318841,23.3111333333,-3.59706666667,21.1994,32.6240666667,12.766,7.74199999998
228.76,11.8982666667,13.6935333333,19.5296666667,8.49251999997,-0.21814666666,5.52299710143,26.1502,4.02226666669,28.7951333333,37.3208666667,17.4540666667,12.6313333333
229.14,12.9189666667,12.5574,21.7234666667,10.98348,3.75072000001,9.06355652175,26.8449333333,5.96213333335,29.0161333333,37.2128666667,16.9057333333,14.4615333333
