wavelength,Back_TanCalm,Belly_TanCalm,Breast_TanCalm,Crissum_TanCalm,Crown_TanCalm,DorTail_TanCalm,Patch10_TanCalm,Rump_TanCalm,Throat_TanCalm,WingTip_TanCalm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,946.666666668,873.333333332,980.0,893.333333333,976.666666666,913.333333333,866.666666667,986.666666666,633.333333333,1230.0
179.16,186.666666667,158.666666667,213.333333333,196.0,175.333333333,174.666666667,137.333333333,198.666666667,140.0,235.333333333
179.54,153.333333333,149.333333333,192.0,148.0,146.0,178.666666667,132.0,180.0,91.9999999999,170.0
179.93,112.380933333,119.999933333,122.8572,77.143,75.7143000002,110.476133333,62.857,100.000066667,65.7142666667,106.6667
180.31,118.4416,114.718533333,131.688266667,106.580066666,105.670966667,109.697,101.471733333,121.385333333,95.4979333333,148.095066667
180.69,111.7022,109.148866667,125.248333333,108.652466667,104.22,104.3262,100.4964,117.375866667,92.8368666667,143.4752
181.07,105.565733333,102.201866667,116.880666667,103.6086,96.0549666667,97.8593333335,94.4341999999,111.0092,89.5412,131.3148
181.45,106.9754,103.703866667,115.740866667,103.395,96.2963666667,94.4444666667,95.5556,110.4322,90.9876,128.919666667
181.83,103.160933333,99.5401333335,107.873466667,99.7701333335,93.6207666667,89.3678,91.839,106.206866667,88.5633333333,124.597766667
182.21,106.6668,102.956533333,110.029,104.579733333,97.6811333333,91.7680666665,97.1015333333,110.898466667,94.3187333334,129.043633333
182.59,109.375,104.947933333,108.593733333,105.416733334,100.052133333,92.3958666667,101.354266667,111.5626,96.8750666667,129.114766667
182.97,109.264733333,105.588066667,106.813533334,104.901933333,98.3088000001,92.5000666666,100.931333333,109.754933333,96.4706666667,127.9412
183.35,109.571533333,104.0952,102.904666667,102.333333333,95.9762,92.3333333334,97.8571333333,108.1428,95.0953333334,122.142766667
183.73,113.3334,108.556466667,105.774266667,108.083933333,97.7428,92.8610000001,97.3752666666,109.291133333,95.0655999999,126.115466667
184.11,113.963333333,111.863533333,107.034066667,111.653533333,101.1024,95.8005333334,100.5776,111.233533333,95.6955333332,128.477766667
184.49,109.091,106.868733333,100.6564,107.4242,98.0302666667,90.9594666667,97.4242666667,108.131133333,91.9192000001,122.676566667
184.87,100.046266667,95.9721333333,88.7036666667,93.6573999999,85.7407333334,81.6665333333,86.2499333334,94.6296,81.8055333333,107.5694
185.25,98.6190666666,95.1428000001,87.6667333333,92.9047333334,86.8570666666,83.1429333333,87.7143333333,93.5239333333,80.9047333333,107.0714
185.63,96.5518,91.4023333335,85.1035333333,89.7010666667,84.4598666667,86.5747999999,87.9080666665,91.8160666667,79.954,105.3562
186.01,94.3123333333,90.3497999999,83.5431333333,88.5315999999,82.0979000001,84.8019333334,86.5734666668,88.9510666667,79.2074666667,103.4034
186.39,86.2194,84.7155333334,78.4959333333,83.7399333334,74.4307666666,78.374,80.5284666667,83.1707333333,71.5852666667,93.7397666667
186.77,80.6061333333,78.4646666667,73.2122666667,80.4040666667,69.3132666667,74.3433333333,76.6060666667,79.3534666667,66.1818,85.6765666667
187.15,74.972,73.6684666667,71.2848,75.9032,67.6535333333,70.8752666667,71.918,74.0409333334,62.0484,78.9757666667
187.53,70.5073333333,69.7826666667,69.3478,71.2681333332,64.5473333333,66.7028,68.8767333333,70.7608666667,59.384,75.3442333333
187.91,70.4422666667,69.8640666667,70.4762666667,71.3605333333,65.3060666667,67.7889333334,69.7617333333,72.0067333333,61.1564666667,74.8469666667
188.29,68.8888666667,67.1974666667,67.0646666667,70.7463333333,64.8259333333,65.9038666667,67.8274666667,71.5754666667,60.3316666667,73.0679
188.67,65.0504666667,63.5354666667,63.0976666667,68.7879333333,62.34,64.5454666667,64.1413333333,69.1582,56.7677333334,71.2961333333
189.05,66.6666666667,65.0171333333,64.6047333333,69.1064666666,64.1924333333,65.7044666667,65.0172,72.4055333333,58.6942,73.2816
189.43,64.8359333333,63.9378,61.5198666666,66.5632,61.2262333333,60.8636,61.2780666667,69.7064666667,56.891,69.2574333333
189.81,60.0984666667,60.6568666667,57.8653333333,63.0542666667,57.6190666667,54.844,58.0294,66.0098,53.8916,66.4368333333
190.19,63.5275333333,62.8479333333,61.7475333333,64.0454,61.3431,57.0874,60.8415333334,69.5469333333,57.1520666667,68.6732
190.57,65.7970666667,62.2464,61.3768666667,63.2970666667,64.6921,58.2972,62.6086666667,70.7246666667,60.5796666667,70.3442666667
190.95,59.4898,57.4828666666,56.4965333333,58.0612666667,60.6462,54.5578,58.0272666667,66.1564666667,55.8164666667,65.2040666667
191.33,60.5556,58.0556666667,55.7639333333,57.8125333333,60.5382666667,56.6666666666,60.3124666667,68.5069333333,57.6736666667,65.4168
191.71,60.1674,58.8273333334,56.1473333333,58.8274,59.0954666667,58.3583333333,60.4356,68.2410666667,58.6598666667,66.8006
192.09,59.0619333333,57.2528,54.8073333333,56.9178666667,56.9514333333,56.4824666667,59.4306666667,66.1976,57.1187333333,65.4272
