wavelength,Back_SpoBoom,Belly_SpoBoom,Breast_SpoBoom,Crissum_SpoBoom,Crown_SpoBoom,DorTail_SpoBoom,Patch10_SpoBoom,Patch11_SpoBoom,Rump_SpoBoom,Throat_SpoBoom,WingTip_SpoBoom
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,170.370444444,87.0371111111,140.740777778,170.370333333,148.148111111,159.259222222,159.259111111,122.222555555,150.926055555,137.037,83.3334444443
179.16,25.5555555555,25.5555555555,45.5555555556,15.5555555556,20.0,25.5555555556,14.4444444444,52.2222222222,33.3333333333,49.9999999999,54.4444444443
179.54,75.3967777777,76.1904444444,86.5080000001,78.5714444445,82.5396666667,88.8889999999,55.5556666667,101.587555555,77.7777777778,83.3334444445,81.746111111
179.93,77.7777777777,-74.0742222221,-62.9629999999,33.3333333333,18.5185555555,-9.99970476793e-11,114.814777778,0.000111110999995,-12.9629444445,125.925888889,74.074111111
180.31,26.5536666667,82.674111111,72.5046666666,56.1207777778,31.0735555555,74.0113333333,38.4182222222,82.2974444445,51.6007222222,52.5424444444,58.7571111111
180.69,22.0587777778,78.2679999999,64.2156666666,54.5752222222,28.7582222222,70.915111111,39.3791111111,84.9674444445,46.4869444444,47.7123333333,49.1829999999
181.07,27.9202222222,73.9315555554,59.5442222222,58.832,33.3334444445,74.5013333335,42.3076666667,87.7493333333,48.6468333333,50.5697777778,45.584
181.45,31.2234444444,73.6990000001,61.6033333333,64.2756666667,37.6934444444,76.7933333335,49.9297777778,92.6863333333,50.1407222222,55.8367777778,43.1785555554
181.83,36.8945555556,72.9343333332,63.6752222222,73.3618888889,40.3133333333,83.3332222222,54.5583333333,92.022888889,50.4273333333,65.3845555556,42.1654444445
182.21,40.5497777778,63.9174444445,58.6485555556,73.7685555556,40.8934444445,76.0596666665,58.9921111111,86.4832222221,47.3081666667,70.2176666667,46.9643333333
182.59,37.7985555556,58.4631111112,52.7517777778,66.6666666667,42.6792222222,69.8856666667,57.4246666667,77.5701111111,44.2366111111,67.6011111111,42.4713333333
182.97,35.8635555555,54.2354444443,46.9747777778,64.5764444444,43.4543333334,66.5566666667,55.2255555556,84.4885555555,43.3993333333,71.3972222222,41.5842222222
183.35,28.4978888889,43.6215555556,40.2263333333,54.5266666667,38.4774444444,59.2591111111,49.2797777778,80.3497777778,35.9053333333,63.3744444444,35.2881111111
183.73,32.2015555556,46.5022222222,44.2387777778,60.4937777778,44.2385555556,59.6707777778,53.6008888889,83.6418888889,36.7283888889,63.5802222222,40.9463333333
184.11,35.5932222222,51.0357777778,49.435,64.2185555555,53.2015555556,61.7702222222,56.5914444445,83.6157777778,40.5838888889,71.0923333333,46.4218888889
184.49,39.3701111111,56.4303333333,51.0935555556,69.4664444444,56.6931111111,65.5293333333,55.9931111111,84.427,45.9753888889,77.0777777778,50.3063333333
184.87,43.3425555555,61.0653333333,57.5756666667,77.1347777778,62.9017777778,70.6153333333,59.1367777778,85.3994444444,52.2498333333,82.369,59.3205555556
185.25,48.9261111111,67.4135555556,69.0942222222,83.1934444444,70.9617777778,75.3502222221,65.8263333333,91.8768888889,59.1503888889,89.3556666668,66.9467777778
185.63,50.1425555555,71.5101111112,70.4654444445,86.5148888889,75.0235555556,79.0123333334,63.6276666667,95.8214444445,58.6894444444,87.5594444443,67.8061111111
186.01,40.56,66.8473333333,64.2276666667,76.1517777778,68.4735555556,69.1961111111,54.2005555556,87.9854444445,51.8065,77.9584444444,63.3243333333
186.39,40.8,68.088888889,65.6,74.5777777778,69.2444444445,69.6,51.1111111111,87.6444444444,54.0444444444,74.6666666667,62.2222222222
186.77,42.6901111111,64.8287777779,67.1678888889,73.6842222222,69.1728888889,71.5123333333,49.2901111111,87.4688888889,54.6367222222,72.2638888889,61.3198888889
187.15,45.6098888889,69.3862222221,71.2511111111,76.146,72.1831111111,76.6123333333,52.0591111111,84.4597777778,57.6145555556,74.2812222222,62.2377777778
187.53,45.7746666667,75.273888889,74.1785555556,79.8122222222,76.9171111111,78.7168888889,53.9122222222,83.5682222222,59.8201666667,76.4474444445,65.8842222222
187.91,46.6025555555,72.5020000001,75.2197777778,79.4563333333,73.9408888889,80.6555555555,49.5603333333,83.2933333334,57.9536111111,74.4204444444,65.148
188.29,46.9733333333,69.7317777777,71.4176666666,77.7778888889,68.1225555555,79.8467777778,44.3677777778,78.0078888889,55.0191111111,68.1226666667,60.1532222222
188.67,45.8243333333,64.4153333333,69.0632222222,74.0013333333,68.5548888889,76.0346666667,41.9025555556,72.5488888889,52.7234444445,62.8175555556,57.952
189.05,45.4545555555,62.6263333333,67.893,70.7793333334,66.5944444444,73.8094444444,39.1054444444,70.5628888889,48.124,62.6263333333,57.648
189.43,41.5636666667,59.6706666667,62.14,66.804,61.1111111111,72.2907777778,34.3622222222,62.4828888889,45.3703333334,61.5911111111,56.31
189.81,41.4633333333,60.2981111111,60.7045555556,66.2602222222,58.9431111111,72.4253333333,35.298,58.7398888889,46.9849444444,62.0595555556,56.9784444444
190.19,40.6745555555,57.7381111111,57.9365555556,65.6746666667,57.3411111111,72.5528888889,37.2353333333,58.3332222222,46.6931666667,60.1854444444,56.9444444444
190.57,36.7724444444,56.0185555555,51.3888888889,62.1032222222,54.365,70.8334444444,31.9444444444,51.918,42.9895555556,58.201,54.6956666667
190.95,35.1967777778,56.4525555556,48.3091111111,61.2146666667,50.4485555556,68.8061111111,28.5714444444,48.5852222222,38.7163888889,56.4527777778,54.5201111111
191.33,35.5297777778,52.1318888889,45.7364444445,57.3642222222,47.2868888889,62.597,25.7106666667,46.3178888889,35.0776111111,52.4548888889,54.7156666667
191.71,39.2156666667,52.4836666666,45.6864444444,60.1961111111,46.9282222222,64.3791111111,25.6863333333,49.9345555555,37.6796111111,56.0783333333,57.1895555556
192.09,38.1046666667,54.183,44.706,61.5033333333,49.3462222222,65.0982222222,26.9281111111,49.6731111111,38.6276111111,58.1698888889,58.889
192.47,35.8235555556,50.8301111111,42.3371111111,58.6206666667,47.5733333333,60.5364444444,27.5223333333,47.8286666667,39.6872222222,56.7686666667,58.3652222222
192.85,33.9286666667,49.537,35.7805555555,55.754,42.9895555556,59.127,25.7273333333,45.635,36.4748888889,55.9523333333,57.0765555556
193.23,29.4293333333,44.2042222222,32.2524444445,52.4323333333,38.3784444444,54.5945555556,22.2222222222,41.922,35.8558888889,52.8526666667,50.4504444444
193.61,30.264,44.3216666667,31.2462222222,53.6525555556,40.5156666667,54.0822222222,21.854,43.4006666667,32.6580555556,50.399,49.5398888889
193.99,27.4436666667,41.1658888889,28.051,50.1517777778,38.0692222222,52.1554444444,17.7292222222,39.5262222222,28.9312777778,48.3911111111,49.0588888889
