wavelength,Back_SalOrem,Belly_SalOrem,Breast_SalOrem,Crissum_SalOrem,Crown_SalOrem,DorTail_SalOrem,Patch10_SalOrem,Patch11_SalOrem,Rump_SalOrem,Throat_SalOrem,WingTip_SalOrem
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-7.40739999999,-37.4074666667,-9.62946666668,-22.2223333333,-38.5185333333,14.0739333333,-12.5925666667,-26.6669999999,-1.11126666667,-27.4074,5.92593333333
179.16,244.444533333,236.6668,284.444466666,270.000066667,262.222266667,240.0,215.000033333,241.111066667,239.166616667,224.444466667,151.111
179.54,138.889066667,121.1113,187.777733333,162.222133333,141.666666667,171.1112,84.4443999999,130.555666667,120.833233333,135.555466667,16.6666666667
179.93,-19.9999999999,-79.9999000001,-28.8887333333,-71.1111333334,-102.222233333,-53.3332666667,-161.1111,-33.3333666667,-48.8890166669,-88.8888,104.444466667
180.31,-345.454733333,-386.666633333,-548.484866667,-558.1818,-442.121266667,-416.3636,-357.2727,-388.181866667,-354.545516667,-481.212,-97.5757333332
180.69,-233.75,-246.875,-375.833333333,-387.5,-299.166666667,-276.25,-231.25,-277.5,-230.625,-305.416666667,-25.8333333334
181.07,-167.7778,-182.962966667,-279.6296,-311.851866667,-185.926033333,-203.3332,-162.0371,-200.740833333,-154.537083334,-224.815,17.4074000001
181.45,-88.4615333333,-106.153866667,-157.179466667,-186.923066667,-90.1282,-102.820533333,-97.4359999999,-105.769133333,-74.2949,-136.923133333,11.5383999999
181.83,-41.6668,-53.1060333334,-75.4544666667,-93.6363333334,-33.1818666667,-36.8183333333,-50.5304333333,-50.3030000001,-34.3939,-68.6364666667,8.7878
182.21,-56.0361333333,-64.0539999999,-94.9550666667,-111.351333333,-34.1441666667,-35.4955333333,-56.3964333334,-61.7118333332,-42.4325833333,-84.6847333333,3.964
182.59,-95.9140666667,-89.1397000001,-120.860133333,-134.408666667,-51.7204333333,-53.9783333333,-78.7096000001,-88.4945666666,-66.0214833333,-106.6666,-9.46233333334
182.97,-117.6924,-119.1026,-150.512733333,-168.205133333,-62.5641666667,-65.6410666666,-97.5639666667,-114.3589,-84.1024333333,-126.410133333,-39.4872
183.35,-203.666666667,-208.666666666,-233.666666667,-291.333333333,-113.5,-139.0,-166.833333333,-197.833333333,-160.666666667,-227.0,-98.0
183.73,-221.960733334,-251.568733333,-261.9608,-330.980533334,-124.705933333,-168.6276,-207.254966667,-229.803866667,-168.72555,-254.9018,-123.137066667
184.11,-1056.66666667,-1148.33333333,-1131.66666667,-1300.0,-518.333333333,-699.999999999,-834.999999999,-1078.33333333,-749.999999999,-990.0,-636.666666667
184.49,465.333333333,542.0,462.0,530.666666667,219.0,282.666666667,390.666666667,455.666666667,330.833333333,423.999999999,339.333333333
184.87,267.826133333,295.797,254.492733333,280.579733333,149.565166667,182.608666667,219.5654,237.6811,201.01435,246.087,225.797
185.25,247.692333333,257.051233333,242.564066667,246.410333333,152.307566667,177.692266667,198.0769,212.564033333,189.166683333,226.666533333,212.307466667
185.63,296.666666667,287.962933333,293.333333333,291.851733333,147.0369,202.963,201.481433333,233.3333,206.481583333,261.481466667,227.037
186.01,230.0,204.444466667,212.5926,222.963,79.0740333333,148.148066667,117.222166667,169.444566667,137.03695,197.0372,163.3334
186.39,457.7778,408.8888,411.851866667,406.6666,146.6667,300.740866667,203.333333333,311.111233333,256.29635,368.888999999,367.4076
186.77,-3440.0,-2790.0,-3080.0,-2893.33333333,-733.333333333,-1366.66666667,-843.333333334,-1920.0,-1491.66666667,-2413.33333334,-2426.66666667
