wavelength,Back_ButExif,Belly_ButExif,Breast_ButExif,Crissum_ButExif,Crown_ButExif,DorTail_ButExif,Patch10_ButExif,Patch11_ButExif,Patch12_ButExif,Patch13_ButExif,Rump_ButExif,Throat_ButExif,WingTip_ButExif
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,242.381033333,230.476133333,265.7144,223.809533333,225.714266666,207.618866667,244.761933333,280.952466667,243.809533333,257.142866667,209.523666667,260.952533334,267.619133333
179.16,1100.0,1240.0,1260.0,1146.66666667,880.0,966.666666667,1296.66666667,1233.33333333,1026.66666667,1080.0,913.333333333,1286.66666667,1220.0
179.54,218.666666667,209.333333333,200.0,248.0,238.666666667,253.333333333,246.666666667,261.333333333,212.0,232.0,201.333333333,215.333333333,252.0
179.93,-398.333333333,-363.333333333,-563.333333333,-436.666666667,-436.666666667,-536.666666667,-563.333333333,-493.333333333,-360.0,-343.333333333,-330.0,-476.666666667,-456.666666667
180.31,-470.0,-500.6348,-583.8094,-493.6508,-472.698333333,-461.5874,-529.841233333,-542.857133333,-447.9364,-476.5078,-431.746066667,-486.666666667,-505.0794
180.69,-618.235266667,-669.411733333,-761.960933333,-639.607933333,-612.156933333,-604.313733333,-676.470666667,-702.745,-575.686133333,-635.686333333,-565.490066667,-643.725433333,-676.862733333
181.07,-338.620566667,-375.172466667,-426.8966,-359.0804,-327.126466667,-330.804666666,-370.574566667,-368.276,-313.793,-350.574533333,-313.333333333,-357.126466667,-376.092
181.45,-275.333233333,-315.047466667,-350.285733333,-292.761866667,-274.666733333,-269.5238,-296.190466667,-297.714333333,-253.523733333,-299.2382,-257.904733333,-298.0,-311.999866667
181.83,-245.0429,-275.2138,-319.1452,-256.7522,-239.4872,-232.3074,-263.247933333,-259.6582,-223.9316,-258.803466667,-225.641133333,-263.675166667,-278.461666667
182.21,-225.772166667,-256.422933333,-282.2766,-237.398466667,-215.7724,-209.756066667,-236.016233333,-236.097466667,-207.804666667,-246.016333333,-212.195133334,-247.2357,-261.788533333
182.59,-210.681733333,-256.818,-260.000133333,-233.030333333,-205.757733333,-194.848466667,-217.4242,-227.575666667,-199.545333333,-236.363533333,-199.545466667,-239.166666667,-258.939466666
182.97,-411.25,-505.555466667,-487.2224,-476.111133333,-406.111066667,-391.388866667,-422.500033333,-447.777733333,-395.2778,-469.444533333,-387.222133333,-480.9723,-518.333266667
183.35,-668.541666667,-822.083333333,-784.166666666,-775.0,-627.5,-622.916666667,-701.25,-725.833333333,-658.75,-762.916666667,-622.5,-776.041666667,-839.583333333
183.73,2191.33333333,2617.33333333,2568.0,2502.66666667,2002.66666667,1934.66666667,2187.33333333,2328.0,2194.66666667,2493.33333333,1974.66666667,2536.0,2797.33333333
184.11,798.461533333,942.564066667,953.8462,899.487133334,714.8718,706.153866667,762.051199999,850.7692,835.3846,928.205,689.743533333,922.564333333,1033.33333333
184.49,405.256566667,470.7692,473.077,457.435866667,354.6154,356.410266667,399.743566667,425.641,417.692333333,458.718,333.589866667,466.153866667,530.769266667
184.87,562.806966667,661.754333333,658.596533334,637.543866667,496.1402,488.772066667,574.386166667,597.193,586.6668,634.385866667,461.403533333,645.263166667,750.877333333
185.25,497.3016,571.1112,569.2064,554.920533333,440.317533333,426.031933333,513.492133333,533.968266667,516.508,549.523933333,380.952266667,557.618933333,657.460266667
185.63,374.367833333,401.839,418.160866667,418.620666667,329.195333333,323.6782,379.655266667,392.643666667,389.6552,397.011466667,281.379333333,396.781666667,495.632333333
186.01,351.444433333,380.6668,377.999866667,395.777866667,306.666733333,294.2222,339.000133333,356.666733333,361.777666666,375.777733333,251.7778,368.444466666,455.555533333
186.39,286.4102,295.726733333,297.948533333,320.170866667,244.9572,234.188066667,265.555333333,274.700866667,288.376066667,294.529933333,193.675,284.017166667,350.427333333
186.77,524.385866667,503.157866667,512.631666667,582.807066667,424.561466667,392.280733333,458.421133333,479.999933333,486.6666,505.964933333,315.789533333,487.7193,630.526466667
187.15,4533.33333333,4283.33333333,4370.0,4820.0,3580.0,3283.33333333,3753.33333333,4036.66666667,3976.66666667,4326.66666667,2620.0,3963.33333333,5410.0
187.53,-1038.75,-978.333333333,-956.666666667,-1114.16666667,-759.166666667,-725.833333334,-821.25,-860.833333333,-898.333333333,-1023.33333333,-555.833333333,-908.333333333,-1261.66666667
187.91,-329.583266667,-294.444466667,-297.777733333,-358.611066667,-233.333333333,-249.7222,-267.222266667,-258.0556,-273.3334,-329.166733333,-183.055533333,-293.194466667,-397.2222
188.29,-598.444433333,-515.111333333,-502.2222,-636.0,-428.4444,-482.6666,-517.3332,-465.7778,-486.222133334,-563.111066667,-373.7778,-525.777933333,-694.2222
188.67,-2396.66666667,-2041.66666667,-1933.33333333,-2541.66666667,-1828.33333333,-2006.66666667,-2148.33333333,-1970.0,-2041.66666667,-2271.66666667,-1695.0,-2131.66666667,-2663.33333333
189.05,9933.33333333,8100.0,8120.0,10400.0,7846.66666666,8586.66666666,8806.66666667,8079.99999999,8386.66666665,9466.66666666,7353.33333333,8566.66666667,10633.3333333
189.43,1092.59246667,876.296266667,877.037066666,1170.37033334,900.000066667,999.259266667,968.148166667,919.999933333,920.000133335,1084.44446667,891.111133334,926.666733333,1211.11106667
189.81,1578.33333333,1221.11126667,1233.33333333,1732.2222,1303.33333333,1487.77766667,1413.33336667,1382.2222,1337.77773333,1581.11113333,1367.77786667,1406.6666,1721.11106667
190.19,-9353.33333334,-7420.0,-7480.0,-10386.6666667,-7800.00000001,-9366.66666666,-8740.0,-8579.99999999,-8133.33333333,-9553.33333333,-8726.66666666,-8703.33333333,-10786.6666667
190.57,-3126.66656667,-2744.44453333,-2851.111,-3475.55546667,-2651.1112,-3273.33333333,-2986.66663333,-3064.44446667,-2680.0,-3302.2222,-3166.66666667,-3063.33336667,-3820.0
190.95,1600.5556,1424.4444,1631.11133333,1747.7778,1427.77773333,1759.99986667,1638.88903333,1612.2222,1456.66673333,1792.2222,1712.22213333,1648.33326667,2013.33326667
191.33,959.666666668,835.333333333,982.666666667,1098.66666667,876.666666667,1060.0,1019.0,993.333333333,914.000000001,1142.0,1064.0,982.999999999,1238.66666667
191.71,8863.33333334,6993.33333333,8686.66666667,10306.6666667,8320.0,10006.6666667,9569.99999999,9259.99999999,8246.66666667,10633.3333333,9980.0,8590.00000001,11313.3333333
192.09,754.999999999,647.777933333,733.888866667,898.333333333,742.222199999,828.333466667,826.111066667,805.555666667,721.111066667,921.111133333,860.000066667,705.000033333,921.111066666
192.47,-2095.0,-1821.66666667,-2041.66666667,-2603.33333333,-2058.33333333,-2260.0,-2283.33333333,-2210.0,-1986.66666667,-2688.33333333,-2415.0,-1987.5,-2565.0
192.85,-588.571433333,-509.523866667,-580.476133333,-749.523666667,-589.0476,-626.6666,-648.3332,-588.5714,-530.952333334,-758.5714,-676.1904,-529.285833333,-727.619066667
193.23,-1812.0,-1445.33333333,-1666.66666667,-2316.0,-1746.66666667,-1940.0,-1910.0,-1744.0,-1654.66666666,-2228.0,-2025.33333333,-1623.33333333,-2205.33333333
193.61,-9513.33333334,-7760.0,-8560.0,-11853.3333333,-8966.66666666,-10166.6666667,-9766.66666666,-8966.66666667,-8613.33333333,-11386.6666667,-10586.6666667,-8783.33333334,-11106.6666667
