wavelength,Back_ButExif,Belly_ButExif,Breast_ButExif,Crissum_ButExif,Crown_ButExif,DorTail_ButExif,Patch10_ButExif,Patch11_ButExif,Patch12_ButExif,Patch13_ButExif,Rump_ButExif,Throat_ButExif,WingTip_ButExif
193.99,-2285.83333333,-1956.66666667,-2040.0,-2808.33333333,-2158.33333333,-2470.0,-2387.5,-2158.33333334,-2078.33333333,-2846.66666667,-2425.0,-2060.0,-2670.0
194.37,1392.3809,1183.8094,1269.5238,1701.90486667,1315.23793333,1460.00006667,1521.4286,1313.33333333,1328.5714,1726.6666,1443.80953333,1229.04773333,1582.8572
194.75,654.888933333,526.222066667,547.111066667,809.333333333,632.0,658.6666,746.444533333,620.444466667,663.111066667,809.777866667,660.000066667,577.3334,722.222133333
195.13,355.000066667,311.4286,277.857133333,452.142666667,344.523866667,358.571533333,395.238033333,337.380933333,370.000133333,451.190333333,360.0,327.738066667,398.333333333
195.51,242.592533333,219.703733333,184.5924,301.777733333,238.073866667,244.592733334,268.444533333,226.222133333,246.962933333,292.444533333,249.333333333,229.4814,263.851933333
195.89,180.333333333,164.095266667,143.714266667,212.8572,178.571466667,183.714333333,193.047633333,172.571533334,183.3334,212.000066667,188.571466667,178.666566667,196.380933333
196.27,144.3957,126.2272,113.846066667,165.860866667,142.124533333,148.937733333,149.523766667,141.245466667,144.761866667,165.7142,152.8938,143.333466667,155.970666667
196.65,133.6171,113.475266667,104.8228,150.0,129.716333333,138.368733333,136.7377,132.2696,132.340466667,154.822733333,140.2128,129.8935,146.808466667
197.03,129.9327,107.878933333,101.5488,141.750733333,125.319866667,135.825,130.168266667,129.629733333,128.7542,149.158333333,134.747533333,129.461233333,142.963066666
197.40,132.4904,118.9272,104.6744,145.593933333,134.559466667,138.927066667,138.850666667,139.387,136.245266667,158.620866667,142.069,138.0842,147.9694
197.78,137.934966667,128.333466667,114.1304,151.014466667,140.942066667,143.9854,143.587133333,144.057933333,142.391333333,161.739133333,145.072466667,142.0652,151.231933333
198.16,133.973066667,124.5792,110.235733333,148.552133333,135.151533333,136.161666667,141.0438,137.8452,138.585933333,152.255933333,145.3872,136.296566667,146.1954
198.54,135.473666667,127.087666667,105.6142,151.368466667,137.473733334,139.859733333,140.421,140.4912,135.438666667,157.473733333,151.649,138.421133333,146.456
198.92,139.148833333,130.071066667,104.2552,153.9008,140.4964,140.2128,139.219966667,144.2554,135.815666667,163.120466667,155.177266667,139.538966667,148.227066667
199.30,145.157933333,131.8598,105.263266667,158.9474,146.315866667,146.736866667,144.9825,147.7194,140.9124,163.649,161.4736,140.947366667,148.000066667
199.68,144.467233333,126.8042,105.085933333,155.6012,143.642666667,144.329933333,141.9933,147.010266667,143.505,159.931266667,160.274933333,140.755966667,142.405466667
200.06,144.0892,130.5156,107.491266667,159.3128,148.9346,143.9176,143.161666667,150.377933333,144.536133333,159.3814,164.1924,140.584133333,139.587733333
200.44,169.349633333,157.886333333,125.853666667,189.756,178.943,172.764266667,169.959133333,177.967533333,172.113866667,189.756133333,197.073266667,168.292866667,166.341533333
200.82,152.401433333,152.042933333,117.204333333,172.114666667,169.749066667,159.928133334,157.885133333,165.018066667,161.720466667,172.616466667,185.591266667,156.702433333,149.892533333
201.19,139.4719,149.5708,107.128866667,162.574333333,158.151733333,146.666733334,144.6863,154.125466667,150.032866667,159.67,175.709466667,147.392766667,135.5116
201.57,130.952366667,140.7618,98.0953333333,152.8888,148.571333333,136.1906,134.3174,144.3174,139.872933333,148.254066667,165.015866667,138.888966667,123.999933333
201.95,115.727266667,122.6668,86.8485333333,138.121066667,135.2728,120.303,121.242533333,133.333266667,125.818133333,129.818066667,149.030333333,123.000066667,109.878933333
202.33,105.124,112.231466667,79.8347333333,122.148666667,123.305866667,111.1294,107.878833333,123.691466667,112.176333333,117.906266667,134.9862,110.9365,98.0166666667
202.71,103.2795,109.139866667,77.7958,117.096733333,119.5698,108.0108,103.413833333,120.5914,110.591333333,111.774133333,130.645133333,104.731166667,92.8494666667
203.09,104.999966667,112.848333333,81.8788000001,121.5758,128.606066667,117.514933334,104.697033333,126.363666667,115.0304,112.848333333,139.151533333,105.181866667,94.6665333334
203.47,111.666666667,124.626066667,91.0203333333,130.272133333,142.040933333,129.115733333,112.8911,140.408066667,122.993333333,120.136133333,151.0886,112.585033334,104.6938
203.85,125.057566667,143.3714,102.5286,145.287266667,158.544066667,150.114933333,125.708766667,155.5556,140.153333333,131.7242,165.747133333,122.107266667,121.379266667
204.22,112.624133333,130.638466667,91.9150000001,129.645266667,138.794333333,134.680866667,115.2483,135.673666667,127.943333333,117.801333333,144.8936,110.035433333,110.2128
204.60,100.733333333,116.0,84.7333333333,115.866666667,121.533333333,120.8,105.333333333,118.8,113.133333333,104.266666667,127.133333333,101.066666667,97.5333333334
204.98,101.153966667,108.397533333,80.577,116.858933333,114.615333333,113.782,100.320566667,114.423133333,106.9232,97.8846000001,120.4486,97.5962333333,93.2050666667
205.36,100.9091,104.646533333,82.2221333333,115.218866667,113.804666667,114.545466667,100.4377,116.5656,104.6464,96.0941999999,118.855266667,92.9968,91.717
205.74,104.077666667,107.443466667,87.5728000001,118.640866667,114.433666667,121.618133333,104.854633333,117.7994,104.5954,97.5405999999,119.546866667,92.7831666666,92.1683333333
206.12,120.436566667,128.1746,91.5872666667,135.6348,133.1746,144.603266667,121.706233333,136.904733333,121.904733333,116.587333333,142.063466667,107.976333333,102.9364
206.50,118.9691,125.842,93.9519333333,134.295533333,132.5084,137.8694,121.821433333,133.127133333,121.1684,115.670066667,141.237066667,110.378,103.161466667
206.87,104.901833333,107.899066667,88.2352666667,120.728333333,115.742266667,120.784333333,109.383766667,116.414666667,108.0672,102.913133333,122.352866667,101.204433333,93.7814000001
207.25,106.354033333,105.572733333,89.0103333334,117.864466667,109.6354,116.1978,107.9686,112.760266667,108.333266666,102.031266667,118.177133333,102.7342,93.1249333333
207.63,103.8309,100.199,84.4278666666,111.5422,102.985133334,110.5472,103.034766667,107.164133333,106.368133333,98.5073999999,113.184133333,99.1045,86.6665333334
208.01,101.540533333,99.6464666667,85.3536,111.363733333,102.171733333,107.929266667,103.181733333,106.414133333,102.272866667,98.4341999999,112.828333333,101.515033333,84.9999333333
208.39,110.3523,108.2384,91.1110666666,120.000066666,111.165333333,118.753466667,107.696466667,117.2358,111.111,106.395733333,122.710133333,109.1871,91.4364666666
208.77,120.707966666,119.409933333,92.0942666667,131.799466667,124.6608,129.970666667,116.312733333,130.619466667,122.595933333,117.109066667,135.693133333,116.2243,102.536933333
209.14,126.789966667,126.2346,97.7777333333,137.839533333,132.901133333,142.222133333,122.376533333,136.7284,130.740533333,124.8764,144.8766,124.135766667,110.864066667
209.52,141.054366667,138.5714,104.1496,153.197266667,146.3264,157.687133333,134.3196,149.591866667,144.421733333,138.979533333,158.843533333,136.0204,121.6328
209.90,144.2124,138.901,99.4140000001,155.457733333,150.0366,161.1722,136.5567,155.897533333,150.3296,146.593466667,163.443266667,138.1319,129.1576
210.28,133.124966667,130.972266667,97.0140666667,146.111133333,138.6806,149.513933333,126.111133333,142.430533333,139.0278,135.694466666,149.861266667,128.4028,118.4722
210.66,157.8539,151.415466667,108.584466667,170.0456,163.470266667,180.091333333,145.0685,167.4886,170.137,160.365266667,174.977266667,149.726066667,137.260333333
211.03,186.5537,184.293866667,124.859,196.497133333,201.355933333,217.175133333,166.497166667,203.276866667,200.564933333,191.4124,210.3954,179.661033333,164.067666667
211.41,182.5554,188.000133333,122.5554,192.444333333,208.888933333,216.444533333,170.0001,204.222266667,196.6666,190.333333333,211.999933333,182.277833333,166.111133333
211.79,169.892466666,181.075333333,118.2796,180.967866667,201.935466667,207.204466667,159.9462,200.537666667,177.634466667,181.7204,202.5806,172.849433334,163.655933333
212.17,173.277633333,178.9998,115.999866667,179.777733333,206.444466667,209.555533333,156.444466667,203.000066667,178.444333333,175.3334,201.666666667,168.166666667,163.555666667
212.55,141.1842,141.052733333,101.579,147.456,170.526333333,171.578933333,131.666566667,166.052666667,144.122733333,144.2104,161.228066667,135.5264,132.192933333
212.92,139.0981,133.804,113.725666667,141.0196,164.235333333,167.137266667,132.549,159.607866667,145.333333333,138.4314,158.666733333,132.9412,125.176533333
213.30,130.460966667,127.234066667,111.063933333,130.141666667,155.8156,157.163133334,129.0425,153.8298,139.149066666,133.829733333,150.993066667,123.262466667,119.5036
213.68,117.7143,117.777666667,106.158533333,118.730066667,144.253933333,145.587266666,118.0633,138.920533334,127.682466667,124.698266667,141.142866667,115.079333333,109.523666667
214.06,116.761166667,118.364933333,108.679066667,119.999933333,141.886866667,144.654066667,114.087933333,136.666666667,126.9814,120.063,139.6226,114.528466667,106.415066667
214.44,122.515733333,121.6982,113.270466667,124.528333333,147.673,151.0692,119.8113,140.880466667,130.188666667,125.346,145.911933333,118.553533333,114.339666667
214.81,117.102866667,118.504733333,106.791066667,119.750933333,141.246133333,145.046733333,112.243033333,132.025,122.4922,114.891,136.697933333,111.246166667,108.722866667
215.19,126.233333333,124.133333333,115.133333333,126.666666667,150.266666667,153.666666667,122.1,138.2,131.933333333,119.333333333,142.6,116.066666667,115.2
215.57,122.287433333,120.719066667,113.6604,123.398733333,143.202666667,152.418266667,118.496733333,135.228866667,127.254933333,115.751666667,138.0392,108.202566667,110.784333333
215.95,125.9184,121.836666667,122.108933333,128.843533333,150.272066666,157.618933333,121.598733333,137.755066667,131.632866666,120.408133334,141.836733334,109.4899,111.632733333
216.32,114.006666667,112.929533333,110.0336,118.585866667,137.979733333,147.811466667,111.043733333,128.754133333,118.1818,114.5454,130.9764,98.4847666667,99.8653333334
216.70,132.823533333,138.2746,126.980333333,137.254866667,160.156933333,170.745066667,129.803866667,151.6078,135.6864,130.353,154.352733333,119.058733333,118.901866667
217.08,127.708333333,136.083333333,123.666666667,131.583333333,153.5,166.25,118.833333333,148.5,130.25,122.583333333,144.583333333,115.25,115.0
217.46,135.4902,135.588333333,129.999866667,144.215666667,163.627333333,176.372533333,117.696033333,157.843266667,138.725533333,121.666733333,149.313733333,121.7648,121.2744
217.83,150.161233333,136.559066667,137.311933333,153.118333333,169.247333333,183.440866667,120.914,166.129,150.645066667,116.774133334,155.483866667,123.602166667,134.5162
218.21,147.311733333,128.494533333,136.236466667,148.602133333,168.387,173.978466667,122.473033333,159.785066667,147.956933333,111.075266667,153.656,120.698966667,127.956933333
218.59,137.4864,118.360666667,125.027266667,138.688533333,156.611933333,160.546266667,111.748533333,145.901733333,140.655733333,101.202066667,139.235,114.699433333,111.147533333
218.97,135.497066667,107.1344,129.824666667,133.567333333,153.450266667,159.6492,114.5612,148.538,139.999933334,102.5732,146.4328,119.7077,105.614133333
219.34,127.741833333,105.806466667,131.505466667,125.698866667,146.8818,150.430133333,109.623566667,142.580533333,138.064533333,105.914133333,144.731066667,125.1075,107.096866667
219.72,114.9766,100.751066667,122.628933333,113.145533333,133.990533333,132.112666667,100.187866667,127.511733333,126.6666,96.9952666666,132.0186,116.525833333,93.8029333333
220.10,117.500066667,104.705866667,120.588333333,115.195933333,135.5882,132.647,102.0096,130.3922,129.803866667,97.4510666667,135.490133333,119.999833333,94.902
220.47,121.7567,106.6668,126.9368,117.747866667,136.576533333,131.171133333,109.3243,130.5406,137.297266667,103.693666667,139.999866667,126.711833333,100.000066667
220.85,107.032433333,90.8129999999,110.488,101.788666667,119.0244,114.878133333,96.9920000001,112.195066667,125.528466667,90.9756666667,125.040533333,112.0731,87.9672666667
221.23,106.988,98.6346666667,108.4338,104.498,123.6144,115.823133333,106.425733333,112.530066667,124.739066667,96.2248,130.281133333,115.381566667,93.7350666667
221.61,108.2731,112.3694,116.546,105.4618,123.5342,119.036133333,109.4778,113.574266667,123.373466667,98.8756666667,131.004,118.2329,94.7791333333
221.98,116.202466667,128.523266667,129.8734,114.346,137.552733333,131.9832,125.569566667,125.485266667,134.177266667,110.970333333,141.012733333,135.021033333,104.894533333
222.36,100.366333333,118.022,115.018333333,102.710533333,120.439533333,116.849733333,111.758266667,113.626266667,116.410266667,102.417466667,124.908466667,119.670333333,92.8938
222.74,101.508733333,120.491066667,115.228133333,104.491266667,123.2982,115.438533333,115.649066667,120.350933334,118.105066667,100.4912,128.421066667,118.8771,99.0175333333
223.11,101.414133333,125.454466667,113.400733333,105.4546,125.723933333,116.296333333,116.7004,121.7508,116.9024,101.548666667,127.2726,115.319866667,100.471333333
223.49,100.333333333,128.962933333,106.740666667,103.703866667,125.703666667,119.259266667,116.592566667,124.222266667,116.296333333,98.0000000001,128.370333333,109.407433333,95.1111333334
223.87,98.3334000001,126.969466667,99.4698000001,103.863733333,122.575666667,119.697,117.765233333,124.696933333,115.454533333,96.5909333333,126.515133333,106.2502,96.8938666668
224.24,86.5715000001,110.539666667,87.3016666667,91.6189999999,108.317466667,105.142733333,105.745933333,107.999933333,102.539666667,85.5238666667,111.5556,92.7619666666,87.1110666667
224.62,86.9872333333,117.884466667,84.5512,90.2564000001,112.179533333,106.4744,106.698666667,109.423133333,105.4488,88.9744666667,110.128266667,91.1858666667,91.0897333334
225.00,93.8437000001,127.822866667,93.8094666667,100.8844,120.408266667,114.4218,115.136,117.891066667,111.496666667,98.9116666666,117.619133333,95.4082666667,100.5444
225.38,90.6230000001,116.947133333,91.7132666667,98.3176666667,109.906466667,109.470533333,103.6137,110.404866667,105.669666667,91.9002666667,109.969066667,87.7881000001,96.6354000001
225.75,81.2380666667,104.888733333,76.1270666667,88.8254,102.285733333,103.047466667,99.8410333334,102.793666667,95.9364666666,84.0635999999,100.380933333,79.1428333333,88.0635333333
226.13,68.2748333334,91.0524,66.7250666667,77.1928666667,88.1871999999,92.8070666666,87.4853,91.3450666665,82.1638,73.8012,84.9708666667,67.0468333333,75.8478666667
226.51,69.5239666666,91.0117999999,68.3926666667,78.9287333333,89.3452,96.1903333333,87.7084333333,91.8451999999,85.1786666666,73.4524666667,84.5833999999,68.0953666667,79.1667333333
226.88,54.6195333333,67.0866,53.6484,60.2626,68.7139333333,76.6929333333,67.3229333333,71.9684666667,67.5591333333,58.3202,67.2439333333,48.5826666667,62.9396
227.26,41.5513333333,49.1823333333,40.629,47.6729333333,52.369,58.0293333333,51.2159666667,55.3458666667,53.5010666667,44.0670666667,50.1467333333,35.1573666667,48.5954
227.64,35.1429,39.0474,35.8414,41.8413333333,43.3016,47.238,42.9522,46.508,45.2064666667,37.1111333333,40.7619333333,31.6981666667,41.8412666667
228.01,31.6028,32.1135333333,32.5956666667,35.9716666667,38.9786666667,41.3617333333,38.5249333333,40.7376,40.3971333333,32.4539333333,35.4895333333,28.9928666667,36.312
228.39,28.7561666667,27.5623333333,29.2288,31.4677333334,34.0796666667,36.6666,34.7138,37.214,35.6965333333,29.1789333333,31.0945333333,26.0946333333,33.0099333333
228.76,27.619,23.2252,28.7230666667,29.5455333334,30.9956,34.2857333333,33.3226666667,35.2814666666,32.8354666667,26.9265333333,29.6754,25.6817666667,30.368
229.14,24.3303,20.0196,24.9072,25.4937333333,26.4906666667,30.3029333333,29.4526,32.1016666667,29.7752,23.48,26.3733333333,22.6587,26.3148
229.52,20.0755333333,16.3738,20.0565333333,20.2266,23.1162,26.2132,26.0433666667,29.4428,25.9300666667,19.6411333333,22.2661333333,19.1311333333,22.2095333333
229.89,22.2943333334,17.9393333333,22.9956666667,21.6969333333,24.9178,27.2382,27.1949666667,30.8573333333,28.2424666667,20.9524,24.5888,21.4893,23.2554
230.27,23.7420666667,18.6320666667,22.7987333333,23.5690666667,26.0848666667,27.7358666667,27.8695333333,31.9496666667,29.9842,22.8774,26.7768,22.6807666667,24.7010666667
230.65,25.6740333333,20.8739333333,23.926,24.4297333333,27.3184666667,29.6741333334,28.8371,33.0222666667,31.1554666667,24.3407333333,28.5482,24.3333,26.6814666667
231.02,27.1957666667,24.1302666667,25.7534666667,26.8696,29.3477333333,32.1883333333,30.7244666667,34.9854666667,32.8116666667,26.3768,30.0869333333,27.1811,28.5798
231.40,30.2355333333,26.9462666667,29.2568,30.4932,32.0825333333,35.7321333333,33.6645333333,38.0572666667,35.9088666667,30.1692,32.9801333333,30.9565,31.2878
231.78,31.2646,28.0561333333,29.8984666667,31.8033333333,33.4426,37.1740666667,35.1913666667,39.6097333333,36.2218,31.7876666667,34.4886666667,32.4514666667,33.0367333333
232.15,29.6715333333,27.4712666667,27.6518666667,31.3792,32.1838666666,36.2561333333,33.7602666667,39.0640666667,34.3184,31.412,33.1034666667,30.9031666667,32.8243333334
232.53,29.1151666666,27.3196,26.1340666667,31.2715333333,31.2716,36.5979333333,33.3847333333,38.2302,34.2955333333,31.0652666667,32.5602666667,30.9622666667,32.0960666667
232.90,29.3722333333,28.7886666667,25.8886666667,32.8380666667,31.9009333333,36.4103333333,33.6518,38.4086,34.5358,32.0247333333,33.1033333333,30.3536333333,32.3961333333
233.28,30.6060666667,29.2869333333,26.5598,34.4028666667,33.2622,37.4152666667,33.5561333333,38.467,35.2585333333,33.3511333333,33.3154666667,31.4349333334,33.066
233.66,32.8038666667,31.0762666667,28.3158666667,36.2673333333,34.7395333333,37.5521333333,34.4964666667,38.9582666667,36.0764666667,34.8439333333,33.9582666667,33.0730333333,33.9409333333
234.03,33.7400333333,32.8028666667,27.8867333333,37.8072,35.4022,37.277,34.7127666667,40.336,36.5693333333,35.4553333333,34.2174,33.1388333333,35.2078
234.41,31.8149666667,31.4466,26.5228666667,34.3037333334,32.8839333333,35.0046,32.4886666667,37.9514666667,34.5014,33.4592,31.3927333333,31.2579333333,32.7763333333
234.78,29.1385333333,28.7078666667,24.6066666667,32.2848,30.2059333333,31.8352,30.5710666667,37.1349333333,32.8090666667,31.8914,28.9138,28.5675,30.7677333334
235.16,31.2922,30.5992,27.5096,33.8388666667,31.6105333333,32.8840666667,32.3315333333,39.5879333333,34.6818,33.1460666667,30.9550666667,29.4569333333,32.3034
235.54,30.3672333333,30.7986666667,27.5116,32.0845333333,30.8906666667,32.1396666667,30.6153333333,39.0817333333,33.0579333333,32.2498,30.8356,27.6125333333,33.4802666667
235.91,28.5517666667,30.7468666667,26.9945333333,30.1822666667,28.9800666666,30.6010666667,28.5428333333,37.1585333333,31.7487333333,30.5829333333,28.9252666667,25.0636,31.7303333333
236.29,28.1126333333,30.3377333333,28.9352,30.7012666667,28.9525333333,31.0302666667,29.0995333333,37.2468,32.3464,29.7489333333,29.3160666667,25.446,31.2728
236.66,29.7661333333,31.9968,31.8294,32.548,31.0944666667,32.0469333333,30.6934666667,39.5823333333,34.503,31.4618,30.5597333333,27.4770333334,33.066
237.04,28.2430666667,30.4598,29.9344,30.739,29.7044666667,31.166,29.138,39.0148,32.9884,29.4746,28.4401333333,26.9458,32.3152666667
237.41,26.0675666667,28.9959333333,28.8774666667,28.3712666667,27.7806666667,29.0126666667,28.8185666667,37.6708666667,30.5316,26.4642,26.6328666667,24.7849666667,31.2236
237.79,24.8731666667,26.9778666667,28.321,27.6002666667,26.6010666667,29.0909333333,28.8452,36.9042,29.9427333333,25.5036666667,25.9623333333,24.1769666667,30.7288666667
238.17,23.2009,25.0466666667,27.3986,25.5763333333,25.2025333333,28.1308666667,28.1308,34.9532,28.5826,25.7320666667,24.4236,22.8737666667,29.1120666667
238.54,23.8149,25.2740666667,28.2072666667,25.9999333333,25.7631333333,27.3778666667,28.6148666667,35.1554666667,29.2001333334,25.8964,24.6074,23.2593333333,29.4518
238.92,24.9696333333,26.0310666667,28.7762,26.3692,27.1535333333,27.6945333333,29.1074333333,35.24,29.6823333333,26.2879333333,25.2061333333,24.76,30.3178666667
239.29,25.3208,25.5598,28.2011333333,26.4276666667,27.1321333333,27.9370666667,28.3143666667,34.4402666667,29.6477333333,26.3395333333,25.1574,25.2515666667,30.0376666667
239.67,23.2646333333,22.708,25.1061333333,23.8211333333,24.3144666667,25.2324,25.7543666667,31.2104666667,27.6765333333,23.339,22.5472666667,23.3504333333,26.3913333333
240.04,21.9292666667,21.0605333333,22.8082,21.8281333333,22.7677333333,23.5758666667,23.7727666667,29.4344,26.0607333333,21.5454666667,21.1515333333,21.2828,24.7071333333
240.42,20.6314,19.6120666667,19.7925333333,19.1790666667,21.3082,21.9394,21.7409333333,27.244,24.1947333333,19.9096666667,19.1970666667,19.0166666667,23.0492
240.79,18.2245,17.343,16.7116,16.1704,18.7944,19.9014,19.5447,25.092,21.3528,17.1954,17.0642,16.1622,20.2868
