wavelength,Back_TanVirm,Belly_TanVirm,Breast_TanVirm,Crissum_TanVirm,Crown_TanVirm,DorTail_TanVirm,Patch10_TanVirm,Patch11_TanVirm,Patch12_TanVirm,Rump_TanVirm,Throat_TanVirm,WingTip_TanVirm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,159.090833333,127.272666667,168.93925,145.4545,137.878916667,145.075708333,181.060666667,154.5455,222.72725,168.181861111,147.72725,137.12125
179.54,-206.666666667,-198.333333333,-258.333333333,-123.333333333,-180.0,-195.0,-253.333333333,-171.666666667,-388.333333333,-275.555555556,-198.333333333,-220.0
179.93,-206.944333333,-212.5,-197.22225,-176.388916667,-169.4445,-202.083291667,-252.777833333,-175.0,-272.222083333,-207.870314815,-193.0555,-241.666583334
180.31,-297.857166667,-221.190333333,-300.952416667,-238.333333333,-233.33325,-262.976083333,-331.4285,-256.6665,-452.380916667,-312.645620371,-239.285666667,-276.190666667
180.69,-371.774166667,-281.72025,-375.8065,-309.139833333,-296.774166666,-341.129,-415.860083333,-318.010583333,-565.053833334,-392.771740741,-299.999833333,-345.698833333
181.07,-393.15475,-294.345166667,-396.130916667,-331.25,-317.85725,-362.648833333,-438.690416667,-341.666583333,-606.845166667,-417.691842592,-307.738083333,-372.023916666
181.45,-213.715166667,-160.590166667,-210.763833333,-182.63875,-167.881833333,-196.6145,-232.986083333,-181.25,-326.562666667,-219.483046296,-160.416666667,-198.263916667
181.83,-202.124166667,-150.163416666,-190.522833333,-178.59475,-157.51625,-185.294,-210.130833333,-175.163166666,-294.9345,-195.152444444,-153.268,-179.085
182.21,-178.395,-125.771666667,-163.117166667,-159.41375,-133.9505,-168.518666667,-182.407333333,-157.253,-262.654333333,-169.410231481,-131.0185,-154.783916667
182.59,-198.833333333,-144.833333333,-178.0,-176.5,-148.166666667,-182.916666667,-204.333333333,-176.0,-282.333333333,-188.592592592,-145.166666667,-174.333333334
182.97,-164.2655,-116.66675,-145.903916667,-145.903833333,-124.717583333,-149.576291667,-171.468916667,-144.35025,-226.412416667,-150.407981481,-118.9265,-136.72325
183.35,-147.761083334,-107.711416667,-139.179083333,-133.706416667,-116.915416667,-138.3085,-157.46275,-132.711333333,-203.98025,-136.705305555,-111.567166667,-125.124416667
183.73,-129.452083333,-95.3196666666,-128.424666667,-119.178083333,-102.168833333,-126.027541667,-138.812666667,-115.182666667,-177.054666667,-117.973175926,-101.94075,-113.584416667
184.11,-143.47825,-108.816333333,-141.545916667,-133.695666667,-110.507333333,-135.627916667,-150.724583333,-125.241583333,-189.1305,-121.779361111,-113.0435,-122.826166667
184.49,-147.794166666,-113.35775,-145.220583333,-138.970583334,-113.358,-138.847958333,-156.74025,-129.044166667,-189.828416667,-122.521768518,-115.563666667,-121.691083333
184.87,-110.9755,-86.4836666666,-115.040833333,-104.369833333,-81.8089166666,-99.3394166666,-120.528416666,-99.5935,-141.056916667,-90.2439907406,-85.67075,-90.2439166666
185.25,-79.3729166665,-65.099,-87.78875,-76.0726666666,-57.2606666667,-74.2161666666,-88.1190000001,-70.5445833333,-102.22775,-61.1752777777,-60.8910833334,-64.3564166666
185.63,-73.5000000002,-64.8333333333,-88.2499999999,-71.1666666667,-51.5,-72.4583333333,-88.4166666667,-68.0833333333,-98.4999999999,-59.0833333334,-57.1666666668,-65.2500000001
186.01,-56.4814166666,-50.4629166667,-74.2283333334,-54.1665833333,-35.0309166666,-56.0185,-75.4630833334,-52.7005833334,-78.0090833332,-47.2649814816,-38.8116666667,-52.2376666667
186.39,-63.997,-59.7089166667,-86.48875,-60.6796666666,-42.88025,-62.0145416666,-84.5468333334,-63.3494999999,-84.4659999999,-56.0768981482,-43.6084166666,-58.4950833334
