wavelength,Back_RamFlaf,Belly_RamFlaf,Breast_RamFlaf,Crissum_RamFlaf,Crown_RamFlaf,DorTail_RamFlaf,Rump_RamFlaf,Throat_RamFlaf,WingTip_RamFlaf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,98.0951333333,40.9523333333,128.571333333,89.5238666668,98.0951333335,80.0000666666,67.6190666667,84.7619333333,110.4762
179.16,62.2222000001,-42.2221333334,122.2222,93.3333333333,75.5555333335,59.9998666666,-4.44453333334,91.1111333333,62.2224666666
179.54,217.777666667,213.333333333,210.000066667,271.111133333,240.0,211.111066667,236.666733333,254.444466667,244.444533333
179.93,-288.333333333,-228.333333333,-290.0,-325.0,-270.0,-276.666666667,-280.0,-278.333333333,-273.333333333
180.31,580.000133333,400.0,569.444333333,588.889,564.444266667,463.333333333,518.333266667,647.222133333,591.666666667
180.69,465.416666666,316.25,456.25,482.916666667,450.833333333,366.666666667,420.416666667,527.083333333,472.5
181.07,1370.66666667,993.333333333,1338.66666667,1472.0,1361.33333333,1034.66666667,1294.66666667,1584.0,1373.33333333
181.45,-1663.33333333,-1256.66666667,-1523.33333333,-1846.66666667,-1655.0,-1143.33333333,-1608.33333333,-1945.0,-1660.0
181.83,-296.296333333,-200.370533333,-258.148133333,-335.185133333,-298.148066667,-171.111133333,-268.1482,-353.703666667,-288.518466666
182.21,-206.666666667,-140.635,-188.571466667,-238.730066666,-224.127066667,-92.0634666666,-188.888933333,-266.666666667,-208.254
182.59,-95.1514000001,-57.9798000001,-98.5859333333,-129.898866667,-128.888866667,-34.7473333333,-94.5454666667,-147.676733333,-102.020266667
182.97,-56.9697333333,-38.4848666666,-69.0907333334,-91.9696,-99.8483333334,-12.4242666667,-57.5758,-97.2727999999,-59.6969333334
183.35,-57.1212000001,-40.7574666667,-73.7877333333,-95.3030666667,-102.727333333,-9.69700000001,-65.0,-102.4242,-63.3333333333
183.73,-32.4443333333,-28.5926,-52.2963333334,-80.1482666667,-86.9629999999,2.96300000001,-42.3702666667,-85.4813333334,-35.9998666667
184.11,-41.6665999999,-45.7576666666,-58.0302666667,-98.6362666665,-102.575733333,-5.15146666667,-55.9090666667,-96.3636666667,-39.5454666666
184.49,-46.0605999999,-57.7272,-71.3636000001,-112.4242,-112.272666667,-8.93933333332,-66.5152666666,-102.121266667,-40.6059999999
184.87,-44.2554000001,-59.5746,-73.7589333333,-100.283666667,-114.042533333,-13.9008666667,-65.2482666667,-90.7802000001,-41.7021333333
185.25,-32.8571999999,-42.9762000001,-54.5238666666,-77.857,-93.6905333334,-11.5476,-48.6904666667,-70.1190666667,-29.1665333333
185.63,-20.0000666667,-30.164,-42.8416,-59.1257333335,-80.4372666667,-6.55740000002,-37.2676,-58.3606,-15.7376666667
186.01,-18.9417333333,-29.947,-40.3174666667,-55.2380666667,-76.9312666666,-5.29113333333,-37.2485333333,-55.6614,-10.5820000001
186.39,-37.3334666667,-50.9092666667,-57.5757333334,-82.1818666668,-104.121133333,-23.6363333333,-55.7575333333,-79.0303333333,-22.0604666667
186.77,-51.3333333334,-74.8000000001,-73.5999999999,-94.7999999999,-122.8,-40.2666666667,-69.7333333333,-97.5999999999,-34.5333333334
187.15,-56.6667333333,-76.7857333333,-78.3335333334,-89.7619999999,-116.904666667,-49.0475999999,-73.6904666667,-100.357133333,-47.5000666666
187.53,-80.5555333333,-104.027733333,-108.749933333,-113.1944,-154.8612,-76.1111333332,-96.1110666665,-131.389066667,-63.3332666667
187.91,-80.6173333333,-104.074066667,-105.802466667,-103.5802,-141.234466667,-73.4567333332,-89.1356,-120.123266667,-64.1976
188.29,-73.2276,-93.8624666667,-98.0952,-94.8148666666,-123.7038,-64.3386,-77.0370666667,-105.926,-59.5768666666
188.67,-50.0,-64.5,-67.1666666667,-65.5,-89.1666666666,-46.75,-51.5,-71.5833333334,-41.6666666667
189.05,-24.9696,-35.8181333333,-34.303,-37.3334,-50.5453333333,-21.2727333333,-24.4243333333,-41.8788,-15.3939333333
189.43,-25.4276,-37.1090666667,-35.1622666667,-39.8229333333,-50.2654,-23.0088666667,-27.0207333333,-44.6016666667,-17.1090666667
189.81,-25.1724666666,-42.0115333333,-38.1610666667,-42.0689333333,-52.9885333333,-25.4596,-29.7126666667,-44.2528666667,-19.7126
190.19,-23.1609333333,-46.7241333333,-41.6091333333,-40.8044666667,-57.3562666667,-30.6896,-33.2759333333,-45.3448,-22.5287333333
190.57,-17.28,-39.5733333333,-34.3466666667,-31.04,-50.56,-25.76,-26.7733333333,-37.76,-16.4266666667
190.95,-18.0953333333,-39.418,-33.2804666667,-31.058,-48.3069333333,-26.8784,-26.7196666667,-35.7672,-15.5556666667
191.33,-18.5556666667,-44.7222,-31.6111333333,-31.0,-49.6111333333,-26.6665333333,-28.8332666667,-35.5000666667,-15.4444666667
191.71,-11.5920666667,-36.6666,-20.7463333333,-24.0298,-39.5523333333,-19.5521333333,-22.1392666667,-27.6120666667,-10.6964666667
192.09,-14.8556666667,-41.4173333333,-20.6824,-28.819,-46.4568,-25.8267333333,-27.664,-32.546,-14.5930666667
192.47,-7.13613333333,-32.9578,-10.8450666667,-19.0140666667,-36.9483333333,-19.061,-20.2346666667,-23.8027333333,-7.65246666666
192.85,-9.77106666665,-39.2876,-14.7583333333,-23.8677333333,-44.3257333333,-23.1044,-26.2595333333,-31.2976666666,-11.196
193.23,-16.7878666667,-55.6969333333,-26.4848,-37.3334,-63.5150666667,-36.3030666667,-39.0303333333,-45.2726666667,-21.2726666667
193.61,-21.4197333333,-62.0986,-30.679,-37.3455333333,-68.1480666666,-41.7283333334,-42.8395333334,-47.963,-24.6914
