wavelength,Back_LanLeuf,Belly_LanLeuf,Breast_LanLeuf,Crissum_LanLeuf,Crown_LanLeuf,DorTail_LanLeuf,Patch10_LanLeuf,Rump_LanLeuf,Throat_LanLeuf,WingTip_LanLeuf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-236.666666667,199.551066218,-186.666666667,-160.0,126.666666666,-23.3333333332,-486.666666667,-66.6666666666,-26.6666666666,-340.0
179.16,-8.14820000001,-10.1109434343,37.037,32.5925333333,19.2592,-1.4816,14.8148,2.96293333333,-13.3332,29.6297333333
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,180.476233334,220.291913805,211.4286,143.809466667,173.809533333,221.4286,172.381,154.2858,178.095266667,138.095133333
180.31,2730.0,4361.14478114,2226.66666667,600.0,2756.66666667,2810.0,900.0,1013.33333333,2526.66666667,1020.0
180.69,547.333333334,917.526374858,422.666666667,101.333333333,540.0,571.333333333,161.333333333,165.333333333,511.999999999,220.0
181.07,-1605.0,-2337.23905724,-1190.0,-283.333333334,-1338.33333334,-1581.66666667,-640.0,-490.000000001,-1253.33333333,-859.999999999
181.45,707.499999999,1085.71268238,633.333333333,50.0,663.333333333,783.333333332,260.0,176.666666667,545.000000001,458.333333333
181.83,-662.222133333,-1124.45943075,-744.444466668,24.4444666674,-637.777799999,-643.333233334,-200.000066667,44.4444,-557.777733333,-406.666733334
182.21,-118.666666667,-228.026936027,-152.0,101.333333333,-124.666666667,-81.6666666665,7.33333333326,92.6666666666,-94.0,-55.3333333331
182.59,-2360.0,-3520.74074074,-2453.33333333,-80.0,-2460.0,-1993.33333334,-1226.66666667,-593.333333333,-2240.0,-1620.0
182.97,334.722133333,433.365131538,341.111066667,163.888866667,349.7222,285.5556,267.777866667,196.111133333,347.2224,245.555333333
183.35,549.6296,677.099364983,557.777866667,326.6666,619.999999999,519.629733333,525.925933333,405.185133333,584.444399999,509.629533333
183.73,228.8237,316.634343883,247.058866667,120.784333333,278.8236,249.019733333,222.745,167.058866667,265.490133333,246.274533333
184.11,269.0475,397.282345006,304.762,155.714333333,353.5714,280.476066667,319.047533333,218.0952,325.7142,306.6666
184.49,541.999999999,939.573512907,630.666666666,280.0,819.333333334,603.999999999,701.333333333,405.333333334,678.666666667,712.0
184.87,365.925833333,575.942046914,405.185133333,225.185066667,512.222266667,383.703666667,443.7038,280.740666667,446.666533333,448.889
185.25,302.222066667,465.375960494,358.888933333,212.7778,413.611133333,332.7779,397.777866667,268.889,378.8888,346.111133333
185.63,231.9697,318.789953535,262.424266667,192.1212,286.5151,244.697,276.363666667,197.878933333,257.2728,240.909266667
186.01,166.952366667,211.158658361,170.666666667,131.238066667,193.142866667,182.476133333,188.9524,141.523866667,162.285866667,155.619133333
186.39,131.6665,169.108220651,133.0302,112.272666667,150.5302,146.818166667,149.545333333,112.575733333,127.424333333,121.363733333
186.77,148.6111,187.819564534,143.518466667,120.1852,173.611166667,166.1111,169.814733333,114.999933333,144.444333333,134.444333333
187.15,150.2941,179.780176206,136.274533333,117.843,163.627466667,162.843066667,155.882333333,99.8040666668,141.372466667,129.411533333
187.53,125.9139,149.509444669,112.688133333,86.4516666665,120.860166667,132.688333333,112.258133333,55.2688666667,101.0754,87.0966666668
187.91,142.499966667,157.716776207,127.142866667,91.6666,133.928466667,141.7857,130.4762,62.3811333334,102.857133333,75.2379333334
188.29,140.952433333,132.613108417,113.142866667,90.0950666667,114.666666667,134.095233333,107.809466667,57.3334000001,96.5714666667,67.0475999999
188.67,122.955866667,109.078085746,94.4655333335,88.5534000001,90.6918333335,111.446566667,91.3207333333,55.9747333333,85.4087999999,63.5220666667
189.05,119.230833333,96.454302357,91.4102666668,84.3590000001,87.9486999999,110.2564,89.1024666665,50.5128,73.9742666667,57.3078666667
189.43,111.130933333,83.1304758698,76.6666666665,77.1428666667,77.7975666667,88.4523333332,76.6666666667,33.0952666667,64.7620666666,50.8331333334
189.81,96.2777333334,68.7444734008,55.5555333334,63.4444666666,62.5555666667,68.2221666665,63.1113333333,21.0,49.5555999999,40.3333999999
190.19,99.435,71.8013634119,57.4010666667,67.7966666665,64.7457666667,69.8870000001,65.3107333333,19.2090666667,52.0904666667,37.2880666667
190.57,91.2560999999,65.349576431,46.5700666667,62.8019333333,58.9856333333,64.7343666667,54.9757999999,17.9710666667,46.4736,36.4253333333
190.95,92.8240333332,65.2501494949,49.5370666667,67.1295333333,55.7407333333,64.1204,51.5740666666,16.2035333333,44.4444,38.7039333334
191.33,97.0058,59.3855265994,41.9208666665,57.8530666666,50.2825333334,66.0451333333,46.6667333333,2.37299999999,36.0452666667,30.6215333333
191.71,94.213,63.0074810326,51.5741333333,65.648,52.8241,70.6017666666,54.6295999999,19.5370666667,45.926,44.6296666667
192.09,99.1891333334,65.5512650954,54.7747333333,70.9008666667,53.0179666667,76.7568666666,55.1351333333,22.6126,50.5404666667,58.3784
192.47,85.8771666666,54.3449732884,41.3158666667,59.9124666667,43.9911666667,63.2455,49.3860666667,13.9474666667,38.3334,55.2632
192.85,84.4595333334,53.2389463524,40.8108,56.6666666666,44.3243333333,59.8198333333,45.8558,11.8919333333,37.3874,53.5133333333
193.23,91.0186666667,59.9643290685,40.9258,59.9073999999,44.4907,63.0555999999,48.0556,14.1668,43.5186,57.9631333333
193.61,72.5362999999,48.3788123457,32.6812,46.8116666666,36.3768666667,56.0145333333,36.8115333333,11.6666,36.9565333333,46.6666
193.99,70.0823333333,38.3642451179,22.0576,39.8353333334,30.9053666667,53.3746,28.5596666667,0.493733333326,29.6295333333,38.4362666667
194.37,64.9350333334,35.3174460157,14.5454,36.7100666667,26.9265,49.3074666667,25.7144,-4.06913333333,24.0692666667,37.1429333333
194.75,84.6528333334,37.1858377105,7.22233333334,31.8055333333,19.4444,62.6388333333,27.0832,-25.4167333333,20.1387333333,37.3610666667
195.13,79.6748333333,25.8519670033,-14.6341333333,10.8942,-1.05689999998,54.1463,18.2113333333,-42.6015333333,0.6504,28.2926
195.51,62.3496666666,31.8253537598,3.60646666667,29.5081333334,11.3662,53.8798,29.9453333333,-14.0984,12.459,37.4862666667
195.89,55.5028,32.8491059484,-3.49213333334,26.4549333334,11.6931333333,50.8467333333,28.9946,-12.9101333333,8.88880000001,29.2064
196.27,53.4920666667,36.0124228956,-5.29106666666,21.5873999999,15.2909,55.1852333333,35.6612666667,-7.83053333335,9.7354,24.7619333333
196.65,54.8956666667,41.9059512907,-4.27086666666,21.4582,11.9268666667,54.1665666667,29.3749333333,-3.64573333333,7.81253333334,23.021
197.03,42.4675333333,31.5117111111,-5.0216,21.645,8.96096666666,45.5845333333,24.5022,1.81806666667,4.24246666668,18.2685333333
