wavelength,Back_IncPulm,Belly_IncPulm,Breast_IncPulm,Crissum_IncPulm,Crown_IncPulm,DorTail_IncPulm,Patch10_IncPulm,Patch11_IncPulm,Rump_IncPulm,Throat_IncPulm,WingTip_IncPulm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-14.0,-10.0,-3.33333333335,7.33333333333,-1.33333333333,-8.66666666666,-9.33333333334,16.0,6.66666666666,-1.99999999997,-10.0
179.16,12.0,20.0,30.2221333333,38.6666,29.7778,13.3333333333,7.11106666667,29.7777333334,11.1110666667,10.6666,10.2222666666
179.54,6.66666666666,6.1112,22.7779333333,42.7778,12.2222666667,27.2222,-6.11113333332,27.7777333333,-13.3332,-6.66666600019e-05,0.555599999986
179.93,7.49999999999,-0.833333333326,17.5,33.3333333333,-3.33333333335,18.3333333334,-32.5,38.3333333333,-1.66666666674,-17.5,9.16666666666
180.31,-47.6543333333,-44.568,-16.0495333333,-8.88886666667,-15.1851333334,-18.0247333333,-54.6914666666,-15.5555333333,-68.1481333333,-52.7159999999,-41.1110666667
180.69,-78.8889333333,-75.4166000001,-41.1111333333,-34.1666,-35.5555333333,-41.3889333333,-86.9444666667,-38.0556000001,-99.4443999999,-81.6667333334,-71.8056666668
181.07,-118.125,-115.208333333,-60.0,-50.6249999999,-41.4583333334,-56.0416666667,-129.583333333,-59.1666666665,-154.375,-124.791666667,-104.583333333
181.45,-268.518666667,-272.592733333,-167.037133333,-158.518466667,-117.037066667,-152.2222,-275.1852,-171.111133334,-329.259266667,-268.888866667,-234.814866667
181.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182.21,600.0,595.555533333,440.555533333,467.777866666,321.6666,404.999933333,560.555466666,466.666733333,681.111266667,556.111066667,542.222199999
182.59,404.0,410.0,303.666666667,328.0,223.0,296.333333333,384.0,317.666666667,460.0,372.666666667,367.666666667
182.97,269.215733333,270.784333333,217.254866667,221.176533333,153.137333333,209.607866667,249.019533333,214.705866667,302.156866667,250.0,247.647133333
183.35,375.362266667,382.028933333,295.362266667,290.144933333,204.637733333,279.7102,331.3042,288.985666666,423.478133333,348.695666667,339.710266667
183.73,330.933333333,346.666666667,249.066666667,254.666666667,179.2,238.133333333,281.866666667,243.733333333,371.466666667,308.533333333,300.533333333
184.11,589.230866667,643.589733333,447.692266667,446.153733333,310.7692,429.743466667,479.487133333,449.743533333,650.256266667,559.487133333,505.128266667
184.49,923.333333333,1000.83333333,681.666666667,668.333333333,474.166666666,627.5,737.499999999,692.500000001,997.499999999,885.833333333,781.666666667
184.87,-2317.77773333,-2539.99993333,-1626.66653333,-1548.889,-1073.3332,-1497.77786667,-1848.88886666,-1735.55546667,-2599.99993333,-2237.7778,-1857.7778
