wavelength,Back_NemPilm,Belly_NemPilm,Breast_NemPilm,Crissum_NemPilm,Crown_NemPilm,DorTail_NemPilm,Patch10_NemPilm,Rump_NemPilm,Throat_NemPilm,WingTip_NemPilm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,122.666666667,39.9999999999,124.0,80.0000000001,76.0,78.6666666667,104.0,44.0,121.333333333,114.666666667
179.54,-3.80953333334,-13.3332666667,27.6190666667,-45.7144,8.57133333332,5.71426666666,76.1905999999,4.7619333333,19.0476,39.0476666667
179.93,120.0,-180.0,-186.666666667,240.0,-46.6666666669,413.333333333,-46.6666666668,-13.3333333335,13.3333333333,-113.333333333
180.31,8.00006666666,29.5556,61.9999333333,-64.6666666667,0.66679999994,3.77793333326,100.2222,18.889,52.8888666665,65.1111333333
180.69,19.6397333333,30.8108,64.3243333334,-56.2162000001,5.04499999994,11.1713333334,92.6125333333,39.0990666667,52.6125333333,58.3784
181.07,24.8366,33.9868666667,57.2548666667,-32.549,14.6404666667,26.5358666666,71.2418,35.294,51.8954666667,49.6730666667
181.45,30.5261333333,40.2338666667,49.5906666667,-27.8363333333,20.3508666667,29.0058666667,72.7485333334,38.7134,52.7484000001,47.0174666666
181.83,36.7480666667,56.4227333333,53.3333333333,-49.2684666665,16.7480666667,27.1544,85.0406666666,41.3008,66.3415333334,50.0814
182.21,42.069,48.0461333333,51.0345333333,-22.9886666667,16.2069333333,35.977,68.3908000001,45.9769333333,56.8965999999,48.2758666667
182.59,54.9726666667,52.7869999999,59.5629333333,-2.1858,29.3989333333,44.918,74.4262,60.4372,59.7814666667,62.1858666667
182.97,61.3852666667,56.1904,60.8658666667,15.8441333333,40.0,47.0996,76.8831333334,70.1298666667,61.6450666667,69.0043333333
183.35,57.2108666667,51.0883333333,55.3061333333,20.7484,39.728,42.7890666667,69.6598,66.2585333333,57.4149333333,60.6802
183.73,50.1150666666,44.5211333333,44.9807333333,5.82373333335,29.6552,30.4980666667,58.6206,55.0192,46.7432000001,52.9501333333
184.11,40.6896666667,35.4022666667,38.2375333333,-1.22606666667,16.0919333333,18.8505333333,44.9808,48.8888666667,38.2375333333,39.6936
184.49,48.3162,45.9107333333,47.9038666667,11.5464,28.7286666666,32.1648,49.9656666667,55.3952,50.0343333333,47.2852666667
184.87,41.3938666666,42.9696666667,44.4848666667,14.5454,25.4544666667,27.1515333333,43.7576,46.5454,42.1212,43.4546
185.25,40.4081333333,42.2448666667,45.0340666667,5.30606666667,19.1838,19.5917333333,41.0204666667,45.7143333333,36.6668,44.0816
185.63,22.7536,26.9565333333,32.3913333334,-11.884,1.15939999999,2.1014,22.971,34.9276,18.9132,31.1593333333
186.01,21.8181333333,25.4545333333,31.5757333333,-3.27280000001,3.75766666667,4.72733333332,21.7576,35.2121333333,16.6666,30.0606
186.39,12.9826,20.9824666667,23.7192666667,-11.9298666667,-4.49106666667,-5.82446666668,16.5614,29.6842666667,12.8422,22.8772
186.77,13.1353333333,26.5346,28.7128666667,-7.92073333332,6.66666660001e-05,-0.72606666668,18.0198666666,32.0792,20.594,26.4026666667
