wavelength,Back_MelNigf,Belly_MelNigf,Breast_MelNigf,Crissum_MelNigf,Crown_MelNigf,DorTail_MelNigf,Patch10_MelNigf,Rump_MelNigf,Throat_MelNigf,WingTip_MelNigf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,64.0000000001,40.6666666667,42.6666666667,64.0,66.6666666666,82.6666666667,73.3333333333,136.0,77.3333333333,0.0
179.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.54,46.6666666666,8.33333333338,-9.99999999993,-3.33333333326,-51.6666666667,50.0000000001,53.3333333334,15.0,55.0000000001,-33.3333333333
179.93,116.666666667,36.6666666666,-23.3333333336,120.0,-113.333333333,93.3333333335,-46.6666666665,93.3333333333,6.66666666686,13.3333333333
180.31,-880.000000001,-274.999999999,200.0,-116.666666668,723.333333333,-509.999999999,-843.333333333,-690.000000001,-220.0,136.666666666
180.69,-504.444599999,-35.5554999993,328.888933333,57.7777999993,666.6666,-228.888933333,-517.777733333,-300.0,-135.555533333,251.111200001
181.07,-59.4872666668,65.1280999999,126.1538,68.7179333335,218.974333333,21.5384666667,-48.7180000002,35.8974000001,39.4872666665,86.1537999998
181.45,-69.1666666666,130.833333333,213.333333333,115.0,382.500000001,77.5,5.99975180648e-11,106.666666667,60.8333333332,169.166666667
181.83,2.45619999986,102.6315,107.368333333,62.8071999999,183.508933333,64.2106000001,37.1931333334,80.7016666667,62.1052000001,94.0350666666
182.21,-13.0302000001,82.1212,69.3939333335,36.3638,148.484866667,48.4847999999,10.0,56.9696000001,46.0606,68.1819333333
182.59,-62.3529999998,87.2549666667,57.6470666667,7.45093333332,160.0,33.3332666667,-0.784400000066,41.9608000001,34.1177333333,59.6078666668
182.97,-3.0768666666,102.9488,71.0255999999,33.3334,132.3076,47.9487333335,37.9487333333,71.0256666668,61.2820666666,72.0512666667
183.35,8.2828,101.919166667,58.9898666666,32.3231333333,97.3738666665,55.5556000001,50.9090666667,68.4848666665,54.1414,64.2424666667
183.73,-33.3332,98.0245666667,19.0124000001,-13.3334666667,71.3580666669,23.7036000001,31.8519333334,42.4690666667,28.6419333333,27.9012000001
184.11,-40.8332666666,108.611133333,13.8888666667,-23.0555333334,65.8333999999,29.1666666667,32.7777333332,27.7779333334,20.8333333333,13.8889333333
184.49,-54.2856666667,85.3570666667,-1.4286666666,-34.7618666667,35.9523333333,20.4760666669,24.2857999999,8.8094,6.1904666666,-8.09526666673
184.87,-62.2220666665,71.5553333333,-24.6666000001,-50.6666666667,16.6666666667,14.2222666667,27.7778666667,-8.44439999993,6.22213333334,-18.4444000001
185.25,-69.0323333332,55.2688333333,-27.7419333333,-62.5806666666,16.9893333334,9.67740000002,30.3225333333,-14.8387333333,-2.15053333332,-23.0108
185.63,-14.1243333333,52.4294333334,12.2034666667,-6.44079999999,36.4972666667,32.6554666667,41.0170666667,19.322,32.0904666667,8.58766666666
186.01,-0.666599999993,50.8572666667,21.619,6.09533333332,37.6189333333,43.6190666666,45.5238,20.0000666667,36.857,14.2856
186.39,13.8956666667,56.1044333333,34.7791333333,19.6786,38.1525333333,51.7270666667,50.8435333333,31.0040666667,40.0000666667,21.9276
186.77,23.0976,57.1043666667,36.8348666667,23.2996666667,37.5084666666,56.2964666667,53.1314,36.6330666667,41.0774,24.5792666667
187.15,24.055,57.0446666667,39.519,22.9552666667,40.0000666667,62.1303999999,54.1580666667,35.1202,39.9313333333,21.4432
187.53,25.7246666667,57.9710666667,39.7102,22.9710666667,44.3478666666,66.1594666667,53.4783333333,32.826,39.5652666667,18.7681333333
187.91,34.3138,62.8104333333,46.6666666667,29.085,51.4378666667,70.7843333333,58.1047333333,39.8692666667,43.7907333333,28.6927333333
188.29,37.9351333333,63.2154333333,48.9086666667,31.2685333333,54.2772,68.3775333333,59.056,42.1238666667,43.0088666667,30.6193333333
188.67,42.2221333333,60.6233666667,47.1544666667,34.2004,55.5554666667,68.3468,58.7533333333,43.1978,42.9268666667,28.9430666667
189.05,49.92,65.6,53.76,41.8133333333,60.7466666666,73.7066666667,65.44,50.08,49.2266666667,32.0533333333
189.43,52.6171333333,67.6032,54.3801333333,44.6830666667,58.4021333333,75.8678000001,65.675,49.0358666667,50.4132,31.7355333333
189.81,49.2982,64.2399,49.2397333333,39.3567333333,51.8712666667,73.6841333333,65.6726666667,44.5614,41.5789333333,26.0818666667
190.19,40.7843333333,55.4901333333,41.2418000001,28.6275333333,40.8498,64.6404,58.6275333333,41.242,30.2614666667,11.5688
190.57,41.6858666667,53.3333666667,35.7852666666,22.2988,36.6283333333,65.2106,62.9119333334,39.5403333333,26.1302,4.82753333333
190.95,48.6666,54.6191666667,35.8095999999,19.0476,37.1429333333,68.7618666667,68.6666,39.8096,24.2857333333,-3.33333333335
191.33,48.1111333334,59.6666,31.6667333334,15.0,32.6666666667,70.889,78.1112,42.6667333333,20.0000666667,-8.55566666667
191.71,41.7244,63.3333,31.2642666667,15.2872666667,27.2412,68.5058,85.1724666666,50.8045333333,18.7358,-11.0343333333
192.09,48.0000666667,73.2222666667,35.7776666666,22.9999333333,28.7778,67.2222666667,91.3334,64.0001333333,22.1110666667,-9.3333333333
192.47,49.495,76.6161999999,36.1615333334,25.8586666667,28.6868666667,69.0908,93.4343333333,72.2221333334,26.6667333333,2.42413333332
192.85,52.381,80.4286666666,42.8571333333,31.3332666667,32.9524666666,65.6190666666,96.4761999999,79.3334,32.7618,13.1429333333
