wavelength,Back_LoxNocm,Belly_LoxNocm,Breast_LoxNocm,Crissum_LoxNocm,Crown_LoxNocm,DorTail_LoxNocm,Rump_LoxNocm,Throat_LoxNocm,WingTip_LoxNocm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-70.0,55.0,-44.9999999999,-50.0,-50.0,-13.3333333333,41.6666666667,-44.9999999999,-46.6666666666
179.16,25.3333333333,58.0,39.3333333333,20.6666666667,13.3333333333,14.6666666667,56.3333333333,28.6666666667,8.66666666668
179.54,10.0,6.66666666666,5.83333333333,-15.0,-19.1666666667,0.83333333334,20.4166666666,-23.3333333333,-20.8333333333
179.93,-23.7777,-20.0,-29.7777333333,-52.4443333333,-40.0,-20.4444666667,-29.7777333333,-36.4445333333,-49.7778
180.31,1334.44436667,888.888799999,1575.55553333,1764.44446667,1395.55573333,1586.66653333,1114.44446667,1724.4444,1435.5556
180.69,241.27,172.380866667,266.984133333,300.952333333,253.333333333,269.5238,202.539666667,293.968266667,248.571466667
181.07,148.476266667,120.762,171.999933333,194.666733333,169.523733333,177.333333333,146.9524,188.1906,168.190466667
181.45,114.3749,104.166666667,142.083333333,149.999933333,134.0278,134.3056,123.0555,152.6388,130.277666667
181.83,96.0753666667,82.9031333334,120.6452,120.000066667,105.5914,107.526933333,107.580566666,125.3762,105.4838
182.21,70.7511666667,60.3756,94.6478666666,87.0421333334,77.1831333333,82.4412666667,82.4881666667,96.3380666665,74.4600666667
182.59,60.6394666667,49.0410666667,82.9223333333,73.4245333333,63.105,67.5799333334,70.7763,82.4658666667,62.5571333333
182.97,63.2795666667,53.0108000001,88.2795333332,82.4730666666,67.9569333334,76.1289999999,77.2580999999,93.9786000001,68.0645333333
183.35,51.7391333333,49.9518,82.1256000001,71.2077333333,68.5023999999,68.0193333333,69.8068,83.4783333333,65.5072666667
183.73,42.3392,34.8537333333,76.4911333334,60.5848666667,63.5087333333,56.2574000001,64.3859666667,78.4795333333,55.2048
184.11,42.7928666667,30.2701999999,97.1169333334,75.6756,78.9189333334,61.6217333335,74.1440666667,89.0091333333,65.2251333334
184.49,40.9259333333,30.1852666667,89.6295999999,83.5184666666,79.0739333334,59.8148000001,63.0555666667,84.4443999999,69.2592666666
184.87,21.7647333333,20.0000666666,85.0980000002,73.3332666668,64.7059333333,57.0588,50.9805666667,69.6078666668,58.2353333333
185.25,12.0588666666,14.9019333333,71.9607333334,60.5881333333,47.8431333334,50.7842666667,37.5490333333,52.1568666667,39.2156666667
185.63,3.7035333334,1.72840000008,68.6419333335,64.6914666667,39.2592000001,59.5061333334,42.0988,41.2345333333,35.5556666667
186.01,0.53333333332,21.8666666665,74.1333333333,80.0000000001,62.4000000001,87.4666666668,50.1333333333,34.3999999999,36.8000000001
186.39,24.8889333333,42.2222000001,67.1111333333,76.1481333333,63.1111999999,80.4444666668,54.5185666667,43.8519333334,48.5926666667
186.77,23.9315333333,52.1367333334,77.7778666667,88.7179333333,75.5554666667,94.1879333332,59.8290999999,51.7948,60.6837333333
187.15,20.6201,53.6434,68.6821333333,81.2402,67.7520666667,85.1164,60.6201666666,41.7053333333,57.6742666668
187.53,3.33329999999,38.0391333333,51.9608666667,81.9608666668,56.6665333334,81.1765333334,55.294,29.8038666667,49.6077999999
187.91,12.3809333333,45.0793999999,54.762,75.5555333334,50.6348666667,79.3649999999,57.6189666667,31.5870666666,53.9683333332
188.29,12.4639,46.5216666666,50.2898,67.6811999999,47.2463333333,72.7537333334,64.4203,36.9564666666,50.5796666667
188.67,4.56533333333,42.3189333333,50.7247333333,55.6521333334,43.7680666667,61.5941333335,70.6522,36.0869999999,39.2753333333
189.05,16.7593333333,61.4815333333,70.5555999999,80.1851333335,64.2591999999,80.1852,104.907333333,55.3703333333,55.9259333334
189.43,20.8944,59.9998666667,75.2845333334,76.7479333333,67.8048666667,75.1219333332,98.9430333332,57.0732666666,57.0732
189.81,21.7458666667,54.2858000001,73.9682000001,71.4286666667,66.1904,66.0317333332,92.4602666667,54.1270666667,49.5236666666
190.19,27.1852,52.4445333333,76.7408,64.2963333333,61.037,50.9628666666,91.4814333333,56.1482666667,52.889
190.57,19.5000000001,43.0,65.9999999999,46.5,51.5,29.8333333333,89.5833333333,40.1666666667,32.5
190.95,17.3856666667,33.2026,44.5752666667,29.9345333333,39.4772,16.7320666667,76.0129666666,24.9671999999,12.9411333333
191.33,6.82550000006,27.7778,39.8412666668,20.6349333333,30.1586666667,10.6348666666,77.6982666667,15.3968666667,1.42866666666
191.71,11.9260333333,32.7408,38.8147333333,23.5556,30.963,19.5556000001,79.1110666667,12.2963333333,-1.62953333333
192.09,19.7385999999,34.7711333333,37.2549333333,27.5816666666,38.4313333333,22.353,76.9933666667,14.2482666666,0.392000000013
192.47,31.8182666667,38.5280666667,41.8180666667,30.1299333333,38.1818,26.2337333333,64.4588333333,20.6926,8.22519999999
192.85,40.5992,43.8202,46.9661333333,36.1048666667,42.6966,37.3032666667,65.0937666667,26.8914666667,16.1048
193.23,40.3102,44.4187333333,47.8294666667,33.0232666667,40.9302,40.0000666667,66.3178,27.5968,15.1163333333
193.61,51.0,54.6666666666,54.9524,39.6191333333,45.2382,49.8095333333,84.6189999999,34.9522666667,15.8094666667
193.99,48.1481333333,58.9814,53.3334,43.9815333333,43.8888,52.4074,82.4537,33.0556,19.7222
194.37,42.4496333333,54.4578,46.747,43.3734,37.9117333333,51.4859333333,68.9156666667,29.4777333333,16.7068666667
194.75,51.9443666667,62.4604000001,56.2698,50.6349333333,46.6666,63.0950666667,76.3491999999,37.4604,27.4604
195.13,57.2770333333,71.1736666667,66.1032,56.9014,51.3615333333,75.3052,86.7135666667,40.5634,32.1126
195.51,56.4583333333,67.5000000001,65.3333333333,54.6666666667,56.0,70.9999999999,79.7916666667,41.75,34.0
195.89,67.6244666667,77.0880666667,74.1762666667,60.0000666667,62.8351333333,76.6284,83.2950333334,51.3408666667,44.981
