wavelength,Back_SalAtem,Belly_SalAtem,Breast_SalAtem,Crissum_SalAtem,Crown_SalAtem,DorTail_SalAtem,Patch10_SalAtem,Rump_SalAtem,Throat_SalAtem,WingTip_SalAtem
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,30.4762,9.30408205128,10.0000666667,-3.80959999998,25.7142,36.1904666667,24.7618,4.44435555556,36.1904,12.8571333333
179.16,-88.8889333333,-52.906025641,-100.000066667,-132.222333333,-55.5554666668,-79.9998000001,-108.888933333,-83.7037111111,-18.8889333333,-111.111
179.54,-183.333333334,-190.641025641,-150.0,-235.0,-133.333333333,-151.666666667,-190.0,-157.222222222,-128.333333333,-265.0
179.93,-313.333333333,-344.615384616,-283.333333333,-430.0,-280.0,-280.0,-373.333333333,-421.111111111,-270.0,-523.333333333
180.31,-12.0218666667,-47.5662358974,-39.6721333334,-73.6611333333,-10.6009333333,-26.6665999999,-61.2021333332,-49.7268222222,-17.1584666667,-68.7431999999
180.69,-0.69259999998,-30.4229794871,-25.8875333333,-55.0650666667,2.3378,-15.9307333333,-43.2899999999,-32.1789333333,-8.13853333333,-49.4372666667
181.07,-21.0628,-55.2878564102,-50.2414666667,-79.5168666667,-18.2608666667,-41.7391999999,-69.9517333333,-56.3285333333,-34.4926,-79.9034666667
181.45,-12.9776666667,-53.0323846155,-42.3999333333,-67.8222666667,-14.8444666667,-36.889,-59.6443333334,-49.2147777779,-32.4444,-73.3334
181.83,3.67026666668,-34.6758461539,-25.7678,-41.9475333333,-0.5243333333,-20.5242666667,-40.7491333333,-29.1385333333,-16.704,-49.8875333333
182.21,10.5833333333,-31.8974358975,-26.1666666666,-44.0833333334,3.66666666666,-20.25,-42.3333333333,-25.8055555555,-12.9166666667,-51.2500000001
182.59,14.7008,-29.5661282052,-23.0768666667,-40.1709333333,5.64106666668,-23.8460666667,-39.8290666667,-23.5043777778,-13.7606666667,-51.5384666666
182.97,3.54980000001,-36.0040769231,-28.3116666666,-48.5714,-3.28993333334,-30.2165333333,-46.8399333333,-32.0922444444,-25.368,-60.4329999999
183.35,6.02740000001,-38.8829692309,-31.7808666667,-46.6666666668,-5.57066666666,-32.6027333333,-48.4932666666,-31.9329555555,-28.4931333333,-62.0091333333
183.73,14.4927333333,-31.6610307691,-32.0773333334,-45.2173999999,-4.83086666666,-27.7293999999,-43.6714,-28.5348666667,-27.2463333333,-61.6423999999
184.11,16.4166666667,-17.1602564102,-20.8333333334,-29.8333333333,1.25000000002,-14.3333333333,-31.1666666666,-17.3333333333,-18.0,-47.1666666666
184.49,2.68393333333,-28.8645128205,-31.2554,-38.0087333334,-13.7662,-24.2424,-44.1558666667,-28.7444222222,-33.0734666667,-57.5757333335
184.87,-12.604,-48.2532461539,-48.2291333333,-53.6457333334,-31.6666666667,-39.2709333333,-68.0208666666,-52.0138222222,-55.3125333334,-84.7919333332
185.25,-3.65586666668,-42.5557692308,-35.5913999999,-46.0213999999,-23.1182666667,-30.2150666666,-65.5914000001,-46.2723333333,-47.8495333333,-74.6236000001
185.63,-3.55553333334,-37.5299384616,-34.9998666667,-44.6666666667,-24.5555333333,-27.5555333334,-71.6666666667,-50.4815333334,-52.5556000001,-74.0
186.01,-29.2062666667,-73.1623384615,-66.0318,-89.3651333334,-59.5238000001,-60.1587333333,-123.174666666,-103.280355556,-100.634933333,-126.8254
186.39,-42.0289333334,-88.5618717949,-72.1739333333,-85.3623999999,-70.4347333333,-63.6229999999,-129.420333333,-105.700533333,-108.2608,-127.5362
186.77,-93.1312666667,-155.042779487,-128.484866667,-142.424133333,-125.2524,-114.343466667,-210.303,-164.781177778,-173.333266667,-206.464533333
187.15,-90.5747333333,-161.414579487,-132.8736,-138.8506,-118.620733333,-109.4252,-226.436666667,-168.199244445,-163.908,-222.2988
187.53,-155.555533333,-257.549876923,-194.0742,-213.333266667,-193.333266667,-179.6296,-378.518533333,-284.444333333,-260.0,-373.3334
187.91,-179.999933333,-281.106589744,-208.421133333,-215.789466667,-207.017533333,-216.140333333,-391.228,-298.128533333,-268.0702,-380.350933334
188.29,-64.9207333333,-116.837707692,-81.746,-88.8887333333,-80.4762666667,-87.4602666667,-155.3968,-119.735555556,-101.587266666,-162.381
188.67,-35.6363333333,-74.6852717949,-53.9393333333,-55.5152,-50.6666,-57.3331999999,-109.454533333,-75.2727777777,-60.8485333333,-112.121133333
189.05,-32.2875333334,-79.8691487178,-53.0717999999,-54.7712666667,-56.8628666667,-59.3463999999,-110.3268,-69.5424666667,-53.3333333333,-116.339866667
189.43,-39.1112,-84.8659897437,-60.1480666667,-57.4815333332,-72.5926666668,-67.8519333333,-121.926066666,-72.7900888888,-58.6666666667,-132.000066666
189.81,-53.1481999999,-115.683851282,-82.0369999999,-71.2962666666,-99.9998666668,-94.6298,-154.6296,-93.9507333334,-75.7408000001,-165.740733333
190.19,-28.0302666667,-73.1351230771,-56.5152,-39.3939333332,-69.3938666667,-63.1819333333,-112.5758,-59.9494444445,-42.4242666667,-118.9394
190.57,3.88053333334,-18.7677282051,-11.7413999999,-5.77120000008,-21.6915333333,-16.7163333333,-46.9651333333,-16.9485555556,-4.77613333332,-49.7511333334
190.95,10.303,-4.04274358976,-3.29006666664,0.25973333334,-12.2944,-1.29880000002,-37.0562666666,-9.95653333335,0.25993333334,-33.9393333333
