wavelength,Back_EmbHerm,Belly_EmbHerm,Breast_EmbHerm,Crissum_EmbHerm,Crown_EmbHerm,DorTail_EmbHerm,Patch10_EmbHerm,Patch11_EmbHerm,Rump_EmbHerm,Throat_EmbHerm,WingTip_EmbHerm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-366.666666667,-350.0,-525.0,-300.0,-625.0,-217.46031746,-125.0,-366.666666668,-225.0,-283.333333333,-525.0
179.16,244.4445,227.77775,244.444375,272.222333333,322.22225,185.052861111,211.111083333,302.777833333,299.999833333,186.111166666,313.889
179.54,58.8541666667,46.875,67.4479166667,52.0833333333,45.3125,61.7559523809,68.75,61.9791666667,63.5416666667,56.7708333333,53.6458333333
179.93,-125.0,-233.333333333,-204.166666667,-275.0,108.333333333,-113.492063492,166.666666667,-150.0,-8.33333333325,-66.6666666666,-333.333333333
180.31,65.54075,52.0270833333,80.0675000001,88.5134166667,125.0,70.3023968253,106.081166667,66.21625,75.9009166666,62.8377500001,76.1260833333
180.69,57.9786666667,49.6454166666,71.1880833333,83.3333333333,113.297916667,65.1554087301,95.7447500001,56.91475,61.702,62.7659166668,63.4750833333
181.07,61.8749999999,56.6666666666,72.4999999999,93.7500000001,122.083333333,68.3234126984,106.458333333,55.6250000001,63.5416666666,61.0416666666,56.0416666666
181.45,51.0416666667,41.4583333334,61.875,80.8333333333,112.708333333,57.9563492064,96.0416666667,41.6666666666,43.3333333333,56.0416666667,41.4583333333
181.83,53.3783333333,31.3064166666,68.0179583333,95.72075,131.982,54.9228849205,93.2432499999,43.0179166668,35.1351666667,62.6125833333,40.7657500001
182.21,69.1177499999,42.8921666667,81.4950416667,131.372416666,154.41175,67.2501309524,102.695916667,61.5196666667,44.3628333332,81.3725000001,63.9704999999
182.59,70.912,43.239,75.235875,110.22025,118.867833333,61.0662063491,92.4529999998,61.63525,49.9998333333,80.6602500001,68.0816666667
182.97,58.4745,31.6385,62.9943333333,91.3841666667,107.909583333,53.5648055557,77.68375,51.9773333334,43.0791666666,72.7400833332,61.0168333334
183.35,65.9604166667,40.1130833333,73.870125,91.9491666666,115.677916667,63.1354920635,88.8416666668,63.5594166667,53.8135833333,85.8758333336,74.5762499999
183.73,70.1087499999,36.5941666667,72.7355,99.4565833333,123.55075,62.3016269842,92.2100833332,59.4203333334,40.7609166667,94.2028333332,68.6594166667
184.11,70.5285833333,34.7561666667,69.4105,99.5934166667,132.52025,60.3174246031,87.6015833332,54.8780833332,38.6179166667,99.7969166667,61.1788333334
184.49,52.1318333333,22.2867500001,50.29075,81.3954166667,120.7365,49.9445674604,72.093,39.5349166667,40.8914166666,92.2480833333,46.1240833332
184.87,63.81575,26.7545,57.8945416667,81.7983333333,136.403666667,54.7411428572,86.1840833333,53.9474166666,73.6841666669,102.850833333,57.8949166666
185.25,42.3911666667,12.6810833334,33.0614166667,55.97825,110.325916667,44.8238809524,73.7319166667,49.0940833333,67.7535833333,89.8550833332,45.8334166666
185.63,40.0298333333,18.7500000001,21.8005,50.4464166667,91.9641666666,44.2814007936,65.9226666668,44.1964166668,65.02975,74.8513333334,41.5179999999
186.01,33.9505833333,30.86425,14.8920416667,47.0679166666,90.1235833332,48.4567857142,69.136,39.0433333333,74.0740833334,73.61125,42.4383333333
186.39,40.08625,48.2759166666,26.7959583333,52.0115000001,93.5344166665,58.7026785714,77.0115833333,46.6954166666,85.6320833334,72.2700833332,46.2644166667
186.77,33.1598333334,57.6389166666,18.40275,54.5139166666,102.257,59.9289325397,78.4721666666,43.5764166667,100.34725,65.104,44.9654166666
187.15,41.856,74.4317500001,24.8105833333,68.1816666667,116.855916667,72.2491230159,88.6364166668,53.5985,123.484833333,73.4849166667,48.106
187.53,41.8333333334,70.0,26.1666666667,73.8333333334,108.0,70.5238095238,81.1666666666,60.1666666667,120.666666667,65.1666666667,51.1666666666
187.91,35.4166666667,72.2221666668,26.1283333333,71.5277500001,112.673583333,72.2470198413,82.1180833333,66.4930833334,126.21525,64.2360833334,63.3680833334
188.29,25.1894166667,71.4015000001,14.96225,80.1135833333,110.795416667,68.4794801587,85.6060833333,73.6742499999,134.090916666,59.091,72.7273333334
188.67,41.8650833333,89.6825833333,27.77775,99.6030833334,132.539583333,84.4010595237,104.563666667,103.372916667,151.98425,78.7698333333,93.4525833332
189.05,48.7805,99.5936666666,27.7438333333,110.162666667,138.821166667,95.7512579365,107.7235,112.601583333,154.26825,79.4714999999,111.382
