wavelength,Back_HemRucf,Belly_HemRucf,Breast_HemRucf,Crissum_HemRucf,Crown_HemRucf,DorTail_HemRucf,Patch10_HemRucf,Patch11_HemRucf,Rump_HemRucf,Throat_HemRucf,WingTip_HemRucf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-133.333333333,-38.8886666667,22.2223333333,-105.555666667,38.8886666667,-33.3333333333,88.889,33.3333333333,-66.667,-11.1113333333,-94.4446666667
179.16,55.5556666667,-14.8146666667,40.7406666667,-3.70366666667,81.4813333333,25.926,-18.5183333333,62.963,59.2593333333,70.3703333333,25.926
179.54,666.666666667,1300.0,866.666666667,833.333333333,366.666666667,1333.33333333,233.333333333,500.0,1233.33333333,900.0,100.0
179.93,1400.0,700.0,833.333333333,-133.333333333,166.666666667,-66.6666666667,-66.6666666667,333.333333333,1033.33333333,500.0,133.333333333
180.31,157.143,199.047333333,74.286,82.857,92.381,129.524,-20.9523333333,164.762,200.952333333,88.5713333333,95.238
180.69,130.0,204.444333333,54.4446666667,58.889,60.0,101.111,-74.4443333333,171.111333333,191.111,53.3333333333,92.2223333333
181.07,88.5966666667,176.315666667,50.877,35.0876666667,72.8073333333,84.2106666667,-72.807,146.491333333,147.368333333,28.0703333333,67.5436666667
181.45,82.1136666667,182.926666667,47.1546666667,41.4633333333,60.9756666667,80.4876666667,-60.1626666667,141.463333333,152.845666667,22.764,55.2843333333
181.83,50.7936666667,142.857,24.6033333333,12.6983333333,53.9683333333,26.1903333333,-92.0636666667,123.809666667,119.047666667,-23.8096666667,38.0953333333
182.21,35.374,121.088333333,15.646,15.6463333333,42.1766666667,34.0136666667,-72.109,119.047666667,82.993,-25.17,28.5713333333
182.59,20.707,87.8786666667,24.2423333333,18.182,26.2623333333,19.192,-57.0706666667,82.8283333333,58.586,-18.182,20.202
182.97,11.9046666667,69.4443333333,19.4446666667,21.8253333333,26.5873333333,24.2063333333,-46.8253333333,68.254,52.7776666667,-0.397,21.8256666667
183.35,6.06066666667,93.3336666667,30.9093333333,7.27233333333,49.0906666667,32.7273333333,-98.1816666667,73.3336666667,54.5453333333,-18.1816666667,17.5756666667
183.73,-20.3703333333,116.667,72.2223333333,11.111,50.0,57.4073333333,-150.0,115.741,100.0,-40.7406666667,46.2963333333
184.11,-41.4633333333,83.7396666667,55.2846666667,4.878,50.4066666667,30.0813333333,-168.292333333,67.48,74.797,-37.3983333333,28.455
184.49,-43.6506666667,68.2536666667,41.2696666667,-38.8886666667,33.3333333333,14.2856666667,-174.603,44.4446666667,35.7143333333,-56.3493333333,2.381
184.87,-44.737,79.8246666667,39.4736666667,-55.263,42.9823333333,42.105,-206.140333333,37.7193333333,49.1226666667,-59.649,-20.1756666667
185.25,-78.125,73.9583333333,19.7916666667,-103.125,29.1666666667,57.2916666667,-250.0,33.3333333333,51.0416666667,-57.2916666667,-48.9583333333
185.63,-252.380666667,130.952666667,23.8096666667,-264.285666667,2.381,64.2856666667,-628.571333333,47.619,4.762,-192.857333333,-147.619
186.01,-229.166666667,139.583333333,4.16666666667,-239.583333333,10.4166666667,100.0,-518.75,75.0,31.25,-95.8333333333,-116.666666667
186.39,-353.846,164.102666667,15.3846666667,-241.025666667,28.205,102.564333333,-674.359,84.615,56.4103333333,-174.359,-79.487
186.77,356.862666667,-35.294,82.353,278.431333333,54.9016666667,5.88233333333,541.176333333,62.745,37.255,256.862666667,145.098
187.15,600.000333333,48.485,196.969666667,557.576,181.818,48.485,851.515,163.636,106.060666667,527.272666667,333.333666667
187.53,-318.75,79.1666666667,-10.4166666667,-237.5,-43.75,37.5,-420.833333333,35.4166666667,70.8333333333,-241.666666667,-141.666666667
187.91,-144.827666667,58.6206666667,-11.4943333333,-136.781666667,4.598,21.839,-218.390666667,21.839,36.7816666667,-120.689666667,-70.1146666667
188.29,-259.259333333,48.148,-79.6296666667,-281.481333333,-59.259,16.6666666667,-359.259333333,-25.926,25.926,-244.444333333,-161.111
188.67,-155.555666667,55.5556666667,-19.753,-156.790333333,-49.383,80.247,-207.407333333,37.0373333333,65.432,-113.58,-74.074
189.05,-66.6666666667,53.1533333333,10.811,-78.3783333333,-20.7203333333,72.072,-115.315333333,63.0626666667,86.4863333333,-29.7293333333,-10.811
189.43,-73.5293333333,51.961,41.1766666667,-75.49,-42.157,44.1176666667,-106.862666667,41.1763333333,80.392,-35.2943333333,-6.86266666667
189.81,9.259,79.6296666667,68.5183333333,-12.3453333333,29.6296666667,83.3336666667,-23.4566666667,66.6666666667,105.555333333,4.93866666667,49.3826666667
190.19,23.3333333333,84.6666666667,82.0,-10.0,31.3333333333,94.0,-10.6666666667,62.0,99.3333333333,10.6666666667,63.3333333333
190.57,31.7073333333,96.748,95.9346666667,-8.94333333333,49.5933333333,132.520333333,4.06466666667,64.2276666667,130.894333333,44.7153333333,59.3496666667
190.95,58.5183333333,122.222333333,109.63,22.9633333333,67.4076666667,142.222333333,-0.740666666667,88.1483333333,126.666666667,74.074,63.7036666667
191.33,79.4873333333,128.846,139.102333333,61.5383333333,79.4873333333,142.948666667,16.6663333333,104.487333333,128.846,99.3593333333,98.077
191.71,60.6063333333,101.515333333,114.394,36.3636666667,62.8786666667,138.636333333,-12.8786666667,75.0003333333,110.606333333,84.091,63.636
192.09,61.3096666667,89.881,107.738,57.7383333333,82.1426666667,130.357,36.3093333333,82.7383333333,100.595333333,78.5713333333,82.143
192.47,89.3333333333,116.666666667,144.0,100.0,98.0,167.333333333,69.3333333333,107.333333333,106.666666667,116.0,108.0
192.85,73.0496666667,92.1986666667,158.156,129.078,131.914666667,132.624333333,71.6313333333,94.326,97.1633333333,108.510666667,115.602666667
193.23,56.296,93.3333333333,197.037,150.370666667,171.852,140.740666667,85.1853333333,102.963,83.7036666667,102.222,122.222333333
193.61,60.4163333333,93.0556666667,170.833,154.861,179.861333333,143.75,90.972,127.083333333,87.4996666667,97.2223333333,112.5
193.99,-53.6233333333,13.0433333333,202.898666667,198.550333333,207.246333333,127.536333333,44.9276666667,75.3623333333,26.087,52.174,92.7536666667
194.37,-36.508,34.9203333333,261.904666667,250.794,279.365,176.190333333,77.778,106.349,57.1426666667,80.9523333333,115.873333333
194.75,-50.0,46.9696666667,257.575666667,222.727333333,259.091,150.0,56.0606666667,93.9393333333,63.6363333333,36.3636666667,125.757666667
195.13,-2.66666666667,23.3333333333,133.333333333,108.0,124.0,86.6666666667,67.3333333333,61.3333333333,62.6666666667,46.6666666667,88.0
195.51,-59.4596666667,10.8106666667,123.423333333,102.702666667,156.756666667,88.2883333333,84.6846666667,32.4323333333,40.5406666667,34.234,76.5763333333
195.89,-75.269,38.7096666667,138.709666667,127.957,164.516,93.5483333333,121.505333333,36.559,74.1933333333,33.3333333333,103.225666667
196.27,-207.692,56.4103333333,289.743333333,256.410333333,310.256333333,228.205333333,158.974333333,15.3846666667,171.794666667,84.6153333333,146.154
196.65,-130.0,48.3333333333,215.0,168.333333333,280.0,170.0,115.0,58.3333333333,195.0,76.6666666667,110.0
197.03,-33.3333333333,86.1113333333,186.111,150.0,213.888666667,205.555333333,113.888666667,51.389,213.888666667,91.6666666667,83.3333333333
197.40,4.87833333333,81.3006666667,94.309,95.1216666667,129.268,148.780333333,103.252,11.3823333333,146.341666667,74.797,53.6583333333
197.78,11.3476666667,70.213,89.3613333333,82.9786666667,114.893666667,129.787333333,92.9076666667,-4.96466666667,131.914666667,79.4326666667,56.7376666667
198.16,42.1296666667,80.0926666667,92.1296666667,85.185,113.888666667,122.685333333,95.8336666667,34.7223333333,98.148,91.6666666667,64.352
198.54,38.5713333333,82.3806666667,79.0476666667,91.905,91.9046666667,123.333333333,96.1903333333,27.143,96.667,89.524,67.6186666667
198.92,39.8146666667,80.093,73.148,90.2776666667,79.6296666667,125.463,98.148,20.8336666667,89.352,98.611,59.722
199.30,32.4073333333,131.481333333,112.037,153.703666667,129.629333333,206.481666667,162.963,0.925666666667,160.185,154.629666667,71.2963333333
199.68,117.647,252.941,243.137333333,362.745,256.863,441.176333333,309.804,-33.3333333333,372.549,286.274333333,105.882333333
200.06,185.416666667,306.25,314.583333333,445.833333333,310.416666667,562.5,362.5,2.08333333333,366.666666667,397.916666667,164.583333333
200.44,278.788,421.212333333,393.939666667,569.697,384.848333333,751.515,527.272666667,-72.7273333333,469.697,557.575666667,245.454333333
200.82,253.846333333,307.692333333,287.179333333,474.359,269.230666667,635.897333333,471.794666667,-117.948666667,274.359,423.077,200.0
201.19,783.333333333,1025.0,1091.66666667,1650.0,1125.0,2266.66666667,1800.0,-125.0,891.666666667,1641.66666667,933.333333333
201.57,-79.365,-161.904666667,-146.032,-260.317333333,-134.920333333,-331.746,-258.730333333,55.5556666667,-107.936333333,-260.317666667,-134.920666667
201.95,-160.416666667,-231.25,-214.583333333,-381.25,-135.416666667,-375.0,-364.583333333,45.8333333333,-116.666666667,-293.75,-204.166666667
202.33,-15.3153333333,-52.2523333333,-63.063,-123.423333333,-6.30633333333,-114.414666667,-120.721,73.874,-42.3423333333,-109.909666667,-60.3603333333
