wavelength,Back_TanFasm,Belly_TanFasm,Breast_TanFasm,Crissum_TanFasm,Crown_TanFasm,DorTail_TanFasm,Patch10_TanFasm,Patch11_TanFasm,Patch12_TanFasm,Rump_TanFasm,Throat_TanFasm,WingTip_TanFasm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,36.5078888889,32.5396666667,53.1745555555,24.6031111111,42.8572222222,23.016,38.0951111111,31.746,50.0,31.7458888889,57.1428888889,47.6191111111
179.16,51.1111111111,4.44444444443,-15.5555555557,-35.5555555555,-37.7777777778,-28.8888888889,15.5555555556,95.5555555556,33.3333333332,-35.5555555555,71.1111111109,-35.5555555554
179.54,211.111111111,296.296222222,259.259222222,311.111222222,448.148111111,235.185277778,340.740888889,266.666666667,281.481666667,251.851777778,259.259111111,262.963
179.93,-211.111111111,-488.888888889,-11.1111111111,0.0,-144.444444445,-33.3333333333,-255.555555556,-222.222222222,-211.111111111,-100.0,-455.555555556,-566.666666667
180.31,-12.5785555556,-70.4403333333,-1.46755555554,-10.4821111111,-60.1678888889,-35.2200555556,-45.4925555554,-5.24122222223,-30.8175555556,-45.283,-36.8972222221,-35.0105555555
180.69,-9.2867777778,-57.7114444444,6.3017777778,-8.78944444443,-54.2287777778,-29.4362222222,-35.8208888889,0.497333333343,-24.8756666667,-41.2936666667,-26.700111111,-27.5292222222
181.07,-26.6284444444,-84.6743333333,-7.27966666668,-18.5823333333,-86.207111111,-51.4366666667,-64.1762222221,-10.1532222222,-47.1265555556,-68.9655555554,-60.9194444446,-55.9385555557
181.45,-36.6841111111,-96.12,-11.6402222222,-18.8713333333,-90.1235555557,-52.9981111111,-70.5466666666,-30.5113333333,-55.3791111111,-74.4268888889,-72.4865555554,-63.8446666668
181.83,-17.9486666667,-66.9513333333,9.40177777777,8.26199999999,-49.4302222222,-24.2164444444,-35.3276666667,-6.41033333334,-26.4957777778,-45.1566666667,-44.0169999999,-36.7522222222
