wavelength,Back_VolJacm,Belly_VolJacm,Breast_VolJacm,Crissum_VolJacm,Crown_VolJacm,DorTail_VolJacm,Patch10_VolJacm,Rump_VolJacm,Throat_VolJacm,WingTip_VolJacm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,131.428666667,141.904733333,101.904666667,105.714333333,105.714266667,105.714266667,128.5716,127.619,115.238133333,105.714333333
179.16,59.4871333333,57.4358,49.2306666667,58.4615333334,57.9486666666,26.1539333333,62.0512,77.9486666666,67.6923333333,53.3333333333
179.54,61.3333333333,64.0,76.0,41.3333333333,57.3333333333,2.66666666665,40.0,59.3333333333,73.3333333333,49.9999999999
179.93,80.4220666667,88.8608,73.2490666667,63.5442,72.5738666666,41.8565333333,66.4978000001,78.2279999999,81.6877333333,64.1351333333
180.31,90.4347333334,103.574933333,81.6425999999,70.7246666666,79.2269333333,41.063,71.5941999999,89.9517999999,92.3672666667,71.4975333334
180.69,89.2655999998,113.4464,88.5876666667,73.4462000001,82.1469333334,35.4801333333,67.1186666666,92.9942666668,96.3842666667,73.6722666666
181.07,102.564066667,148.0342,107.179333333,84.6154000001,95.0426666668,26.6668,72.6496666667,103.760733333,115.726533333,91.2820666667
181.45,120.229866667,187.3564,128.505733333,109.6552,114.023066667,24.1378666668,86.2069333334,113.103533333,137.9312,109.885133333
181.83,93.6585333333,148.617866667,97.2357999999,101.951133333,90.7316666666,24.8780666667,71.3819999999,95.7721999999,109.105666667,87.6422666666
182.21,119.1918,203.0304,130.302933333,144.848533333,121.010133333,38.3839333333,101.414,122.222066667,149.899,130.707266667
182.59,404.0,1024.0,416.0,600.0,428.0,-124.0,365.333333334,425.333333333,654.666666667,516.0
182.97,-90.5882666667,-262.745133333,-87.4509333333,-147.0588,-103.137333333,58.0392,-81.9608666665,-87.8432000001,-166.274533333,-138.431466667
183.35,-237.777733333,-571.111,-208.888866667,-314.074,-296.2962,14.8148,-215.555666667,-217.037,-411.8518,-351.8518
183.73,-412.2222,-963.333266667,-358.888933333,-540.0,-573.333333333,-66.6667333334,-429.999866667,-354.444333333,-706.666733334,-590.0
184.11,801.666666666,1555.0,654.999999999,963.333333334,1008.33333333,181.666666667,846.666666666,668.333333332,1226.66666667,1078.33333333
184.49,234.509733333,399.215733333,198.0392,252.156933333,292.941266667,91.7646666667,230.5882,210.588333333,329.803933333,280.0
184.87,372.727333333,607.272733333,279.999933333,375.7576,458.1818,149.090933333,366.666933333,334.545533333,496.363666667,429.090933333
185.25,-305.454466667,-533.3332,-223.636533333,-281.212266667,-379.393933333,-88.4851333334,-275.151333333,-256.363666667,-429.696933333,-369.090866667
185.63,-1633.33333333,-2750.0,-1273.33333333,-1506.66666667,-2130.0,-396.666666667,-1556.66666667,-1450.0,-2360.0,-1980.0
