wavelength,Back_CyaNitf,Belly_CyaNitf,Breast_CyaNitf,Crissum_CyaNitf,Crown_CyaNitf,DorTail_CyaNitf,Patch10_CyaNitf,Rump_CyaNitf,Throat_CyaNitf,WingTip_CyaNitf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,42.2222222222,91.1111111112,61.1111111111,63.3333333333,58.8888888889,76.6666666667,56.6666666667,61.1111111112,98.888888889,71.1111111111
179.16,129.166666667,91.6666666666,111.111111111,131.944444444,145.138888889,130.555555556,115.277777778,111.111111111,148.611111111,90.2777777777
179.54,-211.111111111,-111.111111111,-138.888888889,-266.666666667,-241.666666666,-77.7777777778,-77.7777777778,-83.3333333332,-105.555555556,-33.3333333332
179.93,2.77777777777,1.00000600393e-10,33.3333333333,-41.6666666667,-6.94444444467,86.1111111112,38.8888888889,61.1111111111,-41.6666666667,-19.4444444444
180.31,27.8631111111,37.7777777778,62.735,25.812,20.2563333333,63.7605555555,38.9742222222,46.3247777778,40.3417777778,54.1878888889
180.69,33.3334444444,44.8888888889,63.4075555555,31.2592222222,24.7407777778,66.6665555556,45.037,51.5555555555,46.3705555557,62.6666666667
181.07,44.7666666667,49.1144444446,75.2012222222,38.9692222222,30.0322222222,79.7102222223,59.4202222222,61.8358888889,51.0466666666,79.8712222221
181.45,64.2756666667,58.0872222222,81.1532222221,56.6806666667,43.3897222222,93.3896666667,71.1674444445,77.7777777779,64.9788888889,89.5920000001
181.83,72.8071111111,63.4502222223,85.0876666668,66.081888889,43.0554444445,100.877111111,78.6548888889,84.2106666665,75.7308888889,99.1227777777
182.21,74.4152222222,67.69,85.965,68.4209999999,34.2836111111,101.023333333,79.2397777778,83.041,84.0643333333,104.093333333
182.59,68.889,60.7843333333,79.6078888889,62.6144444445,21.8955,90.0654444444,68.4967777778,78.1697777778,78.0393333334,89.9346666667
182.97,70.1472222222,59.7054444444,80.4551111111,64.3907777779,16.4658888889,92.9049999999,76.1714444445,84.0695555555,78.3133333332,92.1016666667
183.35,62.6262222222,50.0722222222,76.1904444444,61.9046666667,0.793777777767,91.9193333334,78.2106666667,74.6032222222,70.1296666667,86.147111111
183.73,53.111111111,34.4444444445,66.2222222222,53.5555555556,-48.7777777778,98.0000000001,77.5555555557,68.2222222222,65.3333333332,91.7777777778
184.11,54.888888889,38.8888888889,49.7777777778,47.5555555556,-53.3333333333,93.5555555554,73.5555555554,63.7777777777,54.0,89.7777777777
184.49,69.5342222221,40.8602222222,55.5554444444,50.5376666666,-105.734777778,124.731222222,97.8496666665,83.1540000001,59.8566666666,125.448
184.87,80.5555555554,16.1111111111,54.4444444445,48.888888889,-214.444444445,155.555555556,120.555555556,88.888888889,48.3333333333,141.111111111
185.25,238.888888889,944.444444443,555.555555556,627.777777778,3258.33333333,-461.111111112,-33.3333333333,138.888888888,505.555555554,-33.3333333333
