wavelength,Back_RamCarf,Belly_RamCarf,Breast_RamCarf,Crissum_RamCarf,Crown_RamCarf,DorTail_RamCarf,Rump_RamCarf,Throat_RamCarf,WingTip_RamCarf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,157.5,152.5,168.333333333,206.666666667,160.833333333,172.5,195.833333333,205.833333333,169.583333333
179.16,92.5000000001,90.4166666666,95.4166666668,93.3333333333,85.4166666666,89.1666666666,102.083333333,116.666666667,89.1666666667
179.54,43.3333333334,103.333333333,91.6666666666,103.333333333,31.6666666665,83.3333333332,115.0,160.0,46.6666666666
179.93,-12.3808666666,16.1904666667,62.8571333334,19.9998666667,15.2381333333,50.4762000001,40.9522,75.2380666666,12.8571666667
180.31,181.609133333,229.655133333,239.080333333,264.827533333,190.5746,221.379333333,265.287333333,300.2298,192.2989
180.69,212.839666667,266.666666667,270.123333333,306.4198,214.567933333,252.5926,306.666666667,342.716066667,221.234633333
181.07,642.8572,824.761933334,836.1904,909.523733333,566.666866666,739.999999999,984.761866666,1092.38093333,659.5236
181.45,-363.333333333,-487.333333333,-505.333333333,-546.666666667,-302.0,-427.333333333,-590.666666667,-656.0,-383.0
181.83,-622.857133333,-765.714133333,-828.571533333,-835.238066667,-552.380933333,-716.190466666,-925.714266667,-976.190466667,-620.952466667
182.21,-631.851799999,-713.333333333,-747.407400001,-803.703666667,-528.148133333,-667.407466667,-841.4816,-862.222266667,-607.4073
182.59,-1235.5556,-1281.11106667,-1367.77773333,-1437.7778,-992.222266666,-1242.2222,-1506.6666,-1468.8888,-1135.5555
182.97,-683.333333334,-724.666666667,-769.333333334,-798.666666667,-584.0,-693.333333332,-859.999999999,-790.666666666,-608.666666667
183.35,-3580.0,-3733.33333333,-3786.66666667,-3980.0,-3053.33333333,-3600.0,-4573.33333333,-4073.33333333,-3035.0
183.73,1008.33333333,1062.5,1102.5,1133.33333333,939.166666667,1038.33333333,1305.83333333,1158.33333333,905.000000001
184.11,1448.88886667,1486.66673333,1571.11106667,1532.2222,1334.44446667,1425.5556,1782.2222,1569.99993334,1302.22226667
