wavelength,Back_TanCucf,Belly_TanCucf,Breast_TanCucf,Crissum_TanCucf,Crown_TanCucf,DorTail_TanCucf,Patch10_TanCucf,Patch11_TanCucf,Rump_TanCucf,Throat_TanCucf,WingTip_TanCucf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,70.6666666666,81.3333333333,65.9999999999,87.3333333333,100.0,47.9999999999,76.0,114.0,92.2666666666,48.6666666667,92.3333333333
179.16,483.333333334,486.666666667,346.666666667,576.666666667,560.0,356.666666667,523.333333333,600.0,574.0,526.666666667,530.0
179.54,141.666666667,181.666666666,38.3333333334,201.666666667,170.0,120.0,155.0,216.666666667,192.666666667,186.666666667,177.5
179.93,-20.0,-49.3333333334,37.3333333334,-78.6666666667,-50.6666666667,37.3333333333,-12.0,-95.3333333333,-43.2,-29.3333333333,-12.0
180.31,99.0,107.166666667,74.7499999999,120.583333334,105.333333333,68.5,99.5,130.791666667,109.866666667,96.5833333333,99.3333333332
180.69,93.8614000001,99.5379333333,73.8615333332,112.673333333,98.0858666667,66.5016666667,94.2574000001,119.471966667,104.659986667,91.9470666667,92.0791999999
181.07,93.0032666667,97.4918,72.5413333333,111.551266667,94.1913999999,62.4753,92.4093333333,114.389366667,99.7888399999,88.4488666667,86.7327666666
181.45,82.7976,87.7380666667,66.9047333333,99.1071333333,84.7023333335,54.2261666666,81.0715333334,104.1666,88.50004,76.3690666667,76.4286333333
181.83,87.2000000001,93.3333333333,74.8666666667,106.066666667,91.4000000001,54.6,88.1999999999,113.233333333,91.7599999999,79.0666666667,83.2333333333
182.21,86.1682,90.1557333333,77.9439333333,103.800666667,90.5919333333,56.7291,88.4735333333,112.429933333,88.8474400001,77.6322666667,83.0216333333
182.59,95.8597333333,99.8597333333,90.9473333332,116.491266667,106.1754,66.2805333333,98.035,130.561533333,99.5228666667,87.7892666667,93.2279999999
182.97,108.148066667,110.617333334,99.6708666667,125.5144,121.399133333,71.6871666668,110.6996,152.839566667,111.901266667,95.9669333335,102.3046
183.35,120.8772,126.3158,112.105333333,136.4036,134.2984,78.6842,128.771933333,162.850833333,128.368466667,111.403466667,118.201733333
183.73,129.6,131.288933333,113.155466667,142.844533333,140.177866667,83.2000000001,136.533333333,167.200166667,132.37348,117.600066667,129.9111
184.11,114.592533333,112.518666667,100.074133333,125.555533333,124.148066667,77.5926000001,118.444466667,147.740866667,113.066746667,102.222266667,114.629633333
184.49,131.455333333,123.3804,109.389733333,139.3428,142.5352,83.5680000001,137.934266667,173.3332,128.619573333,115.586666667,131.8309
184.87,163.846266667,154.2308,129.871666667,171.153933333,177.1796,97.0510666666,171.6666,224.935766667,153.076973333,132.564066667,161.538466667
185.25,172.624133333,163.120533333,131.489466667,183.829733333,192.198533333,102.269633333,183.8298,250.7802,165.276733334,137.8724,172.269366667
185.63,195.042666667,187.179533333,144.9572,210.4274,226.153866667,121.709466667,212.136666667,289.059933333,190.63252,154.7008,200.512733334
186.01,176.7442,167.441933333,124.186,186.9766,209.302266666,105.969033333,186.511666667,261.317833333,174.542706667,133.1784,168.604766666
186.39,199.215666667,179.019666667,117.647066667,204.313666667,240.784266667,104.607766667,209.215666667,302.744966667,199.960773333,139.019533333,183.921666667
186.77,224.1026,181.794866667,95.3846666668,219.487266667,265.897333333,86.2818666666,227.948733333,333.9745,225.692306667,139.743466667,192.564066667
187.15,174.1416,130.504933333,81.0101333333,169.898866667,210.100933333,65.4545666666,174.949533333,252.6262,170.1818,104.2424,148.4848
187.53,272.156733333,170.980333333,108.235333333,261.960866667,360.784266666,74.5097333333,265.098,440.5882,264.470653333,115.686133333,203.9217
187.91,-886.666666667,-518.333333333,-245.0,-953.333333333,-1300.0,-35.0,-830.000000001,-1655.83333333,-916.666666665,-285.0,-536.666666667
188.29,-79.5237333333,-48.5713999999,1.90473333332,-112.619,-137.8572,37.9761666667,-94.7619333335,-192.499966667,-99.7142533334,4.52379999998,-28.9286666667
