wavelength,Back_IncOrtf,Belly_IncOrtf,Breast_IncOrtf,Crissum_IncOrtf,Crown_IncOrtf,DorTail_IncOrtf,Patch10_IncOrtf,Patch11_IncOrtf,Rump_IncOrtf,Throat_IncOrtf,WingTip_IncOrtf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,288.888888889,244.444444444,577.777777778,533.333333334,355.555555556,500.0,344.444444445,400.0,388.888888889,211.111111111,533.333333333
179.16,140.740666667,196.296444444,233.333444445,144.444444444,129.629555555,196.296333333,229.629555556,118.518444445,300.0,233.333333333,181.481555556
179.54,1200.0,933.333333333,1266.66666666,755.555555554,988.888888888,1233.33333333,1411.11111111,811.111111112,1044.44444445,1033.33333333,944.444444444
179.93,-355.555555556,-222.222222222,-472.222222222,-355.555555555,-461.111111111,-461.111111111,-577.777777778,-350.0,-416.666666667,-116.666666667,-427.777777778
180.31,-686.666666667,-535.555555556,-803.333333333,-597.777777778,-623.333333333,-740.0,-889.999999999,-676.666666667,-785.555555555,-458.888888889,-713.333333333
180.69,-4238.88888889,-3194.44444445,-4611.11111111,-3605.55555555,-3672.22222222,-4222.22222222,-5172.22222222,-3994.44444444,-4600.0,-2766.66666667,-4300.0
181.07,-3162.963,-2470.37033333,-3325.926,-2611.11122222,-2596.29633333,-2918.51833333,-3737.03722222,-2900.0,-3322.22233333,-2044.44444444,-3022.22233333
181.45,-1191.66666667,-922.222222223,-1218.05555556,-970.833333332,-980.555555557,-1047.22222222,-1384.72222222,-1083.33333333,-1201.38888889,-704.166666665,-1136.11111111
181.83,-341.880333333,-261.965888889,-342.307777778,-282.478666667,-282.051333333,-288.461444444,-381.623888889,-312.393,-361.538444444,-180.769333333,-334.188
182.21,-304.981,-233.716444444,-281.992555556,-236.781777778,-237.164777778,-245.977,-313.026777778,-268.965555555,-318.773888889,-160.536333333,-289.655111111
182.59,-387.922666667,-303.381666667,-343.478222222,-281.159444444,-291.787222222,-298.067666667,-369.565222222,-324.154666666,-421.739111111,-213.043333333,-362.318777778
182.97,-264.444444445,-205.185111111,-225.925777778,-185.185222222,-204.444444444,-190.370222222,-245.185222222,-211.481555556,-294.074,-122.962888889,-243.703888889
183.35,-287.356333333,-227.586333333,-245.210777778,-207.279555556,-216.091888889,-200.0,-257.088111111,-224.520888889,-321.456,-128.735666667,-260.919444445
183.73,-342.222222222,-264.0,-290.666666667,-255.555555556,-253.777777778,-235.555555555,-307.555555556,-266.666666667,-381.333333333,-156.888888889,-296.444444445
184.11,-244.097222222,-179.166666666,-194.791666667,-185.069444444,-175.347222222,-153.819444445,-214.236111111,-186.805555556,-264.930555556,-91.3194444443,-205.902777778
184.49,-403.888888889,-297.222222222,-315.555555555,-321.666666667,-311.111111111,-270.0,-334.444444444,-324.444444444,-437.222222222,-180.0,-326.111111111
184.87,-199.099,-152.853,-159.159111111,-163.363222222,-154.654666667,-129.129111111,-169.970111111,-160.960888889,-221.621555555,-87.3873333332,-159.759777778
185.25,-296.581333333,-229.914444444,-243.589666667,-267.948666667,-246.153888889,-200.427222222,-267.948555556,-245.299,-334.615444444,-150.427333333,-250.854555556
185.63,-327.555555556,-256.444444445,-281.333333333,-330.666666667,-277.333333333,-234.222222222,-300.888888889,-291.555555556,-378.222222222,-178.666666667,-271.555555555
186.01,-305.761444445,-255.555444444,-268.724222222,-334.156333333,-263.785888889,-227.983555556,-306.584333333,-285.596888889,-348.559777778,-183.127666667,-241.975333333
186.39,-244.444333333,-212.418333333,-229.738444444,-284.967222222,-224.836666666,-179.411888889,-255.882333333,-234.967333333,-279.084888889,-149.346444444,-193.137333333
186.77,-263.973111111,-234.343444444,-251.178555556,-323.568888889,-250.168222222,-198.653111111,-290.909333333,-256.228888889,-289.225555556,-157.575888889,-205.050555555
187.15,-162.893111111,-141.299888889,-146.960111111,-204.402555555,-147.798666667,-113.836444444,-179.664666667,-149.685666666,-175.681222222,-94.9684444443,-124.318666667
187.53,-205.679222222,-185.679,-185.185111111,-255.802555556,-187.160444444,-146.913555556,-229.876444444,-197.284,-217.531,-131.111222222,-166.666666667
187.91,-321.527777778,-303.819444444,-287.847222222,-387.5,-297.569444444,-234.375,-352.430555556,-317.013888889,-336.805555555,-208.680555556,-276.041666667
188.29,-590.0,-570.0,-542.777777778,-681.666666666,-541.111111111,-462.222222222,-638.888888889,-582.777777778,-645.555555555,-437.777777778,-513.333333333
188.67,-925.396888888,-935.714333333,-865.873222221,-1055.55555556,-845.238222222,-753.968222222,-1032.53977778,-931.74588889,-1030.15877778,-731.746,-827.777777777
189.05,-1899.99988889,-1982.53955556,-1807.93644444,-2211.111,-1800.0,-1626.98422222,-2095.23811111,-1971.42866667,-2207.93666667,-1612.69844444,-1685.71444444
189.43,-562.319,-595.169111111,-521.739111111,-657.971111111,-552.173888889,-491.304444444,-620.773,-586.473444444,-664.251111111,-491.787555556,-501.932222222
189.81,-354.938111111,-390.431888889,-328.703777778,-405.555444444,-345.987555556,-317.592666667,-398.456666667,-371.604888889,-414.506111111,-315.740777778,-321.296222222
190.19,-508.444444444,-570.222222222,-480.888888889,-579.111111111,-500.888888889,-456.444444444,-569.333333333,-536.444444445,-602.222222222,-447.555555555,-477.777777778
190.57,-428.174555556,-479.762,-407.539777778,-509.127111111,-414.285777778,-391.269888889,-483.730111111,-452.380888889,-511.508,-370.634777778,-410.317444444
190.95,-254.846333333,-284.633555556,-241.134888889,-302.127777778,-240.661888889,-239.716222222,-286.761333333,-268.794111111,-304.019,-216.075666667,-244.917333334
191.33,-216.557777778,-261.438111111,-210.457444445,-264.270111111,-212.200444444,-214.596888889,-255.773555555,-231.154555556,-269.934666667,-182.570888889,-202.614333333
191.71,-101.472666667,-139.223444444,-105.086888889,-142.570333333,-106.827444444,-112.583777778,-134.805888889,-111.512666667,-139.759,-91.0307777779,-95.4483333331
192.09,-71.7076666667,-99.3827777779,-77.5721111112,-110.699777778,-78.7037777778,-81.2757777778,-99.0739999999,-78.1892222222,-103.806444445,-67.3867777777,-67.4896666667
192.47,-40.518,-63.2413333333,-45.614,-76.441,-49.7075555556,-49.2061111111,-65.4135555557,-48.7887777778,-68.0032222222,-37.3433333333,-42.5231111111
192.85,-28.9495555556,-48.2993333334,-33.1823333334,-62.207,-40.0604444444,-37.0372222222,-52.1542222222,-34.9206666667,-51.1715555556,-25.3213333333,-33.2577777778
193.23,-21.9336666667,-41.414,-25.6853333333,-52.8858888889,-35.0651111111,-30.808,-45.2381111111,-29.365,-41.0533333334,-15.1514444445,-29.3652222222
193.61,-17.735,-34.7578888889,-21.7948888889,-46.5813333333,-29.7008888889,-28.5613333334,-39.1736666667,-26.9228888889,-37.1796666667,-8.61833333333,-24.4301111111
193.99,-14.745,-25.9957777778,-16.7714444444,-42.8371111111,-28.232,-24.1091111111,-34.1021111111,-21.8026666667,-34.3117777778,-3.21455555553,-22.9907777778
194.37,-16.9083333333,-23.4645555556,-17.5985555556,-43.2024444444,-31.125,-25.4657777778,-34.0924444444,-21.6011111111,-33.1263333333,-6.41822222222,-23.5334444444
194.75,-23.2322222222,-31.9346666667,-24.1648888889,-51.1266666667,-43.2014444444,-34.1104444445,-43.5896666666,-26.9618888889,-43.823,-18.2594444444,-31.1577777778
195.13,-27.5518888889,-37.5792222222,-31.1653333333,-61.4272222222,-55.104,-41.1021111111,-50.587,-30.8038888889,-50.6774444444,-27.281,-42.8184444445
195.51,-39.9593333333,-50.4586666667,-47.9104444445,-82.7726666668,-73.9043333334,-57.5944444445,-68.7054444444,-46.7891111111,-65.2395555556,-48.2161111111,-66.9724444444
195.89,-54.2222222222,-63.8888888888,-60.4444444444,-99.111111111,-90.3333333333,-69.1111111111,-81.888888889,-58.4444444444,-81.8888888889,-59.6666666667,-86.7777777779
196.27,-47.8115555555,-62.1771111111,-54.6576666667,-90.6846666666,-85.1851111111,-66.3298888889,-75.6453333335,-51.6275555556,-76.4311111111,-56.2291111111,-84.5118888889
196.65,-60.5324444444,-78.5878888888,-69.676,-102.430444444,-99.537,-81.5973333334,-84.4907777777,-61.6897777778,-85.7638888889,-65.8564444444,-96.4122222221
197.03,-74.1975555555,-92.7161111112,-84.3209999999,-116.543333333,-115.308444444,-96.7902222223,-97.6543333333,-77.2841111111,-102.222111111,-82.0986666668,-112.469333334
197.40,-90.7858888888,-107.994555556,-101.490444444,-139.837333333,-133.333333333,-119.105777778,-123.712777778,-93.0893333333,-125.338777778,-104.742444444,-133.062333333
197.78,-100.000111111,-123.789111111,-111.396111111,-155.983,-144.159333333,-131.196666667,-141.880222222,-96.2962222222,-134.757777778,-117.663777778,-147.720777778
198.16,-136.379888889,-177.957,-153.584111111,-204.659555555,-195.340666667,-177.777777778,-194.981888889,-133.154,-182.258111111,-172.042888889,-195.161222222
198.54,-117.508555556,-164.646333333,-131.986555556,-182.996444444,-166.666666667,-159.427444445,-177.104444444,-117.340222222,-165.993111111,-152.357,-172.390666667
198.92,-112.063555555,-153.016,-123.650888889,-168.888888889,-147.936666667,-147.142666667,-168.571555556,-120.158888889,-152.857111111,-139.206333333,-159.047666667
199.30,-103.805222222,-141.552555556,-113.089666667,-153.729111111,-138.204111111,-130.593666667,-159.208555556,-118.569222222,-140.487,-129.984777778,-141.552444445
199.68,-126.153888889,-163.931666667,-132.307555555,-171.965888889,-160.171,-153.846222222,-175.384444444,-141.025777778,-165.641222222,-150.256333333,-164.615444444
200.06,-187.036888889,-232.638888889,-200.694555556,-247.222333333,-224.536888889,-223.842666667,-251.388777778,-218.518555556,-239.814777778,-226.157444444,-235.648222222
200.44,-308.754222222,-372.053888889,-331.986666667,-390.909222222,-353.872,-350.841777778,-387.542,-372.390444444,-373.063777778,-362.289555555,-372.390555556
200.82,-404.701,-482.478666667,-435.043,-517.094,-459.829,-452.564111111,-504.273555556,-494.871777778,-494.017,-496.153777778,-488.034111111
201.19,-221.705555556,-268.733777778,-241.085444444,-295.090444444,-249.354,-247.803777778,-278.036111111,-273.385,-275.710555555,-278.552888889,-266.408222222
201.57,-173.638222222,-215.468444445,-196.078333333,-241.176444444,-202.832222222,-193.246111111,-214.814888889,-214.161333333,-218.954333333,-230.936777778,-213.289777778
201.95,-101.731666667,-126.695444444,-113.852777778,-140.404111111,-116.594444444,-106.493333333,-117.316,-126.551111111,-128.427222222,-138.239555556,-122.510777778
202.33,-96.2059999999,-114.092111111,-106.504222222,-137.398333333,-106.910666667,-97.4255555556,-102.438888889,-119.105666667,-115.582555555,-127.235666667,-111.653111111
202.71,-114.387444445,-130.056888889,-127.635333333,-157.977222222,-129.629666666,-113.817555556,-116.809,-136.182333334,-132.621,-147.435888889,-134.330555556
203.09,-113.443111111,-128.669333333,-125.788666667,-158.024777778,-135.528111111,-117.832777778,-114.128888889,-131.824555555,-133.333555556,-147.325222222,-134.567888889
203.47,-123.066,-141.631444444,-136.990222222,-171.870555556,-149.085666667,-134.880444444,-126.582333333,-144.163,-148.804555556,-163.713,-150.492222222
203.85,-105.684888889,-123.643333334,-122.351444445,-158.010222222,-133.850111111,-118.733888889,-114.212,-130.232666667,-131.007666667,-152.842444444,-131.007777778
204.22,-89.5362222221,-100.431555556,-96.8716666667,-133.441222222,-117.259888889,-101.402333333,-92.0172222223,-106.688222222,-107.227666667,-128.694666667,-109.816666667
204.60,-84.5055555555,-89.092888889,-88.7869999999,-125.382222222,-111.620666667,-98.368888889,-88.2774444443,-97.1458888888,-98.8787777777,-122.426111111,-102.650333333
204.98,-89.937111111,-93.1866666667,-96.7505555557,-128.721222222,-119.496888889,-103.773555556,-95.3877777777,-100.209666666,-102.830222222,-127.148666667,-109.538555556
205.36,-107.240888889,-112.983777778,-118.227222222,-152.184777778,-146.317222222,-128.089888889,-112.734111111,-121.598,-123.221,-148.314555556,-132.584333333
205.74,-112.643666667,-118.646222222,-124.393222222,-152.873555556,-149.808555556,-134.355,-115.070222222,-130.012777778,-125.670555555,-149.297666667,-137.675555555
206.12,-192.929333333,-212.525222222,-220.606111111,-258.383666667,-260.202,-237.373888889,-195.555555556,-231.111111111,-217.979777778,-253.939333333,-245.454444444
206.50,-136.190222222,-159.365,-164.127,-183.650666667,-189.523888889,-177.142888889,-144.444555555,-164.444444445,-164.603333333,-188.730111111,-187.460333333
206.87,-134.804,-158.496777778,-163.398777778,-180.392222222,-192.156888889,-180.392111111,-143.627555555,-165.196111111,-164.215666667,-189.705888889,-189.052333333
207.25,-115.007,-141.558444444,-138.095222222,-154.112555556,-164.502,-156.421333333,-127.994333333,-143.001333333,-141.414111111,-163.347666667,-165.656555555
207.63,-114.672333333,-138.461444444,-133.333333333,-151.282,-157.692444444,-150.997,-121.652555556,-137.322,-133.903222222,-156.552777778,-157.834666667
208.01,-131.381444444,-155.105,-142.492555556,-160.510444444,-174.324222222,-167.417555556,-135.886,-156.005888889,-144.894888889,-165.615555555,-173.573555556
