wavelength,Back_PooCaem,Belly_PooCaem,Breast_PooCaem,Crissum_PooCaem,Crown_PooCaem,DorTail_PooCaem,Patch10_PooCaem,Patch11_PooCaem,Rump_PooCaem,Throat_PooCaem,WingTip_PooCaem
194.75,-21.9298888888,250.877333333,264.035166667,-13.158,133.333166667,154.386,115.789666667,108.772,309.649,157.0175,137.719333334
195.13,535.18512963,-1250.0,-1161.11133333,305.5555,-483.333166667,-466.666833333,-455.5555,-422.222166667,-1788.889,-577.777666668,-516.666833333
195.51,-181.712962963,481.25,381.25,-68.75,185.416666666,250.0,168.75,175.0,654.166666667,189.583333333,200.0
195.89,-28.5320925926,182.098666666,116.049166667,7.4073333335,71.605,87.0371666668,67.2838333331,64.1976666667,230.864333333,83.3331666667,96.9136666665
196.27,-35.6754814815,131.372666667,70.5883333332,0.4903333335,24.0196666667,68.1375000001,39.7059999998,33.3333333333,167.156833334,46.5686666665,67.647
196.65,-154.321148148,214.444333333,76.6666666665,-84.444333333,-72.2221666666,76.6665,-10.0,-3.3335,287.777833333,19.999833333,45.5556666669
197.03,-1017.28392593,716.666833333,244.4445,-750.0,-750.0,138.889000002,-266.6665,-311.111166667,1222.22233333,-305.5555,-99.999833333
197.40,-175.252277778,215.1515,128.788,-196.969666667,-190.909333333,80.303166667,-37.878666667,-24.2426666667,445.4545,-16.6668333335,-24.2423333333
197.78,-150.308703704,204.166666667,90.2779999999,-151.388666667,-172.222166667,59.7221666665,-18.0555,-50.0,422.222166667,-5.5558333335,-43.0555
198.16,-19.6428703704,143.452333334,93.4523333335,-29.762,-19.643,77.3808333333,31.5475,27.3808333333,229.166666667,36.3095,39.2856666667
198.54,-33.8479259259,90.7408333333,71.2964999998,-47.6853333331,-28.7035,60.1853333334,9.25933333335,20.3705,175.0,6.4816666665,13.889
198.92,-27.2487222222,88.0953333335,68.095,-67.619,-17.1428333334,70.4763333332,-10.4761666665,17.1426666667,169.047666666,-13.8095000002,-5.714
199.30,-24.026574074,63.6753333333,49.1453333333,-82.0511666668,-27.3506666667,55.9826666668,-32.0513333334,5.983,131.1965,-20.9403333332,-20.5128333333
199.68,-74.3294444444,44.8275,20.1148333333,-151.149333333,-62.069,22.4138333333,-71.2643333335,-42.5286666666,137.356333333,-68.9656666666,-80.4598333333
200.06,-106.518518518,28.0,4.6666666667,-200.666666667,-79.3333333331,1.3333333333,-98.6666666668,-65.3333333333,131.333333333,-113.333333333,-132.0
200.44,-100.498629629,46.795,11.5385,-196.153833333,-59.6153333333,-17.9485,-114.7435,-55.7691666667,125.0,-114.1025,-132.6925
200.82,-42.2050555556,57.3643333334,20.5425,-98.4496666665,-3.4885,-1.16283333335,-40.6975000002,-19.7675,96.5116666665,-56.9770000002,-61.628
201.19,0.52907407407,69.5766666666,39.418,-39.947,28.5715,17.725,-0.529,21.9576666666,99.9999999999,-14.8148333333,-19.8413333333
201.57,4.41809259258,75.0,38.8093333333,-27.3808333333,37.143,25.952,8.33333333335,25.2381666666,90.4763333332,-12.381,-12.6191666667
201.95,11.9752592593,75.3333333333,48.0,-18.0001666667,43.3333333333,36.4446666667,14.2223333333,36.6668333333,92.6668333332,-0.22216666665,-9.5555
202.33,9.2592592593,75.4903333334,42.4016666667,-28.4313333333,39.951,21.5685,10.5393333333,36.0293333333,94.1174999998,-14.461,-26.4705
202.71,6.95946296295,81.1828333333,36.2903333333,-31.9893333334,46.7741666667,23.656,9.13966666665,28.7636666666,104.032166667,-23.6561666667,-35.7528333333
203.09,-4.8964814815,72.0338333334,28.2486666667,-40.113,48.8701666667,9.60449999999,1.9773333333,25.9886666666,104.237333334,-31.0733333333,-41.8078333333
203.47,1.2906851852,74.495,38.3838333333,-25.0,58.3333333333,16.1615,9.8485,33.586,100.2525,-25.2526666667,-25.0001666667
203.85,33.4585185185,93.6936666668,58.7838333333,1.8018333333,76.8018333334,34.234,30.8558333334,55.6306666667,115.315333334,10.135,4.72983333333
204.22,48.5232037037,100.632833333,65.401,16.6666666666,89.6623333334,52.1095,45.7806666667,64.768,125.105666667,28.059,28.481
204.60,51.8994444447,101.495666667,67.5213333333,25.641,98.0768333333,63.2476666667,53.2053333333,68.3761666666,129.700833333,32.4786666667,32.906
204.98,39.8014444444,100.241333333,66.1836666666,11.8358333333,88.1641666667,57.4876666667,35.5073333333,66.6665,126.570166667,22.9468333333,25.6041666667
205.36,26.1285,95.8333333331,51.302,7.55216666667,84.6355,51.5626666667,22.1353333334,58.5938333333,120.3125,24.4793333333,25.521
205.74,21.7801111111,81.5918333333,44.2785,1.2438333333,73.8805,45.2736666667,10.1991666667,51.9901666667,107.96,21.1441666667,14.9253333334
206.12,13.0931851852,60.798,26.5256666667,-15.0235,59.3898333333,30.0466666667,-5.399,38.7323333333,83.8028333333,7.74633333331,3.28666666665
206.50,11.9883888888,50.2191666666,21.7105,-19.5175,56.7983333334,40.7895,-7.237,38.158,75.2191666666,8.77216666668,0.0
206.87,0.7846296296,53.3896666667,7.9095,-53.9548333334,49.7175,31.356,-25.141,34.181,68.0791666667,-0.2826666667,-11.0166666667
207.25,-7.9983148148,68.7941666666,9.5745,-75.1773333333,43.9716666667,35.8153333331,-35.1063333333,19.1488333334,70.5675,-1.4185,-30.1418333333
207.63,-20.5336481482,71.5686666667,2.941,-98.0391666669,43.1373333333,31.8626666665,-47.0588333335,3.9215,81.3725,-15.6863333334,-58.3333333333
208.01,-64.1612777779,47.0586666667,-12.7451666667,-104.901833333,19.6078333333,13.7255000001,-56.8628333333,-15.196,64.7058333334,-42.647,-63.2353333334
208.39,-80.9157592594,23.1483333333,-19.9075,-113.425833334,0.463,-6.94449999985,-57.8705000001,-31.0185,43.5183333334,-68.5184999999,-93.0558333331
208.77,-59.1851851852,5.66666666666,-21.6666666667,-91.3333333333,-8.0,-20.6666666666,-37.0,-25.3333333333,31.3333333333,-49.0,-77.3333333335
209.14,-39.5648148148,1.323,-16.9313333334,-69.3123333335,-2.91016666667,-21.6931666667,-23.0158333333,-16.1376666667,29.6296666667,-47.09,-65.6085
209.52,-36.9589074074,-1.4085,-17.371,-67.3708333333,-4.69483333333,-19.2488333333,-17.1361666666,-20.1876666666,19.7183333333,-58.2158333334,-67.371
209.90,-28.4552407407,4.2683333333,-10.9758333334,-55.2846666666,0.0,-16.26,-11.382,-14.4308333333,20.3253333333,-54.2683333334,-50.2031666667
210.28,-25.0001666667,13.008,-3.4553333333,-49.187,5.69116666668,-7.52033333335,-8.53633333335,-12.6016666667,29.6748333334,-50.2033333334,-41.8698333333
210.66,-14.2572777778,23.1183333333,6.09316666665,-34.0501666667,13.0823333334,-0.896,-1.613,-4.122,34.767,-34.5878333333,-23.835
211.03,0.3858148148,25.6945,15.8333333333,-10.4166666667,23.6113333333,9.0276666667,8.61100000002,10.5556666667,39.4445,-11.9445,-6.11116666669
211.41,3.5550925926,23.4793333333,16.0581666666,-5.596,25.1825,13.6251666666,10.4621666667,17.2748333334,35.1581666667,-9.0025,-0.2435
211.79,9.87649999999,27.675,22.3251666667,-1.1315,28.292,18.8273333333,12.6541666667,23.7655,38.066,0.205666666666,5.65833333334
212.17,16.0897962963,26.5028333333,25.592,2.73233333333,30.4188333333,23.2238333333,13.2968333333,28.5061666666,36.4296666667,2.00366666667,7.65016666667
212.55,13.727962963,22.826,24.094,2.71733333334,30.5253333333,19.2028333333,8.06166666668,26.8116666667,32.3368333334,-2.44566666667,6.06883333333
212.92,11.3522962963,24.1618333333,23.6686666667,0.197166666667,34.4181666667,21.6963333333,5.22683333331,30.276,33.5306666667,-5.424,2.564
213.30,20.0999814815,33.1531666667,31.8918333334,12.2521666666,41.2615,30.7206666666,13.3333333333,36.9368333334,40.09,8.4685,14.3245
213.68,28.1207037037,39.0653333333,37.6543333333,19.4003333333,46.4728333333,36.8606666667,17.4603333334,43.2098333334,46.3843333333,17.1958333333,20.9878333333
214.06,26.2961851852,36.0185,36.9443333333,21.0185,46.9445,36.7591666667,18.7963333333,43.426,44.722,19.0741666667,18.9813333333
214.44,22.4043518519,31.8763333334,30.6921666666,20.2185,43.898,30.6011666667,21.767,38.6156666667,41.3476666666,16.5755,16.029
214.81,17.9501111111,23.5448333333,22.046,16.843,39.8591666666,23.1923333333,17.9895,31.1285,35.9788333333,11.9046666667,13.3158333333
215.19,18.5087592593,22.1641666667,21.9896666667,18.2373333334,36.3003333333,21.815,17.7136666667,29.6683333333,33.7696666666,8.72599999998,12.4783333333
215.57,22.6393333333,24.4505,24.2673333333,21.1538333333,37.8203333333,21.5201666667,20.9706666667,30.6776666667,37.3628333333,8.97433333335,15.9341666667
215.95,22.9543333334,25.9886666666,20.7155,20.998,41.0546666667,22.128,20.5275,30.8851666667,36.9115,9.5105,19.3973333334
216.32,22.1046296296,28.2275,18.3043333334,21.3871666666,39.8843333333,24.663,21.869,29.5761666666,37.0905,8.57433333333,18.8825
216.70,27.5131666667,37.4998333333,21.7261666667,26.389,43.4523333333,30.4565,25.2976666666,35.4166666667,42.9561666667,17.262,25.6945
217.08,28.9582592593,38.9196666667,25.1831666667,28.5713333333,42.8571666667,30.586,25.5495,31.044,40.4761666667,18.7728333334,27.3808333333
217.46,21.5447777778,32.7236666667,20.325,20.9348333333,39.8373333334,27.8455,21.138,24.0853333333,33.6383333333,11.8901666666,19.817
217.83,12.1744814815,23.5483333333,10.9678333334,13.6558333333,31.1826666667,19.785,16.0215,17.6345,25.914,3.11816666665,12.2581666667
218.21,14.4249444445,27.0831666667,11.1841666667,11.8421666666,29.8245,22.478,19.2983333334,19.1886666667,27.4125,3.07016666667,14.6931666667
218.59,22.5577037037,32.103,21.2526666667,15.3241666667,37.0246666666,31.9911666667,22.2596666666,25.0558333333,31.991,10.8505,20.6933333333
218.97,26.8925555556,34.9265,26.8381666667,16.0538333333,38.9706666667,37.9903333333,24.7548333333,32.2303333333,32.8433333333,13.6028333333,21.3236666666
219.34,22.553425926,32.249,24.5258333333,7.7235,38.2115,41.7345,18.9703333333,28.4551666667,30.6233333333,11.2466666667,15.9891666667
219.72,14.1782222222,26.953,19.6613333334,1.56266666666,31.3801666667,41.4063333333,10.9376666667,27.6041666666,23.958,9.37500000001,9.37516666667
220.10,7.97720370372,21.083,13.8176666667,-5.55566666667,22.9343333334,36.4673333333,7.54966666667,22.2223333334,14.3875,4.55849999998,-1.567
220.47,-4.27109259258,10.2101666667,3.153,-19.3693333333,13.8138333334,22.973,-6.907,11.1113333333,0.750833333335,-2.10233333333,-9.90983333335
220.85,-7.47129629631,8.76416666666,4.31033333333,-24.7126666667,8.04600000001,19.8275,-5.02883333334,6.89650000002,-6.03450000001,-1.72433333333,-18.247
221.23,-7.53861111111,7.0795,1.32733333334,-25.0736666667,3.98233333334,20.5015,-3.98233333334,8.84933333334,-9.88216666667,-2.94983333334,-15.9291666667
221.61,-4.67137037037,12.1621666667,0.0,-18.9191666666,7.5075,23.123,-0.45033333335,12.6125,-6.30599999999,-2.102,-11.261
221.98,1.08025925926,21.1111666666,9.30566666667,-7.77783333333,17.6388333333,30.5558333334,5.27783333331,17.0833333333,-1.389,8.19416666666,-3.47233333335
222.36,-2.44385185185,17.623,8.60666666666,-10.929,18.5793333334,24.0436666667,-3.27866666666,8.60666666669,-5.60133333335,4.918,-8.60649999999
222.74,-16.3865,11.4845,-2.661,-19.3275,10.7841666667,10.504,-16.6666666667,0.14,-15.8261666667,-9.10383333334,-18.3473333333
223.11,-18.8351481482,16.0968333334,-2.84883333333,-14.3876666667,10.6838333333,9.97133333334,-16.524,-3.70383333333,-16.9515,-10.9688333333,-21.0826666666
223.49,-12.6149074074,21.0825,0.997166666665,0.284833333335,17.6638333333,12.1083333333,-7.40733333333,0.569666666665,-10.9686666667,-7.12250000002,-13.3903333333
223.87,5.25118518518,29.2856666667,15.2381666667,18.0951666667,30.1191666667,18.9285,11.1905,12.262,5.71433333332,9.64283333335,3.4525
224.24,6.15609259258,26.2386666666,17.7928333333,22.5225,26.3513333333,22.1846666667,12.6126666667,11.8241666667,11.1485,9.57233333335,7.54483333335
224.62,12.062074074,31.419,24.8875,30.7435,28.8288333334,28.7163333334,21.509,14.9775,17.7928333333,15.6531666667,10.8106666667
225.00,11.3501481482,26.3441666667,20.1076666667,29.7848333334,24.516,28.387,19.0323333333,15.914,21.0755,14.6235,12.5806666667
225.38,6.61905555555,21.509,14.302,28.2656666666,18.2433333333,22.8603333333,13.7388333333,9.68449999999,19.82,9.23416666667,6.75683333335
225.75,3.88066666667,17.9406666666,8.91716666665,22.9298333334,11.3586666666,17.0913333334,8.06783333334,6.47566666667,16.2421666667,8.17399999998,4.56483333335
226.13,6.54325925927,15.4545,8.48483333332,21.616,11.111,17.879,10.404,5.85866666667,17.6768333333,8.28283333333,8.48483333335
226.51,11.2287592593,15.9613333333,10.4056666667,23.545,12.7865,20.8996666667,13.933,11.6405,21.4286666667,11.9046666666,14.5503333333
226.88,12.8708148148,13.9303333333,9.61866666666,23.3001666667,9.86716666668,21.1443333333,15.8373333333,12.8523333333,19.8175,13.9305,12.6865
227.26,11.1882777778,9.645,9.33633333334,20.6788333333,6.94449999999,18.827,14.3518333333,11.8826666666,17.438,12.9628333333,13.1943333333
227.64,8.25966666666,7.87999999998,6.20633333333,13.5983333333,2.30133333335,15.272,8.78666666668,8.99566666665,13.18,9.06550000001,11.5063333333
228.01,-0.0757037037,1.70066666667,-2.58516666666,3.8095,-7.00683333331,9.11583333335,0.884333333335,0.13616666667,5.8505,-0.272,3.80933333333
228.39,1.06857407407,3.5245,-0.41816666667,4.00233333333,-3.644,8.30350000001,2.09083333333,0.95566666667,5.73483333333,1.0155,4.42033333333
228.76,-1.96794444444,-0.220166666665,-3.68533333333,0.715166666665,-6.27066666666,4.01516666667,-0.714833333333,-1.48516666667,0.770166666665,-3.08016666666,0.495166666665
229.14,-3.28966666667,-2.6915,-5.12416666665,-0.9315,-6.67716666667,1.1385,-2.2775,-3.83033333333,-2.32916666666,-6.98733333334,-1.501
229.52,-0.45507407407,-0.094333333335,-2.40133333334,0.141166666665,-4.42566666667,1.93033333334,0.8475,-0.847333333332,-0.988833333332,-5.32,0.753166666665
229.89,1.34766666667,1.3525,1.17816666666,1.3525,-2.26866666667,3.53416666667,3.53383333334,1.09083333333,1.571,-2.83583333333,2.70516666666
230.27,1.19787037037,1.28533333333,1.45116666667,0.082833333335,-3.441,2.19733333334,2.44616666667,1.57533333333,0.787666666665,-3.10966666667,1.28533333334
230.65,0.141833333335,2.0335,1.43533333333,-0.438666666665,-4.58516666667,1.03666666667,2.95066666667,2.15333333333,-0.279166666665,-3.07,0.27916666667
231.02,0.418685185185,3.30216666666,2.09816666667,0.699333333335,-4.62316666666,1.08766666667,3.341,2.68066666667,0.971166666668,-2.99116666666,1.28216666667
231.40,2.82564814815,5.54316666666,4.15733333333,2.09733333333,-2.13483333334,2.92133333334,5.31816666667,4.83133333333,3.33333333334,-0.599333333334,3.25866666666
231.78,3.02103703704,5.543,5.2415,1.65916666667,-2.48866666666,2.52616666667,6.1465,4.93983333333,3.46916666667,0.678833333334,2.074
232.15,4.21466666666,5.81316666666,5.04066666666,1.61883333334,-1.43483333333,2.281,6.76983333334,5.85016666667,3.49533333334,2.02366666667,2.28116666667
232.53,3.61055555555,4.947,2.43533333333,-0.570666666667,-3.691,1.484,4.8325,4.8325,2.93,1.56,0.532666666667
232.90,5.32425925926,7.36883333334,3.3565,1.08033333333,-2.39216666667,2.46916666667,5.054,7.17583333333,5.40116666667,3.74233333333,2.04466666666
233.28,7.57307407408,9.61966666665,5.55566666667,3.132,0.111666666667,4.3625,7.71816666665,9.99266666669,7.83016666667,6.86066666669,4.54866666667
233.66,8.14964814815,10.6755,6.427,3.5945,2.0335,5.30116666666,7.98816666667,10.1671666667,8.67849999999,7.98849999999,5.62816666666
234.03,9.87638888886,11.9356666667,7.81366666669,5.19716666666,4.301,7.41933333332,9.068,11.1828333333,9.28299999998,8.99633333335,7.02516666667
234.41,9.80998148148,12.5175,7.70033333333,6.36416666667,4.60616666667,8.75550000002,9.142,11.5331666667,10.0211666667,10.5485,7.4895
234.78,8.90855555553,11.4185,6.31216666667,6.1345,4.43266666666,8.58166666667,7.87233333333,9.36166666669,9.43250000002,10.142,7.26933333334
235.16,7.96762962961,11.1455,6.653,5.04116666667,5.007,8.16200000002,7.476,8.36766666669,8.74483333334,9.56783333334,7.476
235.54,5.69172222222,10.5315,4.80566666667,3.51033333333,2.795,6.91866666667,5.58933333334,6.23716666667,6.88466666667,7.22566666669,6.23716666667
235.91,4.67037037037,9.53333333331,2.96666666666,2.7,2.93333333334,5.4,4.7,5.33333333334,5.96666666667,6.3,6.13333333333
236.29,5.39088888889,11.4623333333,5.4345,4.80883333334,4.24883333333,6.6865,5.23733333334,6.75233333333,7.345,7.77316666665,7.41116666667
236.66,7.11420370372,13.1198333334,7.28183333333,7.21916666667,7.56433333333,8.78833333333,8.03483333333,9.10216666668,9.10216666665,9.98099999999,9.636
237.04,6.76307407409,12.5986666667,7.55916666666,7.28616666667,8.43983333335,9.3805,8.62183333335,9.04666666667,9.41083333333,9.77533333332,10.3825
237.41,6.23931481482,12.9561666667,7.2665,8.03933333333,8.689,10.3586666667,8.50333333332,7.947,9.27633333333,10.1731666667,10.7916666667
237.79,5.04185185185,11.4151666667,6.44666666667,7.35833333334,6.85516666667,10.7233333333,7.16966666666,7.32716666667,8.2075,9.30833333333,9.6855
238.17,1.16822222222,7.43566666667,1.4425,3.94233333334,2.14733333333,7.08333333334,3.52566666667,3.718,4.67966666666,5.22416666666,6.47433333333
238.54,-1.45411111111,4.34083333333,-2.0595,1.45766666667,0.3485,4.40433333333,0.91883333333,0.633666666669,1.8695,1.7425,4.18266666666
238.92,0.00987037037,4.90216666666,-1.93116666667,3.11933333333,0.802166666669,4.54566666666,2.2875,1.93133333334,2.79266666667,2.34683333333,4.39683333333
239.29,1.852,5.1695,-2.00583333334,4.40683333333,1.38416666666,6.356,3.1075,3.10733333334,3.3615,3.9265,5.90383333333
239.67,3.10181481481,5.33966666666,-1.45166666667,5.57283333333,2.20316666667,7.02433333333,3.577,3.4475,4.25083333334,5.13216666667,6.55766666666
240.04,3.77677777778,6.52083333333,-0.400166666669,6.87383333333,2.63666666667,9.08666666667,4.37866666667,4.21366666667,5.06116666666,5.2025,6.54433333333
240.42,2.79937037037,4.69983333333,-1.01433333333,5.383,1.84266666667,8.86133333334,3.45766666666,2.94,3.789,3.62333333333,6.04566666667
240.79,1.58864814815,3.58833333334,-1.09283333333,3.97083333333,0.346,7.15866666667,2.40433333333,1.89416666667,2.20416666666,2.49533333334,5.15483333333
241.17,1.36925925926,3.4775,-0.705,3.47766666666,0.432500000001,6.779,2.5,1.69866666667,2.01933333334,2.532,5.04816666666
241.54,0.640777777778,2.43133333334,-1.15916666667,1.9365,-0.438166666665,5.42833333334,1.343,0.975166666666,1.555,1.63983333333,4.14183333334
241.92,-0.202537037039,1.3865,-2.2855,0.6805,-0.898833333335,4.09583333333,0.346666666666,-0.269666666665,0.667666666665,0.667666666668,3.27416666667
242.29,0.317703703705,1.93033333334,-1.35366666667,0.965166666665,-0.341166666669,4.77866666666,0.823833333333,0.235500000002,1.48316666666,1.20033333333,3.4955
242.67,1.02174074074,2.46833333333,-0.400333333333,1.35633333334,-0.0668333333335,5.248,1.423,1.01183333333,2.23466666667,1.48983333334,4.03616666667
243.05,0.992351851853,2.44233333334,-0.1615,0.8715,-0.172166666666,5.32616666666,1.0975,0.903833333334,2.11966666667,1.377,3.92733333333
243.42,0.484611111112,1.99166666667,-0.345999999998,0.262,-0.461333333335,4.89533333333,0.775666666668,0.607833333335,1.61416666667,1.00633333333,3.302
243.80,-0.554555555555,1.05566666667,-1.10766666667,-0.683166666667,-1.2215,3.975,-0.031,-0.1345,0.528166666667,-0.0516666666665,2.25683333333
244.17,-1.13690740741,-0.082,-1.92583333333,-1.79283333333,-2.13066666667,2.69416666666,-0.922000000001,-0.8605,-0.430333333334,-0.727333333332,1.54683333333
244.55,-0.576481481483,0.551,-1.5525,-1.12183333333,-1.76283333333,2.65416666667,-0.430666666666,-0.250500000002,-0.01,-0.210333333333,1.83283333333
244.92,0.306759259259,1.24066666666,-0.836666666668,-0.36566666667,-0.942500000002,3.09666666667,-0.173000000001,0.3655,0.798166666666,0.115333333333,2.462
245.30,0.931870370371,1.57383333333,-0.438166666669,0.116166666665,-0.616833333333,3.57633333333,0.0,0.616833333332,1.18916666666,0.518833333335,2.8075
245.67,1.79722222222,2.56983333333,0.424333333335,1.23183333333,0.399833333333,4.40516666667,0.8405,1.53366666667,1.77816666667,1.54983333333,3.6465
246.05,2.8072037037,3.55683333333,1.70483333333,2.41783333333,1.41816666667,5.56266666667,1.82233333334,2.71166666667,2.91016666666,2.82183333333,4.8355
246.42,3.36992592593,3.76783333334,2.0045,2.79566666667,1.84366666666,5.78566666666,2.05133333334,3.05733333333,3.23166666667,3.2515,5.24283333333
246.79,3.51027777778,4.16966666666,2.162,3.0515,2.31033333334,6.15266666667,2.3165,3.32966666667,3.47183333333,3.68783333333,5.53483333333
247.17,3.34692592592,4.069,2.03733333333,3.09616666666,2.469,6.18066666667,2.45733333333,3.36683333333,3.48183333334,3.66583333333,5.72616666666
