wavelength,Back_DacAlbf,Belly_DacAlbf,Breast_DacAlbf,Crissum_DacAlbf,Crown_DacAlbf,DorTail_DacAlbf,Patch10_DacAlbf,Rump_DacAlbf,Throat_DacAlbf,WingTip_DacAlbf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,280.0,217.777777778,266.666666667,331.111111111,278.888888889,286.666666667,233.333333334,244.444444444,257.777777778,286.666666667
179.16,-25.9258888889,11.1111111111,-40.7406666668,-138.888777778,-52.7777777778,-8.33327777777,-48.1483333334,-20.3702222222,-61.1111111111,-55.5554444443
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,180.0,157.777777778,286.666666667,244.444444445,238.888888889,204.444444444,206.666666667,191.111111111,177.777777778,251.111111111
180.31,526.262555556,577.777666667,765.656666668,934.343444444,812.626277777,572.222111111,673.737333333,550.505222222,631.313111112,838.384
180.69,344.444444444,375.308666667,495.061888889,598.148111111,535.493944445,367.592666667,432.098777778,345.061555556,418.518666667,543.209888889
181.07,436.363555556,555.555666667,726.262555556,874.747444445,797.474777777,496.969722222,624.242444444,470.707111111,603.030222223,794.949444444
181.45,322.916666667,437.5,543.75,631.25,585.069444444,391.319444444,456.944444445,343.75,436.111111111,558.333333333
181.83,385.714333333,510.317444445,653.968333333,731.746111111,661.904777778,460.317444444,500.0,403.174666666,507.936555556,618.254
182.21,1994.44444444,2972.22222222,3844.44444444,4327.77777778,3930.55555556,2502.77777778,2705.55555556,2111.11111111,2850.0,3416.66666667
182.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182.97,-2511.11111111,-4844.44444445,-6000.0,-7500.00000001,-6244.44444443,-4111.11111111,-4122.22222222,-3244.44444444,-4888.88888889,-5322.22222222
183.35,-2322.22222222,-4488.88888889,-6022.22222222,-7255.55555554,-6033.33333332,-4305.55555556,-3677.77777778,-3177.77777778,-5200.0,-5366.66666667
183.73,-106.25,-250.0,-331.25,-400.694444444,-320.138888889,-254.861111111,-179.861111111,-173.611111111,-288.194444444,-292.361111111
184.11,-36.1111111111,-108.680555556,-143.75,-169.097222222,-136.284722222,-110.069444444,-69.4444444443,-77.0833333333,-120.833333334,-120.138888889
184.49,-48.9583333334,-119.097222222,-151.736111111,-177.777777778,-136.631944444,-109.027777778,-59.7222222222,-85.7638888889,-131.944444444,-119.791666667
184.87,-76.7676666668,-147.474777778,-184.848333333,-209.091111111,-149.831666667,-144.275944445,-83.165,-129.292888889,-151.515111111,-146.464555555
185.25,-117.063444444,-185.317444445,-246.031777778,-276.190555556,-196.23,-195.238055555,-122.222222222,-186.111,-194.841111111,-200.793777778
185.63,-76.7973333332,-127.777777778,-190.522888889,-196.405222222,-138.562111111,-127.124222222,-79.412,-152.614333333,-148.366,-160.130555556
186.01,-77.7777777777,-138.889111111,-198.692777778,-198.366111111,-146.078555555,-121.732,-91.5033333331,-162.091555556,-157.189555556,-190.849777778
186.39,-88.5802222222,-153.703777778,-200.617333333,-212.036888889,-147.839444445,-129.012333333,-112.036777778,-168.518333333,-178.703666667,-220.061888889
186.77,-52.8985555556,-104.589333333,-144.686111111,-148.550777778,-101.449222222,-92.3913333332,-77.053111111,-112.077333333,-127.053222222,-164.492666667
