wavelength,Back_ConFerf,Belly_ConFerf,Breast_ConFerf,Crissum_ConFerf,Crown_ConFerf,DorTail_ConFerf,Patch10_ConFerf,Rump_ConFerf,Throat_ConFerf,WingTip_ConFerf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,265.555555555,586.666666666,160.0,526.666666667,453.333333333,253.333333333,540.0,299.999999999,206.666666666,66.6666666665
179.16,126.507811111,155.237933333,144.7618,138.095,107.619066667,118.095333333,157.1428,108.571466667,109.523866667,110.476133333
179.54,323.333333333,593.333333333,640.0,640.000000001,246.666666667,306.666666666,446.666666666,466.666666667,206.666666667,286.666666667
179.93,13.1745888889,-24.762,15.238,-7.61906666666,-18.0952,3.80940000006,-33.3332,7.6190666667,48.5714,41.9046666668
180.31,-623.055555555,-1023.33333333,-683.333333333,-1081.66666667,-406.666666667,-368.333333333,-933.333333333,-491.666666667,-153.333333333,-423.333333333
180.69,-389.333333334,-741.333333333,-433.333333333,-860.000000001,-213.333333333,-161.333333333,-669.333333333,-295.999999999,-24.0,-241.333333333
181.07,532.444444444,813.333333333,583.999999999,1022.66666667,301.333333333,278.666666667,773.333333334,413.333333333,170.666666667,428.0
181.45,-900.000044444,-1415.55553334,-953.333333333,-1724.4444,-577.7778,-468.888933333,-1239.99993333,-757.777933333,-268.888933333,-748.888933332
181.83,1273.33333333,1943.33333333,1283.33333333,2510.0,823.333333333,536.666666667,1796.66666666,1043.33333333,276.666666667,1053.33333333
182.21,211.010077778,309.696866667,213.3334,441.818266667,133.939466667,78.1818666669,272.727266667,158.787933333,25.4546,181.8182
182.59,197.777711111,363.333266667,187.7778,575.555466667,66.6665999999,-24.4444,272.2222,53.3333333333,-127.7778,138.888866667
182.97,-28.5858444443,-110.909066666,-23.6364,-230.9092,25.4546,56.3636666667,-47.8787999999,30.303,152.727266667,-7.8787333334
183.35,-95.1852333332,-244.444533333,-116.666600001,-512.2222,-52.2222666667,-21.1112,-117.777866667,-49.9999333334,156.666666667,-63.3333333332
183.73,-94.0170444445,-142.051266667,-129.7436,-288.205,-104.1026,-61.5385333335,-87.6924000001,-92.8205333333,13.3333999999,-60.0001333334
184.11,-72.1480555556,-108.4446,-110.6666,-210.2224,-92.0000666667,-28.8888666666,-36.4443999999,-65.7777999999,35.1111333334,-27.9998666666
184.49,-1845.55555555,-1973.33333333,-2186.66666667,-3826.66666667,-2193.33333333,-1140.0,-733.333333334,-1226.66666667,-313.333333332,-526.666666665
184.87,-115.555522222,-112.5926,-143.703733333,-198.888933333,-140.370466667,-79.2592666668,-38.1481333333,-53.7037333332,-18.5184000001,-38.8888000001
185.25,-10.7977000001,-3.76053333325,-27.1796000001,-41.5384000001,-32.1366666667,0.17086666674,27.0085333333,24.2735333334,37.0939333335,24.6153333333
185.63,19.7111111111,36.0000000001,7.86666666672,-6.00000000001,5.73333333331,26.9333333333,58.2666666667,50.4000000001,59.7333333334,55.7333333333
186.01,23.4639555555,37.1568,19.0197333333,7.74506666665,3.62753333334,32.0589333333,52.7451333333,51.4704666666,52.6470666666,52.3529333333
186.39,27.3809111111,41.3492666667,26.0318666667,14.6825333333,10.7142666667,43.1744666667,51.1110666667,53.8888666666,52.6984666667,50.7937333333
186.77,26.0396444445,40.396,29.7689333333,14.3893333333,12.0131333333,47.3267333333,43.3663333333,51.221,52.2112,47.1287333333
187.15,19.1666888889,33.6232666667,24.5653333333,5.57966666667,4.49266666666,52.6811333334,39.9275333333,49.2752666667,50.7246666667,43.4057333334
187.53,20.7674555555,37.2508666667,29.2097333333,15.189,6.25419999999,62.3368,43.4363333333,56.9758666667,55.2578,47.6289333333
187.91,29.9169777778,46.2929333333,39.6262666667,29.8443333333,14.7040666667,70.1558000001,53.8317333333,66.5419333335,65.9812,52.6481333333
188.29,30.3838,47.3331333333,39.697,27.8788,9.63639999999,70.0607333333,55.9393333332,66.788,66.4242666667,51.2727333333
188.67,38.9140888889,55.0504666666,45.5555333333,38.9392666667,17.8282,73.687,58.9900666667,67.7272,71.2625999999,55.4545333334
189.05,38.7087666667,58.8587999999,47.5074666667,39.1592666667,11.051,83.9641333333,61.4414,68.9488666667,79.0390000001,61.7418666666
189.43,34.3143222223,54.8348666666,46.6666666667,38.9188,9.24920000001,88.3481999998,60.9609333333,66.1260666666,77.4776,62.5825999999
189.81,27.9612333334,48.5626666667,41.2842666667,34.3730000001,-2.01820000001,88.8072000001,52.2934,62.8747333333,73.1499333332,57.0030666665
190.19,25.8415444445,48.9769333334,41.5182,35.3794666667,-3.56433333333,93.8614000001,58.4818666667,65.8746666666,74.7854666667,58.8118666667
190.57,29.5988999999,51.6839333333,42.9554,38.9690000001,-2.54299999998,98.7628666668,65.7046666667,67.7664000001,78.9691333332,64.8110000001
190.95,34.6198111111,58.4560666667,43.7192666667,43.4386000001,-0.56146666668,104.210533333,76.1403999999,71.6491333333,82.3858666667,69.5438666667
191.33,40.7936888888,70.2564000001,51.7215333333,54.7252000001,1.97806666661,112.967066667,86.2270666665,77.9487333333,86.7398666668,78.0952000001
191.71,45.8747555556,69.9289333334,57.7306,56.5249333333,9.00713333334,115.673666667,91.4893999999,79.0780000001,90.1418666666,82.7659333332
192.09,36.7664333334,63.2208666669,50.7864666667,46.9663333333,2.4719333334,116.1048,86.3669333333,73.7827999999,84.6442666667,81.4981333333
192.47,43.0759444444,74.1463999998,55.8537333334,56.504,5.2032,132.764266667,94.8781333333,80.9754666667,92.6829333335,93.4146
192.85,54.5772333333,97.6119333333,75.9202666667,75.7213333333,15.1243333334,170.8458,120.2986,108.2586,115.6218,122.089533333
193.23,59.3392333333,107.026933333,80.3603333335,83.8738666668,29.2793333334,169.5494,126.3062,113.333466667,116.306466667,121.441533333
193.61,69.6078666667,114.902,86.2744666665,88.9411333333,42.3527999999,163.294133333,128.3922,116.470733333,117.176533333,122.196133333
193.99,79.2764888889,127.364333333,98.5270000001,104.651133333,56.1240666666,171.2404,140.775266667,127.131933333,127.829466667,133.410866666
194.37,77.1604444444,123.838533333,94.0066000001,100.134666667,61.0774666666,157.979933333,130.572533333,118.047133333,124.1078,126.329933333
194.75,69.6401666667,120.190466667,89.7144000002,96.8888,59.1745999999,148.9524,123.364933333,112.634866667,116.444333333,116.761933333
195.13,67.2766777777,120.0654,92.7450666666,101.0458,56.5359333333,150.2614,122.091533333,114.7712,117.451,118.954066667
195.51,63.7349333334,110.4762,87.3950666667,93.7253999999,57.2549999999,135.2382,110.308133333,107.451066667,108.5714,111.4286
195.89,64.903788889,123.205,91.2819999999,101.3462,57.5001333333,149.551266667,119.2948,117.243466667,116.3462,118.653866667
196.27,70.2903555556,123.963933333,93.2731999999,104.084066667,60.7208000001,150.150066667,115.855866667,119.039133333,117.597733334,115.675666667
196.65,67.4858333333,116.214733333,91.0735333333,100.0,58.5310666666,140.226,106.0452,116.666733333,110.904,108.870133333
197.03,63.6355555555,107.146666667,83.04,93.7066666665,50.9866666667,129.44,97.8133333333,106.08,100.373333334,100.053333333
197.40,61.7571777778,99.2907333333,80.1889999999,90.3546666667,50.1654666666,118.4396,91.8203333333,101.276533333,93.2388666666,96.6903333333
197.78,52.7396666667,93.0280666668,74.3511333334,87.1248,40.3562666667,113.384333333,84.0203333334,96.1323333333,90.2288666666,92.3664666668
198.16,53.0493222222,92.1303333334,73.1328666666,87.3181999999,38.1452666667,111.3284,82.9072666667,96.0400666665,88.0700000001,88.5714000001
198.54,58.6581444444,101.5384,81.1795333333,97.3846666667,43.9485999999,119.076866667,88.0513333333,105.282266667,95.7437333335,95.6922666667
198.92,62.685911111,107.188333333,87.5942666668,108.9276,45.5072666666,131.072466667,95.0144666667,115.5944,104.058066667,105.4494
199.30,60.8983666667,115.7446,88.7234666666,116.5958,45.0354666667,145.248333333,100.921866667,125.602933333,110.6382,114.893466667
199.68,74.6031111111,149.238,108.476133333,153.047666667,53.5239333334,188.571533333,128.952266667,161.428666667,144.380866667,150.285666667
200.06,65.7321000001,126.590733333,94.7726666667,129.166666667,50.1516666667,156.2878,105.757466667,134.697066667,122.803,126.590866667
200.44,67.8472666665,152.812533333,108.645866667,157.395933333,45.4166000001,186.0418,125.9376,163.1252,142.2918,153.437733333
200.82,67.0466000001,139.999866667,99.8312666667,142.0252,53.1645333334,163.291133334,117.468533333,144.7258,127.594866667,136.286933333
201.19,61.5606111111,126.6666,93.1836666668,127.0412,52.2097333333,144.644133333,107.415666667,133.333333333,115.505533333,122.921266666
201.57,63.8341333332,143.661933333,103.568066667,144.319133333,52.5820666666,166.103266667,122.722933333,147.2302,131.831,134.460066667
201.95,78.4946444444,166.774333333,119.139866667,169.139733333,61.8279333334,196.559133334,146.989266667,170.8602,150.430066667,152.473066667
202.33,82.1568666666,243.7256,156.2746,240.392133333,62.9410000001,310.196,210.784266667,247.647133333,218.235333333,218.823466667
202.71,59.3777777777,271.733333333,165.333333333,276.266666667,31.7333333334,377.333333334,248.266666667,280.0,232.0,233.866666667
203.09,48.6508444444,237.8572,128.5714,238.095133333,20.2381333334,328.5714,214.5238,240.238133333,189.047533333,201.190466667
203.47,62.8654111111,206.140333333,118.947333333,202.631666667,30.3510000001,258.596466666,177.192933333,197.192933333,160.350866667,159.473733333
203.85,43.0335222223,125.608533333,77.1428666666,123.915333333,18.5185333333,156.507866667,103.598066667,117.672,96.2962666667,94.9206000001
204.22,46.9952666666,125.727533333,79.0610666667,126.1034,28.6385333334,148.0752,108.169133333,116.619666667,91.2676666667,92.2065333332
204.60,52.3359333333,117.878733333,82.1211333333,120.530333333,40.9090666666,139.999866666,103.712133333,109.545533333,90.6818,91.2878666668
204.98,48.0974,123.744066667,82.4657333332,132.2374,33.0593333334,157.2602,106.9406,113.698733333,96.4384000001,95.3423999999
205.36,39.3375777777,148.717933333,85.6411333333,160.7692,16.4103333335,198.077066667,117.692266667,136.5384,109.359133333,106.4102
205.74,50.5883222221,163.137266667,96.8626666666,176.3398,20.1307333334,215.424866667,115.686066667,157.3856,121.045866667,118.169933333
206.12,56.3246777779,172.820466667,105.000133333,183.718,27.1794,217.564066667,111.666733333,163.333333333,126.0256,123.589733333
206.50,65.9829333333,159.076933333,103.6924,169.641,40.1026,190.051333333,105.948733333,149.0256,115.5896,116.9232
206.87,68.8055555555,139.166666667,92.4166666667,149.416666667,48.8333333333,166.083333333,96.0833333332,132.5,105.916666667,112.0
207.25,68.0147888889,140.888866667,94.3111333335,150.7556,46.1333333334,167.111066667,87.2000000001,131.2888,104.977733333,114.044333333
207.63,68.5612,139.487133333,97.9486666667,153.846066667,53.1624666666,169.230733333,90.5981999999,132.307666667,108.034066667,119.487266667
208.01,78.5736555556,166.268533333,110.845733333,179.602,66.0696,201.194133333,108.159133333,156.318466667,126.169133333,140.000066667
208.39,88.7831666666,226.507866667,137.301666667,245.5556,70.0000666665,277.1428,120.793733333,206.508,166.825466667,186.666733333
208.77,104.607888889,270.0,158.8234,291.764666667,79.4118,325.294133333,138.235333333,248.235333333,206.470666667,231.3726
209.14,118.148166666,306.444333333,188.8888,324.666666667,92.8888,354.222266666,155.111133333,280.4444,228.8888,264.0
209.52,86.2606777778,188.974466667,127.564133333,208.461666666,72.3075999999,222.692266667,104.230666667,168.846066667,147.820533333,169.230666667
209.90,69.7051777779,174.694,115.374133333,191.4286,61.7687333333,214.693866667,90.3401333334,151.0204,130.476266667,155.238066667
210.28,40.4908777778,151.3178,92.5581333333,175.504,42.0155333333,213.333333333,69.9224666667,132.248066667,104.496066667,144.030866667
210.66,34.7653555557,142.074133333,84.7408666665,160.5926,35.9999333335,202.5186,60.4442666667,125.777466667,103.407333333,138.370266667
211.03,-57.9085444442,230.588133333,79.2157333333,276.862733333,-59.2156666668,387.058866667,5.0979333332,200.392066667,122.352866667,219.6078
211.41,-9.7778555556,142.666533333,65.9046666666,161.142866666,-1.14293333328,208.380866667,31.2380000001,130.476133333,96.3809333332,129.142933333
211.79,-14.052177778,132.353066667,56.2743999999,153.725533333,-19.9999333335,208.627466667,16.0783999999,111.568533333,90.3921333334,116.4706
212.17,-107.222288889,219.0476,87.6192000001,310.000066667,-131.904733334,423.3334,-45.2382,194.761733333,151.428466667,202.381066667
212.55,-9.259211111,133.086333333,90.6173333333,203.209933334,-24.9383333333,265.432133333,26.4198,140.740733334,123.209933333,151.8518
212.92,-0.38888888888,102.833333333,73.6666666667,147.833333333,-10.6666666667,198.666666667,23.8333333335,107.833333333,80.5,108.333333333
213.30,-9.25934444432,92.2222666668,69.5238666667,137.460333333,-18.5714666667,187.936466667,18.2540000001,97.1429333332,75.0794666666,95.2381333335
213.68,-46.4874888888,102.365466667,73.9785333333,152.903266667,-52.9032666666,225.161333334,-0.6451333334,110.107466666,79.1397333331,103.010733333
214.06,-220.555555556,257.999999999,169.333333334,457.333333333,-244.0,643.333333332,-44.0,309.333333333,209.999999999,280.666666667
214.44,-134.444466667,238.5714,164.285600001,359.047733333,-159.523733333,480.952533333,-3.8095333332,251.4286,194.761933333,226.666666667
214.81,-70.994122222,211.578933333,164.912266667,322.105266666,-63.5086,413.6842,47.7193333332,236.1402,178.9474,206.315733333
215.19,-29.4152222222,251.228133333,209.473666667,359.649266667,-26.3156666666,454.736866667,85.2630666665,269.4736,233.3332,241.754333333
215.57,-6.3398333332,297.647133333,259.215666667,423.921533333,-20.7843333332,549.803866667,136.862866667,332.157,285.490066667,303.529533333
215.95,-19.1666666666,243.0,214.666666667,343.0,-21.0000000001,450.333333333,128.333333333,296.0,230.0,262.666666666
216.32,-34.6666666668,217.333333333,190.666666667,317.666666667,-29.6666666667,421.333333333,113.333333333,291.0,221.0,246.666666667
216.70,-14.0597666666,195.128133333,164.102466667,262.564066667,-2.0512,346.410266667,95.6410666667,256.923133333,190.769333333,199.743733333
217.08,9.8692,320.784266666,277.647066667,421.9608,40.3922,545.8824,167.451,422.745133333,332.157,315.686333333
217.46,43.0554000001,256.111133333,201.111133333,317.5,52.7777333333,414.444333333,133.611133333,335.000066667,261.111066666,263.611133333
217.83,81.1111444445,309.696933333,232.4242,366.3636,92.4241333333,491.5152,180.606066667,395.151666666,308.1818,311.818066667
218.21,63.5714666667,151.4286,121.6668,166.5476,69.5238666666,226.428666667,97.4998666667,182.619133333,152.0238,152.261866667
218.59,82.1456000001,165.402333333,134.597733333,176.6666,90.1150000001,239.195533333,116.4366,192.2986,169.080533333,165.976866667
218.97,81.3691222222,163.333266667,130.0,173.928666667,82.8572,232.618933333,105.119133333,188.928466667,165.714266667,162.976133333
219.34,70.4078444445,130.2954,104.472533333,136.708933333,71.0549333333,178.396666667,88.4388666667,148.776266667,130.801666667,131.6454
219.72,60.6370666668,128.177733333,98.1332666666,129.244466667,67.9999999999,180.5332,81.8666666667,149.777666667,128.444533333,129.600133333
