wavelength,Back_LanLeum,Belly_LanLeum,Breast_LanLeum,Crissum_LanLeum,Crown_LanLeum,DorTail_LanLeum,Patch10_LanLeum,Rump_LanLeum,Throat_LanLeum,WingTip_LanLeum
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,476.666666667,366.363636364,553.333333333,223.333333334,390.476190476,397.777777778,600.0,520.0,313.333333333,210.0
179.16,-26.6666000001,-52.1885787879,-63.7037999999,-80.0000333333,-37.3544428572,-52.4280407407,-71.8518666666,11.1111333333,-9.25913333328,-2.96306666668
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,279.523833334,248.571560606,267.618933333,287.619066667,231.972761905,209.2065,237.142933333,243.809666667,216.666566667,233.8095
180.31,5753.33333333,5754.24242424,7406.66666667,6820.0,6490.47619048,5802.96296296,7040.0,6100.00000001,5039.99999999,5910.0
180.69,1244.0,1176.72727273,1612.0,1463.33333333,1401.42857143,1219.48148148,1509.33333333,1288.0,1088.0,1219.33333333
181.07,-3166.66666667,-3023.93939394,-3946.66666667,-4000.0,-3635.0,-3155.0,-3766.66666667,-3116.66666667,-2848.33333333,-3163.33333333
181.45,1524.16666667,1415.22727273,1808.33333333,1825.0,1680.23809524,1465.92592592,1730.0,1611.66666667,1362.5,1603.33333333
181.83,-1733.3333,-1621.81804849,-2088.88886667,-2207.77776667,-2031.74603809,-1756.04922963,-1999.99993333,-1846.66666667,-1581.11113333,-1713.33333333
182.21,-408.333333333,-382.121212121,-520.0,-548.333333333,-508.0,-447.925925926,-515.333333333,-459.333333334,-401.0,-407.0
182.59,-5186.66666667,-5286.66666667,-6386.66666667,-6890.0,-6357.14285714,-6087.03703704,-6240.0,-5599.99999999,-4926.66666667,-5326.66666667
182.97,584.444566667,569.999957576,674.999933333,694.166533333,677.896957143,590.401307407,625.555600001,602.222199999,529.444466667,579.722166667
183.35,923.703600001,912.558839395,994.814866666,1089.62966667,1003.17442857,934.444381481,948.888733331,922.962933333,827.7778,907.407333333
183.73,461.176566667,444.581060606,491.7648,545.490233333,491.316466667,455.59917037,455.686266667,424.705866666,370.000033333,432.745166667
184.11,588.095266667,547.294384848,623.809533333,681.666666667,599.829914286,566.666766667,547.619,508.095199999,447.381066667,557.619133333
184.49,1492.66666667,1337.93939394,1492.0,1632.66666667,1448.76190476,1355.40740741,1356.0,1200.0,1072.0,1339.33333333
184.87,896.666633333,825.757587879,847.4074,967.036966666,837.936361904,808.683185185,778.518533332,716.296266667,607.407300001,803.703666666
185.25,707.222233333,657.777821212,662.222133333,729.999933333,662.579361905,601.049411111,590.0,583.333266666,464.1666,636.1112
185.63,459.697033333,423.911790909,433.3334,469.696933333,442.900504762,385.336703704,386.969733333,376.969733333,315.454633333,403.787833333
186.01,302.761966667,290.952339394,285.142866667,307.9048,288.993209524,258.423233333,259.809466667,256.762,214.380933333,269.619133333
186.39,235.303033333,232.589406061,221.818133333,241.4394,229.523785714,209.259311111,207.7272,196.666733333,172.803066667,213.106
186.77,271.481466667,257.095863636,259.074066667,277.2223,262.037047619,236.213925926,244.629533333,225.9258,196.759266667,242.962966667
187.15,273.333366667,261.782506061,256.274466667,281.2746,259.789933334,251.132996296,264.705866667,232.941066667,190.9803,251.2746
187.53,259.139833333,241.378342424,242.795733333,257.526833333,238.310276191,231.852133333,245.376266667,217.419466667,162.3656,219.677433333
187.91,299.523766667,271.168809091,272.380933333,272.261833333,259.625814286,239.087437037,257.857066667,241.666666667,187.0238,238.3334
188.29,253.6192,226.207836364,223.619066667,233.333333333,209.687076191,196.105733333,221.714133333,196.9524,158.1905,194.7619
188.67,193.144666667,174.425263636,174.3396,184.528266667,163.108642857,150.139818518,168.301933333,146.918266667,129.8114,151.195033333
189.05,189.807766667,169.504706061,171.922933333,178.205066667,162.371766667,144.473003704,166.282066667,143.718,131.9232,148.781966667
189.43,176.0119,151.233857576,158.809333333,162.2619,142.933695238,130.707788889,155.833266667,126.7858,126.666666667,134.3451
189.81,151.055566667,127.671827273,133.666666667,139.388766667,119.833285714,107.987685185,135.0,100.999933333,114.277833333,110.111166667
190.19,155.3673,130.523933333,133.107266667,145.9888,119.983833333,102.322714815,139.096066667,97.6271333334,110.847566667,112.542366667
190.57,138.260833333,115.476484849,120.096466666,127.922666667,110.303776191,91.7607074075,120.966266667,88.9853333333,94.4443666665,98.8405333332
190.95,129.814833333,114.76429697,114.629533333,123.750133333,107.083380952,93.3024851852,118.2408,84.0741999999,90.5092333333,93.3795666667
191.33,144.0113,121.586948485,123.389933333,128.531033333,110.936338095,98.1858333333,118.757066667,81.1300000001,99.7741666666,97.7966333334
191.71,130.8795,113.636448485,109.814733333,118.7962,103.558228571,91.1214185185,114.259266666,74.8148666666,98.0555666668,97.7314
192.09,130.495433333,115.962324243,106.396266667,123.783766667,103.712957143,94.2091555555,117.927866667,78.2882000001,102.747766667,105.4956
192.47,117.1052,107.216806061,96.1401999999,112.543766667,97.7631428571,82.0320592593,108.333466667,69.4736,94.9121333334,101.1841
192.85,114.549633333,105.737169697,90.6306666666,116.576533333,99.1956476191,79.1592592593,107.3874,68.4683333333,95.3151666666,100.9459
193.23,114.7222,109.844190909,93.2407333334,122.7779,100.224866667,82.3920666667,111.851666667,70.0926,98.7962666666,103.981466667
193.61,87.1378333333,87.4571666667,72.6811999999,95.7971666666,80.8282380952,69.7061259259,88.116,57.4638000001,75.2536666666,82.3188333333
193.99,83.7037,92.1212393938,73.4980666667,96.4608666666,77.3309095238,68.8659925925,88.4773333333,53.7448666667,70.7818666667,85.3497666665
194.37,78.9609666667,90.0196484847,71.7749999999,90.9955666667,74.4466333333,66.6956037036,83.2902,49.0909333334,73.8528000001,85.4978
194.75,108.888833333,127.171715151,95.0000000001,125.625066667,100.357161905,77.7082666667,121.250066667,60.5556666667,102.847233333,122.152766667
195.13,116.3415,139.135227273,92.6829333332,131.3822,104.088319048,61.2466888889,121.463333333,60.3252666667,115.691233333,128.130033333
195.51,90.8743666667,112.126172727,75.9562666667,109.617366667,83.3722761905,50.4917518518,96.1748666667,56.8305333333,87.9780666667,99.5627999999
195.89,82.1164333333,109.71609697,73.5448666668,104.6561,78.9870285713,48.8652444445,93.3334,54.6032666667,87.8834,91.0052666667
196.27,80.8464666667,114.266627273,74.7090000001,105.396866667,78.2917761905,57.1075814814,96.6138000001,55.1323333333,88.8358666667,91.8519999999
196.65,76.7707333333,115.506345454,72.7083333334,100.3121,75.2825857142,59.9478962964,100.208266667,56.9790666667,90.5206999999,83.9060333333
197.03,63.8529,95.8126666667,57.9219333335,76.1470666665,55.6276904763,53.6170925927,84.0691999999,51.6882666667,76.0171999999,71.2554333333
197.40,67.4429,101.424018182,56.7124,74.8401333333,53.6595333333,56.6769074074,85.7533333333,52.3287333333,78.8585333334,74.7488666667
197.78,76.3332666667,113.53030303,66.9999999999,82.2221333335,50.1191095237,58.8579074073,91.6667333333,53.2221333333,88.4445666666,80.4444999999
198.16,98.9080666667,132.162987879,81.4941999999,97.8735000001,72.0854190476,78.4036370371,115.2874,72.0692,106.3219,96.6089333332
198.54,91.2500666667,114.294621212,70.2083333333,83.0208333333,64.3675666667,67.0834518518,104.270933334,65.8333333333,96.8750999999,84.3230333333
198.92,73.6992,93.606787879,59.3496000001,72.1544333334,53.2519666666,63.7081555556,84.065,53.4146,79.3900333334,68.6179333333
199.30,71.7977,87.4123060606,56.4044,69.4381666666,49.6200285714,62.4635740741,80.2996666667,53.4831333333,70.9738000001,65.4682
199.68,59.6295666667,75.5142424242,39.4238666666,57.6132333333,34.4737285714,49.2958407407,69.0535333333,37.4486,60.6996333333,53.3332666667
200.06,43.3772,54.9323969697,17.3684000001,35.6580333334,17.7631761905,30.1121296296,45.2632,16.5789333333,40.351,33.5088
200.44,38.6813333333,46.3536151515,21.2454666666,34.4322,20.5389857143,23.6142592593,39.1208666667,15.8242666667,35.348,27.1794666667
200.82,39.6665666667,45.8148575758,22.0000666667,38.2220999999,19.8201809524,23.2181518518,39.1111333333,14.4444666667,34.1110666667,27.1110666667
201.19,33.4509,41.4010090909,16.3137333333,33.3332666666,14.4088,11.6905777778,33.9607333333,4.392,23.8822666667,16.8627666667
201.57,28.0159333333,38.1169757576,13.3333333333,32.4206000001,12.2392714286,4.84567037036,33.5716,-1.03179999999,22.2619333333,12.3412666667
201.95,27.4261666667,40.9859151515,10.211,35.3586666667,17.8782666667,3.43632962964,38.8186666667,6.66666540003e-05,27.0042,18.1013666667
202.33,14.6341333333,29.334830303,-3.82126666666,24.5529,3.46697619047,-4.44903333332,22.2764666667,-11.3008666667,20.0000333333,8.37403333333
202.71,11.7921,32.212469697,0.430000000001,28.5663333333,5.73986190475,5.12543703704,25.5197333333,-9.53393333334,20.4299666667,11.4337
203.09,18.7973,38.1162848485,5.36080000001,32.4054,11.8409523809,6.55985925926,29.8968,-5.4296,27.6632666667,20.1373666667
203.47,8.82356666668,36.0998848485,-5.4118,25.0588666667,2.78997142857,-1.24602962962,22.3528666667,-21.2547333333,27.6862333333,12.0
203.85,13.3755,42.6814030303,0.000133333340002,24.1350333333,8.50507142857,5.74293703706,27.4261333333,-20.9282666667,33.7551,13.5865666667
204.22,26.2083333333,58.2196969697,17.25,43.2083333333,22.7857142857,21.7638888889,48.3333333333,-7.16666666667,50.5833333333,33.6666666667
204.60,12.1739666667,53.8121242424,-1.93233333327,35.942,9.13039047617,13.8540185185,43.3816666667,-21.7392,50.9660666667,26.3286
204.98,7.53609999999,52.2575424243,-5.79699999999,32.9951000001,7.06005714285,8.70091851852,37.5846,-18.8405333333,53.1400333333,26.1353666667
205.36,7.5238,53.502169697,-7.14293333327,36.3334666667,11.2788809524,10.4656148148,37.0474666667,-16.9522666667,60.3809,30.8094666667
205.74,6.61963333333,49.3897454545,-10.4224666667,29.5774333333,10.5902190476,6.18666296297,32.1126,-23.0047333333,55.0705,29.5304
206.12,-4.15383333333,45.0257545455,-26.4615333334,20.4103,-0.490871428566,-3.25350370371,23.795,-39.6922,43.1796,15.3332666667
206.50,1.51056666668,44.4888515152,-15.9374666666,22.3958666667,3.63107142857,-5.50901111113,27.3959333333,-33.3331333333,34.5835333333,18.6461
206.87,-0.666766666666,54.5992515151,-26.2222666667,26.9630666667,0.01057142854,-21.4733740741,36.5926666667,-42.5184666666,39.5555333333,15.1110333333
207.25,-31.0344666667,48.4743969696,-67.8161333333,11.2641999999,-39.9178142857,-66.4623481481,24.8275999999,-77.7010666667,15.2873000002,-7.81609999994
207.63,-61.1494333334,3.05118787887,-93.1035333334,-21.0344,-69.5239000001,-102.656444444,-3.9080666668,-92.4136666666,-33.5630999999,-31.7240666667
208.01,-145.964766666,-32.0574666666,-185.614,-58.5965333334,-154.411042857,-204.619996296,-48.421,-163.859733333,-87.5438666667,-86.8421
208.39,-116.309533333,-38.5821848486,-147.381066667,-53.9285333333,-127.1769,-163.465577778,-51.1906666666,-130.7142,-77.2619,-91.3094333333
208.77,-142.933333333,-68.6181818182,-169.6,-89.0666666667,-157.00952381,-200.103703704,-81.8666666667,-166.133333333,-111.466666667,-127.066666667
209.14,-145.466666667,-91.0666666666,-176.266666667,-112.666666667,-168.952380952,-206.666666667,-101.066666667,-188.533333333,-152.0,-133.866666667
209.52,-202.166666667,-137.909090909,-210.0,-158.5,-236.071428571,-271.462962963,-138.333333333,-256.333333333,-216.166666667,-179.166666667
209.90,-194.202866667,-124.031754545,-175.652,-136.087033333,-213.064114286,-245.684281481,-115.362333333,-225.797133333,-198.8405,-163.478166667
210.28,-129.292933333,-72.8192424242,-100.606133333,-82.8282999999,-141.212114286,-150.684533333,-71.1109999999,-140.202,-122.2223,-99.1918999999
210.66,-107.692233333,-48.8811272727,-91.9658000001,-51.624,-114.652028571,-113.836659259,-45.641,-112.820533333,-82.7352,-77.2649333333
211.03,-100.894333333,-43.9024363637,-90.8943333332,-45.6911,-112.926861905,-106.495148148,-46.0161333333,-115.772466667,-73.7398000001,-69.2682333333
211.41,-91.4582000001,-33.0430121212,-80.2778000001,-38.0554999999,-99.0871714285,-87.4613925926,-38.6110666667,-103.1944,-54.0970666666,-60.7639666667
211.79,-85.1587000001,-9.41572424248,-68.2539999999,-18.1746333333,-99.0137285715,-72.2046777777,-16.8254666667,-103.650733333,-37.4602000001,-49.9999333333
212.17,-27.9105,12.3881151515,-17.7114,7.26383333332,-39.2680285715,-25.9258481481,12.5371333334,-46.4676,0.24853333332,-11.5423333333
212.55,-26.9004666667,21.5842393939,-6.4328666666,19.0643,-38.2456333333,-21.1826962963,18.9472666667,-46.3158,12.1052666667,-7.66073333341
212.92,-20.3448,32.6855545455,-6.55186666667,18.9080666667,-35.0821047619,-25.2425851851,23.1034666667,-36.092,19.0803,-5.6322
