wavelength,Back_SerAlbm,Belly_SerAlbm,Breast_SerAlbm,Crissum_SerAlbm,Crown_SerAlbm,DorTail_SerAlbm,Patch10_SerAlbm,Rump_SerAlbm,Throat_SerAlbm,WingTip_SerAlbm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,53.7776666667,65.7778666667,68.4444666667,40.4444666667,75.3334,63.111,65.3333333333,50.3704222222,67.1111333333,63.3333333333
179.16,104.848533333,122.4242,136.969666667,103.6364,150.909166667,124.848466667,122.424266667,116.363622222,122.424266667,113.0303
179.54,78.3332666667,100.555733333,97.2221999999,73.3334666667,97.4999000001,97.7777333335,95.5556000001,98.7037777778,93.3333999999,91.6668333333
179.93,49.1666666667,61.25,56.25,49.5833333333,57.5,52.0833333333,65.0,65.6944444444,54.1666666667,60.8333333333
180.31,115.483866667,126.2366,128.673866667,93.1900000001,143.727633333,112.831666667,122.7956,112.520911111,127.3118,125.4122
180.69,124.6736,137.388333333,138.900333333,102.543066667,154.845266667,120.0688,127.972466667,119.931355556,134.845266667,133.5053
181.07,125.034,137.6872,137.959066667,105.646266666,154.387933333,119.115733333,125.238133333,119.954688889,136.122466667,135.476233333
181.45,118.679933333,132.9372,128.977066667,98.8118666666,143.894533333,109.835066666,117.6238,110.671066667,130.297,128.7789
181.83,109.272733333,123.575733333,115.8788,88.9091333333,131.909133333,97.3939333333,105.575866667,99.1920222221,121.090933333,117.787866667
182.21,110.3188,120.579666667,114.666666667,85.5072666667,129.5942,96.0000666667,102.202866667,95.3815555555,122.550733333,114.985533333
182.59,115.090866667,124.9696,121.6364,87.4546,134.909066667,98.7274,105.636466667,98.1818000001,128.605933333,120.575766667
182.97,110.093466667,119.003066667,120.436066667,82.7414666666,132.710333333,97.0094000001,100.623066667,92.8139777777,127.539133333,117.0405
183.35,113.086466667,118.950666667,121.8518,84.6296000001,132.098733333,98.9506666668,100.617266667,93.6213777779,127.4074,118.549433333
183.73,110.782733333,116.1158,116.057933333,84.0580000001,125.7391,95.5941333334,97.6231333333,92.6182888888,120.000133333,114.3478
184.11,105.76,109.866666667,110.186666667,80.3199999999,119.706666667,89.92,94.3466666666,91.0755555556,114.453333333,108.906666667
184.49,95.3581333332,95.6542666666,98.9629333332,71.753,107.358066667,78.7654,84.6419999999,82.6830888889,104.0494,98.7901333333
184.87,93.2819333333,88.0511999999,94.1025333333,65.9486666667,105.9487,76.2564666667,83.5385333333,79.1110444444,104.205066667,95.8718333334
185.25,107.928,97.8378666667,106.366466667,71.7717333333,122.492566667,84.2042,95.3153333333,90.9109333334,119.519533333,105.3755
185.63,118.412733333,105.206333333,116.0,78.1588666666,134.7619,92.8889333333,103.238133333,102.285822222,130.793733333,115.269866667
186.01,131.5788,116.491133333,133.3332,90.4561999999,152.3157,106.736933333,115.578933333,116.701711111,145.403466667,129.403466667
186.39,131.7424,114.166666667,136.515133333,93.4090666666,155.871266667,109.545533333,114.697,114.469644444,144.469666666,128.2197
186.77,118.823533333,97.5686666667,123.215666667,86.5881999999,148.902,102.0392,99.1374,100.209177778,134.509666667,113.6864
187.15,106.086933333,86.2319333333,105.0,77.7536666667,137.7174,90.8696666667,86.9565333334,86.7633111113,121.086866667,99.1304666667
187.53,95.1572,79.2453333333,92.5785333333,72.0755333333,127.578533333,81.6352666667,78.5535333334,77.7568000001,111.572266667,86.4466666666
187.91,88.3636666666,72.1211333333,82.7879333333,64.909,117.575966667,75.1515333333,70.0000666665,69.4949777777,106.606066667,75.0908666667
188.29,81.6665999999,64.6428666667,73.9881333333,58.5118666667,106.131066667,66.6071333333,58.9881333333,60.3968222221,97.7977333333,63.8988666667
188.67,73.4522666666,59.3450666667,66.2499333333,54.7023333333,102.619066667,63.0952,51.9047999999,53.254,90.2380666667,57.1429
189.05,63.9098666666,53.1829333333,58.9975333333,50.376,86.9675333333,56.3409333333,44.9124,46.7167777778,76.6916000001,49.574
189.43,62.6664666667,52.0,56.2380666667,49.9047333333,83.4761,56.1904,42.0,43.3809777778,72.381,49.6666333333
189.81,54.8148,44.4939333333,47.5061333333,43.1110666666,78.2222999999,50.6173333333,31.6049333333,32.5432222222,63.6543333332,40.3950333333
190.19,52.4874666667,38.0597333334,42.5374666667,38.1094666667,76.2437,46.9652,25.9701333333,27.5454666667,58.6070000001,36.2437666667
190.57,53.7931333333,40.0459333333,42.4827333333,40.5058666667,77.8391333335,45.1034666667,28.1379333334,32.1532444444,59.2183999999,39.4484333333
190.95,56.1644,43.5617333333,42.7397333333,41.9179333333,78.2876666667,44.0182666667,29.5890666667,32.1462222222,59.452,39.4518666667
191.33,57.163,43.3096,40.6146666667,44.1134666667,77.4942,41.7020666667,26.7612,29.4877111111,58.156,38.7705666667
191.71,56.2050666667,39.2820666667,36.9742666667,43.641,76.6154,41.1282666667,20.5128,25.7606666667,54.7691333334,37.5897333333
192.09,53.1622666667,37.4928,33.1623333333,44.9572666667,78.8604666667,40.9116,13.9030666667,22.3171333333,52.0798,36.1539
192.47,49.4704666666,35.6386666667,30.5918,43.2398666667,83.8006333333,41.2461333333,6.79126666666,18.4216,51.0281333334,34.5794666667
192.85,51.0666666667,38.6666666667,29.8666666667,46.4,86.6666666668,43.6666666666,1.0,20.4,52.8666666667,34.2
193.23,49.6294666666,42.3568,29.6295333333,47.7441333333,86.1616000001,42.1548,-0.1348,20.292,53.6028000001,35.9259333333
193.61,42.6666,36.5614666667,24.0701333333,44.2807333333,82.5613666667,37.193,-5.96486666672,15.8596444444,47.2982666666,29.3684666667
193.99,36.7719333335,26.0351333333,18.3156666666,39.7896,74.1402666667,28.7718,-11.7193333333,10.0587111111,40.0701333334,21.3684
194.37,25.0000000001,12.1015333333,3.69553333334,32.1014666667,58.7681666667,14.6376666667,-26.8116,-5.21746666674,28.2609333333,6.63036666665
194.75,7.60239999999,-13.0993333334,-26.4327333333,17.8947333333,57.4267333334,-7.83633333331,-75.2046,-39.2202888888,14.0350666668,-25.9065
195.13,-30.6307333334,-60.5405333333,-72.7928666666,-3.96406666666,51.4415,-52.6125333333,-155.675733333,-90.2102222223,-23.0630666665,-75.7658666667
195.51,-82.0690666667,-113.563133333,-124.597666667,-42.9884666667,26.8964666666,-92.4139333334,-228.045933333,-138.774044444,-72.1838666666,-137.701233333
195.89,-172.4242,-195.7576,-210.909133333,-107.5758,-24.3939666667,-168.1818,-332.121333333,-229.393911111,-142.121133333,-234.848433333
196.27,-267.083333333,-298.75,-302.5,-173.333333333,-62.0833333335,-261.666666667,-460.000000001,-337.916666666,-214.583333334,-355.833333333
196.65,-6220.00000001,-7060.0,-6813.33333334,-4440.0,-3253.33333333,-5960.00000001,-9140.00000001,-7444.44444445,-5499.99999999,-7623.33333333
