wavelength,Back_PooTorf,Belly_PooTorf,Breast_PooTorf,Crissum_PooTorf,Crown_PooTorf,DorTail_PooTorf,Patch10_PooTorf,Patch11_PooTorf,Patch12_PooTorf,Patch13_PooTorf,Rump_PooTorf,Throat_PooTorf,WingTip_PooTorf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-22.2222222223,-66.6666666667,0.0,-185.0,151.111111111,-266.666666667,166.666666667,-3.333298082e-10,-266.666666667,500.0,-22.2222222222,77.777777778,-566.666666667
179.16,61.1111111111,-33.3333333333,-133.333333333,82.2222222222,26.6666666668,127.777777778,-116.666666667,27.777777778,294.444444444,-108.333333333,-27.7777777777,122.222222222,255.555555556
179.54,9.8767777778,0.0,2.46922222223,-14.3209722222,2.71593333333,-11.1111111111,-3.70388888887,-37.0371111111,24.6913333333,-32.7163333333,-11.111,-22.2222222222,14.8147777778
179.93,122.222222222,216.666666667,202.777777778,98.4722222221,135.555555555,102.777777778,113.888888889,19.4444444443,208.333333333,-45.8333333333,83.3333333333,61.1111111112,116.666666667
180.31,385.714333333,257.142666667,152.381,406.983911111,195.237977778,455.555444444,169.841222222,82.5397777777,653.968222222,-182.539611111,404.762,195.238222222,720.634888888
180.69,544.444444444,326.666666667,166.666666667,570.222222221,240.888888889,639.999999999,124.444444444,108.888888889,986.666666666,-338.888888889,599.999999999,217.777777778,1051.11111111
181.07,253.333333333,80.0,27.7777777779,202.055555556,68.0000000002,248.888888889,2.23324766087e-10,-6.66666666667,402.222222222,-174.444444444,246.666666667,92.2222222222,431.111111111
181.45,142.689888889,50.877,33.9181111111,111.140238889,61.6374666666,140.935555556,21.6374444444,12.2810000002,186.549555556,-62.5731666667,152.046777778,45.6141111111,217.543777778
181.83,150.877222222,68.4206666667,36.2572222223,120.994127778,65.2632222223,157.31,25.1463333334,30.9942222223,195.906555556,-28.362611111,176.608222222,56.1403333332,230.994333333
182.21,328.571444444,95.238,-42.857,302.539688889,116.190511111,349.206444446,-34.9206666667,53.968222222,422.222111111,2.38077777767,503.174777779,104.761888889,617.460222222
182.59,146.969666667,40.909,37.3737777778,145.353627778,83.5354000002,163.636333333,48.9898888889,70.707111111,153.030444444,69.1922222222,187.878888889,94.9494444443,247.979777778
182.97,144.907444445,52.778,36.5742222221,149.120433333,95.4630444446,140.740666667,54.6294444443,71.7592222221,127.777888889,74.0740555556,177.777777778,89.3518888888,234.722111111
