wavelength,Back_ChlNitm,Belly_ChlNitm,Breast_ChlNitm,Crissum_ChlNitm,Crown_ChlNitm,DorTail_ChlNitm,Patch10_ChlNitm,Patch11_ChlNitm,Patch12_ChlNitm,Patch13_ChlNitm,Patch14_ChlNitm,Rump_ChlNitm,Throat_ChlNitm,WingTip_ChlNitm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,160.416666667,197.916666666,183.333333333,192.361111111,165.972222222,199.699074074,190.625,208.333333333,168.75,178.472222222,194.444444444,192.361111111,159.027777778,169.444444445
179.16,-555.555555556,-729.629666667,-559.259222222,-640.740666667,-655.555555556,-746.543137036,-529.629611111,-866.666722222,-585.185111111,-659.259222222,-696.296333333,-692.592777778,-622.222222222,-611.110888889
179.54,123.703666667,135.555555555,127.407444445,133.333333333,149.629777778,154.345751852,152.592666667,161.111111111,125.185222222,149.629555556,138.518444445,135.555555556,113.333222222,136.296444445
179.93,258.333333333,225.0,236.111111111,263.888888889,256.944444444,250.972222222,261.805555556,278.472222222,187.5,270.833333333,211.111111111,219.444444445,216.666666667,211.111111111
180.31,1183.33333333,1251.58722222,1207.14311111,1319.04766667,1223.80944445,1253.3597963,1312.30188889,1494.84111111,1096.03177778,1292.85711111,1226.98411111,1334.127,1141.27,1209.52377778
180.69,1504.62955555,1573.14822222,1490.74077778,1642.59255555,1527.77788889,1552.37668889,1655.55544445,1818.98144445,1350.92588889,1629.62966667,1515.74077778,1679.62966667,1440.74088889,1508.33333334
181.07,-3375.55555556,-3486.66666667,-3273.33333333,-3575.55555556,-3491.11111111,-3328.22222222,-3677.77777778,-3996.66666667,-3040.0,-3657.77777778,-3297.77777778,-3753.33333333,-3248.88888889,-3366.66666666
181.45,8783.33333334,8872.22222222,8366.66666666,9177.77777777,9066.66666668,8263.70370369,9719.44444444,9880.55555556,7983.33333333,9411.11111112,8472.22222222,9572.22222223,8222.22222222,8722.22222222
181.83,-956.790222221,-958.024888888,-924.074111112,-1004.93833333,-956.79,-864.588607408,-1042.59261111,-1085.49372222,-870.987666667,-1007.40722222,-922.839555556,-1038.889,-897.530888889,-954.321000001
182.21,-813.756777778,-809.523777778,-788.359888889,-848.148333333,-801.058111111,-722.380844444,-878.307055556,-925.661333332,-746.560777778,-826.455111111,-776.190555556,-903.174666666,-767.724666666,-829.100444444
182.59,-1239.68255556,-1210.31755555,-1170.63488889,-1273.01577778,-1190.47611111,-1086.13765185,-1309.92061111,-1378.17461111,-1109.52377778,-1239.68233333,-1163.49211111,-1348.41255555,-1168.254,-1237.30155556
182.97,-1694.94944444,-1684.84844444,-1634.34344444,-1741.41422222,-1665.65644444,-1510.03368519,-1794.9495,-1850.00011111,-1554.54544444,-1671.71711111,-1575.75766667,-1801.01011111,-1628.28288889,-1669.69688889
183.35,-6381.48133334,-6340.74066667,-6166.66666667,-6414.81488889,-6329.62966667,-5707.65431852,-6679.62966667,-6927.77777778,-5896.29633333,-6148.14811111,-6022.222,-6696.29633333,-5981.48144444,-6300.0
183.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
