wavelength,Back_PieCinf,Belly_PieCinf,Breast_PieCinf,Crissum_PieCinf,Crown_PieCinf,DorTail_PieCinf,Patch10_PieCinf,Rump_PieCinf,Throat_PieCinf,WingTip_PieCinf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,51.8519333333,57.7777333333,40.0,59.2594,54.0740666666,49.6296,75.5556666667,55.5556000001,57.7777999999,54.8148666666
179.16,-195.555666667,-184.444466667,-224.444533334,-140.0,-248.8888,-124.4444,-164.444466667,-162.222333333,-171.111066667,-244.444466667
179.54,296.666666667,360.0,351.666666667,286.666666667,343.333333333,305.0,203.333333333,300.0,313.333333333,350.0
179.93,215.0,245.0,211.666666667,208.333333333,205.0,188.333333333,168.333333333,260.0,173.333333333,256.666666667
180.31,-50.1149333333,-112.873666667,-95.6322,-28.9654666667,-77.7011999999,-51.954,0.229999999986,-79.9998666667,-44.5976666667,-86.2068666667
180.69,-61.6160666667,-111.5152,-97.1715333335,-33.3333333334,-78.3838000001,-56.1615333333,-4.04046666666,-79.5959333334,-48.6868666667,-87.2727333334
181.07,-184.666666667,-258.666666667,-215.666666667,-118.333333333,-199.333333333,-166.333333333,-73.6666666667,-198.333333333,-150.0,-207.333333333
181.45,-298.461533333,-422.564133333,-359.487133333,-206.6666,-323.5898,-274.871733333,-131.282133333,-325.1282,-256.4102,-319.487066667
181.83,-376.296333333,-522.962866667,-437.777733333,-226.6666,-379.2592,-320.000133333,-146.666733333,-414.8148,-291.851866667,-360.000066667
182.21,4.30742009815e+15,6.12421312964e+15,5.30537683376e+15,2.90857475935e+15,4.74242688034e+15,3.89800195021e+15,1.73149758401e+15,4.91301777531e+15,3.75299968948e+15,4.05153375568e+15
182.59,745.333333333,986.666666666,888.0,494.666666666,869.333333333,693.333333333,345.333333333,856.000000001,657.333333333,790.666666667
182.97,223.9394,266.060666667,248.181733333,162.4242,242.121133333,202.727066667,140.303066667,250.606066666,190.9092,234.242466667
183.35,204.137933333,238.160866667,222.7586,171.724133333,219.310466667,180.689733333,129.655133333,228.965733333,169.6552,216.321866667
183.73,172.1904,189.333266666,178.857133333,144.381,179.999933333,147.8096,107.047666667,192.190533333,129.9046,178.4762
184.11,158.703733333,163.333533333,148.518666667,123.148133333,158.148133333,122.2222,89.0741999999,173.518533333,105.740733333,160.185066667
184.49,121.944466667,127.083333333,116.8056,98.4722666668,123.055533333,93.6111333332,72.2222000001,137.777866667,87.7778000001,121.805533333
184.87,94.9205999999,101.269866667,92.3807999999,78.8359333334,98.7302,73.1217333333,57.8836666667,117.4604,72.8042666667,99.2593333333
185.25,68.5232,77.0464,72.4894000001,64.6412666667,75.7806,52.6582666667,43.2067333333,92.0674666665,55.2742666666,80.0844666666
185.63,59.1562,67.4261333333,62.8692666667,56.7089333333,64.557,44.3038,34.5991333333,87.2573333333,44.4726666667,72.9114
186.01,63.2835333334,73.3332666667,65.6715333333,61.6914666667,67.2637333333,44.6767333333,34.4278666667,95.1243333335,43.5822666666,81.9900666667
186.39,51.9047333333,51.5872666667,46.0317333333,41.1110666666,44.762,14.7618,-0.4762666666,96.0317333331,9.2063333334,76.0317999999
186.77,53.1745333334,44.4444,43.4920666667,36.3491333333,41.2699333333,15.3968,2.06339999994,97.7778,3.1746,61.746
187.15,81.2611999999,65.9458666667,62.1621333334,53.874,62.1621333334,36.9368,20.1800666667,128.648533333,24.6848666667,78.9189999999
187.53,67.3118,41.2904000001,40.0000666667,38.4948000001,48.3871333334,23.6559333333,9.03226666672,136.9892,9.46240000014,70.1075999999
187.91,74.4927333333,40.5797333333,48.1159333332,51.0145333335,48.4057999999,17.1016,-0.57953333328,182.028933333,10.1448666669,80.2898
188.29,74.6666666667,38.9333333333,52.5333333335,66.1333333333,60.7999999999,39.9999999999,24.5333333333,183.733333333,30.9333333331,79.4666666666
188.67,81.3333333335,2.22233333334,40.0,68.8888666665,61.7778666667,25.7777333334,16.8889333334,258.666666667,2.2222666666,74.2222666669
189.05,-34.2857333332,177.1428,74.2858000002,-47.6190666666,-2.85719999986,60.0,21.9047333334,-393.333333333,141.904799999,35.2381999999
189.43,21.2612666667,60.9011333333,36.3963333334,22.7028,18.5585333333,33.3332666666,20.1802666667,-51.7117333333,55.6756666667,37.4774666666
189.81,27.2000000001,56.7999999999,36.6666666667,28.2666666667,22.2666666667,31.2,20.4,-31.3333333334,54.3999999999,37.6
190.19,37.2840666667,64.0741333333,34.0741333333,36.7901333333,24.4444,40.3703333333,24.5679333333,-26.5432666667,58.7656000001,44.9382666667
190.57,20.3636,42.7878,14.0606666667,16.3636666667,3.63633333334,24.4847333333,-3.15153333333,-43.3940000001,37.9396000001,25.4545333333
190.95,32.3148666667,46.8518666667,30.0925333333,27.6852666667,19.0740666667,38.5186,10.9259333333,-14.4444666667,46.1110666667,39.8146666667
191.33,42.7928,60.6304666667,45.6758,38.6486,34.5947333333,53.7837333333,22.3423333333,-3.42353333334,60.5405999999,53.9638666667
191.71,34.0094666667,60.1931999999,46.2803333334,38.3574666667,35.0724666667,51.2077333333,16.1354,-12.4637333333,59.1304000001,55.3621999999
192.09,31.2076,60.9662000001,47.8261333334,41.2560666667,35.4588666667,54.4928,12.8501333333,-10.7248,58.9371999999,58.3574666666
192.47,32.2806666667,60.3508666668,48.4210666667,43.3333333333,40.0,59.5615333333,17.4562,-2.71926666667,59.7368666667,58.5965333334
192.85,38.3935333333,62.5703333333,52.8513999999,50.2813333333,45.9438666667,66.5863999999,19.8393333333,6.66653333334,62.0883333333,62.0882666666
193.23,47.193,70.3508000001,60.1754666667,60.0876666667,56.5788666667,79.7369333333,24.0350666667,10.3508,73.0701333333,68.7720000001
193.61,60.5747333334,96.4367333333,83.7930666667,75.6321999999,80.1150000001,107.1264,29.0803333333,12.5287333333,94.3678,91.1494666667
193.99,69.9469999999,105.608533333,95.8731333333,83.5978666665,91.0053333332,115.449733333,44.2328,29.1005333333,98.6244000001,100.846533333
194.37,79.3333333333,113.888866667,109.6666,95.1110666666,101.777666667,119.999933333,54.4444,39.0,106.111133333,111.333333333
194.75,95.9421333333,134.058,131.739133333,119.2754,124.927333333,138.550666667,65.6521999999,37.9710666667,122.898533334,136.956533333
195.13,99.1452666666,142.564066667,146.153733333,129.230666667,140.000066667,135.897533333,69.4015999999,23.5897333334,123.076866667,136.923133333
195.51,128.116,199.130466667,198.8406,176.521666667,188.695733333,175.072466667,81.1594,11.8838666665,167.246466667,179.710066667
195.89,138.484733333,210.606133333,197.8788,191.515133333,179.393866667,178.181933333,80.0001333334,27.8788666667,169.697,192.1212
196.27,124.266666667,192.8,159.2,161.6,145.6,145.6,69.0666666667,25.8666666666,144.8,171.733333333
196.65,150.196,256.862866667,178.431333333,190.588333333,171.764666667,176.0784,59.2156,4.31346666659,176.8628,225.490266667
197.03,1426.66666667,3313.33333333,1940.0,2193.33333333,1626.66666667,1486.66666667,300.0,-1133.33333333,1846.66666667,2573.33333333
197.40,157.777733333,331.6666,192.222066667,215.555733333,155.5558,150.5554,73.8888,-38.8887333332,208.888666667,243.889
197.78,81.0416666667,148.333333333,81.4583333333,106.458333333,76.2499999999,74.7916666666,50.4166666667,3.95833333347,105.416666667,121.041666667
198.16,58.0000666666,133.5554,54.0000666667,79.5555333333,53.5554000001,59.9999333333,17.5555333333,-19.3332,85.1112666667,95.3334
