wavelength,Back_NepOnef,Belly_NepOnef,Breast_NepOnef,Crissum_NepOnef,Crown_NepOnef,DorTail_NepOnef,Rump_NepOnef,Throat_NepOnef,WingTip_NepOnef
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,35.0,116.666666667,70.0,93.3333333332,80.8333333333,58.8235294117,63.3333333335,50.0,100.833333333
179.16,44.2424,66.6666,48.4849333333,53.9392,53.9393333334,59.1444078431,60.6059999999,40.6061333333,49.0909333333
179.54,106.666666667,116.666666667,151.666666667,58.3333333333,158.333333333,79.3137254903,80.0000000001,75.0,203.333333333
179.93,110.0,108.333333333,101.666666667,56.6666666667,156.666666667,65.4901960783,98.3333333334,61.6666666667,161.666666667
180.31,85.9573333334,110.070866667,93.9007333333,77.1631333334,96.7376666666,95.0856431371,102.5532,64.3970666667,121.844
180.69,86.4052666666,101.960666667,92.6796666667,76.9935333335,92.6795333334,94.7865725489,96.9934000001,61.1763333334,123.7908
181.07,108.943133333,116.748066667,107.4796,92.5202,108.7806,121.052117647,119.187066667,70.8944000001,148.1302
181.45,156.458333333,154.166666667,146.25,125.625,142.916666667,155.024509804,156.458333333,100.833333333,210.0
181.83,213.076933333,212.3078,197.692266667,174.6154,176.923066667,216.983447059,208.461533333,144.871733333,275.128133333
182.21,365.833333333,356.666666667,343.333333333,301.25,284.583333333,373.651960784,358.333333333,261.25,478.75
182.59,290.833266667,276.944533333,254.166666667,249.4444,228.333333333,286.781023529,273.611,225.8332,363.888866667
182.97,239.394,232.525266667,211.515266667,227.474666667,203.030266667,241.247803922,225.252533333,199.595933333,294.343333333
183.35,266.666666667,259.375,214.583333333,253.541666667,230.416666667,262.095588235,248.333333333,226.458333333,317.916666667
183.73,296.666666667,286.666666667,229.0476,273.0952,262.619066667,293.445458824,269.285666667,265.952533333,345.952333333
184.11,368.611066667,344.166666667,288.8888,326.1112,315.555466667,354.477078431,327.2222,335.555466667,418.611
184.49,449.841266667,410.476266667,350.793533333,398.412666667,369.5238,406.666694118,390.7936,406.3494,501.2698
184.87,555.686333333,514.901933333,416.470533333,468.627333333,453.333333333,479.446337255,488.235266667,501.1764,609.411733333
185.25,492.698333333,441.27,386.6666,398.4126,391.428533333,401.344611765,426.666733333,445.7142,530.158866667
185.63,486.666733333,453.6508,414.285733333,397.142866667,398.730133333,419.402584314,429.523733333,455.238,528.888933333
186.01,259.166666667,236.5,216.166666667,211.5,211.333333333,222.529411765,228.5,248.333333333,273.333333333
186.39,188.148266667,170.6172,152.716,158.271733333,153.950466667,165.112807843,162.2222,187.901133333,188.889
186.77,173.225866667,157.311866667,138.924666667,146.6666,143.440866667,152.226458824,148.2796,174.193466667,171.612933333
187.15,153.425866667,137.3148,124.907333333,125.925933333,124.074066667,133.175282353,126.666666667,151.203733333,152.6852
187.53,130.000066667,118.968133333,113.8888,111.8254,106.507866667,116.802003922,104.444466667,130.793666667,131.587266667
187.91,133.1728,118.232933333,116.786933333,116.787133333,102.329333333,112.766258824,106.8274,129.317266667,131.084266667
188.29,123.876066667,109.3024,109.069733333,109.612466667,96.1240666666,100.195984314,96.3565333333,119.767466667,118.139466667
188.67,109.6774,96.3440000001,97.9927333334,98.2793333331,83.1540666667,91.1447568628,83.2256,104.8028,109.677466667
189.05,102.349133333,91.8094,96.3174666666,97.8414666665,80.5080666667,91.4060980393,79.8095333334,101.968266667,101.968333333
189.43,93.8511333334,82.9774666668,85.5015999999,87.3140000001,71.6505333333,85.0942039216,68.8025999999,94.5631999999,89.9678666667
189.81,95.7037333333,75.9999333333,75.5556,85.4074666666,67.1852,82.5010784314,63.4073999999,90.6666,85.0371333334
190.19,115.454533333,82.6262666667,84.3433999999,102.727333333,79.3938,94.5573372548,72.3232,101.616333333,95.6565333333
190.57,128.116,96.3285333334,97.7776666668,111.6908,93.8163333331,104.495541176,89.6618666667,102.898533333,110.048266667
190.95,167.8518,113.777866667,126.3704,142.074133333,113.777733333,130.866988235,111.407333333,117.926066667,141.629533333
191.33,212.184066667,129.195533333,149.195466667,168.735666667,136.551733333,162.298937255,134.023,131.4942,176.0918
191.71,251.884066667,130.434733333,156.811666667,180.869533333,146.087066667,184.092070588,160.579666667,130.4348,196.8116
192.09,362.380933333,158.095266667,195.714266667,217.142933333,206.6668,272.857047059,199.523866666,146.190466667,267.1428
192.47,223.5898,117.948666667,132.8204,145.640866667,138.461533333,191.779847059,145.640933333,99.2307333333,175.384666667
192.85,407.179533333,201.025666667,219.999933333,229.230733333,244.102666667,344.886886274,251.282066666,142.051333333,254.871866667
193.23,567.500000001,255.833333333,259.166666667,249.166666667,286.666666667,466.12745098,313.333333334,110.0,321.666666667
193.61,705.5556,287.777733333,347.7776,333.333333333,345.555533333,585.294023529,384.444333334,67.7777333339,401.111200001
193.99,306.666533333,177.777866667,191.555533333,187.999933333,194.222266667,282.614380392,207.555533333,81.7776666666,191.111333333
194.37,303.555533333,193.333333333,209.777733333,171.111066667,195.999866667,291.267952941,191.555466667,93.7777999999,180.8888
194.75,364.0,199.333333333,220.666666667,161.333333333,182.666666667,369.490196078,196.666666667,100.666666667,150.666666667
195.13,194.920666667,111.110933333,111.111066667,88.8889333334,96.8255333335,210.046792157,97.1428666665,65.7142666667,72.3808666666
195.51,336.923066667,195.3846,186.153866667,161.025533333,176.923133333,340.844690196,188.205133334,123.076933333,102.564133333
195.89,297.916666667,165.416666667,181.666666666,139.166666667,167.083333333,288.87254902,160.0,123.333333333,113.333333333
196.27,3733.33333333,1546.66666667,2146.66666667,1066.66666667,1486.66666667,3666.66666666,1533.33333333,1306.66666667,946.666666668
196.65,-518.888866666,-124.4444,-307.7778,-86.6666666666,-161.1112,-506.535921569,-101.111066667,-118.888866667,-52.2221333335
197.03,-1.13442945159e+15,-3.64638038012e+14,-8.12439137324e+14,-3.77432355134e+14,-4.90448823056e+14,-1.13957226534e+15,-2.64415887213e+14,-4.58463030249e+14,-2.85739749084e+14
197.40,-712.222266667,-213.333333333,-466.666733334,-285.555599999,-321.111066667,-591.045709804,-143.333266667,-255.5556,-136.6666
197.78,-4973.33333333,-2340.0,-3393.33333333,-2326.66666667,-2633.33333334,-4308.62745098,-1580.0,-2326.66666667,-1566.66666667
198.16,1318.33333333,561.666666667,975.0,615.000000001,595.0,1001.96078432,363.333333333,618.333333335,478.333333333
198.54,299.333333333,132.666666667,232.0,160.666666667,140.333333333,224.215686274,103.333333333,143.0,130.333333333
198.92,325.185133334,137.037,272.592533333,171.851866667,146.6666,224.291811765,97.0370666668,137.037066667,136.2964
199.30,255.942066667,112.174,233.043466667,140.579666667,115.652266667,172.037505882,83.1884666665,105.7972,109.275266666
199.68,170.302933333,73.9393333333,164.444333333,84.8483333333,70.1008666668,112.038121569,45.0504666667,58.7879333335,67.8787333334
200.06,176.25,82.5000000001,172.5,103.333333333,78.5416666667,122.058823529,53.9583333333,72.0833333332,71.6666666667
200.44,162.9824,95.9649333334,163.684266667,110.175266667,91.2280666665,122.600701961,68.4210666667,72.8071333332,79.9999333334
200.82,233.333333333,141.333333333,238.933333333,155.2,128.533333333,176.956862745,110.4,100.0,115.733333333
201.19,483.7038,242.963066667,500.0,245.925866667,205.926066667,306.405270588,179.259333333,105.926,182.962866667
201.57,385.833333333,172.5,451.666666667,170.833333333,135.833333333,253.431372549,132.5,31.6666666666,119.166666667
201.95,348.0,136.666666667,420.666666667,201.333333333,184.666666667,255.490196078,158.0,50.6666666668,140.666666666
202.33,446.666733333,136.1904,523.809466667,232.381,242.857133333,369.411733333,203.8096,25.7142666666,169.523733333
202.71,-224.0,-22.6666666667,-254.666666667,-78.6666666666,-91.9999999999,-204.31372549,-68.0,56.6666666665,-52.6666666666
203.09,-85.8333333333,39.5833333333,-101.666666666,-7.91666666646,-39.5833333333,-105.56372549,2.0833333334,81.2499999999,0.4166666666
203.47,-38.3333333333,51.0,-61.9999999999,14.0000000001,-15.3333333335,-45.8627450981,33.3333333333,84.3333333334,14.3333333333
203.85,-81.0527333333,25.9649333334,-92.2808666667,-22.1053333335,-33.6842000001,-79.1949999999,16.1405333333,46.3158666668,-26.3157333332
204.22,-72.2221333333,38.8887999999,-71.1111333335,18.5183333331,9.62980000012,-70.5227882353,42.5925999999,92.5928000001,2.59246666654
