wavelength,Back_TanLabm,Belly_TanLabm,Breast_TanLabm,Crissum_TanLabm,Crown_TanLabm,DorTail_TanLabm,Patch10_TanLabm,Rump_TanLabm,Throat_TanLabm,WingTip_TanLabm
196.65,5.5556666666,-108.055566667,202.777866667,114.444466667,7.22213333334,-219.444466667,88.8888666665,96.1110666667,-26.6667333335,132.777733333
197.03,7.43586666668,-40.6410666667,107.692266667,67.4359333333,2.56420000001,-101.7948,46.6666666666,46.9231333333,-7.43599999992,64.4870000001
197.40,-15.5555333335,-93.0159333333,87.3016,46.9840666666,-43.8096000001,-175.872933333,25.0794000001,26.3491999999,-57.1426666667,46.0317333333
197.78,-254.444533333,-530.0,68.8888666668,-6.6666666666,-393.333333333,-889.999933335,-90.0000666668,-114.444533333,-442.222133333,-48.8888
198.16,-71.2819333333,-212.051333333,69.2307333334,5.64100000008,-174.358933333,-417.435866667,-47.6922666666,-34.3588666667,-161.538533333,-2.5640333334
198.54,2060.0,3960.0,313.333333333,1586.66666667,3880.0,6720.0,1906.66666667,2006.66666667,3800.0,1496.66666667
198.92,-316.666666667,-869.999999999,145.0,-229.999999999,-756.666666666,-1615.0,-183.333333334,-373.333333333,-790.000000001,-104.166666667
199.30,-406.666666667,-1022.5,-13.3333333334,-385.000000001,-861.666666667,-1801.66666667,-401.666666666,-546.666666667,-1040.0,-160.0
199.68,-236.190466667,-532.857166667,-15.2382666666,-214.2856,-537.1428,-1018.09533333,-262.857066667,-309.5238,-668.571466666,-84.7619333333
200.06,-133.8462,-269.230866667,-27.1794666665,-129.743533333,-324.615333333,-553.3334,-192.820466667,-175.897466667,-393.846066667,-90.7691333333
200.44,1026.66673333,1453.33346667,400.000000001,957.777800001,1857.77773333,2735.55553333,984.444466667,1184.44453333,2066.66666667,796.666733333
200.82,347.179466667,415.8974,193.846266667,318.4616,519.487066667,715.384733334,348.718133333,349.230933333,561.538466667,293.076933333
201.19,244.210533333,296.1403,148.0702,228.421266667,372.982466667,508.771866667,278.596466667,264.2104,405.965066667,225.263033333
201.57,210.666666667,266.166666667,117.0,198.333333333,358.666666667,460.0,260.333333333,255.666666667,377.333333334,218.5
201.95,258.2222,336.4445,130.666733333,235.555533333,461.333266667,579.555533333,334.666733333,323.555466667,494.2222,265.7779
202.33,269.803866667,320.980433333,162.745133333,248.627466667,456.4706,548.6276,327.058733333,323.921466667,496.8628,274.313833333
202.71,500.7408,565.5557,261.481466667,376.2962,831.111133333,987.407466665,573.333200001,540.740666666,877.7778,472.9629
203.09,219.722133333,241.250066667,118.055533333,160.833333333,351.111133333,390.833333333,257.500066667,236.6666,351.944533333,213.611
203.47,224.102533333,226.923066667,113.076866667,150.512866667,332.564,375.384666667,249.743533333,232.051333333,338.205266667,229.871666667
203.85,228.533333333,221.066666667,114.133333333,134.933333333,326.666666667,369.866666667,241.333333333,227.466666667,332.8,234.8
204.22,289.696933333,270.303,146.666666667,183.3332,400.605933334,451.515066667,289.696933333,276.969733333,400.909133333,267.424266667
204.60,309.090866667,292.5758,164.242533333,213.9394,419.090933333,466.363466667,312.4242,276.363733333,426.969666667,293.3334
204.98,322.333333333,300.833333333,171.0,234.666666667,443.0,501.0,327.666666667,284.666666667,457.666666667,300.666666667
205.36,232.9412,207.156966667,138.8234,185.686266666,296.2746,338.6274,234.509866667,206.0784,309.0198,217.450966667
205.74,490.666733333,422.666833333,275.110933333,385.333466667,614.222266666,703.555666667,500.889,420.444466667,667.111133333,443.111
206.12,1745.0,1384.16666667,823.333333334,1363.33333333,2145.0,2545.0,1768.33333333,1473.33333333,2388.33333333,1587.5
206.50,6966.66666667,5360.0,3093.33333333,5053.33333333,8573.33333334,9926.66666667,6920.0,5866.66666667,9380.00000001,6290.0
206.87,1210.0002,922.222233333,616.666533333,907.7778,1505.55553333,1731.11106667,1314.44446666,1088.88893333,1650.00006667,1122.22223333
207.25,-978.095199999,-732.3809,-535.238133333,-753.333333333,-1216.19053333,-1469.52393333,-1103.8096,-877.143000001,-1379.04766667,-922.857133334
207.63,6959.99999999,5036.66666667,3780.0,5453.33333333,8753.33333335,10326.6666667,7406.66666667,6313.33333333,9606.66666667,6703.33333333
208.01,646.666733334,512.222266667,391.6666,560.5556,816.666733333,969.444466667,681.111133333,623.333266667,897.222333332,629.166833333
208.39,286.666733333,243.870933333,201.290333333,254.6236,357.8494,412.0432,304.9462,278.709666667,390.322666667,294.4087
208.77,334.8148,290.370366667,239.2592,286.913533333,418.5186,491.1112,362.962866667,328.8888,448.148133333,338.271566667
209.14,411.8182,348.939433333,292.424133333,338.484933333,512.121133333,601.818266667,457.2728,421.515333334,555.151533333,399.394
209.52,1421.1112,1183.889,1016.66666667,1168.88906666,1784.4444,2076.6666,1548.88886667,1425.55553333,1928.8888,1325.0001
209.90,1296.1904,1045.23796667,999.047666667,1091.42853333,1538.0952,1896.19046667,1392.381,1304.76193333,1696.19046667,1227.61913333
210.28,364.9384,303.456833333,309.135733333,326.6668,445.432133333,522.962866667,403.703666667,376.790133333,467.407266667,354.938066667
210.66,313.904866667,253.238,271.047666667,297.142866667,369.523866667,426.095133334,343.238266667,312.571466667,395.2382,309.904766667
211.03,455.5556,365.139033333,397.777733333,451.944466667,531.3888,608.055533333,482.2222,459.444466667,573.888733334,445.138933333
211.41,391.111,304.691266667,341.728333333,401.2346,463.456933333,518.765466667,405.1852,404.691333333,503.456666667,379.012266667
211.79,359.5238,268.095066667,314.7618,379.2856,427.8572,480.7142,388.809466667,376.190533333,470.952266667,347.142833333
212.17,832.7274,595.757633333,744.242333333,901.818133333,1009.09086667,1118.78786667,950.303000001,919.393866667,1146.6666,846.363633334
212.55,3933.33333333,2586.66666667,3523.33333333,4353.33333333,4663.33333333,5330.0,4440.0,4553.33333333,5506.66666667,4073.33333333
212.92,-1094.4444,-713.333300001,-1046.66666667,-1323.33326667,-1376.66673333,-1584.44433334,-1293.33333333,-1366.66666667,-1670.0,-1207.77776667
213.30,2331.11113333,1715.55566667,2253.3334,2882.2222,3020.00006667,3262.2222,2686.66666667,2946.66666666,3455.55553333,2828.88896667
213.68,343.333333333,276.666733333,336.363666667,425.757666667,458.1818,468.484866667,415.757666667,443.030333333,510.0,433.9394
214.06,425.098,355.882466667,401.1764,533.725533333,589.803933334,567.0588,496.0784,547.0588,636.470666667,543.7255
214.44,1088.57146667,894.761899999,1034.28573333,1319.99993333,1433.33333333,1359.99993333,1226.66666667,1398.0952,1548.57146667,1378.57143333
214.81,6940.0,5680.0,6526.66666666,8473.33333332,9273.33333333,9126.66666667,7533.33333333,9113.33333335,9840.0,8696.66666666
215.19,-1345.33333333,-1042.0,-1216.0,-1588.0,-1773.33333333,-1848.0,-1457.33333333,-1756.0,-1885.33333333,-1670.66666667
215.57,4240.0,3460.0,3830.0,4803.33333333,5326.66666666,5446.66666667,4710.0,5203.33333333,5523.33333333,4995.0
215.95,-1077.5,-934.166666667,-1050.0,-1200.83333333,-1321.66666667,-1382.5,-1181.66666667,-1320.83333333,-1407.5,-1257.08333333
216.32,-1458.88886667,-1241.11123333,-1386.66666667,-1568.88886667,-1785.55546667,-1863.3334,-1614.44453333,-1650.0,-1797.77766667,-1657.7778
216.70,-2315.0,-2016.66666667,-2233.33333333,-2470.0,-2936.66666667,-2976.66666667,-2638.33333333,-2603.33333333,-2878.33333333,-2645.0
217.08,-1465.55553333,-1243.88896667,-1393.3334,-1563.3334,-1904.44433333,-1895.55553333,-1663.33333333,-1638.88893333,-1887.77773333,-1697.22223333
217.46,-1496.66653333,-1271.66663333,-1467.77766667,-1654.44466667,-1953.3334,-2019.99986667,-1694.44453333,-1640.00006667,-1944.44453333,-1683.88893333
217.83,-418.0,-325.166666667,-412.666666667,-455.666666667,-528.0,-572.333333333,-447.666666667,-453.666666667,-523.333333333,-459.833333333
218.21,9366.66666665,7406.66666667,9360.0,10260.0,11580.0,12973.3333333,10286.6666667,10426.6666667,11740.0,10023.3333333
218.59,688.0954,550.714366667,669.0476,773.333333333,849.0478,972.857199999,755.238133333,743.333266666,897.142866666,722.6191
218.97,911.333333333,763.000000001,914.666666666,1046.66666667,1173.33333333,1302.66666667,1040.66666667,1034.0,1222.66666667,970.0
219.34,668.5714,587.618966667,674.285733333,755.714199999,860.4762,921.428600001,758.0952,756.666666667,879.999999999,681.428533333
219.72,-8773.33333333,-7320.0,-8920.0,-10280.0,-11253.3333333,-12193.3333333,-9526.66666667,-9866.66666667,-11660.0,-8780.0
220.10,612.4444,503.555466667,611.1112,736.888866667,808.4444,827.555600001,653.333266667,685.333266667,802.666800001,598.444333333
220.47,339.230666667,264.359,352.051466667,414.615333333,454.6154,464.615333333,347.435866667,396.923133333,451.794866666,310.384533333
220.85,3573.33333333,2361.66666667,3693.33333333,4596.66666667,4936.66666667,5036.66666667,3510.0,4346.66666667,4970.0,3023.33333333
221.23,936.666666667,613.750000001,997.500000001,1207.5,1228.33333333,1248.33333333,922.499999999,1144.16666667,1233.33333333,757.083333334
221.61,-1186.66666667,-643.333333333,-1332.0,-1664.0,-1634.66666667,-1638.66666666,-1217.33333333,-1505.33333334,-1670.66666667,-916.666666668
221.98,-282.083333333,-121.458333333,-319.166666667,-426.666666667,-438.75,-425.0,-293.75,-385.416666667,-470.0,-207.5
222.36,-81.3794,-10.6897999999,-116.321866667,-163.6782,-188.5058,-161.6092,-94.2528666667,-136.7816,-195.402266667,-62.5287333332
222.74,-56.9048,6.19046666674,-101.6668,-132.619066667,-167.8572,-115.714266667,-72.6190666666,-115.0,-163.571533333,-39.8810333334
223.11,-390.833333333,-95.8333333334,-550.0,-625.833333334,-738.333333333,-552.5,-406.666666667,-584.166666667,-758.333333333,-294.166666667
223.49,301.818133333,98.4847666666,446.666733333,496.363733333,568.4848,433.3332,320.606133333,474.545533333,614.545466667,263.939533333
223.87,272.2222,83.6108666667,371.111066667,402.222266667,473.888866667,351.111,273.3334,406.666733334,542.222133333,223.3334
224.24,-467.999999999,-75.3333333334,-705.333333333,-765.333333334,-898.666666667,-642.666666666,-518.666666667,-802.666666667,-1057.33333333,-400.666666667
224.62,1550.0,553.333333333,1900.0,2156.66666667,2563.33333333,1740.0,1713.33333333,2183.33333334,2893.33333333,1438.33333333
225.00,162.963066667,117.284033333,194.568,206.913533334,243.9506,190.8642,187.407533333,208.641933333,260.7408,162.716166667
225.38,117.984533333,96.2789666666,136.434133333,142.7906,175.814066667,142.325533333,139.689866667,143.875933333,182.635733333,130.852766667
225.75,99.8717333333,74.0385333334,111.1538,112.051266667,144.359,115.897466667,113.974333334,120.8974,144.1026,105.8333
226.13,93.7963333333,75.6018333334,101.759133333,104.907466667,125.555666667,104.1666,104.999933333,107.314933333,123.240666667,100.601866667
226.51,98.3538666667,81.6872,98.1068666666,103.3746,120.3292,103.6214,103.950733333,107.3252,118.189333333,98.3951
226.88,133.978533333,102.4193,129.677466667,140.322666667,162.795666667,142.795733333,134.301066666,141.1828,157.419333333,132.204366667
227.26,175.2688,142.473133333,167.311733333,194.193666667,240.430066667,210.107466666,184.086133333,193.333266667,224.086133333,187.9569
227.64,512.381066667,330.476133333,456.190533333,612.380866667,755.238000001,693.333266667,525.7144,535.238066667,728.571333335,623.333266667
228.01,292.7778,219.166733333,264.444466667,367.777866667,448.8888,414.999866666,284.999933333,307.222133333,412.777933333,360.277933333
228.39,208.888933333,152.4074,181.111,235.185133333,317.7778,288.148133333,193.703666667,199.6296,297.407266666,246.111
228.76,319.393933333,257.272566667,267.878733333,372.7272,504.848666667,450.303066667,280.606133333,315.7576,466.666733333,382.727233333
229.14,256.111133333,241.666733333,248.3334,349.444533334,469.444466667,408.888866667,264.444466667,293.333266667,428.889,385.277866667
229.52,496.6666,468.3332,475.555533333,646.666733333,868.888866667,811.111066667,461.111066667,547.777666667,825.555533333,665.555500001
229.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230.27,-203.333333334,-221.190533333,-139.523866667,-209.523933333,-362.8572,-318.5714,-143.3334,-181.904866667,-328.571533333,-217.380933333
230.65,-164.102466667,-161.538333333,-107.692266667,-180.0,-335.384666667,-281.538533334,-115.384666667,-148.2052,-294.358933333,-195.384666667
231.02,-220.952466667,-251.428533333,-92.3810000001,-221.904866667,-521.904666667,-429.523866667,-183.809333333,-210.4762,-497.142866666,-295.237966667
231.40,786.666666667,768.888833333,513.333333333,935.555533334,1435.55573333,1204.44446667,760.0,764.444466667,1451.11113333,1072.22216667
231.78,260.476,246.4286,172.857133333,239.523866667,371.4286,302.380933333,242.857133333,230.952333333,358.095266667,269.2858
232.15,196.25,180.625,129.166666667,170.416666667,314.166666667,267.916666667,197.916666666,176.666666667,330.416666667,221.25
232.53,511.1112,426.666533333,318.889,463.333333334,801.111199999,706.6666,465.555466667,410.0,862.222266665,548.333333333
232.90,-98.5965333333,-78.2455000001,-53.3333999999,-71.9298666667,-184.5614,-178.947333333,-70.1754666667,-53.6842000001,-220.000066667,-113.5088
233.28,-117.948733333,-61.1536000001,-49.4870666665,-81.7948,-156.1538,-142.820533333,-55.6410666668,-52.0511333333,-188.974266666,-85.2562666667
233.66,-53.4721333333,-11.5973,-9.72226666666,-28.3334666667,-74.4443999999,-61.6666,-12.6388666667,-8.61106666666,-85.2778000001,-29.5833666667
234.03,-25.6496,12.9377333333,11.6384,-7.5706,-33.6722666667,-22.2598666667,9.60453333333,13.1073333333,-45.4238000001,5.02833333334
234.41,-21.9046666667,5.39679999999,10.4760666667,-14.2857333333,-26.5609333333,-19.6825333333,9.52373333333,13.0158666667,-45.5028000001,1.74596666666
234.78,-16.3159333333,8.90359999999,13.5964666667,-10.5262666666,-17.8947333333,-13.2456,15.0877333333,15.5263333333,-36.6666,10.6578666667
235.16,-11.5908,7.99226666667,14.4698,-5.45453333332,-12.7272,-12.1971333333,17.1969333333,15.3030666667,-28.1060666667,12.6895
235.54,-31.6238666667,-7.17959999999,3.41893333334,-14.0172,-30.0856,-27.9488666667,7.94873333334,3.07693333333,-47.2648666667,0.08546666666
235.91,-20.1514666667,-3.29543333334,9.84846666666,-11.5150666667,-29.1665333333,-23.1817333333,14.6969333333,11.9696,-36.9697333333,1.2879
236.29,-17.7778,-3.02076666667,5.55559999999,-14.5138666667,-25.8332666667,-18.7500666667,13.4028666667,14.5832666667,-30.1389333333,-1.14596666667
236.66,-22.5204666667,-10.3657,1.62599999999,-23.3333333333,-36.2602,-24.2275333333,8.69919999998,10.9756,-38.3740666667,-6.54476666667
237.04,-27.6056,-10.3287666667,6.76046666667,-30.9858,-37.277,-26.5728,10.6104,9.85919999999,-43.9438,-2.81683333333
237.41,-8.24560000002,3.64043333332,20.2630666667,-7.98253333333,-15.1755333333,-9.47360000001,24.0352,26.3158,-24.4737333333,14.6930666667
237.79,-8.88893333332,7.09013333333,24.5503333333,-7.30180000001,-11.5344666667,-9.31213333333,30.5819333333,33.6508666667,-31.6402666667,9.947
238.17,-29.4115333333,-13.5294666667,4.70580000002,-27.0588666667,-46.7974,-50.0654,16.2092,16.8626666667,-52.2876000001,-22.2223333333
238.54,-16.9134666666,3.20996666668,6.79013333335,-17.2839333333,-43.7038,-45.9258,23.3333333333,20.3704,-41.4815333333,-9.1359
238.92,-5.7712,4.52746666668,10.1492666667,-7.86066666667,-32.5373999999,-29.0548,24.2786666667,24.7762,-28.6568,-7.562
239.29,0.462933333326,14.4907,17.1297333333,-4.16666666667,-24.0739333333,-23.0556,31.2963333334,35.3703333334,-15.0924666667,0.92606666666
239.67,12.4822,21.0285,23.9716666667,3.26246666666,-6.09926666667,-4.68080000001,31.6310666667,40.9928666667,-2.5532,13.6879333333
240.04,15.2137333333,22.9062,23.9316666667,6.60986666667,1.25353333334,6.78073333333,29.8006,36.3534,2.79199999999,16.6952
240.42,17.3874,20.8558333333,24.1894,7.79273333335,5.4054,11.892,25.9458666667,31.6215333333,6.26126666666,16.4864666667
240.79,19.8901333333,20.3847,26.8497333333,12.0514666667,10.5128666667,15.6777333333,27.6923333333,32.7472666667,10.5861333333,19.1026
241.17,18.0728,14.8341333333,20.1578666667,7.17219999999,5.15006666665,12.3539333333,20.5054,28.6886666667,6.72993333333,13.9495
241.54,16.1943333333,10.0133666667,17.5167333333,5.45213333333,2.07826666667,10.5802,15.4386666667,25.3711333333,6.28886666666,10.4454333333
241.92,17.1159333333,8.1087,17.7068,5.24806666667,0.780333333334,11.2057333333,13.6643333333,23.4751333333,7.75413333332,12.3287666667
242.29,15.5626666667,6.5916,16.3773333333,3.88000000001,0.321533333334,11.2754,11.6183333333,21.9079333333,5.40179999999,10.5036666667
242.67,14.3880666667,4.16926666667,16.1393333333,3.14406666667,0.696533333332,10.5074,9.6318,20.9553333333,4.97533333334,9.04473333333
243.05,12.5905333333,2.48303333333,13.8025333333,1.8768,-0.566933333333,8.69993333332,6.60813333334,18.8074,3.7732,9.21796666667
243.42,10.8258666666,-0.905533333333,10.8656,-0.995066666673,-3.10453333333,6.42779999999,3.34313333333,15.6616666667,0.67653333334,6.22883333333
243.80,11.2416666667,0.522933333333,11.1857333333,-0.093399999998,-2.465,5.63953333333,4.25773333333,15.0886666667,2.20353333333,6.7507
244.17,11.7636,0.267766666667,10.2862666667,0.553999999999,-1.976,4.9492,4.28426666667,15.1432,2.9918,7.5161
244.55,11.4232,0.0376,11.1048666667,0.187400000013,-1.72286666667,3.91386666666,4.06366666666,15.2435333333,3.72673333333,8.59553333333
244.92,11.3162666667,2.23073333333,11.5726,1.57259999999,0.700866666665,5.88033333333,5.35046666667,15.3503333334,5.21359999999,10.2563
245.30,9.26506666666,1.46933333333,10.6884,-0.309533333334,0.881866666667,5.07359999999,4.62480000001,13.9210666667,4.87240000001,8.8011
245.67,9.52573333335,3.09273333333,11.2577333333,-0.398533333333,1.347,6.08926666666,5.62200000001,13.4569333333,5.60833333333,9.02396666667
246.05,10.7524,4.42803333333,12.0978666667,0.8806,3.33953333333,8.02453333333,7.62079999999,14.8868666667,7.52293333334,10.312
246.42,11.0744,4.8319,12.2316,1.22326666667,4.90360000001,8.93666666666,8.25353333334,15.4821333333,7.7134,11.4435333333
246.79,11.6993333333,5.7945,12.6015333333,2.055,5.18293333333,10.4762,9.09260000001,16.2907333333,8.58160000001,12.0349333333
247.17,12.9838666667,7.50796666667,14.4184666667,3.42986666667,6.71253333333,12.3494666667,11.0161333333,17.9954666667,10.1424,12.6897666667
247.54,12.5420666667,6.94193333333,13.7892666667,2.9678,6.37426666667,12.4128666667,10.3655333333,17.2902,9.7376,12.5248
247.92,13.4256666667,7.57766666667,14.6264,3.8538,7.03606666666,13.7700666667,11.184,18.4551333333,10.6717333334,13.6817666667
248.29,12.1012,7.0095,14.4185333333,3.21506666667,6.2588,13.0396666667,10.0857333333,17.446,9.29426666666,12.9007333333
248.67,12.4626666667,7.62196666667,14.9456,3.8292,6.31986666667,13.6720666667,10.8746666667,17.9282,9.89120000001,13.2205
249.04,12.6534,6.91546666667,14.7926666667,3.40793333333,5.90386666667,13.0432,10.4478,17.5373333333,9.58540000001,12.9188666667
249.42,12.9000666667,7.2989,15.3492,4.10266666667,5.80006666666,13.068,10.6101333333,17.7365333333,9.46933333333,13.4528
249.79,13.7524,7.81176666666,16.4327333333,4.659,6.68633333333,14.0254,11.9492,18.7232,9.91226666666,14.6784333333
250.17,10.3933333333,5.40453333333,14.5574,1.5082,3.55186666667,11.1474666667,9.18040000001,15.8470666667,6.97266666667,11.8305666667
250.54,9.6928,5.74473333333,14.3144666667,0.910266666665,2.2576,10.6147333333,8.69973333333,15.5554666667,6.7966,11.1052
250.92,8.2042,4.1151,12.8552,-0.387533333336,0.581333333333,8.66940000001,7.09313333334,13.8502,4.57366666667,10.1357333333
251.29,5.63993333333,1.36903333333,9.74680000001,-3.50439999999,-2.88853333333,4.70899999999,3.99713333333,10.8417333333,1.51953333333,7.91936666667
251.66,6.44026666667,1.94623333333,10.7856,-2.64693333333,-3.07153333334,5.30793333334,4.68520000001,12.2434666667,1.47213333333,8.83233333333
252.04,6.6808,1.9338,10.8861333333,-2.10966666667,-2.92546666666,5.44293333333,5.00706666667,12.5739333333,1.63146666667,8.9661
252.41,5.29806666667,-0.382733333334,8.77133333333,-5.0626,-4.81246666666,3.69386666667,3.51726666667,11.4791333333,0.574066666666,6.73283333333
252.79,4.3658,-0.427733333333,6.85833333333,-5.32446666667,-5.88506666667,2.74346666667,2.28613333334,10.6786,-0.722666666666,6.36423333333
253.16,3.46446666667,0.473066666668,6.27366666666,-5.45866666666,-6.2302,2.78013333333,2.0234,10.9461333333,-1.29553333333,5.93883333333
253.54,4.12266666667,0.716299999999,7.10533333333,-4.83906666667,-5.48253333333,4.3422,3.07013333334,12.1052,0.029133333338,6.54256666667
253.91,3.29013333333,0.238033333334,6.00306666666,-4.89180000001,-5.8152,3.43426666667,1.58733333334,11.5440666667,-1.31306666667,5.87303333334
254.28,6.79486666667,2.7421,8.33333333333,-1.8518,-2.27913333333,6.53839999999,4.2022,14.7292666667,0.455933333342,8.86050000001
254.66,8.24206666667,4.07726666667,10.4448666667,0.262533333333,-0.160533333333,8.51946666666,6.4186,16.5718666667,1.66293333333,10.9119333333
255.03,7.54953333333,4.079,10.7304666667,-0.47186666667,0.3196,7.77780000001,7.03186666666,16.4078666667,1.41546666667,10.3804666667
255.41,10.3003333333,7.1131,13.6258666667,2.2324,3.98766666667,10.7004666667,9.94613333334,19.3687333333,4.12633333333,13.2332666667
255.78,10.6010666667,9.2193,14.2075333333,4.10626666667,5.54246666667,11.4599333333,11.4285333333,20.5308666667,5.63620000001,14.6368333333
256.15,10.9992,10.0532666667,14.569,4.9428,7.06326666666,11.7467333333,11.8990666667,20.122,6.07179999999,14.9426666667
