wavelength,Back_TanLabm,Belly_TanLabm,Breast_TanLabm,Crissum_TanLabm,Crown_TanLabm,DorTail_TanLabm,Patch10_TanLabm,Rump_TanLabm,Throat_TanLabm,WingTip_TanLabm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-41.3333333333,-81.3333333333,-61.3333333333,-21.3333333334,-74.6666666667,-72.0,-82.6666666667,-112.0,-118.666666667,-73.3333333333
179.16,133.333266667,135.151633333,100.0,115.151533333,92.7274,144.848333333,116.9698,135.757533333,164.242533333,122.727233333
179.54,13.3333333333,15.8333333332,-30.0,-48.3333333333,-36.6666666667,33.3333333333,-13.3333333334,53.3333333333,98.3333333333,-30.8333333333
179.93,99.1666666667,110.416666667,105.0,144.166666667,129.166666667,198.333333333,126.666666667,132.5,176.666666667,140.833333333
180.31,104.935066667,115.844233333,102.251133333,112.467533333,117.489133333,162.164466667,121.212133333,129.350533333,148.311666667,128.8745
180.69,108.859666667,121.4034,109.1228,122.456,127.806866667,176.228066667,129.8246,140.789466667,160.1754,136.534933333
181.07,115.714266667,122.381066667,114.920666667,130.793733333,132.380933333,179.047666667,132.222266667,145.793666667,163.571533333,140.714466667
181.45,114.252933333,120.3066,117.317866667,130.115,137.164666667,175.7088,133.103333333,145.670533333,160.689533334,138.927233333
181.83,128.0952,131.0885,127.346933333,139.183866667,148.299266667,184.693866667,145.986333333,151.156466667,166.530533333,150.271966667
182.21,133.470933334,135.257733333,130.721666667,138.969133333,152.577333333,184.1236,149.897,155.532666667,168.11,154.433
182.59,136.9176,138.0644,132.258133334,144.157666667,155.699066667,190.035866667,153.405,159.999933333,170.967666667,157.742066667
182.97,163.926866667,155.5252,156.1644,172.785333333,182.100333333,226.301333333,182.100466667,192.328866666,200.0,190.000033333
183.35,199.777666667,179.7222,182.889,207.889,213.111133333,266.444533333,216.222333333,224.111133333,236.333333333,222.1665
183.73,218.452466667,190.8333,201.071333333,221.428466667,239.4048,282.023866667,234.523866667,246.785666667,258.928533333,245.476166667
184.11,264.4926,241.1594,234.347933333,273.188533333,288.550733333,339.4202,283.913,306.811666667,313.623266667,289.0579
184.49,227.619066667,212.169233333,201.481666667,232.2752,243.9154,273.968333333,233.544733333,252.698333333,264.126933333,243.2276
184.87,251.975333333,232.9631,212.5926,254.321066667,265.679066666,294.938266667,259.012266666,272.962933333,283.209866667,268.3334
185.25,225.146133333,212.982633333,187.836266667,230.643266667,236.959133333,266.081933333,235.789466667,238.479533333,251.8128,240.3508
185.63,309.743533334,292.4788,252.307733333,330.0854,326.837666667,374.8718,337.264933333,342.735133333,350.085333333,347.948833333
186.01,399.012266667,379.135933333,336.543266667,461.2346,447.654333333,488.1482,451.358,470.3704,460.247,461.357933333
186.39,353.125,324.6875,298.125,415.208333333,385.0,427.916666667,399.166666667,409.375,408.541666667,392.708333333
186.77,525.079266667,470.158866667,423.809533333,646.031866667,549.841266667,626.9842,585.3968,610.1588,626.6666,572.857
187.15,295.5,265.083333333,246.833333333,362.666666667,312.333333333,339.833333333,331.666666667,348.5,354.0,314.166666667
187.53,373.333333333,341.333466667,324.888933333,475.333333333,400.666666667,428.222266667,429.333333333,451.5556,466.666466667,405.000033333
187.91,470.606133333,441.818266667,430.605933333,624.5454,514.545466667,555.757666667,573.636266667,590.303066667,611.515266667,520.606166667
188.29,470.0,441.6666,468.787933333,635.1516,529.999933333,546.363666667,583.030333333,602.121266667,616.363733333,527.575733333
188.67,589.019533334,543.921633333,604.705866667,814.509733333,659.607933333,697.647066667,749.4118,783.5294,774.117666667,669.2157
189.05,277.4604,254.682533333,298.888866667,374.126933333,302.222266666,320.3174,348.730133333,361.428466667,362.857266667,312.6189
189.43,247.361133333,215.1389,264.305666667,325.1388,266.9444,272.7778,304.166866667,327.222266667,313.055466667,276.597266667
189.81,177.708266667,151.145933333,193.750133333,240.312666667,193.541733333,187.9168,214.479266667,227.499933333,220.312533333,196.302233333
190.19,142.831,123.1964,155.981733333,197.351666667,152.0548,151.050266666,175.8904,188.5844,180.000066667,160.456633333
190.57,140.193266667,120.724566667,160.096666667,197.391333334,151.690866667,146.859866667,174.4928,190.628066667,173.623266667,161.1111
190.95,140.483066667,120.628033333,166.2802,189.4688,156.425133333,144.251266667,175.6522,189.178733333,169.661866667,165.8936
191.33,147.5706,128.870066667,179.887066667,207.5706,171.186533333,148.248666667,189.943466667,203.841666667,185.310733333,181.0735
191.71,115.789466667,98.0262333334,139.561533333,159.912266667,133.596533333,114.035066667,148.421066667,161.4912,137.017533334,141.096466667
192.09,115.142933333,92.9046666668,136.000133333,167.714333333,126.0952,111.047533333,146.285733333,162.476066667,135.4286,141.047666667
192.47,99.8289333333,75.3420333333,116.0684,143.248,106.495666667,93.6752,125.299133333,141.111066666,116.923,117.6496
192.85,101.904733333,72.5924333333,122.0106,153.7568,110.8994,91.2169333333,139.894133333,152.592666667,119.999866667,125.978766667
193.23,102.926933333,72.6015999999,138.8618,179.999933333,128.455333333,86.9919333333,155.121933333,184.065,132.357733333,148.861666667
193.61,93.7877333333,71.8938666667,134.091066667,164.242533333,119.090866667,78.7879333334,145.606,165.0,125.303066667,137.954533333
193.99,158.333333333,109.333333333,257.0,303.333333333,215.666666667,138.333333333,276.666666667,321.333333333,225.333333333,254.5
194.37,340.7408,166.296366667,558.518533333,614.074066666,445.925733334,226.666533333,551.111133334,657.777933333,464.444466667,535.1851
194.75,-743.333333334,-190.000000001,-1680.0,-2093.33333333,-1136.66666667,-253.333333333,-1600.0,-2236.66666667,-1333.33333333,-1591.66666667
195.13,149.333333333,-42.0,553.333333333,675.999999999,217.333333333,-84.0000000001,497.333333333,760.0,352.0,471.333333334
195.51,111.111133334,-365.555566667,839.999999999,817.777733333,142.2222,-331.111133333,626.666733334,1031.11113333,366.666666666,555.555533333
195.89,18.6666666667,317.333333333,-481.333333333,-369.333333334,-30.6666666669,368.0,-302.666666667,-448.0,-144.0,-294.666666667
196.27,32.7273333333,-103.030233333,232.727266667,143.6364,58.7879333332,-180.6062,95.1516,184.2424,52.1212,157.878633333
