wavelength,Back_DacCayf,Belly_DacCayf,Breast_DacCayf,Crissum_DacCayf,Crown_DacCayf,DorTail_DacCayf,Rump_DacCayf,Throat_DacCayf,WingTip_DacCayf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,300.0,110.0,196.666666667,280.0,306.666666667,76.6666666667,96.6666666668,196.666666667,326.666666667
179.16,141.666666667,83.3333333335,71.6666666667,115.0,165.0,46.6666666665,94.9999999999,153.333333333,173.333333333
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,520.0,296.666666667,280.0,340.0,383.333333334,250.0,266.666666667,356.666666667,360.0
180.31,183.404266667,116.8794,138.297866667,154.184333333,194.326266667,100.141866667,118.297866667,153.7588,180.283666667
180.69,196.5218,122.029066667,139.7102,162.8986,211.159466667,106.5216,119.710066667,166.521733333,192.029
181.07,209.777866667,142.3704,151.259133333,172.592666667,223.999933333,122.370333333,135.407466667,183.1112,202.666733333
181.45,241.5,161.166666667,166.666666667,196.833333333,253.0,137.666666667,148.5,203.5,223.5
181.83,212.533333334,149.2,149.2,177.6,214.666666667,124.133333333,136.4,184.666666667,196.666666667
182.21,168.5714,119.999933333,121.3758,143.386133333,171.322666667,106.243466667,115.873066667,149.947133333,157.036933333
182.59,181.242933333,123.050866667,127.0058,150.621533333,186.1016,117.740133333,123.050933333,161.356,161.242933333
182.97,195.641066667,126.923066667,131.1538,151.0256,196.0256,129.487133333,128.717933333,170.7692,165.1282
183.35,216.5,122.0,119.333333333,155.166666667,208.0,130.333333333,128.833333333,183.5,173.166666667
183.73,205.045066667,113.513533333,106.126133333,147.927933333,198.018,123.2432,121.4414,172.7928,162.522666667
184.11,242.7958,136.344,119.784933333,172.473266667,229.2472,146.236466667,150.752666667,208.172,183.870933333
184.49,205.833333333,119.833333333,110.333333333,141.0,177.833333333,116.0,124.833333333,176.5,153.5
184.87,219.4736,132.280866667,127.3684,150.1754,186.491333333,123.3334,139.122733333,184.0352,159.999933333
185.25,249.487133333,103.333533333,111.538466667,150.0002,200.512733333,110.5128,133.076866667,183.589733333,155.384533333
185.63,233.6,82.3999999999,112.266666667,142.933333333,182.4,106.933333333,125.6,169.6,149.333333333
186.01,177.777733333,70.4443333333,94.8888000001,110.4444,141.555533333,86.4443999999,101.555533333,134.666666667,110.666666667
186.39,223.939466667,108.787866667,143.333466667,140.000133333,190.303066667,96.3637333335,120.303133333,181.8182,139.090866667
186.77,146.0784,81.7648,103.529466667,89.2156666667,125.294133333,58.2353333333,81.1764666666,129.019733333,95.0980000001
187.15,121.414066667,61.8181333333,89.697,66.0606,103.6364,26.8686666667,56.5657333333,112.525266667,88.2826666667
187.53,97.1666666667,57.1666666666,82.9999999999,53.3333333333,92.8333333335,19.9999999999,46.6666666667,98.3333333332,72.1666666667
187.91,94.3055333333,63.3334666667,82.3611333333,58.3333999999,91.5277333335,32.2220666666,49.3055999999,100.972266667,72.3610666667
188.29,80.5030000001,60.7546666666,73.7107333333,52.4529333334,81.6352666665,31.5723333334,44.9056,93.2076000001,64.5284666668
188.67,74.0351333333,57.0174666666,71.5790000001,50.3507333334,92.4561999999,20.1754,36.4911333333,103.3334,52.2806666667
189.05,57.5757333333,42.7273333333,60.3030666667,37.8787333334,68.6364,10.3029999999,26.0606666667,89.5455333333,33.7877999999
189.43,69.9434666667,59.9999333333,77.1752666667,50.2824666666,77.8531333333,29.1526666667,42.9378666667,99.8868666665,51.1864666667
189.81,70.3705333333,65.4629333333,77.8703333333,48.4258000001,80.1851333334,37.3148666667,51.0186,98.8888666666,51.7592666667
190.19,78.0207333334,70.1039333333,88.2290666667,53.6457999999,92.1874000001,46.0416000001,59.5831333333,111.562333333,52.2915999999
190.57,76.5656,64.5454666667,83.1312666667,57.5756,92.9294666667,49.6970666667,57.7778666667,110.000066667,55.8585333332
190.95,76.4318,65.8215333333,80.3755999999,61.2206666666,92.9577333332,55.5868666666,57.3708666667,104.8824,55.0235999999
191.33,80.0001333333,75.8094666667,88.5714666666,70.9524666666,100.2856,64.3809999999,63.6189333333,113.523933333,55.4285333333
191.71,82.4730000001,78.2796666667,93.0106666667,76.6667333333,106.344066667,68.6021333334,65.9138666667,123.763333333,58.4945333333
192.09,80.5291333333,74.9206,92.6985333334,73.3333333334,98.9418,68.8890666665,67.6191333333,120.000066667,56.0846666666
192.47,79.5960666666,73.8383333333,98.0807333333,78.8889333334,97.7777333333,71.3131333334,68.1818,115.6564,55.1516
192.85,72.8985333333,69.9274,86.5217333335,72.3187999999,84.9999333334,69.7827333334,63.1158666667,98.4783999999,56.4492
193.23,67.1896666667,65.7516,83.5948666666,69.8693333333,83.6601999999,68.2352000001,61.6994,91.438,55.8168
193.61,66.3664,65.7057333333,82.8828666667,72.9127999999,82.1621333333,69.9700000001,63.4834666666,88.6486666667,57.5374
193.99,63.3044,65.3334,80.8697333333,74.9565333334,79.6522000001,68.9854666667,64.3478666667,88.5797333333,57.6810666667
194.37,60.5127333333,64.2949333333,77.9486666667,72.7563333334,76.8590666666,64.423,61.4102,89.7435999999,56.923
194.75,55.4166666667,58.1547333334,70.238,63.0358000001,70.7737333333,55.5356666667,55.1191333333,79.4047333333,49.8214
195.13,45.178,47.2492,62.6538,52.1036,62.6538666667,41.4886666666,47.9610666667,70.1618666667,39.8704666667
195.51,46.2627333333,46.128,64.2423333333,50.5723333334,63.6364666667,43.0301333334,50.1010666667,69.2929333333,39.7306
195.89,44.2805333333,45.6842,67.0877333333,49.8947999999,62.5263333333,42.8772666667,49.4737333333,65.9650666667,35.6490666667
196.27,33.409,36.9697333333,62.0454666667,42.0456000001,58.7122,33.7877999999,42.0454666667,61.0605333333,25.6061333333
196.65,24.2063333333,26.7461333333,50.3968,31.2698666666,50.238,24.6031999999,33.5714,53.4127333333,18.4126
197.03,10.6468666667,10.2487333333,45.7711333333,19.3035333334,39.9004666667,8.45766666662,30.7462,45.6716,2.48746666667
197.40,-0.584733333326,1.63740000002,43.041,12.5145999999,32.7484666667,-1.28653333348,23.3917333334,43.3916,-15.9065333333
197.78,-33.8738,-24.1441333333,35.8558,-18.919,21.9819999999,-37.6576666669,5.04513333326,41.6216666667,-58.9187333333
198.16,-47.8632666667,-31.111,27.8632666667,-34.0169333334,17.2650000001,-51.1111333332,-14.53,26.8375333334,-73.5043333333
198.54,-32.0754,-21.0062666667,27.2956,-21.3836666667,16.6039333334,-37.9873999999,-7.4214,21.1320666667,-50.9435333333
198.92,-57.6666666666,-42.9999999999,23.6666666667,-41.8333333333,0.666666666607,-59.1666666666,-15.1666666666,19.1666666667,-86.0000000001
199.30,-50.3031333334,-28.8888000001,55.9596666666,-20.4040666667,13.1314000001,-31.5151333335,17.7778666667,59.5959999999,-74.7474000001
199.68,-24.9275333333,-8.4058,50.0,-0.14486666668,21.7392,-15.0724,32.6087333333,61.7392000001,-37.2464
200.06,14.6846666667,24.5045333333,57.4775333333,28.919,45.1351333333,20.4503333333,52.4325333334,67.7477333334,8.91873333333
200.44,23.1530666667,35.3154,63.5134666667,38.1081333333,51.3514000001,30.5405333333,59.4595333333,74.4144666667,12.8831333333
200.82,16.5367333333,29.0909333333,61.3853333333,31.8614666666,45.8876000001,25.368,55.3245999999,71.5151333333,4.58859999999
201.19,13.5186,29.3518666667,68.4259333333,33.7036,46.852,27.3148,55.6480666667,72.9629999999,0.925733333326
201.57,22.7777333333,36.8519333333,73.1481333334,40.0,54.0741333333,36.2036666666,62.4074666667,79.3518666667,13.3332
201.95,11.8876666667,29.0762666667,56.0643333333,32.1286,38.9557333333,32.2890666666,51.0040666666,62.5702666667,7.55019999998
202.33,-2.88886666666,18.7777333333,57.1111333333,26.1111333333,23.2223333333,26.2222666667,53.6667999999,59.5554666667,-10.0000666667
202.71,2.15053333333,22.6881333333,62.9031333333,32.0429333333,28.7097333334,34.7312,56.6666666667,60.43,-6.34406666666
203.09,9.35319999999,29.9502666667,65.4726,42.3880666667,30.3482666667,40.5970000001,54.8259333333,62.3882000001,1.49260000001
203.47,13.2367333333,35.0724,67.2465333333,44.9276,37.8744000001,40.0967333333,48.1160000001,61.6425333333,0.386333333346
203.85,15.0666666666,49.6,100.0,66.4,54.1333333333,61.0666666667,58.3999999999,81.0666666667,-2.26666666666
204.22,-38.2221333333,37.3333333333,120.222266666,60.8888666666,38.6665999999,44.2222000001,38.6666666665,91.1111333333,-61.1112
204.60,-13.6751999999,35.0427333333,100.341866667,58.9743999999,42.3931333333,41.8803333333,40.3419333333,78.4615333335,-24.6154666667
204.98,-4.38080000012,48.1904666667,118.095266667,79.0476,52.9524000001,56.7618666666,44.1904666667,83.4285333333,-10.6667333333
205.36,15.4471333333,63.0894666667,117.0732,86.3415333333,68.6178666666,67.3172000001,53.1707333334,91.7071999999,21.1382666667
205.74,3.70373333334,51.5555333333,98.8146666667,68.8889333333,55.9999333333,53.7777333333,43.7036666667,77.0369999999,16.5925333333
206.12,13.0302666667,60.9091333333,111.818133333,78.0304000001,60.1516666667,62.4242,52.2728666667,84.8486000001,23.4848
206.50,13.1972,50.8845333334,97.2789333333,62.0408,50.2039999999,50.3401333333,42.9934000001,75.7824,21.0884666667
206.87,6.09533333341,49.5237999999,106.8572,65.1428666666,44.9523999999,50.6666666665,37.3334666666,82.4762666667,4.95240000007
207.25,-15.4666666668,46.6666666667,131.733333333,59.4666666667,48.0000000001,50.9333333333,41.3333333335,88.5333333333,-8.2666666666
207.63,-71.2281999999,-4.91239999994,128.771866667,49.1227999999,10.5263333333,28.7719333333,18.9473999999,60.0000666668,-71.5788000001
208.01,-86.9048000001,-55.4762666667,31.9047333333,-16.4286,-42.1428666666,-33.3334,-23.8094666666,-5.71440000008,-101.6666
208.39,-118.888933333,-108.333333333,5.27780000002,-46.1110666666,-90.8333333336,-75.2777999999,-52.4999333333,-40.2778666667,-153.333466667
208.77,1275.0,1131.66666667,381.666666667,749.999999999,1103.33333333,996.666666668,866.666666666,786.666666668,1473.33333334
209.14,1003.3332,901.111066666,412.2222,652.222199999,846.666599999,830.000066666,741.111133333,695.5556,1160.0
209.52,643.333333334,594.999866666,363.333266667,492.222133333,588.888933333,569.4444,521.666666667,503.888933333,743.333199999
209.90,495.2942,467.058866667,291.764666667,376.8628,469.019733334,444.313666667,411.764666667,410.196066667,570.588333333
