wavelength,Back_DacFlam,Belly_DacFlam,Breast_DacFlam,Crissum_DacFlam,Crown_DacFlam,DorTail_DacFlam,Patch10_DacFlam,Rump_DacFlam,Throat_DacFlam,WingTip_DacFlam
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,138.7878,160.0,144.848466667,152.1212,130.302933333,117.575733333,178.1818,171.515133333,155.1516,141.212066667
179.16,67.4999333334,70.2778,66.6667333333,65.5556666667,86.3889333333,71.9443999999,89.1665999999,73.0554666667,76.3888,70.8332666667
179.54,-39.9999999999,-156.666666667,-163.333333333,-125.0,-83.3333333333,-26.6666666665,-210.0,-211.666666667,-71.6666666666,-198.333333333
179.93,62.6666,56.0000000001,76.4444000001,43.5556,69.3333333333,67.5556666667,76.8888666666,72.889,80.0000666667,58.2222
180.31,83.0215333333,92.6138000001,89.1606000001,86.0431333333,94.2446666667,74.8202,114.1008,105.227733333,93.6210666667,94.7721333334
180.69,83.9598,96.4409999999,93.3832666667,86.4159999999,98.6466666667,73.6339999999,117.594,109.2732,95.6892,99.0977333334
181.07,82.9031333333,93.7634666667,92.8495333334,83.1183333333,98.1183333334,71.4516,117.043,108.602133333,92.2043999999,101.290333333
181.45,89.7531333335,104.197466667,102.777866667,87.7161333332,103.1482,73.6419333334,128.3334,119.197533333,100.802466667,107.654466667
181.83,83.1111999999,95.4073333334,93.6791333333,81.8764,92.6913333333,68.1974666667,112.592533333,107.605,94.3210666668,97.6788666666
182.21,90.7810666667,105.624933333,100.4166,94.0104666666,102.7082,73.9063333333,122.031266667,118.5416,102.7082,106.562466667
182.59,94.7272666665,109.212133333,108.363666667,99.0907999999,106.363666667,73.4545333334,128.727266667,124.666533333,106.666666667,115.3334
182.97,102.5098,123.372466667,123.215733333,107.0588,120.627533333,81.6469999999,146.274533333,139.2158,116.3922,131.058866667
