wavelength,Back_SicLucm,Belly_SicLucm,Breast_SicLucm,Crissum_SicLucm,Crown_SicLucm,DorTail_SicLucm,Patch10_SicLucm,Patch11_SicLucm,Rump_SicLucm,Throat_SicLucm,WingTip_SicLucm
186.39,4673.3332,4724.44426667,4775.55553333,4261.30716078,4040.00006667,4671.1112,4728.88886667,4351.11093333,4099.99986667,4231.11113333,5006.66666667
186.77,-697.7778,-697.037,-737.037133333,-612.091470588,-600.740833333,-711.481466667,-734.814866667,-636.666866667,-607.407533333,-646.296266667,-771.851800001
187.15,-285.166666667,-270.333333333,-302.333333333,-235.205882353,-238.25,-287.166666667,-303.666666667,-251.0,-235.833333333,-260.666666667,-317.0
187.53,-210.666666666,-199.066666667,-219.333333333,-169.607843137,-165.2,-211.333333333,-218.933333333,-176.933333333,-163.733333333,-195.866666667,-240.666666667
187.91,-332.432333333,-306.306266667,-326.666666667,-255.56965098,-266.306333333,-314.4144,-331.351266667,-275.855933333,-247.747733333,-310.9912,-363.783866667
188.29,-272.029066667,-251.594133333,-259.4204,-200.75867451,-218.333433333,-252.173933333,-271.7392,-227.101533333,-199.5652,-259.130333333,-295.0724
188.67,-298.2946,-280.310133333,-273.953466667,-225.727211765,-246.3565,-278.9148,-297.209466667,-253.023133333,-230.2324,-294.108466667,-323.876066667
189.05,-246.535933333,-238.300733333,-220.915066667,-180.215298039,-198.6274,-222.745133333,-246.666733333,-203.398666667,-189.542466667,-237.6472,-264.967466667
189.43,-216.4516,-205.698933333,-198.9248,-156.723662745,-176.1828,-188.8172,-214.838666667,-172.9032,-165.053733333,-202.258266667,-224.1936
189.81,-260.113,-244.5198,-237.514066667,-192.469270588,-217.796566667,-224.293733333,-255.706133333,-213.672266667,-202.485866667,-247.570533333,-267.118666667
190.19,-184.017133333,-172.564133333,-160.0,-136.078501961,-152.393133333,-158.461533333,-182.991533333,-149.2308,-145.384533333,-173.2478,-193.675266667
190.57,-290.987533333,-272.2222,-253.456666667,-226.768243137,-247.0988,-255.0618,-287.283866667,-235.308666667,-239.1358,-271.357933333,-306.913533334
190.95,-273.684266667,-248.0702,-229.0056,-212.294427451,-232.163633333,-233.450333333,-261.871266667,-219.882866667,-222.222133333,-245.730866667,-282.105266667
191.33,-271.9774,-246.101666667,-227.118533333,-221.51547451,-238.587566667,-236.1582,-253.446333333,-222.824933333,-220.0,-245.084866667,-283.728733333
191.71,-350.5556,-317.500066667,-290.000066667,-285.73532549,-318.055533333,-301.944533333,-326.8056,-292.500066667,-288.75,-316.944466667,-358.611066667
192.09,-285.848,-257.427,-238.5966,-235.906439216,-262.807033333,-248.772,-265.263133333,-232.8656,-240.467866667,-256.374266666,-292.280666667
192.47,-316.209066667,-275.817,-257.516533333,-255.847705882,-288.366033333,-275.0326,-284.183066667,-249.2812,-265.751666667,-276.078333333,-321.6994
192.85,-277.283933334,-238.765466667,-223.4568,-217.102301961,-248.827266667,-237.777666667,-248.271466667,-211.975333333,-226.296333333,-235.185266667,-286.913466666
193.23,-268.333266667,-226.904666667,-217.857133333,-219.677811765,-243.690433333,-232.1428,-239.999866667,-214.642733333,-221.3094,-233.690533334,-283.9286
193.61,-215.3126,-183.854333333,-168.646,-180.557564706,-192.604133333,-187.500133333,-194.6876,-174.895666667,-178.645733333,-189.270866667,-233.5414
193.99,-288.115933333,-238.116133333,-226.521733333,-248.064811765,-260.144933333,-255.797266666,-256.231933333,-235.797133333,-245.362466667,-260.0,-314.058133333
194.37,-558.666666667,-460.8,-465.6,-483.043137255,-507.733333333,-484.533333333,-488.533333333,-450.933333333,-484.0,-530.666666667,-604.266666667
194.75,-587.7778,-479.999933333,-489.1668,-491.944505882,-521.944366667,-484.166666667,-494.7222,-471.9444,-497.222333333,-548.055466667,-619.444466667
195.13,-883.333333333,-731.666666667,-748.333333333,-720.294117647,-762.916666667,-689.166666667,-722.083333333,-677.5,-730.416666667,-820.416666666,-906.666666667
195.51,-2709.33333333,-2276.0,-2342.66666667,-2129.56862745,-2280.66666667,-2084.0,-2162.66666667,-2018.66666667,-2222.66666667,-2496.0,-2684.0
195.89,13173.3333333,11220.0,11946.6666667,10401.1764706,11110.0,10320.0,10660.0,9753.33333333,10886.6666667,12413.3333333,13066.6666667
196.27,3161.66666667,2765.0,2916.66666667,2477.74509804,2751.66666667,2513.33333333,2635.0,2390.0,2650.0,3118.33333333,3223.33333333
196.65,-6113.33333333,-5176.66666667,-5646.66666667,-4648.43137255,-5405.0,-4696.66666667,-4990.0,-4580.0,-4950.0,-6093.33333333,-6193.33333333
197.03,-6240.0,-5160.0,-5600.0,-4610.0,-5558.33333333,-4673.33333333,-4886.66666667,-4573.33333333,-4933.33333333,-6013.33333333,-6073.33333334
197.40,2484.0,2133.33333333,2184.0,1783.1372549,2265.33333333,1938.66666667,1976.0,1697.33333333,1961.33333333,2456.0,2328.0
197.78,1272.66666667,1111.33333333,1122.0,880.509803922,1142.0,955.333333335,1008.66666667,818.666666667,991.333333333,1241.33333333,1157.33333333
198.16,846.666666668,779.583333334,749.166666667,603.921568627,774.791666667,657.916666667,704.166666667,567.083333333,687.5,826.666666667,774.166666667
198.54,591.818266667,559.091,537.575933333,438.82352549,564.393933334,473.333266667,514.545533333,403.333466667,486.666733333,573.030333333,546.3636
198.92,386.481533333,368.333466667,359.4444,309.248360784,384.074066667,322.4074,350.5556,282.7778,330.185266667,388.333266667,363.703733333
199.30,332.333333333,324.333333333,310.166666667,273.490196079,341.916666667,294.333333333,311.833333333,265.5,293.333333333,348.666666667,316.333333333
199.68,321.428666667,312.539666667,285.396866667,260.242635294,334.761966667,288.254,305.555466667,259.999866667,290.158733333,334.126933334,309.523866667
200.06,299.007,289.645333334,257.446866667,232.690921569,302.340266667,258.723333333,273.475066667,242.269466667,263.687866667,301.9858,285.5318
200.44,242.3808,231.6666,193.9286,184.439780392,235.238033334,203.690333333,214.047733333,191.666866667,211.190466667,242.261866667,221.4286
200.82,195.4054,189.819933333,160.360466667,154.636972549,185.8108,167.5676,181.261266667,164.504533333,179.729733333,194.954933333,180.360333333
201.19,172.0482,170.3614,135.983733333,138.138384314,163.0121,145.220866667,157.9118,145.702733333,160.240933333,172.851466667,157.349333333
201.57,165.416666667,158.083333333,128.0,130.676470588,155.125,136.083333333,145.583333333,146.666666667,154.75,162.333333333,150.0
201.95,147.803066667,140.909133333,109.318266667,124.108698039,144.7349,124.015133334,129.5454,136.439466667,141.212133333,148.333533333,137.045466667
202.33,135.909133333,126.9696,97.0455333333,112.42867451,135.5304,109.318266667,115.9092,127.878933333,130.984733333,134.7728,123.712066667
202.71,139.166666667,125.7576,93.1061333333,110.837768628,133.863666667,109.393933334,109.7726,128.5606,133.863666667,135.757533333,123.3334
203.09,168.042266667,152.5926,98.7300666666,116.290066667,159.523933333,125.925866667,124.973466667,151.217066667,159.047666667,161.798933333,142.010466667
203.47,167.263666666,151.442733333,103.482533333,119.918019608,160.0001,127.9602,126.368066667,145.9702,162.587133333,162.189066667,143.681533334
203.85,152.995733333,140.759466667,104.303666667,115.765686275,144.430333333,120.675,119.493733333,133.164533333,151.139133333,149.9578,130.7174
204.22,171.354133333,157.604066667,111.979133333,139.730290196,167.604,138.958333333,135.624933333,146.6666,176.249866667,169.479133333,145.521
204.60,175.8208,159.203866667,125.7712,148.416729412,178.208933333,148.656666667,139.303533333,153.631666667,182.388066667,168.2586,149.751133333
204.98,194.888866667,176.888666667,140.000066667,167.960847059,206.6666,164.666666667,148.555666667,165.111066667,202.0,186.666666667,160.888933333
205.36,187.5758,167.8788,147.676733333,164.313729412,202.626266667,162.727333333,149.595933333,164.545333333,193.838266667,182.121133333,154.040466667
205.74,180.966,167.826,138.6474,160.034101961,194.540966667,154.009533333,146.57,149.7584,183.574933333,170.821066667,145.217533333
206.12,222.181733333,205.696933333,174.666666667,188.784368627,240.363666667,191.6364,178.787866667,183.878733333,227.1516,207.030266667,176.484866667
206.50,258.116,246.666666667,210.144933333,226.905419608,287.681266667,232.4638,207.971066667,210.869533333,267.101466667,243.768133333,203.768066667
206.87,321.523733333,306.666733333,275.047466667,281.52372549,355.8095,290.4762,269.142733333,250.095266667,331.238066667,304.761933333,246.857066667
207.25,233.1944,218.1946,205.2778,213.962384314,253.6805,215.277866666,198.0556,178.611,245.416733333,223.1946,177.916733333
207.63,200.344933333,187.471266667,175.7472,182.515247059,212.643766667,179.080333333,171.724133333,151.379133333,205.861866667,187.471266667,150.2298
208.01,208.366133333,193.4638,186.797333333,187.843141176,228.0392,180.3922,181.960733333,159.869266667,216.4706,200.784266667,152.549066667
208.39,189.398866667,170.600933333,169.2896,163.040713726,201.0383,161.857933333,162.9508,149.9452,194.2076,183.715866667,135.847066667
208.77,211.2056,190.354733333,189.645466667,182.49487451,228.439733333,170.070933333,182.5532,166.382866667,224.2554,208.6524,144.2554
209.14,161.0526,149.8246,146.3158,141.321003921,178.538,130.8772,140.2338,129.4738,175.672533333,159.181266667,110.409333333
209.52,148.2718,142.222266667,131.234333333,127.073313726,159.938166667,117.284,126.5432,111.481333333,164.568066667,145.925933333,100.1234
209.90,147.757533333,129.696933333,140.000133333,124.577486274,158.0606,113.697133333,124.0,111.393733333,161.2122,147.7574,103.2728
210.28,108.285666667,87.0476666667,98.3812,85.7758745099,112.809433333,76.8571333333,83.8095333333,77.7143333333,115.809533334,104.000066667,68.0952666667
210.66,97.2839333333,66.3375333333,80.9874666667,72.2198235294,92.3868666666,63.21,71.2756666667,68.7242000001,97.3663333334,87.3251333334,56.5430666667
211.03,84.6825333333,57.4602666667,60.7936666667,61.9793921568,83.7300666667,53.4920666667,58.1746666667,66.5079333333,88.8095333333,74.6031333333,45.9524666667
211.41,99.5479333333,59.661,53.2203333333,66.1682235294,99.2656666668,52.5422666667,61.3558,71.9775333333,103.050866667,79.6610666667,38.7569333333
211.79,118.604666667,57.6744,42.4806666666,71.0625764705,113.333266667,54.8836666667,55.3490000001,81.8604,125.116266667,79.2247333333,32.2481333333
212.17,113.5136,43.2431333333,25.9459333334,60.8477882354,105.315233333,39.0992666667,31.1712000001,69.3694666667,118.558533333,52.2523333334,10.2704
212.55,83.158,18.7719333333,8.94726666668,47.5953372549,85.4385333334,19.6491333333,14.0352,44.9123333334,92.4561333333,24.3858666667,-6.14040000001
212.92,85.4701333333,21.3676,13.6753333333,46.4353490195,86.5812999999,30.2564666666,18.4615333333,51.1112,91.9657333334,29.5727333334,-1.70946666666
213.30,143.7682,10.1450666667,26.9566666667,66.7518784314,141.7392,37.1015333333,20.8696000001,72.4637999999,156.231933333,39.1303333335,-15.6522666666
213.68,490.4762,-43.8094,122.857133333,193.277290196,481.904766667,144.7618,57.1428666666,226.6666,529.523733333,126.6666,-108.5714
214.06,282.2222,60.0000666666,125.777866667,157.699368627,312.444433333,136.444466667,98.6667333332,198.666733333,328.444533333,116.444533333,-14.6666666666
214.44,-316.9696,-38.1816666666,-132.727133333,-167.878913725,-354.8484,-120.606066667,-102.424333333,-212.1212,-409.091066667,-111.515266667,85.4546
214.81,-55.6989333334,26.6668666667,3.87073333327,-6.80577254893,-76.7741333334,6.88173333326,7.74186666666,-19.57,-96.3441333333,4.94619999998,66.4516666668
215.19,-68.7356666667,25.0574666667,-16.5515999999,-31.0615019609,-95.8619666667,-10.8046000001,-3.44820000006,-26.8964666667,-114.252866667,-0.45973333346,52.1838666667
215.57,-175.714266667,-3.33319999994,-122.3808,-107.310831373,-245.238,-78.5713999999,-52.8571333332,-116.666733333,-291.428533333,-57.1428666666,40.0000666667
215.95,-678.333333333,-130.0,-593.333333333,-480.882352941,-968.333333333,-361.666666667,-381.666666667,-510.000000001,-1088.33333333,-308.333333334,98.3333333333
216.32,2553.33333333,493.333333333,2313.33333333,1943.52941176,3873.33333333,1606.66666667,1713.33333333,1840.0,4686.66666667,1133.33333333,-153.333333333
216.70,304.166666667,45.8333333333,225.833333333,161.960784314,450.833333333,160.0,180.0,230.0,585.833333333,69.1666666666,-80.0000000001
217.08,146.333333333,65.3333333334,110.333333333,76.5686274511,204.666666667,90.3333333334,104.333333333,107.666666667,254.0,40.0000000001,-31.3333333333
217.46,96.6666666667,52.5641333335,68.7178666667,47.8129333335,137.051266667,62.8204000001,79.2308000001,66.9230666667,164.358933333,7.94873333327,-35.1282666668
217.83,63.0554,43.611,47.2223333333,49.0032431373,83.9584333333,45.1389333333,60.9722,46.3889333334,101.25,12.5,-1.94446666666
218.21,38.5713333333,16.0318000001,16.9841333334,28.0578901961,54.2064333333,17.3015333333,41.7460666667,15.3969333333,84.4445333333,-18.4126666666,-30.6348666667
218.59,27.6837333333,14.2372666667,9.26559999999,19.9467686275,42.7684,17.175,31.0734666667,16.6102666667,58.6441999999,-17.4011333334,-24.7457333333
218.97,27.5308666667,14.5678,7.77773333333,16.3326078431,43.0247333333,15.3086,28.1482,20.2469333333,58.6418666666,-25.8025999999,-30.3703333333
219.34,50.2856000001,27.6190666667,13.9047999999,14.4985137256,68.4761333333,19.4287333334,57.7143333333,42.2858,86.8571999999,-36.3808666667,-51.8095333333
219.72,56.0782666666,19.4118666666,4.90193333328,12.0990470588,67.8430333333,18.2352666667,53.1372666667,51.3726666667,89.8038666666,-45.8824,-61.3725333333
220.10,61.1111333334,-18.8888000001,-86.1110666667,-59.444352941,119.1667,-0.55553333332,58.3333999999,35.0000666667,151.111133333,-190.5556,-247.777733333
220.47,556.666666666,229.999999999,-526.666666667,-181.372549019,926.666666668,250.0,456.666666667,450.0,1010.0,-843.333333333,-1176.66666667
220.85,-91.4285333335,-71.9047333334,15.7142,-15.602172549,-154.762,-65.7141333334,-74.7619999999,-80.0000666667,-152.857133333,48.5714666667,133.809533333
221.23,-59.2981999999,-34.0352,4.56133333326,-17.7089607844,-98.9472000001,-57.1929333333,-43.8595999999,-47.7191333333,-100.701666667,42.4561333333,102.456133333
221.61,-47.8432666666,-43.9215333333,-10.196,-27.7508235294,-105.490133333,-64.7059333333,-32.9411999999,-57.2548666666,-126.274466667,28.6273999999,130.5882
221.98,19.3162666667,7.0086,20.6838666667,19.8691372549,-16.7521,2.90606666665,20.6835333333,-5.12826666666,-23.5898,44.4444,88.0342000001
222.36,-15.2137333333,-38.9743333334,-16.2393333333,-7.9939372549,-61.0257,-38.8034000001,-9.57259999999,-51.4531333333,-54.3589333334,7.86313333327,54.8718666667
222.74,-1.24300000001,-20.452,-6.1018,7.88978431372,-35.9323,-15.7061333333,2.48586666667,-28.7006,-23.9548,18.0791333333,44.7458666667
223.11,5.99026666666,-16.1354,-6.47346666666,11.7929568628,-25.5072,-8.69566666667,8.40566666668,-23.8648,-14.6860666667,22.7052666667,46.7632000001
223.49,11.579,-20.0002,-8.889,18.6170941176,-26.2572666667,-10.5263333333,16.6080666667,-23.7427333333,-9.12273333332,29.4736000001,59.1812666667
223.87,13.4568666667,-34.3208666667,-22.8396666667,8.82353333334,-40.4938333333,-25.5555333333,2.46926666665,-32.9629333333,-11.7284666667,22.8394666667,49.3826
224.24,-10.6668,-78.0952666665,-65.7142666667,-19.0028627452,-90.8571666666,-63.8096,-25.7142666667,-93.3334,-44.1905333334,7.99986666667,45.1427333333
224.62,-22.1333333333,-99.2000000002,-106.666666667,-29.505882353,-138.0,-90.1333333333,-42.9333333333,-156.8,-69.8666666667,-3.73333333332,68.2666666668
225.00,-41.1111333333,-116.388933333,-121.944466667,-43.3496078432,-153.333433333,-113.888933333,-66.3888666665,-191.388866667,-76.9444666668,-1.38879999994,50.2779333334
225.38,-28.1666666667,-72.1666666667,-68.6666666666,-28.294117647,-98.5833333332,-65.0,-45.6666666667,-123.5,-46.0,-1.50000000006,19.6666666667
225.75,-24.9182,-48.4152,-43.7156666667,-18.2642196078,-65.9016000001,-41.7486666667,-36.7212666666,-81.0930666667,-24.6996,-1.09279999999,12.5683333333
226.13,-72.3404000001,-96.1699333333,-95.1772666668,-56.6039607844,-116.8795,-89.5035999999,-81.2764666667,-132.4822,-59.149,-40.7092666667,-16.3120666666
226.51,-69.3054666667,-87.2223999999,-85.5554666668,-53.2434196078,-101.180566667,-92.5000000001,-81.1112666667,-120.972333333,-51.8055333333,-34.7222666667,-15.8331333333
226.88,-120.6838,-143.7608,-142.222466667,-113.122039216,-159.059766667,-153.6752,-132.136666667,-178.632533333,-95.2137333333,-91.9658666667,-59.4871333333
227.26,-128.794333333,-147.234066667,-150.780066667,-130.838580392,-165.319133333,-159.290733333,-143.120666667,-164.113466667,-107.375933333,-109.928866667,-74.6099333333
227.64,-96.8159333333,-110.2488,-111.6418,-101.498145098,-119.9006,-111.144266667,-103.2836,-115.124466667,-78.2090000001,-83.0845333334,-57.3134666667
228.01,-85.3174000001,-94.6823333333,-93.4127333332,-85.672290196,-99.7619,-87.8572666667,-85.1587333333,-95.3173333333,-66.5872666666,-71.9841333333,-49.9999333333
228.39,-68.631,-75.2380666667,-76.1905333333,-66.5686,-76.7262666667,-69.7023333333,-68.3928,-75.8928666667,-53.2142,-56.9047999999,-41.4880666667
228.76,-61.7678,-67.7778666667,-65.9089333333,-57.9798117647,-67.1969666667,-62.8283333333,-62.7272666667,-66.1616,-43.0302666667,-49.5454666667,-38.6363333333
229.14,-53.3772,-60.0878,-52.0174,-48.0547490196,-58.5526,-52.5877333333,-54.2104666667,-55.3946666667,-37.5,-41.3597333333,-31.4035333333
229.52,-46.0202666667,-53.7776666667,-46.5455333333,-39.1300509804,-51.1515333334,-45.9798,-49.0504666666,-46.4646666667,-31.2324,-35.4342666667,-25.9394
229.89,-47.9503333333,-57.5568666667,-47.7433333333,-40.406745098,-53.2711666667,-49.6066666667,-52.0910666667,-48.8199333333,-32.588,-38.4679333333,-30.4762666667
230.27,-36.0482,-43.6769333333,-32.7492,-29.0984980392,-39.3127,-37.8352,-38.9002666667,-35.9451333333,-21.6492666667,-26.9760666667,-21.0996
230.65,-30.9148666667,-38.5736666667,-30.2946666667,-25.3424235294,-35.4573666667,-31.2868666667,-34.1396,-31.6898,-17.8914,-23.9691333333,-19.0077333333
231.02,-30.3999333333,-38.074,-31.3776666667,-25.8910196078,-35.8516333333,-32.9482,-35.3778,-32.5926,-19.3185333333,-23.5554666667,-20.3259333333
231.40,-32.2761333333,-39.9708,-33.1863333333,-28.2784431373,-37.7092666667,-34.8018,-38.5022666667,-35.7710666667,-20.3526,-25.8737333333,-23.5829333333
231.78,-37.0714666666,-44.673,-39.0344,-33.1794392157,-43.8473666667,-41.5576666667,-45.6072666667,-43.7695333333,-25.3894,-29.9376666667,-28.1309333334
232.15,-35.1734666667,-41.2066,-37.8580666667,-30.2760509804,-40.6184666667,-40.3016666667,-44.4343333333,-42.0814666667,-22.5943333333,-28.1146666667,-26.5761333333
232.53,-38.9206,-44.8572,-41.9048,-34.903854902,-45.2857,-43.3968,-48.6984,-45.8731333333,-25.0159333333,-31.2698,-29.7142
232.90,-38.691,-42.9528666667,-42.1917333333,-35.6576627451,-43.7291,-41.1264,-46.758,-43.7138,-26.0578666667,-31.1416,-28.5541333334
233.28,-37.8070666667,-41.3742666666,-43.8012,-36.5842156863,-42.8364,-41.8714,-47.9532,-43.2163333333,-25.6433333333,-31.7834666667,-29.9706666667
233.66,-37.2051333333,-39.8253333333,-45.0945333333,-39.1181098039,-42.4163333333,-43.4061333333,-48.4715333334,-43.6972666667,-25.3857333333,-33.5371333333,-31.7030666667
234.03,-33.6231333333,-36.2846,-43.8999333333,-37.447145098,-39.921,-40.4478666667,-44.4268,-41.423,-24.3742666667,-30.672,-29.8813333333
234.41,-35.5466666667,-39.5733333333,-47.7866666667,-40.4784313725,-44.0533333333,-43.2,-48.4,-45.36,-28.4,-32.8,-34.08
234.78,-35.9056,-39.2649333333,-47.4541333333,-41.1500901961,-43.9501333333,-44.3830666667,-48.8714666667,-45.958,-29.6587333333,-32.6771333333,-34.5144
235.16,-34.6766,-36.6418666667,-43.9800666667,-38.8630784314,-40.6342333334,-40.5224,-46.4924666667,-42.2388,-27.5871333333,-31.7661333333,-33.607
235.54,-30.6326,-31.6786666667,-38.9536666667,-32.9268784314,-35.9490333333,-34.7203333333,-42.0194666667,-38.9052,-22.7008666667,-26.6666666667,-29.3919333334
235.91,-27.5143333334,-28.4307333333,-34.5015333333,-29.463027451,-32.4169666666,-30.5154,-36.9988666667,-35.1889333333,-20.1146,-24.2381333333,-27.2622666667
236.29,-28.8062666667,-30.0449333333,-36.1712,-31.5142745098,-34.2455,-31.5767333333,-37.5225333333,-36.4866666667,-22.8153333333,-25.7431333333,-29.3919333333
236.66,-25.3201333333,-27.7704666666,-34.8785333333,-28.7327294118,-32.0420666667,-29.8896666667,-35.3642,-34.5034,-21.6998,-23.8852,-27.4834
237.04,-21.5054,-26.9463333334,-32.4516,-26.5527647059,-29.9354333333,-28.4300666667,-33.2044,-31.3764,-19.4623333333,-21.8495333334,-25.0968
237.41,-14.7732666667,-20.8088,-26.7652,-20.9201098039,-23.5701,-21.2820666667,-25.3453333333,-23.7279333333,-14.2801333333,-16.6469333333,-18.8361333333
237.79,-16.6005333333,-21.9641333333,-26.8744,-20.8809372549,-24.0982333333,-20.5855333333,-25.1368666667,-24.7025333333,-14.5420666667,-16.8838,-18.6213333333
238.17,-17.7652,-23.4280666667,-27.5946666667,-21.690054902,-23.7974,-21.875,-25.9280666667,-25.6438,-15.1515333333,-18.3332,-19.0341333333
238.54,-20.1666,-25.7037333333,-29.5927333333,-23.8584627451,-25.7035666667,-24.0556,-27.2407333333,-27.8702,-16.7593333333,-21.1851333333,-21.2779333333
238.92,-18.6524666667,-24.2022,-27.6773333333,-22.2747686275,-24.2908,-21.8794,-24.7518,-26.5602,-15.3723333334,-19.8758,-19.0248666667
239.29,-16.6580666667,-23.1704,-27.0263333333,-21.7854196078,-22.9649,-20.0856666667,-23.0849333333,-25.7411333333,-14.79,-19.2459333333,-17.9777333333
239.67,-17.9704,-24.2310666667,-26.9008,-23.180372549,-23.8409333333,-21.5456666667,-22.9508,-25.5425333333,-16.7213333333,-21.1866,-18.8758666667
240.04,-13.5374666667,-19.2925333333,-22.4082,-18.7650627451,-19.0272333333,-17.2790666667,-18.0408,-20.2857333333,-12.7756,-16.9524666667,-13.9318666667
240.42,-10.8169333333,-16.2075333333,-18.8791333333,-16.0202823529,-15.8974666667,-13.9535333333,-15.1461333333,-16.601,-9.81513333333,-14.5022,-10.6498666667
240.79,-10.7384,-15.1896666667,-17.4666666667,-15.1083764706,-14.3076,-12.3898,-14.0308666667,-14.7486666667,-9.06673333332,-13.6820666667,-9.53846666666
241.17,-10.3157333333,-13.9090666667,-16.388,-13.9143529412,-13.1430333333,-10.9841333333,-12.9804666667,-13.9088666667,-7.92939999999,-12.7670666667,-9.19213333333
241.54,-11.017,-14.3162,-16.2052,-14.3539137255,-13.7349666667,-11.5896666667,-13.3077333333,-14.7947333333,-8.37606666667,-13.1453333333,-9.52986666668
241.92,-10.5855333333,-13.8986666667,-16.0016,-14.3374313725,-13.847,-11.6527333333,-13.1740666667,-14.8069333333,-8.71373333333,-13.1501333333,-9.90053333335
242.29,-9.8932,-12.7954666667,-14.3425333333,-13.5482901961,-13.7348666667,-10.4678,-12.2726666667,-14.2837333333,-8.35366666667,-12.383,-9.38493333335
242.67,-9.29959999999,-11.9678,-13.9775333333,-13.0450431372,-13.4207666667,-9.88793333333,-11.9539333333,-13.7464666667,-8.17226666667,-11.8068666666,-8.23519999999
243.05,-9.97606666667,-12.5485333333,-14.6776666667,-13.6797921569,-13.9951666667,-10.3105333334,-12.5350666667,-14.3909333333,-8.5978,-12.6850666667,-8.94580000001
243.42,-10.3180666667,-12.432,-14.5396,-13.526345098,-14.0325666667,-10.4770666667,-12.9357333333,-14.6058666667,-8.63473333334,-12.7236666667,-8.77400000001
243.80,-10.4780666667,-12.852,-14.9463333333,-14.0227058824,-13.9674333333,-10.9919333333,-13.574,-15.0244666667,-9.32693333333,-12.9562,-9.28800000001
244.17,-10.9533333333,-13.5409333333,-15.5838,-14.7237764706,-14.2899,-11.4332,-14.3968,-15.3630666667,-9.92880000001,-13.4176666667,-9.65626666667
244.55,-10.9964666667,-13.7728,-15.6128666667,-14.8688862745,-14.1388666667,-11.6522666667,-14.6831333333,-15.0968666667,-10.4234,-13.2507333333,-9.75493333333
244.92,-9.87926666667,-12.8567333333,-14.4722666667,-14.072945098,-13.7729666667,-10.8572666667,-13.8037333333,-14.6022666667,-9.87300000001,-12.4792666667,-9.16120000001
245.30,-9.33913333334,-11.731,-13.6079333333,-13.5925764706,-13.5050333334,-10.2718,-13.5279333333,-14.0314,-9.81406666666,-12.0802,-8.49793333333
245.67,-8.81006666667,-11.0341333333,-13.1506,-13.0595686275,-12.7291333333,-9.40100000001,-12.8444666667,-13.0326,-9.42246666667,-11.5228666667,-7.95053333333
