wavelength,Back_SicLucm,Belly_SicLucm,Breast_SicLucm,Crissum_SicLucm,Crown_SicLucm,DorTail_SicLucm,Patch10_SicLucm,Patch11_SicLucm,Rump_SicLucm,Throat_SicLucm,WingTip_SicLucm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,208.0,193.333333334,214.666666667,215.803921569,183.333333333,191.333333333,212.0,197.333333333,194.0,179.333333333,215.333333333
179.16,135.0,128.666666667,121.666666667,133.352941176,121.833333333,140.0,132.333333333,135.0,123.666666667,124.333333333,125.666666667
179.54,198.518533333,199.259133333,178.518533333,199.215639216,180.740666667,214.074066667,220.740866667,192.592666667,207.407333333,200.000066667,214.074066667
179.93,-246.666733333,-251.111,-313.333466667,-286.143701961,-206.6666,-268.889,-337.777733333,-244.444333333,-280.000133333,-180.0,-240.0
180.31,254.8718,247.350533333,245.641,257.506380392,224.188133333,266.666733333,273.418666667,248.2906,249.658066667,237.6068,245.47
180.69,274.912333333,272.368533333,262.9824,280.758560784,243.6842,290.087866667,298.947333333,265.438533333,270.438466667,253.3332,268.3334
181.07,316.344133333,319.354866667,295.914066667,321.992427451,282.688166667,342.042933333,343.978533333,310.107466667,316.451533333,291.075333333,310.537733333
181.45,398.014266667,410.780266667,371.772933333,408.160211765,355.602866667,434.042466667,438.0142,387.092333333,407.375733333,365.106466666,401.418466667
181.83,625.2874,648.9656,588.735733333,648.343498039,553.333433333,682.298933333,690.114933333,604.367733333,637.2414,574.942533333,635.172333333
182.21,491.666666667,505.833333333,468.166666667,508.284313725,440.25,531.333333333,537.666666667,469.5,492.166666667,454.833333333,501.833333333
182.59,528.468466667,548.648666667,507.7478,554.022298039,482.072066667,569.009066667,567.026933333,511.892,526.1262,488.6488,547.927866667
182.97,480.9524,507.936533333,462.2222,505.19132549,439.206266667,508.571333333,520.000066666,466.984333333,481.269866667,449.8412,502.2222
183.35,586.464666667,613.737266667,566.6666,617.433129412,538.080866666,616.767666667,641.616133333,568.686866667,589.696933333,535.5556,612.929333333
183.73,1243.80946667,1324.76186667,1222.857,1328.31944314,1120.71433333,1320.4762,1358.57153333,1213.3332,1249.04753333,1114.76193333,1347.61893333
184.11,946.296266665,1023.70373333,933.7038,1006.55778039,853.518499999,983.333199999,1010.7408,897.407466667,939.629600001,839.259133333,1037.037
184.49,2020.83333333,2205.0,2040.83333333,2140.73529412,1850.0,2100.0,2175.83333333,1943.33333333,2021.66666667,1812.5,2244.16666666
184.87,1836.29633333,1915.5556,1882.96286667,1882.17864314,1657.7777,1869.6296,1922.22226667,1754.81486667,1807.4074,1668.14826667,2019.9998
185.25,613.0952,625.714333333,631.9048,622.352956863,549.285766667,623.333266667,641.6666,580.7142,592.142933333,573.095266667,675.238133333
185.63,978.333333334,989.166666667,1019.16666667,970.563725491,856.875,983.333333334,1024.16666666,899.166666667,907.916666667,901.249999999,1067.91666667
186.01,599.506266667,602.716133333,624.6914,569.382721569,533.456866667,598.271733333,615.3086,556.5432,537.530733333,544.691133333,636.543133334
