wavelength,Back_AniNotm,Belly_AniNotm,Breast_AniNotm,Crissum_AniNotm,Crown_AniNotm,DorTail_AniNotm,Patch10_AniNotm,Patch11_AniNotm,Patch12_AniNotm,Rump_AniNotm,Throat_AniNotm,WingTip_AniNotm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,100.0,322.222166667,133.333166667,183.333166667,199.999833334,194.444333333,119.444666666,149.999833333,177.777666667,205.555666667,116.666666666,133.333166667
179.16,5.5555,77.7776666667,91.6666666665,102.777666666,80.5556666669,105.5555,91.6666666667,155.555666667,122.222,61.1111666668,61.111,141.666666666
179.54,0.000166666649999,27.7776666667,-88.8886666666,44.4443333333,-27.7778333333,-55.5556666665,-55.5555,-205.5555,-88.8886666666,-22.2223333333,-38.889,-200.0
179.93,-35.4166666667,31.25,-8.33333333335,41.6666666667,50.0,37.5,61.4583333333,-2.0833333333,18.7500000002,110.416666666,41.6666666665,16.6666666667
180.31,18.4443333333,75.3333333333,21.111,41.7778333334,42.8888333334,2.88883333334,57.1109166666,14.4443333333,16.8886666667,41.5555,28.2223333333,-4.88916666665
180.69,18.8236666666,72.7453333333,23.9215,35.4901666667,37.8433333334,0.39216666667,59.412,10.0,8.6275,41.9608333334,30.1961666665,-2.157
181.07,3.61466666665,62.0483333334,17.6706666667,24.498,28.5141666667,-13.0521666667,54.1165833333,-2.81133333335,-3.6145,29.5181666666,23.2929999999,-13.8555
181.45,-1.29633333335,62.963,16.6666666667,26.2961666667,31.1111666666,-14.8148333333,50.8334166667,-2.2223333333,-3.5185,27.9631666666,21.1111666667,-9.815
181.83,-15.4901666667,59.0196666667,10.196,13.1371666667,27.0588333333,-28.8235,41.4705833334,-6.86266666665,-18.8236666667,26.2743333334,16.6666666666,-21.1765
182.21,-12.9388333333,62.7193333334,7.6755,8.5526666667,23.0263333333,-39.9121666666,41.8856666666,-10.7455,-23.4646666666,21.4915,9.86833333335,-30.7018333334
182.59,-17.9103333333,67.6616666667,5.4725,1.74133333335,21.1441666667,-42.0398333333,44.9004166666,-23.1341666667,-26.6168333334,18.1591666667,3.7313333333,-31.8408333332
182.97,-32.5581666665,82.9456666666,1.938,-12.4031666666,8.1395,-67.8295,51.55,-68.6048333334,-61.6280000001,18.2171666667,-4.651166667,-53.4883333334
183.35,-19.1058333335,100.812833333,11.3821666667,-4.4713333333,15.0405,-55.6908333333,48.374,-62.1953333335,-51.6259999999,1.2195,7.317166667,-43.0893333332
183.73,-38.0208333335,94.7916666665,-10.9375,-35.4166666667,-3.64583333335,-91.6666666665,37.2395833333,-116.666666667,-116.666666667,-10.4166666667,-8.8541666665,-56.2499999999
184.11,-112.878833333,56.0606666665,-50.0001666665,-75.7573333335,-62.8791666667,-147.727333333,-0.75766666665,-232.575833333,-205.303166667,-93.1818333335,-68.9393333335,-147.7275
184.49,-89.3938333335,78.7878333333,-24.2426666665,-66.6665,-47.7275,-129.545333333,22.7271666666,-212.879,-160.606166667,-53.0303333334,-42.4241666665,-131.0605
184.87,-31.547666667,85.7141666668,0.59516666665,-15.4761666667,5.357333333,-61.3095000002,49.1070833333,-139.881,-64.8808333333,-24.4048333333,-1.190333333,-83.9286666667
185.25,14.5298333335,87.6068333335,31.1966666667,9.829,28.6324999999,-25.641,43.1624166667,-81.6238333333,-17.9488333335,14.9571666667,32.0511666665,-45.2991666665
