wavelength,Back_SicLebf,Belly_SicLebf,Breast_SicLebf,Crissum_SicLebf,Crown_SicLebf,DorTail_SicLebf,Rump_SicLebf,Throat_SicLebf,WingTip_SicLebf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,40.0,-26.6666666667,30.0,-53.3333333333,13.3333333333,-46.6666666667,-86.6666666667,140.0,26.6666666667
179.16,-53.3333333333,53.3333333333,-70.0,53.3333333333,-113.333333333,26.6666666667,-100.0,160.0,-140.0
179.54,50.0,133.333333333,62.5,-150.0,83.3333333333,-58.3333333333,-83.3333333333,175.0,0.0
179.93,96.97,109.091,77.2725,9.091,78.788,-6.06066666667,30.303,63.636,12.1213333333
180.31,115.873,131.746333333,195.2385,-53.9683333333,180.952333333,-65.0793333333,-161.904666667,519.048,33.3333333333
180.69,117.333333333,153.333333333,220.0,-22.6666666667,186.666666667,-42.6666666667,-98.6666666667,536.0,54.6666666667
181.07,200.0,350.0,555.0,-183.333333333,490.0,-193.333333333,-253.333333333,1230.0,56.6666666667
181.45,275.757666667,375.757666667,636.3635,-193.939333333,575.757666667,-196.969666667,-169.697333333,1245.455,133.333333333
181.83,214.583333333,266.666666667,465.625,-75.0,410.416666667,-114.583333333,-147.916666667,887.5,87.5
182.21,400.0,486.666666667,1180.0,-306.666666667,1086.66666667,-400.0,-740.0,2720.0,180.0
182.59,293.333333333,310.0,705.0,-76.6666666667,693.333333333,-143.333333333,-253.333333333,1440.0,173.333333333
182.97,375.0,329.166666667,831.25,-187.5,687.5,-337.5,-408.333333333,1675.0,108.333333333
183.35,138.235333333,133.333333333,213.2355,8.82333333333,196.078333333,-30.3923333333,-50.0,397.059,94.1176666667
183.73,95.614,130.702,189.4735,3.509,161.403333333,-15.7893333333,-39.4736666667,360.526,69.2983333333
184.11,81.2863333333,114.62,157.8945,22.222,128.655,16.374,-9.35666666667,247.368,59.649
184.49,65.385,120.512666667,137.5,18.5896666667,125.000333333,2.56433333333,-39.7436666667,205.769,45.513
184.87,53.3333333333,120.740666667,115.5555,5.18533333333,113.333666667,-2.222,-76.2963333333,204.444,29.6296666667
185.25,62.0,116.0,97.0,36.0,101.333333333,4.0,-76.0,204.0,40.0
185.63,51.1903333333,105.357,83.9285,36.905,92.8573333333,19.0476666667,-68.4523333333,164.286,47.024
186.01,37.3333333333,104.666666667,89.0,17.3333333333,95.3333333333,20.6666666667,-72.0,176.0,56.6666666667
186.39,42.3726666667,113.559333333,84.7455,22.034,94.9153333333,32.7683333333,-50.8473333333,157.627,66.1016666667
186.77,17.3333333333,108.666666667,77.0,6.0,78.6666666667,17.3333333333,-94.6666666667,140.0,48.6666666667
187.15,13.7566666667,104.233,69.0475,13.2273333333,90.4763333333,31.217,-57.143,106.349,65.0796666667
187.53,23.392,111.696,78.9475,24.5613333333,95.3213333333,30.9943333333,-50.877,112.281,66.6666666667
187.91,-3.20533333333,108.333333333,62.5,15.3846666667,71.154,19.2306666667,-69.2306666667,113.462,39.1026666667
188.29,-28.261,92.7536666667,43.4785,-14.4926666667,55.0726666667,15.942,-103.623333333,106.522,13.0433333333
188.67,-40.3506666667,90.3506666667,51.316,-22.8073333333,66.6666666667,24.5613333333,-121.052333333,150.0,12.2806666667
189.05,-27.4076666667,67.4073333333,60.0,-22.9633333333,72.5926666667,23.7036666667,-106.666666667,120.0,18.5186666667
189.43,-34.6666666667,66.6666666667,49.0,-21.3333333333,68.0,47.3333333333,-78.0,102.0,17.3333333333
189.81,-106.896666667,85.0576666667,44.8275,-59.7703333333,67.8156666667,70.115,-171.264333333,141.379,-13.7933333333
190.19,-60.465,74.4186666667,45.3485,6.977,66.6666666667,76.7443333333,-104.651,97.674,2.32566666667
190.57,-70.2126666667,69.5036666667,45.745,4.96466666667,62.4113333333,60.2836666667,-96.454,97.872,-14.1843333333
190.95,-62.791,85.2713333333,79.0695,15.504,79.845,74.4186666667,-93.7983333333,134.884,11.628
191.33,-156.0,90.6666666667,90.0,10.6666666667,66.6666666667,74.6666666667,-201.333333333,224.0,-42.6666666667
191.71,-199.999666667,74.7126666667,51.724,-33.3333333333,24.138,42.5286666667,-227.586333333,151.724,-56.3216666667
