wavelength,Back_DigBruf,Belly_DigBruf,Breast_DigBruf,Crissum_DigBruf,Crown_DigBruf,DorTail_DigBruf,Patch10_DigBruf,Patch11_DigBruf,Rump_DigBruf,Throat_DigBruf,WingTip_DigBruf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,48.0,-4.0,53.3333333333,40.0000000001,32.0,40.0000000001,-2.66666666667,20.0,68.4444444444,41.3333333333,64.0
179.16,139.999866667,165.5554,134.4444,152.222133333,158.8888,165.555733333,166.6666,196.666666667,158.888866667,160.000066667,134.444466667
179.54,-206.666666667,-160.0,19.9999999998,-146.666666667,-120.0,-200.0,-203.333333333,-286.666666667,-77.2222222221,-130.0,-96.6666666665
179.93,12.381,-3.80953333334,44.762,21.9046666667,12.381,24.7619333333,48.5714666667,49.5238,26.6666888889,25.7142666667,28.5716
180.31,5.33326666668,-46.6667333333,28.4444666667,4.0,-4.88893333332,-3.99993333334,19.5556666667,-26.4446000001,19.8148333333,10.6666666667,17.9999333333
180.69,-0.4166666666,-54.5833333334,15.8333333334,-9.37500000001,-10.0,-15.2083333333,11.0416666667,-28.1249999999,9.20138888889,11.0416666667,9.99999999994
181.07,15.2688666667,-34.4085333332,27.0968,-0.64506666664,2.1506,-4.30119999998,39.7849333334,-9.24733333326,21.0752777778,34.1936,25.3762666666
181.45,42.2221999999,4.88873333346,54.0740666667,30.9629333333,30.0741333334,30.8148,66.8148666667,32.7408,52.5431333333,61.1851999999,49.7778666667
181.83,68.1482000001,33.8271333333,71.9753333333,59.2592666667,55.5556,55.8024666666,91.4814666666,60.8641333333,74.9177666666,87.7778000001,71.1110666667
182.21,76.612,46.011,79.7813999999,67.5409333333,64.3716,63.2787333333,94.2076,67.8688666667,80.4188666667,95.7378666667,79.7815333332
182.59,76.6136666667,43.5978666667,73.5448666665,62.6456,62.6454666667,57.1429333334,88.4655999999,72.1693333333,77.2662777779,89.8412666668,78.307
182.97,77.7477999999,56.2164,73.6035999999,68.2882666666,66.6666,58.9189333333,85.4955333333,80.0000666666,77.2672888889,87.4775333334,75.2252666667
