wavelength,Back_SicCitf,Belly_SicCitf,Breast_SicCitf,Crissum_SicCitf,Crown_SicCitf,DorTail_SicCitf,Patch10_SicCitf,Patch11_SicCitf,Rump_SicCitf,Throat_SicCitf,WingTip_SicCitf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-25.7143333333,-69.5238666667,-48.5714666668,15.7141666667,-102.857133333,-29.0477333333,-96.1903333333,-84.7618,-51.7459666666,-61.9046666666,-95.9522333332
179.16,-10.0000000001,31.6666666667,-23.3333333335,-4.16666666666,-55.0000000001,30.8333333333,-101.666666667,11.6666666667,-21.6666666667,-6.66666666672,-77.2916666667
179.54,-6.6666666668,-293.333333333,-326.666666667,-223.333333333,-286.666666667,46.6666666667,-533.333333333,-286.666666667,-318.888888889,-193.333333333,-466.666666666
179.93,53.3333333334,118.333333333,213.333333333,99.1666666667,235.0,133.333333333,195.0,203.333333333,169.166666667,59.9999999999,208.958333333
180.31,32.1146666667,12.8314666667,10.1792666667,48.4588,-2.86733333332,33.5483,-4.44453333333,14.3367333334,20.3822777778,19.7848666667,-18.4139083334
180.69,38.2890666667,21.8288666667,17.9352,52.9499333333,6.07673333332,37.3746333333,6.01773333334,23.7757333333,27.994,28.1416666667,-8.02370833335
181.07,37.8142666667,23.8798666667,20.4373333333,50.3824333333,12.0219333333,40.1639,11.0382666667,28.9616666667,30.5463111111,28.2514666667,-4.76086666667
181.45,35.0819333333,17.6503333333,16.9944666667,46.8579,10.3278,37.7049333333,11.3662666667,26.1202,28.3606777778,24.5901333333,-8.811525
181.83,32.2726666667,19.4446,18.2828,47.6010333333,12.1716666667,37.9038,16.0101333333,29.3433333333,29.0825333333,23.99,-5.84605833333
182.21,31.8465333333,21.7746,24.6522,52.9734666667,18.8968666667,43.0695333333,19.5683333333,36.9784666667,33.0535333333,23.4532666667,-0.425716666672
182.59,25.5466666667,15.5733333333,19.52,53.6,13.3333333333,40.7466666667,12.96,33.8666666667,26.1244444444,17.3866666667,-9.06666666668
182.97,32.0312,23.8541333333,25.7811333333,57.8906,24.2186,51.5624,21.302,40.7812,32.8297777778,22.2915333333,-1.13295000001
183.35,32.7034666667,23.1496,28.8188666667,57.8216666667,25.2493333333,51.3123,21.5224666667,42.2571333333,34.5756333333,19.9476666667,-2.17850833335
183.73,32.4405333333,18.3927333333,30.3572,66.3095333333,24.1072,50.2379333333,19.881,45.9525333333,36.3295,22.8571333333,-6.17551666667
184.11,39.8131333333,24.3612,42.9906666667,78.6605,35.2648666667,63.1152666667,29.6572666667,56.9471333333,46.6044888889,34.6416666667,3.19309166669
184.49,52.1284666667,28.2730666667,52.8514000001,96.8672333333,42.0883333333,81.9677333333,35.743,68.9959333334,57.9383555556,43.9357333333,13.734975
