wavelength,Back_SpoCaem,Belly_SpoCaem,Breast_SpoCaem,Crissum_SpoCaem,Crown_SpoCaem,DorTail_SpoCaem,Rump_SpoCaem,Throat_SpoCaem,WingTip_SpoCaem
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-423.333333333,-510.0,-320.0,-413.333333333,-460.0,-430.477941177,-456.296296296,-373.333333333,-426.666666667
179.16,-133.333333333,-196.0,-78.6666666667,-117.333333333,-129.333333334,-128.671568627,-143.703703704,-150.666666667,-196.0
179.54,128.3334,129.999866667,118.3334,122.2222,128.888866666,129.393407108,132.901207407,130.5556,178.3334
179.93,-1380.0,-1500.0,-1266.66666667,-1340.0,-1606.66666667,-1315.75980392,-1437.03703704,-1680.0,-1806.66666667
180.31,-234.222066667,-278.8888,-190.444533333,-225.5556,-250.888866667,-208.087461275,-249.135859259,-271.111066667,-347.999933333
180.69,-608.000066667,-689.7778,-495.111133333,-560.8888,-620.4444,-532.534273039,-629.1358,-667.111,-831.5556
181.07,-826.666733333,-907.272733333,-663.6364,-758.788000001,-855.151533333,-710.055678432,-860.202074074,-904.242466666,-1187.27273333
181.45,-1117.5,-1210.83333333,-940.833333334,-1072.5,-1189.16666667,-968.716299018,-1177.12962963,-1280.0,-1632.5
181.83,-350.833333333,-382.777866667,-286.388933334,-338.888933333,-375.277733333,-295.933439951,-361.234540741,-399.722066667,-506.944466667
182.21,-551.555466667,-609.333333333,-450.6668,-559.555466667,-592.888933333,-480.527736275,-573.827192593,-620.4444,-793.333266667
182.59,-402.745133333,-477.647066667,-328.627466667,-398.823533333,-436.078333333,-366.649384069,-424.052377778,-467.843066667,-617.646933334
182.97,-462.2222,-563.111133333,-381.777733333,-470.2222,-470.2222,-418.640590931,-475.259303704,-542.6666,-695.111266667
183.35,-582.7778,-716.666666667,-469.444533333,-622.222266667,-599.4444,-528.711078921,-601.666533333,-699.999933333,-859.444466667
183.73,-2242.22233333,-2788.88873333,-1780.0,-2413.33326667,-2322.2222,-2051.64208358,-2331.85185185,-2684.44446667,-3200.0
184.11,1261.111,1535.5556,996.666599999,1291.111,1314.4444,1173.56621005,1288.14811852,1475.55553334,1657.7778
184.49,380.952333333,459.682533333,326.666666667,383.492066666,414.9206,367.605053186,395.132162963,466.031733333,493.650933334
184.87,411.25,537.083333333,371.25,442.916666667,484.583333333,422.743566176,432.12962963,538.333333333,567.916666667
185.25,212.083333333,294.791666667,201.875,229.791666667,247.083333333,231.145067402,221.805555556,282.291666667,277.291666667
185.63,180.900733333,252.7928,166.4864,193.513533333,206.8466,193.545970098,186.046022222,225.585533333,224.144133334
186.01,172.807133333,239.298266667,162.631466667,181.227933333,196.842,182.623957353,180.916125926,223.158,218.2456
186.39,216.521666667,311.884066667,207.8262,213.043466667,249.855133333,224.225256127,220.161014815,289.8552,282.898533333
186.77,180.980333334,230.196133333,166.862666667,177.254866667,203.725466667,173.1293,185.163474074,220.196,215.490266667
187.15,162.828266667,214.7474,155.353666666,162.424266667,199.595933333,160.275583333,179.393992592,206.0606,207.676733333
187.53,158.285733333,205.3334,158.095266667,154.857133333,196.380933333,166.579790686,180.571377778,199.238133333,204.190466667
187.91,198.205133333,245.3846,193.589666667,184.359066667,253.333266667,206.116114706,219.886096296,244.615266667,256.1538
188.29,171.034466667,192.184,163.448266667,154.023,212.413866667,178.351159069,175.197977778,196.7816,214.9426
188.67,199.999866667,224.166666667,186.111066667,191.9444,244.722266667,209.284063971,206.512377778,222.777866667,246.388866667
189.05,214.202933333,248.115866667,197.3914,204.058,264.927533333,216.078398039,231.207733333,239.710066667,254.782533333
