wavelength,Back_SpoCaem,Belly_SpoCaem,Breast_SpoCaem,Crissum_SpoCaem,Crown_SpoCaem,DorTail_SpoCaem,Rump_SpoCaem,Throat_SpoCaem,WingTip_SpoCaem
189.43,229.090933333,241.212266667,214.2424,215.151533333,266.363733333,221.701234804,243.164948148,259.393866667,262.727266667
189.81,181.720266667,175.053666666,166.236466667,156.344066667,198.494666667,175.239484804,191.971274074,202.1506,204.3012
190.19,136.5766,135.135133333,130.450533333,106.666733333,152.972933333,138.424757843,140.460474074,162.162333333,140.901133333
190.57,109.6454,115.035466667,112.198533333,86.6666666666,124.2554,119.11457402,118.613081482,140.1418,114.184466667
190.95,114.829733333,125.578333333,123.265333333,92.1088666665,126.666533333,128.097326716,115.90322963,146.394666667,118.5034
191.33,150.8696,149.1304,152.463733333,112.608733333,149.710133333,159.305214215,140.225481481,174.058,138.985466667
191.71,160.4,150.266666667,151.2,116.0,151.733333333,160.293137255,139.925925926,170.8,133.866666666
192.09,160.3636,147.636333333,150.1818,110.908933333,146.181866667,151.999990196,146.855162963,165.697066667,130.0608
192.47,184.1666,177.222266667,180.416666667,134.722266667,166.250066667,174.308602451,177.762362963,193.888933333,149.5834
192.85,198.503466667,191.020466666,194.557733333,151.972666667,179.863933333,187.782130882,194.452037037,207.483,165.034066667
193.23,248.205133333,225.128133333,238.119733333,185.470133334,214.871933333,236.058434804,239.278325926,245.982866667,192.4788
193.61,300.833333333,278.541666667,295.0,228.958333333,276.041666667,291.030177696,290.740740741,300.625,228.541666667
193.99,424.848466667,400.605933333,432.727333333,323.939533333,392.121066667,419.132153431,404.612762963,429.090933333,310.909133333
194.37,348.735666667,325.977,346.666733333,293.333466667,317.931066667,342.344535294,337.139259259,328.965466667,252.873533333
194.75,430.476066667,394.7618,406.4286,366.190466667,388.3334,397.63573652,402.936466667,381.666666667,303.0952
195.13,382.795733333,346.6666,366.881666667,333.5484,346.236666667,352.764848284,356.152874074,329.462466666,252.042933333
195.51,300.171066667,282.735066667,290.598333333,264.786333333,284.102466667,284.680121324,285.603,260.6838,192.3078
195.89,227.2516,225.731066667,230.760266667,212.5146,218.1286,224.498681863,221.8714,203.742666667,160.9356
196.27,207.729466667,209.565266667,218.744,207.6328,200.966266667,210.812761765,203.220562963,189.9516,154.975866667
196.65,213.3334,212.582133333,228.263066667,213.709066667,209.671266667,219.956402941,208.920125926,195.7744,160.938933333
197.03,194.7748,197.657666667,212.522466667,195.5856,197.477533333,206.780612255,191.29122963,178.108066667,142.072066667
197.40,212.548933333,214.804,236.862666667,217.058733333,218.6274,224.10214853,207.821244444,201.568533333,158.627466666
197.78,293.466666667,288.0,320.533333333,294.0,298.533333333,300.472549019,282.296296296,273.2,212.266666667
198.16,261.1494,255.862133333,284.942533333,264.023066667,270.5748,261.192641667,253.448222222,238.390733333,187.356266667
198.54,259.0806,250.689666667,287.471266667,255.4022,268.046,256.291477941,248.799451852,232.2988,185.172333333
198.92,241.290333334,233.440933333,266.021533333,240.967733333,245.806466667,240.118056128,235.340622222,220.322666667,173.440933333
199.30,234.019733333,225.490133333,255.294133333,232.353,236.470533334,232.710802451,228.202666667,216.862733333,172.7452
199.68,225.727733333,218.309866667,249.5774,227.9812,229.483466667,221.875482108,221.262333333,209.577533333,165.539866667
200.06,248.587733333,227.1186,275.141266667,246.892666667,247.9096,233.11857402,239.259325926,224.632733333,170.5084
200.44,248.474666667,223.389866667,274.124266667,240.113,243.616,236.190021814,235.304548148,226.101533333,168.926666667
200.82,227.255,205.0,247.745133333,215.7842,217.8432,209.8202125,212.952,206.862866666,157.647066667
201.19,266.011,237.4864,285.901666667,252.240466667,244.590333334,237.257276225,243.788814815,242.295,186.338933333
201.57,222.051266667,199.230666667,238.2052,208.376066667,203.333266667,201.08303652,203.390377778,202.307666667,164.102533333
201.95,197.246466667,178.5508,212.6088,185.942066667,179.492666667,183.277554902,183.615074074,179.1304,149.637733333
202.33,213.560666666,196.136266667,234.1666,203.787733333,192.727266667,203.224482598,197.087503704,196.212133333,167.802933333
202.71,236.833333333,220.583333333,262.0,226.666666667,217.416666667,229.390625,220.462962963,224.666666667,188.166666667
203.09,285.396733333,267.936466667,326.560866667,272.804133333,265.820133333,279.331274755,264.703177778,272.698333333,228.148066667
203.47,328.6792,310.691933333,380.880466667,319.1194,309.308133333,325.117050735,312.564614815,316.226333333,263.2704
203.85,358.888866667,335.6944,419.1666,348.194533333,338.0556,355.181645098,343.472266667,347.6388,288.888933333
204.22,359.466666667,338.533333333,415.466666667,346.0,343.466666667,361.206372549,347.659259259,353.733333333,293.2
204.60,380.148066667,361.925866667,439.8518,371.407466667,378.518533334,383.823565931,372.460851852,376.888933333,312.296333333
204.98,413.8596,402.105266667,481.228066666,404.210533333,425.263066667,428.20691152,416.744637037,418.421066667,339.649133333
205.36,619.733333333,604.533333333,727.2,597.333333333,653.066666667,657.95,637.62962963,632.266666667,519.466666667
205.74,957.083333333,921.666666667,1098.33333333,937.5,994.583333332,1013.56158088,971.388888888,961.250000001,775.416666667
206.12,3053.33333333,2897.33333333,3522.66666667,2966.66666667,3153.33333333,3217.30882353,3093.92592593,3034.66666667,2505.33333333
206.50,3843.33333333,3551.66666667,4361.66666666,3681.66666667,3951.66666667,4033.71936275,3911.66666667,3761.66666666,3096.66666667
206.87,3998.33333333,3643.33333333,4411.66666667,3878.33333333,4096.66666667,4164.33210784,4128.51851852,3825.0,3291.66666667
207.25,1209.0476,1091.90473333,1300.95226667,1175.7142,1236.66666667,1258.71145711,1258.46562963,1151.90466667,1010.4762
207.63,1843.70373333,1632.5926,1948.14806667,1759.25933333,1846.66673333,1884.73581618,1892.34576296,1713.33333333,1540.00006667
208.01,1036.86273333,902.352866667,1066.66666667,986.666733333,1014.90206667,1043.7110277,1040.69728148,954.117533332,884.313800001
208.39,928.070133333,834.736866667,959.298133333,885.263133333,915.438733333,947.374948529,938.362555555,857.543866668,804.561466667
208.77,1279.99993333,1165.23826667,1352.85713333,1218.57133333,1241.9048,1320.59874755,1292.16934074,1184.28573333,1137.1428
209.14,1070.7408,948.888866668,1135.55546667,1031.85186667,1026.66673333,1103.97199436,1068.10694074,978.518533333,958.888733335
209.52,578.8234,513.333333333,619.215733333,563.1372,556.078466667,593.979374755,577.037103704,527.6472,518.4314
209.90,538.148133333,487.407333333,589.814733333,520.925933333,522.222133333,559.284418628,542.551392593,495.555466667,484.074
210.28,387.083266667,358.472333333,430.416666667,373.888933333,385.138933333,406.195297059,397.253066667,365.8332,351.666733334
210.66,422.727333333,394.090866667,470.454533333,407.272733333,426.2122,441.119633088,436.649644445,411.515066667,390.606066667
211.03,371.466666667,345.333333333,420.0,352.666666667,368.133333333,384.716666666,384.785185185,365.866666667,344.0
211.41,348.5534,326.0378,398.1132,327.924533333,344.025066667,361.279172794,360.670740741,346.1636,327.924466667
211.79,358.205133333,333.077066667,411.9232,335.128266667,355.897466667,374.019683823,375.441740741,361.282066667,337.6924
212.17,469.649133333,439.999933333,553.508733333,434.7368,463.6842,494.977415931,497.660740741,475.964933333,448.947466667
212.55,577.204266667,528.602133333,682.795666667,531.613,561.290333333,595.437206373,604.038155556,571.3978,550.7526
212.92,777.2728,717.878733334,933.939466667,730.606066667,755.151533333,797.469904902,827.306385186,770.0,748.484866667
213.30,-3783.33333333,-3563.33333333,-4666.66666667,-3555.0,-3673.33333333,-3922.75122549,-4093.7037037,-3741.66666667,-3596.66666667
213.68,9.73221055838e+15,9.11808333649e+15,1.18262137942e+16,9.19911401158e+15,9.24176173532e+15,1.00908590999e+16,1.03363866448e+16,9.63838556617e+15,9.2801446867e+15
214.06,-2456.66666667,-2254.4444,-2955.55553333,-2292.2222,-2346.6666,-2541.88316593,-2586.29631852,-2448.88893333,-2373.33326667
214.44,-1052.85713333,-949.999933333,-1230.47613334,-989.0476,-991.9048,-1093.38048309,-1074.92067407,-1022.85726667,-1007.14286667
214.81,-3466.66666667,-3225.0,-4205.0,-3298.33333333,-3310.0,-3686.66666667,-3667.59259259,-3380.0,-3388.33333333
215.19,-952.857133335,-896.190399999,-1151.42866667,-910.476200001,-934.285600001,-1030.75453186,-987.037051851,-916.190466667,-931.904733334
215.57,-1167.27273334,-1082.42413333,-1400.60606667,-1104.2424,-1155.75766667,-1268.03696422,-1198.11442222,-1086.06066667,-1124.24253333
215.95,-12933.3333334,-12093.3333333,-15393.3333333,-12226.6666667,-12933.3333333,-14168.9705882,-13275.5555556,-12220.0,-12740.0
216.32,937.777866666,857.777799999,1082.66673333,900.444466666,943.555600001,1026.33174927,971.654348148,898.222133333,920.444533332
216.70,512.098733333,464.9382,593.8272,504.444466667,525.432066667,574.065851716,537.393674074,497.284,500.246866667
217.08,416.0784,365.294133333,466.470466667,402.7452,427.255,457.889907598,426.710422222,398.431333333,388.431333333
217.46,363.650733333,320.634933333,397.936466667,349.206466667,368.7302,384.068736274,366.366814815,347.301666667,340.4762
217.83,514.942466667,446.6666,559.540133333,480.229866667,522.9886,526.011674755,509.578548148,479.0804,474.942466667
218.21,636.811466667,549.565333334,702.608666667,602.898533333,652.463666667,634.807121079,642.737622222,586.087,594.4928
218.59,587.2222,503.611133333,669.166666667,563.333466667,593.055533333,575.02331348,592.839466667,540.8334,539.166666667
218.97,3371.66666667,2795.0,3753.33333333,3261.66666667,3296.66666667,3243.00245098,3256.48148148,3026.66666667,2993.33333333
219.34,-4484.4446,-3715.5556,-4928.88893333,-4322.22213333,-4244.44446667,-4220.88230735,-4333.33340741,-4019.99993333,-3966.66646667
219.72,-2268.88886667,-1958.88886667,-2538.8888,-2224.4444,-2113.33333333,-2133.41095049,-2198.64184445,-2111.1112,-2078.8888
220.10,-586.969666667,-512.121266667,-668.484933333,-580.606066666,-547.272866667,-540.39777549,-564.882185185,-540.303066666,-546.666666667
220.47,-342.222266667,-305.050466667,-400.808066667,-340.404,-320.808066667,-312.348528922,-324.377007408,-306.0606,-317.3738
220.85,-240.0,-223.4848,-282.4242,-234.2424,-229.999933333,-218.280408333,-225.892348148,-216.818266666,-227.1212
221.23,-246.511533333,-233.488533333,-289.3022,-238.449533333,-236.434066667,-225.017642647,-233.453903704,-222.480733333,-240.309933333
221.61,-202.638933333,-189.1666,-235.9722,-197.083266667,-192.7778,-186.129569363,-193.580229629,-180.9722,-196.6668
221.98,-183.790866667,-177.124133333,-215.424733334,-184.9674,-177.6472,-176.154275245,-185.490340741,-167.581666667,-187.189666667
222.36,-215.217333333,-216.811666667,-248.2608,-217.246333333,-208.405733333,-212.403064706,-223.623229629,-204.2028,-222.463733333
222.74,-212.380866667,-212.517066667,-234.1496,-209.659866667,-205.714266666,-203.14385098,-223.295681481,-198.503466667,-225.306333333
223.11,-218.8,-220.0,-235.333333333,-206.8,-214.666666667,-205.994607843,-231.377777778,-203.333333333,-235.466666667
223.49,-234.074,-237.3334,-262.814933334,-226.666733333,-235.259266667,-221.791920588,-251.621392592,-221.629666667,-254.666666666
223.87,-167.8162,-168.1608,-195.0574,-164.597733334,-170.114866666,-161.108708088,-182.158311111,-157.356266667,-179.885066666
224.24,-152.5128,-150.564266667,-174.769266667,-148.718,-148.512733333,-144.586758088,-159.122488889,-138.8718,-157.025666666
224.62,-139.909933333,-136.576533333,-159.5496,-136.937133333,-136.036,-130.841634804,-143.253214815,-129.729866667,-145.225133333
225.00,-134.2616,-126.413533333,-152.1518,-134.683533333,-125.653933333,-125.69266348,-136.127511111,-120.675266667,-138.0592
225.38,-140.246933333,-130.6174,-156.214,-143.2922,-132.345666667,-131.302649265,-142.569814815,-126.502066667,-147.572133334
225.75,-160.185266667,-148.9814,-180.648133333,-160.8334,-155.185266667,-151.837858333,-163.117155555,-145.462933333,-174.444533333
226.13,-175.0,-159.313666667,-199.215733333,-176.274466667,-167.843266667,-164.637832353,-175.795133333,-157.941133333,-187.254933333
226.51,-180.404066667,-158.0808,-205.7576,-179.696933333,-170.808,-166.88912549,-179.9102,-159.494933333,-189.2928
226.88,-138.916666667,-123.333333333,-163.166666667,-139.333333333,-130.083333333,-131.53492647,-135.777777778,-126.416666667,-145.166666667
227.26,-118.116,-105.7972,-140.507266667,-120.0,-111.086866667,-112.745243627,-115.402488889,-109.347866667,-123.912933333
227.64,-98.7006666667,-86.2711333333,-111.751333333,-95.1413333333,-93.2768666667,-91.4432448529,-94.1241925925,-90.8474666667,-103.0508
228.01,-89.0196666667,-73.8726666667,-97.0588666665,-83.6763999999,-83.5784666667,-78.9651345588,-82.1078962962,-79.1175333333,-91.4705333334
228.39,-74.1507333333,-59.3118,-80.3871333334,-67.8279333333,-70.1504,-65.2710112745,-69.0706074074,-65.4194,-76.43
228.76,-65.4044,-51.5187333333,-70.5718666667,-59.0533333333,-61.0256,-57.0326328431,-61.2491703704,-55.7791333333,-65.9170666667
229.14,-50.1682666667,-37.2726666667,-54.3771333333,-44.0740666667,-45.7576,-42.100417402,-47.1941703704,-43.4679333333,-50.3704
229.52,-36.101,-24.9702,-39.4940666667,-30.0595333333,-31.2204,-29.0227237745,-31.8618444444,-29.1964,-33.8689333333
229.89,-35.5274666667,-25.7664666667,-37.8903333333,-29.564,-29.536,-28.2053107843,-30.1298,-28.0731333333,-32.7426
230.27,-31.4138,-21.6343333333,-31.8805333333,-23.6316666667,-25.5772666667,-23.7599090686,-25.9576296296,-23.5799333333,-28.4825333333
230.65,-28.6172666667,-19.9505333333,-28.3457333333,-21.3828,-23.284,-21.5268247549,-23.1961481482,-20.6914666667,-27.0371333333
231.02,-30.8270666667,-21.7292666667,-29.7494,-24.0853333333,-25.8396666667,-23.1253666667,-25.6976,-21.8545333333,-29.2983333333
231.40,-37.0732,-26.3956,-36.6395333333,-30.6233333333,-30.8401333333,-28.8487740196,-31.4634148148,-27.3442666667,-34.9862666667
231.78,-41.6958666667,-30.7895333333,-43.0994666667,-37.1929333333,-34.5906,-33.0228281863,-36.9590518518,-31.2864666667,-38.6256666667
232.15,-58.5146666667,-46.4939333333,-59.0673333333,-52.9533333333,-49.2918,-47.9642017157,-53.2681333333,-45.9412666667,-53.2297333333
232.53,-72.3371333334,-59.2719333333,-71.7623333333,-66.2068666667,-60.8429333333,-59.3942431373,-64.6105703704,-57.7010666667,-64.4828
232.90,-80.2395333333,-67.0658666666,-79.2414666667,-71.6166666667,-68.2235333333,-65.4661647059,-69.9268666667,-65.3494,-71.0580666667
233.28,-98.8288,-86.4415333334,-99.0990666668,-87.7477333333,-85.5406,-80.4254718137,-88.1481777778,-82.7926666667,-87.7927333333
233.66,-112.9578,-99.4366666668,-114.2722,-100.657266667,-99.5774666665,-91.6569919118,-102.905518518,-97.4648,-101.596333333
234.03,-105.405533333,-93.7389333333,-110.135133333,-96.0810666667,-94.4593333333,-88.2172504902,-97.5025481481,-93.2432666667,-94.6395333333
234.41,-95.3715333333,-86.6242,-103.0998,-91.1677333333,-86.8789333334,-81.6057563725,-88.9172074075,-87.8130666667,-86.4544000001
234.78,-103.485866667,-94.1177333333,-111.721133333,-97.4291999999,-92.1568666668,-88.363605147,-93.5947555555,-95.5555333332,-90.9802666666
235.16,-86.5160000001,-77.8153333333,-95.4425999999,-80.1130666667,-75.4802666667,-73.0665058824,-77.1206592593,-80.2260666667,-74.7269333333
235.54,-64.5892,-57.1783333333,-71.2868,-58.6666,-55.1938,-52.6091740196,-56.837237037,-58.5117333333,-54.6668666667
235.91,-52.1028666666,-46.4664,-58.0544,-46.5523333333,-44.2060666667,-42.6409235294,-45.522037037,-45.5220666667,-43.8054666666
236.29,-35.9219333333,-32.8694,-42.5641333333,-32.1368,-31.624,-30.2395495098,-31.8356,-31.4530666667,-30.7692666667
236.66,-30.6667333333,-28.5379333333,-38.6901333333,-27.7426666667,-28.4679333333,-26.3490404412,-28.8915185185,-27.6491333333,-28.3274
237.04,-33.7036666667,-32.361,-42.4306666667,-31.3195333333,-31.4120666667,-30.1857485294,-33.1454814815,-32.1527333333,-31.7823333333
237.41,-31.8152666667,-30.099,-38.8558666667,-29.6810666667,-29.1968666667,-29.0199860294,-30.2554740741,-29.0428666667,-30.5831333333
237.79,-29.9572666667,-28.1838,-36.2179333333,-28.1196,-26.9442666667,-27.7607269608,-28.7037111111,-26.8375333333,-29.4232
238.17,-30.2293333333,-28.0418,-35.271,-28.7292666667,-27.3336,-27.7691428922,-29.363637037,-26.8960666667,-29.3752
238.54,-30.5338,-29.0836,-35.4079333333,-29.2649333333,-27.3113333333,-28.2619411765,-29.7639851852,-26.8076,-29.5266
238.92,-26.4134666667,-24.4803333333,-30.2255333333,-25.5462666667,-24.8597333333,-24.7668759804,-26.5559925926,-22.6014,-26.3412
239.29,-27.9364,-26.1904,-30.4409333333,-26.9488666666,-27.3192,-25.4442213235,-28.5950592593,-23.6156,-27.9718666667
239.67,-27.2086,-25.4023333333,-29.4911333333,-26.2561333333,-27.2742,-24.6255897059,-28.2868740741,-22.7914,-27.3235333334
240.04,-27.2283333334,-25.2328,-29.0614666667,-26.4449333333,-27.7162,-24.1018889706,-27.9774,-23.5032666667,-27.1249333333
240.42,-27.0347333333,-24.5758666667,-28.2184,-26.2854,-27.1005333333,-23.2437742647,-26.9237925926,-23.1034,-26.3905333333
240.79,-23.9068666667,-21.5558666667,-24.4860666667,-23.2367333333,-23.782,-20.4014409314,-23.2747407407,-19.8864666667,-22.3736666667
241.17,-17.0115333333,-14.9136,-16.8773333333,-16.3507333334,-17.0307333333,-13.6309852941,-16.4315259259,-12.6819333333,-15.6801333333
241.54,-14.8956,-13.3846,-15.0149333333,-14.4686,-15.4416,-11.8807509804,-14.7238370371,-11.0541333333,-13.7772
241.92,-13.3026,-12.0031333333,-12.9280666667,-12.8135333333,-13.6545333333,-10.0592661765,-12.7081037037,-9.75533333333,-11.9343333333
242.29,-13.2904,-11.6863333333,-12.7748666667,-12.4096666667,-13.2617333333,-9.71673063726,-12.3897333333,-9.78166666667,-11.8365333333
242.67,-13.3948666667,-11.5280666667,-12.5948,-12.2598666667,-13.4496666667,-9.60408431372,-12.5722,-9.73666666665,-11.7811333333
243.05,-12.4174666667,-10.7296,-11.6976666666,-11.3771333333,-12.352,-8.58826250001,-11.5321259259,-8.95646666667,-10.7163333333
243.42,-11.9290666666,-10.4428,-11.5748666667,-11.2017333333,-11.7583333333,-8.51806985294,-11.1173555556,-8.48833333333,-10.6072666667
243.80,-12.3864666667,-11.0354,-11.7425333333,-11.6604,-12.2602,-9.17639754901,-11.1706888889,-8.94573333333,-10.8334
244.17,-11.5279333333,-10.4056,-10.9606,-10.9545333333,-11.5156666667,-8.86030539215,-10.4232222222,-8.33780000001,-10.3324
244.55,-10.6369333333,-9.60113333334,-10.3571333333,-10.1785333333,-10.7857333333,-8.11850318627,-9.79899999999,-7.86293333333,-9.70226666665
244.92,-10.0368666667,-9.15753333333,-10.0822,-9.77586666665,-10.5247333333,-7.75490808823,-9.39446666667,-7.51213333333,-9.24246666667
245.30,-10.3852,-9.59333333333,-10.5671333334,-10.4226,-11.3536666667,-8.16483186275,-9.61234814814,-7.97753333333,-9.36846666668
245.67,-9.34973333334,-8.43286666667,-9.46640000001,-9.27213333333,-10.3834666667,-6.96540294117,-8.37677777779,-7.17620000001,-8.10266666667
246.05,-8.34106666667,-7.30993333333,-8.83019999999,-8.13393333333,-9.41626666667,-5.88791740195,-7.42651111111,-6.1556,-7.08086666667
246.42,-6.552,-5.5714,-7.23993333333,-6.33846666667,-7.8726,-4.16428357843,-5.90128888889,-4.55526666667,-5.413
246.79,-5.44466666666,-4.41433333333,-6.27273333333,-5.2712,-6.81853333333,-3.23016715686,-4.87869629629,-3.59,-4.3672
247.17,-5.18093333333,-4.1068,-6.0952,-5.0178,-6.49993333333,-2.81704313725,-4.65244444444,-3.206,-3.93
247.54,-4.67826666667,-3.56286666667,-5.574,-4.46486666666,-6.06213333333,-2.37419779412,-4.17264444444,-2.81593333333,-3.2396
247.92,-4.1874,-3.09666666666,-5.2656,-3.93046666667,-5.5602,-1.91930588235,-3.87012592593,-2.24733333333,-2.893
248.29,-4.10753333333,-3.01306666667,-5.342,-3.775,-5.4632,-1.87465710784,-3.75076296296,-2.06466666667,-2.78306666667
248.67,-3.96193333333,-2.86286666667,-5.2632,-3.62046666666,-5.36873333333,-1.79172745098,-3.72360740741,-1.78853333333,-2.57413333333
249.04,-4.21726666667,-2.98446666667,-5.60913333333,-3.7076,-5.54226666667,-2.00382867647,-4.0098,-1.94306666667,-2.7042
249.42,-4.20246666667,-2.8606,-5.91413333333,-3.563,-5.31806666667,-2.12219142157,-4.20948888889,-1.8482,-2.90713333333
249.79,-4.6438,-3.18373333333,-6.47806666667,-3.92786666667,-5.65893333333,-2.70274019608,-4.81043703704,-2.1332,-3.52553333333
250.17,-4.6614,-3.3564,-6.6322,-3.90746666667,-5.71373333333,-3.12419019608,-5.17456296296,-2.24273333333,-3.68526666667
250.54,-5.80586666667,-4.4282,-7.71226666667,-4.8054,-6.60533333333,-4.35659779411,-6.09778518519,-2.86193333333,-4.80133333333
250.92,-6.64033333334,-5.294,-8.58766666666,-5.3466,-7.4078,-5.14446887255,-6.92676296296,-3.38166666667,-5.75
251.29,-7.04113333334,-5.73066666667,-9.12320000001,-5.7168,-8.01373333333,-5.84265367647,-7.56511851852,-3.7854,-6.19633333333
251.66,-7.00019999999,-5.58146666667,-9.1426,-5.67066666667,-7.7332,-5.65086544118,-7.64546666667,-3.5332,-6.3472
252.04,-6.90686666667,-5.23446666667,-8.87153333333,-5.71506666667,-7.55713333333,-5.56511470588,-7.30108888889,-3.48166666667,-6.06853333333
252.41,-6.84813333333,-4.94733333333,-8.70106666667,-5.6064,-7.4022,-5.33811495098,-7.32198518518,-3.45266666667,-6.003
252.79,-7.3152,-5.44253333333,-8.85646666667,-5.901,-7.81766666666,-5.45685098039,-7.61488888889,-3.94046666667,-6.5836
253.16,-7.08526666666,-5.36186666667,-8.63619999999,-5.8444,-7.8926,-5.22100882353,-7.43258518519,-3.86506666667,-6.75033333333
253.54,-7.46286666667,-5.8302,-8.88386666666,-6.1526,-8.41526666667,-5.39924068628,-7.72043703703,-4.4646,-6.97919999999
253.91,-7.79653333334,-6.04293333333,-9.26893333334,-6.68206666667,-8.66566666667,-5.52125833333,-7.98008148149,-4.73426666667,-7.1268
254.28,-8.89226666667,-7.03406666667,-10.5092666667,-7.99486666666,-10.0158,-6.5206004902,-8.96128148149,-5.88459999999,-8.504
254.66,-8.286,-6.49333333333,-10.0839333333,-7.70106666666,-9.63433333333,-5.8714492647,-8.35151111112,-5.69186666667,-8.06926666667
255.03,-8.26026666667,-6.72846666667,-10.3649333333,-7.87873333334,-9.88219999999,-5.93573112745,-8.14817037037,-5.82493333333,-7.99653333334
255.41,-8.16046666666,-6.80733333334,-10.4979333333,-7.74459999999,-9.8888,-6.1480870098,-7.91765185185,-5.81719999999,-8.64079999999
255.78,-8.77466666667,-7.44153333334,-11.1831333333,-8.05399999999,-10.6726,-6.96365147059,-8.35708148148,-6.37846666667,-9.12926666667
256.15,-9.33340000001,-7.84300000001,-11.6983333333,-8.36800000001,-11.2278,-7.24660735294,-9.08262962963,-6.85359999999,-9.90639999999
256.53,-9.96419999999,-8.37193333334,-12.1449333333,-9.22160000001,-11.6993333333,-7.89344901962,-9.63284444445,-7.36193333334,-10.5228666667
256.90,-9.79840000001,-8.11199999999,-11.9944,-8.9356,-11.1259333333,-7.9849004902,-9.28854074074,-7.01953333333,-10.1121333333
257.28,-8.53200000001,-7.2324,-10.4332,-7.79306666666,-9.54140000001,-6.73450735293,-8.09842222223,-5.81033333333,-8.64440000001
257.65,-7.3594,-5.9558,-9.01033333333,-6.7656,-8.20066666667,-5.66742205882,-6.97108888889,-4.68733333333,-7.40893333333
258.02,-4.9396,-3.73093333333,-6.55373333333,-4.35093333333,-5.87133333333,-3.48059558823,-4.69954074074,-2.542,-4.97846666667
258.40,-3.43786666667,-2.25373333333,-4.8954,-2.76653333333,-4.1936,-1.71016715686,-3.29663703704,-0.971733333333,-3.168
258.77,-2.44966666667,-1.42733333333,-3.8504,-1.8646,-3.20333333333,-0.734637745098,-2.63342962963,-0.0709333333333,-2.10993333333
