wavelength,Back_HemParm,Belly_HemParm,Breast_HemParm,Crissum_HemParm,Crown_HemParm,DorTail_HemParm,Patch10_HemParm,Rump_HemParm,Throat_HemParm,WingTip_HemParm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,226.666666666,223.958333333,200.0,195.833333333,163.541666667,221.513310185,137.5,241.666666666,243.75,166.666666667
179.54,110.5557,173.611166667,69.4443333333,38.8888333332,187.5,109.56799537,180.5555,116.6665,38.8889166666,75.0001666665
179.93,74.1668166667,65.2778333333,109.72225,40.2776666666,109.72225,94.3383744213,98.6111666668,120.833375,58.3331666668,95.8333333332
180.31,35.49195,29.7130833333,47.81425,24.5901666667,68.3742916667,38.671833912,69.8087500001,39.6857083333,7.6503333333,54.7814166666
180.69,40.5833333334,31.9444166666,49.861,22.9165833333,72.9861666668,39.053724537,74.0276666668,45.3472499999,5.69450000003,55.9722500001
181.07,53.0224,44.4207916667,56.77975,38.9831666667,84.0395416668,50.3610081018,88.2769166667,63.5592916666,16.2430833333,66.5254166666
181.45,66.1539166668,55.2563333333,63.4616666667,51.66675,95.1282083334,62.4680196759,95.0001666667,75.3205416666,29.7436666667,75.0001666667
181.83,65.6531833332,48.8175833333,61.5990833333,53.6036666667,85.8109583334,59.137234375,87.5001666668,69.5384583334,32.9953333333,69.1442499999
182.21,68.9046333334,47.857125,53.8094166667,57.7381666667,84.9999583333,58.2357280093,91.9046666665,63.2738750001,30.3573333333,67.9761666666
182.59,66.1750166667,40.7785833333,44.26225,49.59025,86.4072500001,57.8617638889,96.1749166667,57.4453750001,24.0436666667,68.8525
182.97,59.6580333333,25.42725,26.9231666667,33.33325,83.119625,43.8968842593,97.8631666667,41.2392916667,-6.624,58.5470000001
183.35,92.9629333333,64.8148333333,42.8241666667,73.61125,113.425958333,77.3647471064,124.074083334,58.102,15.0463333334,79.3983333334
183.73,86.8333333333,59.25,40.0,77.3333333334,96.3333333332,73.1122685185,104.333333333,51.1666666667,23.3333333333,76.1666666667
184.11,130.178716667,75.8929583333,30.35725,109.523916667,133.630791667,99.5536238425,154.464416667,41.3690416668,5.65474999983,104.762
184.49,159.848533333,64.3940416667,14.7725833333,128.030416667,167.045541667,118.308034143,170.075833333,41.8560416667,8.33334999939e-05,125.378833333
184.87,137.55955,66.66675,26.4881666667,125.89275,165.476166667,113.516821759,150.2975,32.5892916667,21.1309166666,120.83325
185.25,138.377216667,78.50875,46.7105833333,132.675416666,157.675458333,111.790265625,135.964916667,47.4779166666,59.42975,119.737
185.63,141.666716667,93.4209166667,52.6315833333,131.579,154.495583333,126.372126736,141.44725,45.0658333333,67.1051666666,127.63175
186.01,292.745133333,209.068583333,105.8825,263.725583333,336.519666667,257.424510417,296.568666667,93.1372499999,133.823583334,280.392166667
186.39,4426.66666667,3550.0,1733.33333333,4100.0,5766.66666666,4264.40972223,4558.33333333,1787.5,2366.66666667,4408.33333333
186.77,882.777783333,697.22225,383.333416666,786.111166665,1052.77795833,806.934788773,841.666749998,416.666833333,522.222333333,856.944333332
